	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.0323	-0.0019	0.0049	0.003	0.0039	0.017	0.0005	-0.0026	0.0426	0.0009	-0.0014	-0.0024	-0.0004	-0.0017	-0.0017	0.0017	0.0217	0.0109	0.0003	-0.0021	0.0126	-0.001	0.0167	0.0005	0.0217	-0.0004	0.0018	-0.0017	0.0341	-0.0002	0.0084	0.0145	0.0004	0.0238	-0.0014	0.0055	0.0119	0.0016	0.0121	0.0001	0.008	-0.0012	0.0008	0.0221	0.0102	-0.0009	0.008	0.0087	0.0004	0.0056	0.0137	0.0088	0.0041	-0.0012	0.0003	-0.0019	-0.0001	-0.0004	0.0121	0.0006	0.0025	0.0111	0.0037	0.0077	0.0243	0.0021	-0.0007	-0.0014	0.0003	0.0045	0.0192	-0.002	0.0005	-0.0005	-0.0013	-0.0019	0.0007	0.0005	0.0031	0.0088	-0.0018	0.0107	-0.0004	0.0	0.0021	-0.0011	-0.0014	0.002	0.0095	0.0247	0.0123	-0.0013	0.0341	0.0151	-0.0017	0.001	-0.0018	0.004	-0.0017	-0.0002
direct_vc_estimate_se	0.0283	0.0091	0.0099	0.008	0.0098	0.008	0.0108	0.0092	0.0075	0.0079	0.0054	0.0081	0.0079	0.007	0.0089	0.0077	0.0074	0.007	0.0072	0.0076	0.0089	0.0061	0.0084	0.0074	0.0064	0.007	0.007	0.0062	0.0083	0.0074	0.0076	0.0063	0.0072	0.0065	0.0063	0.0069	0.0076	0.0057	0.0063	0.0086	0.0067	0.0064	0.0064	0.0075	0.007	0.0074	0.0055	0.0056	0.0068	0.0061	0.0071	0.0075	0.0071	0.0065	0.0068	0.0067	0.0063	0.0072	0.0064	0.0054	0.0071	0.0067	0.0071	0.0082	0.0057	0.0068	0.0069	0.0061	0.0067	0.0062	0.0068	0.0068	0.0061	0.0067	0.0059	0.0069	0.007	0.0061	0.0073	0.0066	0.0066	0.0072	0.0048	0.0048	0.0079	0.0071	0.0069	0.0066	0.006	0.0067	0.0055	0.0056	0.0062	0.0048	0.006	0.0052	0.0068	0.0075	0.0067	0.0062
direct_vc_pvals	0.302	0.795	0.384	0.441	0.368	0.125	0.531	0.903	0.018	0.604	0.841	0.949	0.605	0.823	0.746	0.464	0.079	0.103	0.612	0.891	0.307	0.684	0.115	0.52	0.047	0.595	0.449	0.887	0.073	0.548	0.162	0.23	0.551	0.018	0.857	0.273	0.112	0.42	0.156	0.572	0.2	0.703	0.433	0.024	0.258	0.646	0.096	0.153	0.544	0.217	0.123	0.272	0.308	0.733	0.57	0.904	0.647	0.518	0.062	0.523	0.44	0.078	0.351	0.341	0.008	0.386	0.651	0.798	0.609	0.254	0.061	0.978	0.597	0.572	0.773	0.891	0.512	0.552	0.336	0.271	0.874	0.167	0.656	0.594	0.449	0.709	0.767	0.422	0.293	0.048	0.136	0.799	0.016	0.056	0.894	0.502	0.852	0.368	0.787	0.599
upper95_perm_direct	0.1233	0.0368	0.0354	0.0318	0.0249	0.0281	0.023	0.0319	0.0289	0.0372	0.013	0.0278	0.0225	0.0189	0.036	0.0245	0.0264	0.0164	0.0329	0.0267	0.0434	0.0168	0.0259	0.0197	0.0219	0.0184	0.0229	0.0164	0.0406	0.0194	0.017	0.0377	0.0256	0.0164	0.0257	0.0203	0.0189	0.0173	0.0248	0.0264	0.0229	0.0166	0.0147	0.0163	0.0337	0.0194	0.0127	0.0198	0.024	0.0169	0.0247	0.0317	0.0198	0.0234	0.0218	0.0155	0.0252	0.0149	0.0127	0.0174	0.0218	0.0147	0.0249	0.0401	0.0116	0.0205	0.0229	0.0236	0.0274	0.0157	0.0207	0.0171	0.0278	0.0194	0.0191	0.0238	0.024	0.0197	0.019	0.0298	0.0218	0.0235	0.0164	0.0191	0.0237	0.0218	0.0213	0.0234	0.0267	0.0244	0.0235	0.0204	0.0229	0.0167	0.0199	0.0199	0.0206	0.0244	0.0152	0.0201
lower0_perm_direct	-0.0094	-0.0031	-0.0035	-0.0027	-0.0034	-0.0031	-0.0038	-0.0035	-0.0025	-0.0027	-0.0019	-0.0028	-0.0029	-0.0025	-0.0031	-0.0028	-0.0025	-0.0025	-0.0025	-0.0026	-0.0032	-0.0022	-0.003	-0.0026	-0.0023	-0.0025	-0.0025	-0.0022	-0.0029	-0.0026	-0.0027	-0.0025	-0.0026	-0.0023	-0.0024	-0.0024	-0.0029	-0.002	-0.0022	-0.003	-0.0024	-0.0023	-0.0023	-0.0029	-0.0026	-0.0026	-0.002	-0.002	-0.0023	-0.0023	-0.0025	-0.0026	-0.0026	-0.0023	-0.0023	-0.0023	-0.0023	-0.0025	-0.0024	-0.0019	-0.0025	-0.0023	-0.0026	-0.0032	-0.002	-0.0024	-0.0024	-0.0022	-0.0023	-0.0023	-0.0023	-0.0024	-0.0021	-0.0023	-0.0021	-0.0024	-0.0026	-0.0022	-0.0025	-0.0023	-0.0023	-0.0028	-0.0016	-0.0016	-0.0028	-0.0025	-0.0025	-0.0023	-0.0021	-0.0024	-0.0019	-0.002	-0.0021	-0.0019	-0.0022	-0.0017	-0.0024	-0.0027	-0.0024	-0.0022
sad_vc_estimate	0.077	0.0029	0.0592	-0.0024	0.0022	0.0133	0.0141	-0.002	0.044	0.0021	-0.0008	0.0114	0.0034	0.0041	-0.0026	-0.0	0.0295	0.0327	0.0078	-0.0005	0.0309	-0.0003	0.0354	0.0118	0.0685	-0.0018	0.0292	-0.0003	0.0467	0.0105	0.04	0.0253	-0.0015	0.0378	0.0055	0.0252	0.0058	0.0064	0.0157	0.0064	0.0262	-0.0006	0.0074	0.04	0.0038	0.0023	0.0233	0.0505	0.0048	0.0159	0.0857	0.0044	0.0322	-0.0017	0.0008	-0.0019	0.0061	-0.0011	0.0524	-0.0005	-0.0009	0.0178	0.0279	0.0157	0.0508	0.0159	-0.0018	0.0019	0.0135	0.0158	0.017	0.0022	0.0009	-0.0002	-0.0009	-0.0009	0.0165	0.004	-0.0016	0.041	-0.001	0.0051	0.001	0.0	0.017	0.0057	0.0057	0.0175	0.0212	0.0311	0.0396	0.0004	0.0573	0.0323	-0.0012	0.0062	-0.0016	0.0043	-0.0001	0.015
sad_vc_estimate_se	0.0286	0.0092	0.01	0.0081	0.0099	0.0081	0.011	0.0093	0.0076	0.008	0.0054	0.0082	0.008	0.0071	0.009	0.0078	0.0075	0.0071	0.0072	0.0077	0.009	0.0062	0.0085	0.0075	0.0065	0.0071	0.0071	0.0063	0.0084	0.0075	0.0077	0.0064	0.0073	0.0066	0.0064	0.0069	0.0077	0.0058	0.0064	0.0087	0.0068	0.0065	0.0065	0.0076	0.007	0.0075	0.0055	0.0056	0.0068	0.0062	0.0072	0.0076	0.0072	0.0066	0.0069	0.0068	0.0064	0.0073	0.0065	0.0055	0.0071	0.0068	0.0072	0.0083	0.0058	0.0069	0.007	0.0062	0.0068	0.0063	0.0068	0.0069	0.0062	0.0068	0.0059	0.007	0.0071	0.0062	0.0073	0.0067	0.0067	0.0073	0.0048	0.0049	0.008	0.0072	0.007	0.0067	0.0061	0.0068	0.0056	0.0057	0.0063	0.0049	0.0061	0.0052	0.0068	0.0076	0.0067	0.0063
sad_vc_pvals	0.325	0.596	0.151	0.967	0.579	0.428	0.49	0.873	0.096	0.659	0.769	0.374	0.557	0.498	0.99	0.698	0.159	0.075	0.445	0.75	0.335	0.707	0.147	0.328	0.016	0.89	0.106	0.708	0.093	0.302	0.053	0.191	0.849	0.068	0.535	0.157	0.416	0.4	0.287	0.494	0.117	0.71	0.361	0.054	0.57	0.606	0.068	0.01	0.514	0.158	0.008	0.578	0.063	0.894	0.633	0.921	0.462	0.769	0.031	0.766	0.78	0.202	0.15	0.318	0.022	0.164	0.893	0.575	0.261	0.155	0.224	0.576	0.695	0.665	0.801	0.752	0.19	0.493	0.831	0.13	0.805	0.505	0.609	0.679	0.238	0.406	0.408	0.223	0.283	0.114	0.061	0.647	0.053	0.047	0.842	0.38	0.847	0.503	0.655	0.277
upper95_perm_sad	0.2836	0.0676	0.1023	0.0698	0.0696	0.0776	0.0806	0.075	0.0629	0.0849	0.0368	0.0584	0.0656	0.0452	0.0757	0.061	0.0578	0.0401	0.0692	0.0555	0.111	0.0397	0.0661	0.0511	0.0485	0.0488	0.0425	0.0382	0.0602	0.0393	0.0413	0.0681	0.0519	0.045	0.0567	0.0486	0.0433	0.0414	0.0552	0.0596	0.0425	0.0343	0.038	0.0423	0.0623	0.0492	0.027	0.0259	0.0522	0.0325	0.0487	0.0761	0.0363	0.0488	0.0428	0.0408	0.0514	0.0408	0.0427	0.0384	0.0563	0.0416	0.0514	0.0691	0.0351	0.0325	0.0475	0.0432	0.0472	0.0306	0.0485	0.0453	0.0664	0.0401	0.042	0.0517	0.0428	0.0431	0.0465	0.0642	0.0482	0.0556	0.0387	0.0303	0.0515	0.038	0.0463	0.0507	0.0595	0.048	0.0464	0.0321	0.0612	0.0323	0.0428	0.0401	0.0501	0.05	0.0414	0.053
lower0_perm_sad	-0.0098	-0.0033	-0.0034	-0.0028	-0.0035	-0.0027	-0.0038	-0.0032	-0.0027	-0.0029	-0.0021	-0.0029	-0.0028	-0.0025	-0.0031	-0.0026	-0.0027	-0.0024	-0.0024	-0.0027	-0.003	-0.0024	-0.0029	-0.0027	-0.0022	-0.0027	-0.0023	-0.0024	-0.0028	-0.0027	-0.0027	-0.0025	-0.0025	-0.0024	-0.0024	-0.0025	-0.0027	-0.0022	-0.0022	-0.0031	-0.0024	-0.0022	-0.0023	-0.0025	-0.0025	-0.0027	-0.0019	-0.002	-0.0025	-0.0022	-0.0024	-0.0026	-0.0026	-0.0024	-0.0024	-0.0024	-0.0023	-0.0027	-0.0022	-0.0019	-0.0025	-0.0024	-0.0024	-0.0032	-0.002	-0.0024	-0.0024	-0.0021	-0.0024	-0.0023	-0.0023	-0.0024	-0.0021	-0.0023	-0.0021	-0.0025	-0.0028	-0.0024	-0.0027	-0.0023	-0.0023	-0.0026	-0.0019	-0.0017	-0.0029	-0.0025	-0.0027	-0.0023	-0.0022	-0.0023	-0.002	-0.0019	-0.0021	-0.0019	-0.0021	-0.0019	-0.0024	-0.0027	-0.0023	-0.0022
