	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.0264	0.0186	0.0016	-0.0031	-0.0013	-0.0036	-0.0061	0.0114	0.008	0.0019	0.0463	-0.0031	-0.0029	0.0008	0.0047	-0.0018	-0.0019	-0.0026	0.0042	-0.003	0.0056	0.008	-0.0037	-0.0025	0.0132	0.0079	-0.0006	-0.004	-0.0009	0.0044	-0.0025	-0.0004	0.0249	0.0035	-0.0024	-0.0015	0.001	0.0073	0.0022	0.0009	-0.0017	0.0307	0.0067	-0.0027	0.0311	0.0122	0.0121	-0.0002	0.0092	0.0022	0.0011	-0.0009	-0.0006	0.0407	-0.0016	0.0173	-0.0019	0.0097	-0.0047	0.0063	-0.0	-0.0016	0.0031	0.0041	0.0152	-0.0016	-0.0002	-0.0006	0.0195	0.03	-0.0035	0.0115	-0.0027	-0.0022	-0.0038	0.0101	-0.0	0.005	-0.0034	0.0184	-0.0027	-0.0023	0.017	-0.0027	0.0001	0.0131	0.0112	0.0019	-0.0029	-0.003	-0.0027	-0.0033	0.0073	-0.0015	0.0084	0.0017	-0.0029	0.0138	-0.0021	-0.0002
direct_vc_estimate_se	0.0124	0.0055	0.0057	0.0037	0.0029	0.0043	0.0072	0.0033	0.0037	0.0044	0.0072	0.0037	0.0036	0.0036	0.0037	0.0029	0.006	0.003	0.0032	0.0038	0.0031	0.0043	0.0047	0.0037	0.0047	0.003	0.0029	0.0049	0.0034	0.0039	0.0029	0.0043	0.003	0.003	0.0029	0.0033	0.0032	0.0038	0.0033	0.0061	0.0029	0.0079	0.0042	0.0033	0.0064	0.0027	0.0028	0.0027	0.004	0.0035	0.0045	0.003	0.0028	0.0032	0.0048	0.0033	0.0035	0.0078	0.0054	0.003	0.0055	0.0027	0.0032	0.0041	0.003	0.0029	0.0026	0.0027	0.0054	0.0055	0.0045	0.0069	0.0035	0.0031	0.0044	0.0025	0.0068	0.0027	0.0039	0.0029	0.0031	0.0028	0.006	0.0031	0.0037	0.0027	0.0078	0.0032	0.0033	0.0037	0.0032	0.004	0.0039	0.0032	0.0026	0.0031	0.0033	0.0028	0.0027	0.0033
direct_vc_pvals	0.154	0.125	0.335	0.89	0.634	0.884	0.885	0.153	0.137	0.303	0.012	0.887	0.851	0.388	0.226	0.736	0.561	0.916	0.24	0.818	0.199	0.191	0.831	0.71	0.073	0.132	0.503	0.855	0.517	0.226	0.982	0.459	0.012	0.284	0.899	0.559	0.41	0.228	0.323	0.399	0.695	0.032	0.174	0.818	0.037	0.064	0.092	0.475	0.133	0.353	0.379	0.517	0.55	0.001	0.507	0.04	0.626	0.172	0.944	0.151	0.389	0.695	0.262	0.226	0.095	0.599	0.529	0.488	0.047	0.031	0.794	0.126	0.749	0.739	0.953	0.066	0.373	0.204	0.949	0.021	0.925	0.906	0.088	0.994	0.422	0.048	0.171	0.311	0.939	0.871	0.903	0.859	0.149	0.628	0.121	0.306	0.953	0.068	0.814	0.513
upper95_perm_direct	0.0725	0.0486	0.0283	0.0248	0.0258	0.0316	0.0386	0.0292	0.0209	0.0233	0.0378	0.0311	0.0237	0.0255	0.0216	0.0321	0.0349	0.0248	0.0223	0.0238	0.023	0.0277	0.0286	0.0245	0.0208	0.0214	0.0202	0.0345	0.0211	0.0241	0.0217	0.0256	0.0222	0.0236	0.023	0.0195	0.0253	0.0301	0.0226	0.0271	0.0245	0.0368	0.0233	0.0248	0.0373	0.02	0.0237	0.0195	0.0251	0.0285	0.0292	0.0207	0.0263	0.0204	0.0226	0.022	0.0197	0.0369	0.0281	0.0183	0.0267	0.0192	0.0219	0.0219	0.0291	0.0197	0.0235	0.0167	0.0256	0.0319	0.0286	0.0278	0.0269	0.0204	0.0257	0.016	0.0289	0.02	0.0269	0.0176	0.0208	0.0243	0.0351	0.0191	0.0243	0.0173	0.0351	0.0176	0.0214	0.0226	0.0174	0.0213	0.0213	0.0238	0.02	0.0214	0.0257	0.0227	0.0172	0.0206
lower0_perm_direct	-0.0178	-0.008	-0.0082	-0.0051	-0.0039	-0.0061	-0.0102	-0.0046	-0.0052	-0.0061	-0.0099	-0.0053	-0.0052	-0.005	-0.0053	-0.0041	-0.0085	-0.0042	-0.0046	-0.0054	-0.0042	-0.0065	-0.0071	-0.0053	-0.0067	-0.0041	-0.0041	-0.0071	-0.0047	-0.0055	-0.0041	-0.006	-0.0044	-0.0043	-0.0041	-0.005	-0.0045	-0.0053	-0.0047	-0.0088	-0.0041	-0.0114	-0.0058	-0.0046	-0.0089	-0.0039	-0.0041	-0.0038	-0.0057	-0.0048	-0.0064	-0.0042	-0.004	-0.0046	-0.0068	-0.0051	-0.005	-0.0112	-0.0078	-0.0044	-0.0077	-0.004	-0.0046	-0.0057	-0.0044	-0.004	-0.0036	-0.0038	-0.0076	-0.0083	-0.0066	-0.0097	-0.0049	-0.0043	-0.0063	-0.0036	-0.0101	-0.0038	-0.0056	-0.0041	-0.0044	-0.004	-0.0086	-0.0045	-0.0051	-0.0038	-0.0111	-0.0044	-0.0048	-0.0052	-0.0044	-0.0056	-0.0056	-0.0046	-0.0038	-0.0045	-0.0046	-0.004	-0.0039	-0.0047
sad_vc_estimate	0.2361	0.0612	0.0401	0.0026	-0.0005	0.0038	-0.0062	0.0098	0.0119	0.0104	0.0851	-0.0032	-0.0031	-0.0026	-0.0003	0.0001	0.0066	-0.0004	0.0063	-0.0	0.0042	0.0051	0.0054	-0.0007	0.0059	0.0213	0.0006	0.0197	-0.0028	0.0043	-0.0018	0.0093	0.0381	-0.0017	-0.0024	-0.001	0.001	0.006	0.0073	0.0131	-0.0023	0.0762	0.011	-0.0026	0.0656	0.011	0.0342	0.0013	0.0136	-0.003	-0.0018	0.0056	0.0019	0.0554	-0.0037	0.0232	-0.0029	0.0182	-0.0047	0.0176	-0.0003	0.001	0.0108	0.0066	0.0222	0.0093	0.0027	0.0103	0.0127	0.0898	0.0035	0.0056	-0.0024	-0.0026	-0.0037	0.0	-0.0021	-0.0015	-0.0009	0.0279	-0.002	-0.0016	0.02	0.0038	0.0109	0.013	0.0356	0.0029	-0.0029	-0.0026	-0.0028	-0.0035	-0.0023	-0.0024	0.0235	0.0349	-0.0004	0.0435	0.0005	-0.0017
sad_vc_estimate_se	0.0125	0.0055	0.0057	0.0037	0.0029	0.0044	0.0073	0.0033	0.0038	0.0044	0.0072	0.0038	0.0036	0.0036	0.0037	0.003	0.006	0.0031	0.0032	0.0038	0.0031	0.0043	0.0047	0.0038	0.0047	0.003	0.0029	0.0049	0.0034	0.0039	0.0029	0.0043	0.0031	0.0031	0.0029	0.0034	0.0032	0.0038	0.0034	0.0062	0.0029	0.008	0.0042	0.0033	0.0064	0.0027	0.0029	0.0028	0.0041	0.0036	0.0045	0.003	0.0029	0.0033	0.0049	0.0034	0.0035	0.0078	0.0055	0.003	0.0055	0.0028	0.0033	0.0041	0.0031	0.0029	0.0026	0.0027	0.0054	0.0056	0.0046	0.007	0.0036	0.0031	0.0044	0.0026	0.0069	0.0028	0.004	0.003	0.0031	0.0028	0.0061	0.0032	0.0037	0.0027	0.0079	0.0033	0.0034	0.0037	0.0032	0.004	0.0039	0.0033	0.0027	0.0032	0.0033	0.0028	0.0027	0.0034
sad_vc_pvals	0.01	0.066	0.032	0.4	0.67	0.429	0.92	0.346	0.226	0.263	0.028	0.924	0.981	0.804	0.575	0.624	0.322	0.652	0.364	0.585	0.416	0.42	0.381	0.583	0.319	0.119	0.554	0.221	0.866	0.378	0.767	0.258	0.017	0.768	0.923	0.622	0.552	0.399	0.308	0.212	0.905	0.011	0.212	0.87	0.024	0.186	0.047	0.498	0.207	0.918	0.651	0.33	0.479	0.018	0.803	0.105	0.895	0.163	0.938	0.115	0.571	0.497	0.179	0.316	0.133	0.228	0.481	0.214	0.164	0.005	0.423	0.303	0.803	0.899	0.906	0.563	0.584	0.734	0.619	0.039	0.756	0.776	0.173	0.399	0.236	0.156	0.07	0.413	0.947	0.785	1.0	0.97	0.716	0.825	0.069	0.018	0.649	0.022	0.542	0.755
upper95_perm_sad	0.184	0.0984	0.0498	0.0446	0.0502	0.055	0.0722	0.0652	0.0488	0.0534	0.0948	0.0627	0.0435	0.0433	0.0469	0.0576	0.0587	0.0481	0.0556	0.051	0.0506	0.063	0.049	0.0388	0.0473	0.0473	0.0433	0.0727	0.0349	0.0461	0.0474	0.0506	0.0361	0.0481	0.0375	0.0423	0.0562	0.0558	0.0431	0.0505	0.0463	0.0621	0.0468	0.0532	0.0672	0.0386	0.0457	0.0414	0.0495	0.0534	0.0444	0.0378	0.0456	0.0524	0.0457	0.0472	0.0457	0.0572	0.0417	0.0388	0.0563	0.0365	0.0339	0.0417	0.0462	0.0385	0.0425	0.0432	0.0384	0.0546	0.0522	0.0438	0.0516	0.0392	0.0462	0.0317	0.0634	0.0326	0.0513	0.034	0.0459	0.0568	0.0638	0.043	0.0445	0.0401	0.0581	0.0374	0.0447	0.0418	0.0401	0.0453	0.0434	0.0428	0.0359	0.0354	0.0586	0.0448	0.0398	0.0483
lower0_perm_sad	-0.0173	-0.0078	-0.0081	-0.0053	-0.0041	-0.0062	-0.0103	-0.0047	-0.0054	-0.0063	-0.0108	-0.0054	-0.0055	-0.0052	-0.0052	-0.0042	-0.0086	-0.0044	-0.0045	-0.0054	-0.0044	-0.0062	-0.0068	-0.0054	-0.0067	-0.0043	-0.0041	-0.007	-0.0049	-0.0059	-0.0042	-0.006	-0.0042	-0.0043	-0.004	-0.0046	-0.0045	-0.0054	-0.0047	-0.0085	-0.0042	-0.0111	-0.0062	-0.0047	-0.0095	-0.0039	-0.0039	-0.0038	-0.0058	-0.0049	-0.0063	-0.0042	-0.004	-0.0046	-0.0066	-0.0049	-0.0049	-0.011	-0.0082	-0.0042	-0.0076	-0.0039	-0.0046	-0.0063	-0.0043	-0.0041	-0.0036	-0.0039	-0.0078	-0.0076	-0.0064	-0.0099	-0.005	-0.0044	-0.0062	-0.0036	-0.0098	-0.0037	-0.006	-0.0042	-0.0046	-0.0039	-0.0084	-0.0044	-0.0051	-0.0038	-0.0111	-0.0046	-0.0046	-0.0053	-0.0045	-0.0058	-0.0056	-0.0047	-0.0037	-0.0045	-0.0046	-0.0039	-0.0038	-0.0047
