	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.2527	0.0508	0.0257	0.0081	0.0004	0.0083	0.0233	-0.0002	0.0004	0.0016	0.0055	0.0003	0.0005	0.0109	0.0011	0.0009	0.0001	-0.0	0.0158	0.0008	0.0019	-0.0	0.0044	0.0013	0.0008	0.0212	-0.0001	0.0004	0.0102	0.0063	-0.0002	0.0017	0.0001	0.0072	0.0048	0.0019	0.0053	0.0023	0.0002	0.0111	0.0007	0.0008	0.0015	-0.0001	0.0022	0.0008	-0.0006	0.0008	0.0009	0.0007	0.0012	0.0	0.002	0.0001	0.0163	0.007	0.0028	0.0159	-0.0001	-0.0001	0.002	0.0001	-0.0001	0.0057	0.0007	0.0	-0.0001	0.0116	0.0058	-0.0006	0.0021	-0.0004	0.0118	0.0004	0.0027	0.0004	0.0017	0.0007	0.0008	-0.0001	0.0001	0.0013	0.0073	0.0004	0.0054	0.0015	-0.0001	0.0022	0.0056	0.0036	0.0023	0.0052	0.002	0.0003	0.0046	-0.0001	0.0028	0.0045	0.0059	0.007
direct_vc_estimate_se	0.0021	0.0008	0.0005	0.0005	0.0003	0.0004	0.0007	0.0005	0.0003	0.0011	0.0013	0.0003	0.0006	0.0004	0.0003	0.0009	0.0004	0.0002	0.001	0.0004	0.0003	0.0002	0.0008	0.0003	0.0006	0.001	0.0003	0.0003	0.0002	0.0009	0.0004	0.0004	0.0003	0.0003	0.0004	0.0007	0.0006	0.0003	0.0003	0.0005	0.0003	0.0003	0.0004	0.0003	0.0005	0.0003	0.0015	0.0004	0.0004	0.001	0.0003	0.0003	0.0003	0.0004	0.0003	0.0003	0.0005	0.001	0.0006	0.0003	0.0004	0.0004	0.0002	0.0004	0.0005	0.0003	0.0003	0.0004	0.0005	0.0015	0.0003	0.0011	0.0005	0.0009	0.0006	0.0003	0.0005	0.0003	0.0009	0.0002	0.0004	0.0002	0.0004	0.0003	0.0005	0.0003	0.0002	0.0004	0.0003	0.0014	0.0002	0.0002	0.0004	0.0004	0.0015	0.0003	0.0004	0.0004	0.0004	0.0008
direct_vc_pvals	0.02	0.066	0.01	0.205	0.721	0.08	0.042	0.846	0.591	0.405	0.04	0.668	0.486	0.246	0.368	0.256	0.78	0.849	0.007	0.36	0.13	0.676	0.396	0.497	0.415	0.001	0.999	0.504	0.019	0.521	0.985	0.265	0.721	0.236	0.287	0.542	0.151	0.223	0.871	0.056	0.786	0.616	0.339	0.968	0.149	0.285	0.906	0.521	0.326	0.095	0.535	0.654	0.435	0.838	0.012	0.13	0.187	0.039	0.771	0.949	0.123	0.749	1.0	0.03	0.281	0.691	0.941	0.027	0.068	0.954	0.161	0.955	0.059	0.34	0.304	0.656	0.421	0.408	0.507	0.978	0.506	0.474	0.262	0.348	0.082	0.296	0.989	0.285	0.045	0.058	0.117	0.141	0.203	0.764	0.177	0.878	0.356	0.215	0.208	0.034
upper95_perm_direct	0.3665	0.091	0.0294	0.0271	0.0179	0.0167	0.0388	0.006	0.0106	0.0138	0.0092	0.0074	0.0086	0.0353	0.0095	0.0048	0.0121	0.0097	0.019	0.0066	0.0051	0.0018	0.0181	0.015	0.0076	0.0211	0.0103	0.0071	0.0139	0.0306	0.0085	0.0085	0.0086	0.0216	0.0213	0.0203	0.014	0.0084	0.0248	0.02	0.0193	0.015	0.0105	0.0058	0.0057	0.0047	0.0092	0.0085	0.0059	0.0018	0.0194	0.0035	0.0159	0.0077	0.0165	0.0195	0.0081	0.0261	0.0101	0.0075	0.0057	0.014	0.0151	0.0078	0.0044	0.0049	0.0045	0.0181	0.0108	0.012	0.0077	0.0128	0.0206	0.0042	0.0127	0.0105	0.0142	0.0061	0.0097	0.0061	0.0037	0.0096	0.0261	0.0031	0.0109	0.0078	0.0086	0.0126	0.0089	0.0065	0.0058	0.0121	0.0068	0.0166	0.0157	0.0088	0.0148	0.0152	0.0176	0.0103
lower0_perm_direct	-0.002	-0.0007	-0.0004	-0.0004	-0.0003	-0.0003	-0.0006	-0.0004	-0.0003	-0.001	-0.0012	-0.0003	-0.0007	-0.0003	-0.0003	-0.0009	-0.0004	-0.0002	-0.001	-0.0004	-0.0003	-0.0002	-0.0006	-0.0003	-0.0005	-0.0009	-0.0003	-0.0003	-0.0002	-0.0007	-0.0003	-0.0004	-0.0002	-0.0002	-0.0004	-0.0007	-0.0006	-0.0002	-0.0003	-0.0005	-0.0002	-0.0003	-0.0004	-0.0003	-0.0005	-0.0003	-0.0015	-0.0004	-0.0004	-0.001	-0.0002	-0.0002	-0.0002	-0.0004	-0.0003	-0.0003	-0.0004	-0.0009	-0.0006	-0.0003	-0.0003	-0.0003	-0.0002	-0.0004	-0.0005	-0.0003	-0.0003	-0.0003	-0.0005	-0.0014	-0.0003	-0.0009	-0.0005	-0.0009	-0.0006	-0.0002	-0.0005	-0.0003	-0.0008	-0.0002	-0.0004	-0.0002	-0.0004	-0.0002	-0.0005	-0.0003	-0.0002	-0.0003	-0.0003	-0.0013	-0.0002	-0.0002	-0.0003	-0.0003	-0.0013	-0.0002	-0.0004	-0.0004	-0.0004	-0.0007
sad_vc_estimate	0.7963	0.2494	0.105	0.0324	0.0054	0.0333	0.0647	0.0003	-0.0001	0.0015	0.0501	0.0009	-0.0002	0.0329	0.0001	0.0116	-0.0001	0.0005	0.0519	0.0029	0.0023	0.0006	0.0052	0.0017	0.0037	0.0764	-0.0001	0.0014	0.0218	0.0314	-0.0001	0.0039	-0.0001	0.0192	0.0101	0.0045	0.0111	0.0033	0.0003	0.0275	0.0089	0.0039	0.0074	0.0009	0.0094	0.0035	0.0058	0.009	0.001	0.0052	0.0032	0.0003	0.0112	0.0017	0.0311	0.0234	0.0152	0.0378	0.0005	0.001	0.0114	0.0001	0.0003	0.0271	0.0078	-0.0	0.0008	0.0379	0.0156	-0.0006	0.0036	0.0043	0.0326	0.0091	0.0289	0.0043	0.0006	0.0005	0.0003	-0.0001	-0.0001	0.0022	0.0113	0.0012	0.0041	0.0038	0.0003	0.0087	0.0087	0.0061	0.0045	0.0203	0.0119	0.0034	0.0157	0.0011	0.0071	0.0255	0.0112	0.026
sad_vc_estimate_se	0.0022	0.0008	0.0005	0.0005	0.0003	0.0004	0.0007	0.0005	0.0003	0.0011	0.0013	0.0004	0.0007	0.0004	0.0003	0.0009	0.0004	0.0002	0.001	0.0004	0.0003	0.0002	0.0008	0.0003	0.0006	0.001	0.0003	0.0003	0.0002	0.0009	0.0004	0.0004	0.0003	0.0003	0.0004	0.0008	0.0007	0.0003	0.0003	0.0005	0.0003	0.0003	0.0004	0.0003	0.0005	0.0003	0.0015	0.0004	0.0004	0.001	0.0003	0.0003	0.0003	0.0004	0.0003	0.0004	0.0005	0.001	0.0006	0.0003	0.0004	0.0004	0.0002	0.0004	0.0005	0.0003	0.0003	0.0004	0.0005	0.0015	0.0004	0.0011	0.0005	0.0009	0.0006	0.0003	0.0005	0.0003	0.0009	0.0002	0.0004	0.0002	0.0004	0.0003	0.0005	0.0003	0.0002	0.0004	0.0003	0.0014	0.0002	0.0002	0.0004	0.0004	0.0015	0.0003	0.0004	0.0004	0.0004	0.0008
sad_vc_pvals	0.005	0.005	0.006	0.154	0.478	0.047	0.039	0.682	0.949	0.662	0.013	0.677	0.95	0.206	0.79	0.036	0.989	0.749	0.007	0.413	0.33	0.535	0.721	0.672	0.363	0.0	0.934	0.517	0.064	0.293	0.948	0.346	0.977	0.347	0.372	0.609	0.264	0.506	0.899	0.057	0.515	0.467	0.291	0.557	0.102	0.288	0.259	0.237	0.547	0.069	0.576	0.681	0.28	0.67	0.061	0.089	0.031	0.052	0.79	0.676	0.043	0.849	0.864	0.004	0.112	0.863	0.61	0.014	0.072	0.987	0.282	0.419	0.099	0.094	0.076	0.386	0.784	0.652	0.788	0.97	0.908	0.497	0.497	0.369	0.402	0.27	0.782	0.286	0.113	0.211	0.125	0.084	0.153	0.649	0.193	0.671	0.445	0.117	0.359	0.019
upper95_perm_sad	1.0463	0.2948	0.1057	0.0916	0.0468	0.0535	0.0997	0.0183	0.037	0.042	0.0603	0.0223	0.0332	0.0937	0.0243	0.0179	0.0329	0.0316	0.0517	0.0259	0.0138	0.0096	0.0554	0.0517	0.0257	0.0657	0.0291	0.0211	0.0393	0.089	0.035	0.0211	0.0283	0.0713	0.055	0.0687	0.0484	0.0394	0.0661	0.0488	0.0559	0.0417	0.0342	0.0145	0.0194	0.0173	0.0269	0.033	0.0187	0.0105	0.0618	0.0155	0.045	0.0274	0.0546	0.0518	0.0223	0.0653	0.0308	0.0247	0.0171	0.0388	0.0579	0.0255	0.0198	0.0133	0.0147	0.0492	0.0285	0.0357	0.0214	0.0401	0.0688	0.0206	0.0567	0.0273	0.0557	0.0219	0.0299	0.0324	0.0121	0.0246	0.0753	0.0102	0.0248	0.0183	0.0337	0.051	0.0219	0.0223	0.0112	0.0403	0.0337	0.0552	0.0555	0.0292	0.0668	0.0627	0.0552	0.0338
lower0_perm_sad	-0.002	-0.0006	-0.0004	-0.0004	-0.0003	-0.0003	-0.0006	-0.0004	-0.0003	-0.001	-0.0012	-0.0003	-0.0006	-0.0004	-0.0003	-0.0009	-0.0004	-0.0002	-0.0009	-0.0003	-0.0003	-0.0002	-0.0008	-0.0003	-0.0005	-0.0008	-0.0002	-0.0003	-0.0002	0.0001	-0.0004	-0.0003	-0.0002	-0.0002	-0.0004	-0.0007	-0.0006	-0.0002	-0.0003	-0.0005	-0.0002	-0.0003	-0.0004	-0.0003	-0.0005	-0.0003	-0.0015	-0.0003	-0.0003	-0.0009	-0.0002	-0.0003	-0.0002	-0.0004	-0.0003	-0.0003	-0.0005	-0.0009	-0.0006	-0.0002	-0.0003	-0.0004	-0.0002	-0.0003	-0.0005	-0.0003	-0.0002	-0.0003	-0.0005	-0.0014	-0.0003	-0.001	-0.0004	-0.0009	-0.0006	-0.0002	-0.0004	-0.0003	-0.0008	-0.0002	-0.0004	-0.0002	-0.0004	-0.0002	-0.0005	-0.0003	-0.0002	-0.0003	-0.0003	-0.0013	-0.0002	-0.0002	-0.0003	-0.0003	-0.0014	-0.0003	-0.0003	-0.0004	-0.0004	-0.0008
