	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.1726	-0.0108	-0.0168	0.0969	-0.0234	-0.0003	0.2623	0.3206	0.0378	-0.0156	0.0998	-0.0382	-0.0255	-0.016	0.0302	-0.0378	-0.019	-0.0232	-0.0127	-0.0188	0.0337	-0.0169	-0.0134	-0.0181	-0.0232	-0.0238	0.0056	0.0052	0.1615	-0.0117	-0.036	0.0253	-0.012	0.0597	-0.0187	0.0002	-0.0332	-0.0341	-0.0308	0.0214	0.012	-0.0026	-0.0371	-0.0166	-0.0133	0.0062	0.0133	-0.0221	0.0365	-0.0071	-0.0357	0.0517	0.0021	-0.0453	-0.014	-0.0217	0.0398	-0.0055	0.1919	-0.0163	0.0268	0.0056	0.0578	-0.0062	0.1031	-0.0196	0.0539	-0.0581	0.025	-0.0334	-0.0121	-0.0027	-0.0003	0.0279	-0.0192	-0.0084	-0.0155	-0.0067	-0.006	-0.0113	-0.0062	0.0733	0.0888	-0.0197	-0.0152	0.0813	0.0201	-0.0076	-0.0308	0.0075	0.1493	-0.0143	0.0523	0.043	-0.0265	-0.0078	0.0535	-0.0146	-0.0173	-0.0202
direct_vc_estimate_se	0.2493	0.0856	0.1416	0.1313	0.0794	0.0834	0.1483	0.0633	0.074	0.0611	0.0792	0.1799	0.0986	0.1169	0.0636	0.1271	0.0722	0.1051	0.0567	0.064	0.1149	0.0662	0.2081	0.0816	0.0779	0.0953	0.0829	0.0718	0.0777	0.0779	0.1271	0.0566	0.1122	0.0965	0.0628	0.1033	0.1135	0.1389	0.1034	0.1036	0.0763	0.0594	0.1285	0.0689	0.1153	0.0745	0.08	0.1416	0.1784	0.0963	0.1264	0.0663	0.0665	0.1546	0.0562	0.0872	0.0536	0.061	0.1431	0.2394	0.0582	0.0515	0.0549	0.0622	0.1114	0.0711	0.1346	0.3364	0.0875	0.1328	0.1574	0.0917	0.0982	0.0813	0.0766	0.0546	0.089	0.0793	0.0782	0.0859	0.0567	0.0772	0.1336	0.0662	0.0798	0.2328	0.0812	0.1296	0.1214	0.0738	0.0513	0.0641	0.2475	0.0838	0.0891	0.0845	0.1278	0.0789	0.1106	0.1321
direct_vc_pvals	0.128	0.545	0.545	0.076	0.929	0.403	0.009	0.001	0.19	0.75	0.042	0.518	0.75	0.504	0.199	0.967	0.804	0.663	0.723	0.921	0.227	0.717	0.453	0.673	0.979	0.703	0.394	0.406	0.023	0.49	0.814	0.217	0.554	0.136	0.965	0.41	0.866	0.639	0.993	0.306	0.321	0.464	0.854	0.719	0.438	0.306	0.32	0.518	0.28	0.464	0.82	0.128	0.431	0.907	0.753	0.757	0.126	0.508	0.031	0.545	0.184	0.324	0.082	0.536	0.05	0.84	0.129	0.754	0.256	0.742	0.502	0.415	0.411	0.178	0.711	0.57	0.516	0.456	0.397	0.551	0.514	0.087	0.024	0.99	0.546	0.178	0.26	0.395	0.713	0.334	0.007	0.697	0.257	0.112	0.977	0.403	0.072	0.604	0.542	0.565
upper95_perm_direct	0.4006	0.1738	0.1969	0.1445	0.1157	0.131	0.1717	0.1396	0.1221	0.0941	0.1101	0.1093	0.151	0.1521	0.1169	0.1678	0.1603	0.1437	0.1129	0.11	0.1524	0.1109	0.2084	0.1385	0.1282	0.1281	0.1382	0.1436	0.1325	0.0905	0.1168	0.1009	0.1831	0.1529	0.0984	0.1445	0.0988	0.0784	0.135	0.1656	0.1173	0.0961	0.0967	0.1083	0.1073	0.1148	0.1304	0.1479	0.2084	0.1311	0.1385	0.1259	0.1212	0.1007	0.1083	0.1322	0.0933	0.1059	0.1967	0.2302	0.0954	0.0805	0.0888	0.1131	0.1222	0.1205	0.1309	0.3324	0.1435	0.1762	0.1878	0.1315	0.1401	0.0994	0.0894	0.0935	0.0906	0.1129	0.0903	0.1321	0.0913	0.1251	0.0756	0.1255	0.0901	0.2159	0.1233	0.124	0.1262	0.1223	0.0868	0.1029	0.2184	0.0868	0.1031	0.072	0.0834	0.1265	0.1347	0.1505
lower0_perm_direct	-0.1045	-0.0363	-0.0583	-0.0528	-0.0337	-0.0362	-0.0641	-0.0262	-0.0306	-0.0273	-0.0356	-0.0781	-0.0443	-0.0502	-0.0273	-0.0541	-0.0298	-0.0452	-0.0232	-0.0288	-0.0465	-0.0287	-0.0936	-0.036	-0.0313	-0.0417	-0.0364	-0.0298	-0.0323	-0.0337	-0.0544	-0.0238	-0.0456	-0.04	-0.0267	-0.0464	-0.0498	-0.0587	-0.0434	-0.0423	-0.0303	-0.0254	-0.0559	-0.0291	-0.051	-0.0317	-0.0346	-0.0601	-0.0767	-0.0415	-0.0531	-0.0282	-0.0281	-0.0641	-0.0238	-0.0364	-0.022	-0.0271	-0.06	-0.0994	-0.025	-0.0222	-0.024	-0.0247	-0.0473	-0.0302	-0.0583	-0.14	-0.0361	-0.0569	-0.0645	-0.039	-0.0399	-0.0362	-0.0321	-0.0227	-0.038	-0.033	-0.0337	-0.036	-0.0234	-0.0344	-0.0581	-0.0272	-0.0332	-0.0962	-0.0361	-0.0564	-0.0524	-0.0304	-0.0221	-0.0267	-0.1036	-0.0367	-0.0381	-0.0353	-0.054	-0.032	-0.049	-0.0562
sad_vc_estimate	0.0481	0.0088	-0.0396	0.1548	-0.0236	-0.0161	0.3582	0.3687	0.0438	0.0048	0.0955	-0.0288	-0.0256	0.0086	0.0115	-0.0379	-0.0209	-0.0275	-0.0145	-0.0189	0.0818	-0.0119	-0.03	-0.0154	-0.0231	0.0003	0.033	-0.0059	0.3329	-0.0184	-0.0315	0.0205	-0.0085	0.0823	-0.0187	0.0348	-0.0331	-0.0284	-0.0261	0.0095	0.0123	-0.0037	-0.029	-0.0198	-0.016	0.0005	0.0445	-0.0383	0.0224	-0.0149	-0.0108	0.0402	0.0237	-0.0458	-0.0152	0.0021	0.0293	-0.009	0.3439	0.0144	0.0206	0.0509	0.0642	0.0037	0.1424	-0.0199	0.062	-0.0517	0.0603	-0.0396	-0.0224	-0.0001	-0.0113	0.0398	-0.0226	-0.0028	-0.012	-0.0142	-0.0033	-0.0085	-0.0035	0.0807	0.0623	-0.0197	-0.001	0.1495	0.0309	0.0288	-0.0338	0.0142	0.1238	-0.0059	0.0328	0.1233	-0.0155	0.0066	0.0505	-0.0154	-0.0287	-0.0179
sad_vc_estimate_se	0.2499	0.0859	0.1418	0.1315	0.0796	0.0836	0.1485	0.0635	0.0742	0.0613	0.0794	0.1801	0.0988	0.1171	0.0638	0.1273	0.0724	0.1052	0.0569	0.0641	0.1151	0.0664	0.2082	0.0818	0.0781	0.0955	0.0831	0.072	0.0778	0.0781	0.1273	0.0568	0.1124	0.0967	0.063	0.1035	0.1137	0.1391	0.1035	0.1038	0.0765	0.0596	0.1287	0.0691	0.1155	0.0747	0.0802	0.1418	0.1786	0.0965	0.1265	0.0665	0.0667	0.1548	0.0563	0.0874	0.0538	0.0612	0.1433	0.2396	0.0584	0.0517	0.0551	0.0624	0.1116	0.0712	0.1348	0.3366	0.0877	0.133	0.1576	0.0919	0.0983	0.0815	0.0768	0.0548	0.0892	0.0795	0.0784	0.0861	0.0569	0.0774	0.1338	0.0664	0.0799	0.2329	0.0814	0.1298	0.1215	0.074	0.0515	0.0643	0.2477	0.084	0.0893	0.0847	0.128	0.079	0.1107	0.1323
sad_vc_pvals	0.335	0.431	0.86	0.051	0.97	0.636	0.014	0.0	0.217	0.382	0.071	0.457	0.792	0.352	0.397	0.986	0.917	0.775	0.822	0.926	0.124	0.646	0.596	0.656	0.931	0.417	0.255	0.556	0.003	0.726	0.673	0.312	0.578	0.127	0.964	0.238	0.877	0.512	0.736	0.384	0.345	0.508	0.635	0.869	0.481	0.433	0.239	0.782	0.334	0.634	0.479	0.194	0.31	0.94	0.834	0.426	0.239	0.594	0.009	0.411	0.293	0.115	0.107	0.424	0.054	0.857	0.118	0.684	0.178	0.983	0.613	0.418	0.549	0.195	0.932	0.507	0.489	0.593	0.42	0.538	0.492	0.092	0.092	0.953	0.389	0.095	0.235	0.202	0.827	0.357	0.024	0.535	0.308	0.028	0.572	0.338	0.105	0.656	0.769	0.563
upper95_perm_sad	0.5387	0.2118	0.2292	0.1852	0.1346	0.1468	0.2608	0.1889	0.1924	0.1175	0.1351	0.1681	0.1793	0.1653	0.1485	0.2215	0.2098	0.1787	0.1406	0.1336	0.182	0.1625	0.2589	0.1854	0.2015	0.1746	0.1829	0.164	0.1508	0.1092	0.1195	0.13	0.2433	0.1966	0.1313	0.1587	0.1158	0.1127	0.1566	0.2006	0.1443	0.1405	0.134	0.1416	0.1312	0.1279	0.1848	0.1628	0.2548	0.172	0.1843	0.1356	0.179	0.1234	0.1623	0.1661	0.1482	0.1538	0.2391	0.2483	0.1273	0.1141	0.1259	0.1594	0.1725	0.141	0.1329	0.3813	0.191	0.1921	0.2254	0.1509	0.1729	0.1493	0.1354	0.1194	0.1109	0.1135	0.102	0.1807	0.1145	0.1336	0.1141	0.1439	0.1059	0.2528	0.1571	0.154	0.1847	0.1587	0.1047	0.1393	0.2165	0.1133	0.14	0.1051	0.1101	0.1632	0.1521	0.1807
lower0_perm_sad	-0.1112	-0.0357	-0.0585	-0.0577	-0.035	-0.0339	-0.0617	-0.0257	-0.032	-0.0249	-0.0333	-0.0806	-0.0403	-0.0526	-0.0276	-0.0515	-0.0312	-0.0441	-0.0246	-0.0282	-0.0494	-0.0287	-0.0853	-0.0348	-0.0346	-0.0417	-0.0341	-0.0302	-0.0326	-0.0328	-0.0564	-0.0243	-0.046	-0.04	-0.0256	-0.0427	-0.0481	-0.0584	-0.044	-0.0436	-0.0336	-0.0241	-0.0543	-0.0286	-0.0473	-0.0315	-0.0333	-0.0594	-0.073	-0.0396	-0.0558	-0.0292	-0.0282	-0.0647	-0.0235	-0.0374	-0.0239	-0.0272	-0.0595	-0.0982	-0.0246	-0.0222	-0.0231	-0.0254	-0.05	-0.0301	-0.0564	-0.1387	-0.0354	-0.0565	-0.0681	-0.0385	-0.0431	-0.0345	-0.032	-0.0229	-0.0369	-0.033	-0.0332	-0.0369	-0.0256	-0.0344	-0.0563	-0.0283	-0.0333	-0.0971	-0.0335	-0.0536	-0.0508	-0.0314	-0.0215	-0.0269	-0.1084	-0.0362	-0.037	-0.0371	-0.0552	-0.0331	-0.0483	-0.0563
