	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.017	-0.0071	-0.0007	0.0122	0.0197	0.018	-0.0003	0.0034	-0.0014	0.0009	-0.0043	-0.0042	-0.0036	-0.0032	-0.0007	0.0308	0.0008	-0.0021	-0.0044	0.027	0.0048	-0.0027	-0.004	-0.0024	-0.004	-0.0026	0.0274	-0.0034	-0.0044	-0.0027	-0.0024	-0.0016	0.0004	0.0003	-0.003	0.0234	0.0072	-0.0008	-0.0043	0.0112	0.002	0.0101	0.0079	0.0048	-0.0044	0.0038	-0.0027	0.0707	-0.0007	0.0069	0.0006	0.011	-0.0009	0.0098	0.0018	-0.0022	-0.0018	-0.0022	0.0097	0.004	0.0007	-0.0002	-0.0042	0.0011	-0.0031	-0.004	0.0048	0.0008	0.0033	-0.0019	-0.0018	-0.0029	-0.0034	-0.001	0.0124	0.0042	-0.0045	0.0066	0.0026	-0.0018	-0.0017	0.0265	-0.002	-0.004	-0.004	-0.0037	-0.0007	-0.003	0.0087	0.001	-0.0005	0.0002	0.0102	-0.0039	-0.004	0.0005	0.0244	0.0088	-0.0023	0.0464
direct_vc_estimate_se	1.3375	0.5636	0.4308	0.3483	0.343	0.3383	0.3421	0.3391	0.3566	0.331	0.3348	0.3301	0.3251	0.3317	0.3223	0.3376	0.328	0.3341	0.3398	0.3321	0.3534	0.32	0.3246	0.3198	0.3202	0.3332	0.3252	0.3111	0.3483	0.3234	0.3295	0.3286	0.3364	0.3401	0.3106	0.3384	0.3397	0.3583	0.354	0.3147	0.3213	0.3409	0.3267	0.3312	0.3417	0.3145	0.3184	0.3201	0.3221	0.3198	0.3293	0.3173	0.3193	0.3239	0.3331	0.3232	0.3311	0.3324	0.331	0.3149	0.3211	0.3541	0.3275	0.3164	0.3136	0.3102	0.3167	0.3277	0.3535	0.3252	0.3174	0.3586	0.3197	0.3215	0.3231	0.3307	0.352	0.3194	0.3232	0.324	0.3174	0.3906	0.3106	0.323	0.3463	0.3078	0.333	0.3356	0.3177	0.3098	0.3213	0.2949	0.3019	0.3098	0.3418	0.3355	0.3345	0.3103	0.324	0.3175
direct_vc_pvals	0.92	0.901	0.516	0.133	0.069	0.094	0.462	0.319	0.538	0.432	0.984	0.92	0.766	0.712	0.49	0.021	0.389	0.567	0.971	0.043	0.266	0.631	0.877	0.625	0.88	0.648	0.048	0.79	0.886	0.658	0.622	0.576	0.423	0.429	0.707	0.045	0.205	0.494	0.858	0.131	0.357	0.176	0.184	0.291	0.983	0.284	0.664	0.002	0.483	0.242	0.442	0.128	0.519	0.161	0.366	0.573	0.535	0.574	0.186	0.266	0.38	0.472	0.919	0.399	0.719	0.964	0.233	0.403	0.338	0.576	0.556	0.658	0.739	0.522	0.153	0.274	0.919	0.198	0.319	0.565	0.549	0.046	0.621	0.857	0.789	0.834	0.439	0.65	0.143	0.404	0.482	0.423	0.161	0.886	0.794	0.407	0.052	0.139	0.609	0.003
upper95_perm_direct	0.1376	0.0463	0.0426	0.032	0.0304	0.0313	0.038	0.0334	0.0328	0.0327	0.029	0.0334	0.03	0.0261	0.0282	0.024	0.0277	0.0277	0.0388	0.0313	0.0283	0.0289	0.0279	0.0275	0.0263	0.0305	0.0322	0.0357	0.0291	0.033	0.0284	0.0306	0.0336	0.0296	0.0256	0.0282	0.031	0.0334	0.0343	0.0276	0.0278	0.0342	0.0253	0.0308	0.0286	0.0285	0.034	0.0276	0.026	0.0311	0.0317	0.0274	0.0304	0.032	0.0292	0.0257	0.029	0.0277	0.0343	0.0287	0.0271	0.0305	0.0294	0.0271	0.0303	0.0316	0.0296	0.0264	0.032	0.0339	0.0288	0.0332	0.0262	0.0293	0.033	0.0301	0.031	0.0257	0.0295	0.0243	0.0297	0.0319	0.0303	0.026	0.0289	0.028	0.0273	0.0291	0.0233	0.0302	0.0286	0.0314	0.028	0.0218	0.0282	0.03	0.0305	0.0227	0.0301	0.0262
lower0_perm_direct	-0.0254	-0.0105	-0.0084	-0.0066	-0.0066	-0.0067	-0.0064	-0.0065	-0.0067	-0.0062	-0.0061	-0.0065	-0.0063	-0.0064	-0.0064	-0.0064	-0.0064	-0.0064	-0.0064	-0.0065	-0.0064	-0.0062	-0.0062	-0.0062	-0.0063	-0.0061	-0.0063	-0.0062	-0.0065	-0.0061	-0.0063	-0.0064	-0.0065	-0.0063	-0.006	-0.0067	-0.0066	-0.0071	-0.007	-0.0058	-0.0061	-0.0067	-0.006	-0.0065	-0.0065	-0.0063	-0.006	-0.0061	-0.0063	-0.0062	-0.0065	-0.0059	-0.006	-0.0065	-0.0065	-0.0062	-0.0065	-0.0062	-0.0062	-0.006	-0.0063	-0.007	-0.0062	-0.006	-0.0063	-0.0057	-0.0058	-0.0063	-0.0068	-0.0062	-0.0062	-0.0067	-0.0061	-0.0061	-0.0063	-0.0065	-0.0065	-0.006	-0.0061	-0.0064	-0.0062	-0.0078	-0.006	-0.0062	-0.0066	-0.0061	-0.0066	-0.0065	-0.0059	-0.0058	-0.0062	-0.0054	-0.0057	-0.0059	-0.0067	-0.0063	-0.0065	-0.0062	-0.006	-0.0062
sad_vc_estimate	-0.0123	0.0236	0.0051	0.0116	0.0036	0.0267	0.0371	0.0023	-0.0037	0.0147	0.0017	-0.0029	0.0021	0.0077	0.008	0.0335	-0.0023	-0.004	0.0035	0.0529	0.0039	-0.0044	0.0067	-0.0033	-0.0036	-0.0043	0.0169	0.0055	-0.0048	-0.0028	-0.0017	0.0018	0.004	-0.001	0.0032	0.0471	0.015	0.0088	-0.0017	0.0189	0.0017	0.0104	0.0144	0.0207	-0.0043	0.0113	-0.0017	0.0559	0.0005	0.0137	0.0041	0.0074	0.0024	0.0051	0.0026	0.0218	-0.0024	-0.0041	0.0163	0.0084	0.0014	-0.0048	0.0011	-0.0033	-0.0039	-0.0037	0.0116	-0.003	-0.0003	-0.0045	-0.0008	-0.0049	-0.0044	-0.0036	0.0165	0.0008	-0.004	0.0151	0.0008	-0.0022	-0.0022	0.0166	-0.0035	0.0175	-0.0013	-0.0042	-0.0029	-0.004	0.0152	0.0095	0.0007	-0.0032	0.033	-0.0042	-0.0047	-0.0026	0.0256	0.0097	-0.0005	0.0999
sad_vc_estimate_se	1.4187	0.5989	0.4565	0.3721	0.3655	0.36	0.3641	0.3603	0.3783	0.352	0.3557	0.3509	0.3461	0.3528	0.3435	0.3588	0.349	0.3555	0.3607	0.3531	0.3743	0.3407	0.3453	0.3406	0.3414	0.3539	0.3469	0.3323	0.3688	0.3442	0.3501	0.349	0.3568	0.3606	0.3311	0.3591	0.3604	0.379	0.3746	0.3354	0.3422	0.3617	0.3471	0.3517	0.363	0.3353	0.3388	0.3408	0.3432	0.3406	0.3496	0.3377	0.3399	0.3442	0.3537	0.3443	0.3517	0.3527	0.3515	0.3371	0.3415	0.3748	0.3477	0.3367	0.3341	0.3305	0.3371	0.3488	0.3742	0.3454	0.3375	0.3786	0.3399	0.3421	0.3435	0.3512	0.3723	0.3397	0.3436	0.3452	0.3373	0.4109	0.3306	0.3432	0.3665	0.3281	0.3532	0.3556	0.3378	0.33	0.3412	0.315	0.3223	0.3301	0.3628	0.356	0.3548	0.3306	0.3441	0.3373
sad_vc_pvals	0.731	0.181	0.399	0.212	0.362	0.088	0.038	0.402	0.747	0.166	0.431	0.71	0.46	0.272	0.253	0.043	0.659	0.811	0.44	0.019	0.358	0.975	0.261	0.752	0.764	0.86	0.14	0.328	0.989	0.709	0.594	0.44	0.342	0.567	0.382	0.018	0.184	0.25	0.57	0.106	0.443	0.222	0.162	0.134	0.85	0.191	0.611	0.007	0.435	0.184	0.367	0.254	0.442	0.343	0.38	0.098	0.619	0.832	0.145	0.235	0.413	0.959	0.452	0.765	0.844	0.807	0.19	0.701	0.536	0.962	0.533	0.975	0.965	0.779	0.154	0.486	0.776	0.183	0.489	0.622	0.653	0.174	0.764	0.129	0.577	0.992	0.653	0.804	0.154	0.247	0.498	0.748	0.049	0.947	0.955	0.661	0.094	0.224	0.541	0.002
upper95_perm_sad	0.196	0.0753	0.0615	0.0502	0.0378	0.044	0.0433	0.0426	0.0461	0.0439	0.0431	0.0489	0.0522	0.0475	0.0448	0.04	0.0391	0.0437	0.0469	0.0471	0.0529	0.0443	0.0406	0.0424	0.0392	0.0455	0.0452	0.0458	0.0468	0.0401	0.0367	0.0508	0.0466	0.0461	0.0391	0.0368	0.0468	0.043	0.0436	0.0399	0.0399	0.04	0.0421	0.0427	0.039	0.0431	0.0399	0.0377	0.0365	0.0412	0.0471	0.0402	0.0433	0.0437	0.0379	0.0388	0.0384	0.0419	0.0415	0.037	0.0373	0.0405	0.0408	0.0399	0.0446	0.0411	0.0366	0.0367	0.041	0.0424	0.0404	0.0476	0.0386	0.0435	0.0443	0.0436	0.0368	0.0398	0.0456	0.0349	0.0398	0.0457	0.0381	0.044	0.0453	0.042	0.0374	0.0418	0.0403	0.045	0.0427	0.0378	0.0405	0.0391	0.0372	0.0439	0.0493	0.041	0.0429	0.0435
lower0_perm_sad	-0.0269	-0.0112	-0.0086	-0.007	-0.0069	-0.0069	-0.0067	-0.0069	-0.0074	-0.0066	-0.007	-0.0065	-0.0063	-0.0067	-0.0066	-0.0071	-0.0066	-0.0065	-0.0069	-0.007	-0.0072	-0.0067	-0.0067	-0.0068	-0.0068	-0.0067	-0.0067	-0.0066	-0.0073	-0.0067	-0.0067	-0.0065	-0.0068	-0.0068	-0.0062	-0.0071	-0.0068	-0.0073	-0.0071	-0.0062	-0.0064	-0.0071	-0.0068	-0.0068	-0.0069	-0.0066	-0.0063	-0.0063	-0.0063	-0.0066	-0.0068	-0.0063	-0.0066	-0.0067	-0.007	-0.0067	-0.0066	-0.0069	-0.0069	-0.0064	-0.0062	-0.0073	-0.0063	-0.0066	-0.0064	-0.0066	-0.0063	-0.0065	-0.0068	-0.0064	-0.0064	-0.0075	-0.0064	-0.0064	-0.0065	-0.0066	-0.0072	-0.0065	-0.0063	-0.0067	-0.0063	-0.0076	-0.0062	-0.0067	-0.0072	-0.0063	-0.0067	-0.0068	-0.0066	-0.0061	-0.0064	-0.0061	-0.0062	-0.0062	-0.0067	-0.0069	-0.007	-0.0065	-0.0067	-0.0063
