	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.0629	-0.0038	-0.0203	0.0501	-0.0177	0.0111	0.0065	0.0028	-0.0181	-0.0157	-0.0206	-0.0172	-0.0055	-0.0184	-0.0197	-0.0086	-0.0093	0.0779	-0.0045	0.169	-0.0041	0.0913	-0.0108	-0.0172	-0.0177	-0.0163	-0.0128	-0.013	-0.0154	0.0094	-0.0158	-0.0087	0.0102	-0.0164	-0.014	-0.0075	-0.0194	0.0274	-0.0173	-0.0144	0.0049	0.0324	0.0225	-0.0118	0.0128	-0.0034	0.0361	-0.0019	-0.0122	-0.0168	-0.0175	0.0724	-0.0173	-0.0121	0.0363	0.0164	-0.0164	0.0093	0.0161	-0.0119	-0.0114	-0.0137	0.017	0.0091	-0.0138	-0.002	-0.0149	0.0625	0.0238	-0.0116	0.0431	0.0076	0.0086	0.0068	-0.0012	-0.0018	-0.0145	-0.0148	-0.0042	-0.0007	-0.0147	0.0367	-0.014	0.0278	0.0071	-0.0121	-0.0017	0.0816	0.022	-0.0018	-0.0149	-0.0112	0.0083	-0.0177	0.0152	-0.0161	-0.0129	0.0069	0.0081	0.0294
direct_vc_estimate_se	0.0287	0.0087	0.0076	0.0086	0.0067	0.0063	0.0081	0.0061	0.0068	0.0063	0.008	0.007	0.0067	0.0069	0.0077	0.0117	0.0046	0.008	0.0064	0.008	0.0062	0.0087	0.0067	0.0065	0.0067	0.0073	0.0058	0.0055	0.0059	0.0063	0.0077	0.0044	0.0045	0.0061	0.0063	0.0096	0.0072	0.0077	0.0065	0.0054	0.0064	0.0065	0.0064	0.0063	0.0072	0.006	0.007	0.0068	0.0058	0.0066	0.0066	0.0066	0.0066	0.0057	0.0065	0.0054	0.0062	0.0058	0.0058	0.0055	0.0069	0.0053	0.0044	0.0057	0.0063	0.0045	0.0055	0.0056	0.0063	0.0044	0.0059	0.0066	0.0058	0.0062	0.0063	0.0046	0.0055	0.0055	0.0049	0.0052	0.0059	0.0053	0.0052	0.006	0.0065	0.0054	0.0056	0.0069	0.0055	0.0055	0.0058	0.0051	0.0052	0.0067	0.0058	0.0061	0.0053	0.0053	0.0061	0.0043
direct_vc_pvals	0.7	0.47	0.989	0.189	0.886	0.275	0.241	0.254	0.958	0.788	0.852	0.873	0.425	0.941	0.807	0.41	0.614	0.037	0.479	0.008	0.425	0.018	0.57	0.919	0.901	0.654	0.668	0.771	0.897	0.297	0.689	0.643	0.236	0.969	0.712	0.44	0.957	0.167	0.968	0.92	0.209	0.211	0.227	0.618	0.276	0.419	0.172	0.418	0.691	0.855	0.933	0.065	0.899	0.608	0.1	0.206	0.931	0.359	0.138	0.7	0.607	0.834	0.163	0.273	0.685	0.474	0.987	0.026	0.253	0.88	0.156	0.227	0.285	0.294	0.271	0.425	0.917	0.98	0.475	0.378	0.808	0.091	0.997	0.173	0.22	0.675	0.431	0.029	0.217	0.345	0.864	0.686	0.277	0.914	0.198	0.916	0.788	0.302	0.216	0.086
upper95_perm_direct	0.3235	0.1406	0.0615	0.1587	0.0707	0.0778	0.0779	0.0478	0.1255	0.0593	0.088	0.1352	0.0651	0.11	0.0605	0.1065	0.0435	0.0813	0.0865	0.1012	0.0615	0.0635	0.0729	0.1166	0.0755	0.058	0.0683	0.083	0.1014	0.0929	0.0844	0.0571	0.0576	0.0711	0.0758	0.1088	0.1127	0.0886	0.0743	0.0602	0.0417	0.0989	0.0864	0.0744	0.0943	0.0558	0.1034	0.0878	0.0575	0.0742	0.0702	0.0968	0.0864	0.0335	0.0653	0.0668	0.0537	0.092	0.0472	0.0689	0.0987	0.0563	0.0526	0.0854	0.0701	0.0621	0.1024	0.0501	0.1178	0.0438	0.094	0.0502	0.0827	0.0861	0.0387	0.0645	0.0701	0.0877	0.0598	0.0644	0.0755	0.0642	0.063	0.0941	0.0508	0.0458	0.0999	0.0665	0.0853	0.0474	0.0594	0.0626	0.0682	0.069	0.0544	0.0581	0.0609	0.0637	0.0428	0.0464
lower0_perm_direct	-0.1051	-0.0344	-0.0287	-0.0328	-0.0256	-0.0245	-0.0309	-0.0248	-0.0258	-0.0257	-0.0316	-0.0279	-0.0272	-0.0273	-0.0306	-0.046	-0.018	-0.0305	-0.0243	-0.0324	-0.0234	-0.0339	-0.0261	-0.0257	-0.0266	-0.0276	-0.0223	-0.0225	-0.0222	-0.0238	-0.0289	-0.0177	-0.0183	-0.0229	-0.0234	-0.0371	-0.0275	-0.0301	-0.0247	-0.0219	-0.0258	-0.0254	-0.0254	-0.025	-0.0274	-0.023	-0.0286	-0.0271	-0.0223	-0.0271	-0.026	-0.0257	-0.0252	-0.0223	-0.0265	-0.0217	-0.0233	-0.0222	-0.0231	-0.0217	-0.0257	-0.0197	-0.0173	-0.0223	-0.0247	-0.0178	-0.021	-0.0222	-0.0245	-0.0182	-0.0215	-0.0256	-0.0216	-0.0243	-0.0242	-0.0182	-0.0219	-0.0204	-0.0195	-0.02	-0.0234	-0.02	-0.0211	-0.023	-0.0253	-0.0208	-0.0217	-0.0259	-0.0212	-0.0214	-0.0228	-0.0204	-0.021	-0.0265	-0.0226	-0.0235	-0.0209	-0.021	-0.0233	-0.0165
sad_vc_estimate	0.0423	0.0019	-0.0145	0.0501	0.0031	0.0281	-0.0195	-0.0102	-0.0163	-0.0153	-0.0179	-0.0185	-0.0062	-0.0043	-0.0207	-0.0244	-0.0031	0.1901	0.0066	0.211	-0.0035	0.0913	-0.0168	-0.0152	-0.0163	-0.0196	0.0098	-0.0142	-0.0103	0.0116	-0.0203	-0.0084	0.0025	-0.0012	-0.0105	-0.0004	-0.0131	0.008	-0.0142	-0.0145	0.0411	0.0431	0.0348	-0.0089	-0.0092	0.0038	0.0339	-0.0183	-0.0065	-0.0176	-0.0175	0.112	-0.0151	-0.0084	0.0744	0.0142	-0.013	-0.0067	0.0041	-0.0147	0.0	-0.0075	0.0187	0.0036	-0.0169	0.0135	-0.0125	0.0313	0.0067	-0.0113	0.0863	-0.0049	0.029	-0.0043	0.0137	0.0095	-0.0125	-0.0148	-0.0017	0.0159	-0.0094	0.0663	-0.0141	0.0378	0.0078	-0.0134	-0.0097	0.0736	0.0367	-0.0116	-0.0143	-0.0024	0.0017	-0.018	0.0336	-0.0153	-0.0143	-0.0092	0.0421	0.0738
sad_vc_estimate_se	0.0288	0.0087	0.0076	0.0086	0.0068	0.0064	0.0081	0.0061	0.0068	0.0063	0.008	0.007	0.0067	0.007	0.0077	0.0118	0.0046	0.008	0.0064	0.008	0.0062	0.0087	0.0067	0.0066	0.0067	0.0073	0.0059	0.0055	0.0059	0.0063	0.0077	0.0045	0.0045	0.0061	0.0063	0.0096	0.0073	0.0078	0.0065	0.0054	0.0064	0.0065	0.0064	0.0063	0.0072	0.006	0.007	0.0068	0.0059	0.0066	0.0066	0.0067	0.0066	0.0057	0.0065	0.0054	0.0062	0.0058	0.0058	0.0055	0.0069	0.0054	0.0044	0.0057	0.0063	0.0045	0.0056	0.0056	0.0063	0.0044	0.0059	0.0066	0.0058	0.0062	0.0063	0.0046	0.0055	0.0055	0.0049	0.0052	0.0059	0.0053	0.0052	0.0061	0.0065	0.0054	0.0057	0.0069	0.0055	0.0055	0.0058	0.0051	0.0053	0.0067	0.0059	0.0061	0.0054	0.0053	0.0061	0.0043
sad_vc_pvals	0.348	0.45	0.68	0.236	0.406	0.229	0.812	0.541	0.831	0.766	0.783	0.943	0.537	0.573	0.97	0.752	0.481	0.01	0.388	0.004	0.483	0.05	0.823	0.814	0.819	0.975	0.321	0.874	0.684	0.31	0.931	0.64	0.368	0.429	0.661	0.297	0.711	0.327	0.707	0.949	0.066	0.257	0.213	0.574	0.573	0.325	0.238	0.981	0.496	0.934	0.928	0.033	0.782	0.524	0.093	0.256	0.668	0.641	0.318	0.976	0.477	0.522	0.155	0.436	0.974	0.27	0.802	0.105	0.43	0.845	0.081	0.424	0.216	0.478	0.207	0.306	0.773	0.969	0.491	0.226	0.624	0.056	1.0	0.187	0.254	0.805	0.669	0.05	0.194	0.652	0.822	0.488	0.422	0.944	0.121	0.832	0.952	0.645	0.056	0.011
upper95_perm_sad	0.505	0.1629	0.1006	0.1992	0.104	0.1038	0.1158	0.0512	0.1684	0.0639	0.1523	0.1715	0.0975	0.1364	0.0808	0.2217	0.0707	0.1139	0.1187	0.1343	0.0783	0.1081	0.0962	0.1309	0.0955	0.0819	0.0976	0.1114	0.1176	0.1018	0.1585	0.063	0.0693	0.0819	0.0983	0.0917	0.1695	0.0951	0.0774	0.0875	0.0619	0.1651	0.1259	0.0971	0.109	0.0663	0.1402	0.1135	0.0741	0.1191	0.0931	0.1085	0.1197	0.0556	0.1174	0.0787	0.0608	0.1381	0.0672	0.0854	0.1187	0.0675	0.0541	0.1209	0.102	0.0775	0.1199	0.0625	0.144	0.054	0.1246	0.0719	0.1158	0.0836	0.0652	0.0743	0.1064	0.1035	0.0796	0.0708	0.0806	0.0859	0.0759	0.1189	0.0636	0.0579	0.1036	0.0924	0.1139	0.0596	0.0765	0.0906	0.086	0.0831	0.0615	0.0754	0.0786	0.0775	0.0569	0.0487
lower0_perm_sad	-0.1122	-0.0339	-0.0307	-0.0339	-0.0268	-0.0241	-0.0323	-0.024	-0.0253	-0.0255	-0.0318	-0.0261	-0.0267	-0.0275	-0.0292	-0.0464	-0.0182	-0.0322	-0.0262	-0.0302	-0.0242	-0.0326	-0.027	-0.0261	-0.0272	-0.0289	-0.0233	-0.0209	-0.0233	-0.024	-0.0295	-0.0174	-0.0184	-0.0242	-0.0236	-0.0383	-0.0275	-0.0296	-0.0243	-0.021	-0.0249	-0.0239	-0.0245	-0.0249	-0.0274	-0.0248	-0.0268	-0.0266	-0.0229	-0.0249	-0.0255	-0.0262	-0.0252	-0.0228	-0.0248	-0.021	-0.0244	-0.0224	-0.023	-0.0203	-0.0254	-0.0203	-0.0167	-0.0215	-0.0257	-0.0178	-0.0224	-0.0225	-0.0259	-0.0172	-0.0219	-0.027	-0.0214	-0.0237	-0.0244	-0.0182	-0.021	-0.0212	-0.0183	-0.0203	-0.0241	-0.0202	-0.0204	-0.0236	-0.0251	-0.0204	-0.0224	-0.0276	-0.0217	-0.0219	-0.0232	-0.0192	-0.0193	-0.0277	-0.0219	-0.025	-0.0214	-0.0209	-0.0235	-0.0165
