	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.0199	-0.01	-0.0027	0.0598	-0.0007	0.0186	0.035	0.0615	0.0042	0.0205	-0.006	0.0175	-0.0005	0.003	0.0013	-0.0055	0.0613	-0.0036	-0.0027	0.0066	0.0082	-0.0039	0.02	-0.0048	-0.0031	0.0434	-0.0068	-0.0059	-0.0075	-0.0058	0.0013	-0.0036	-0.0061	-0.004	-0.0068	-0.0056	0.0001	0.008	0.0013	-0.0025	0.0119	-0.0033	-0.0054	-0.0043	-0.0062	0.0083	-0.0043	0.0021	0.0075	0.0055	0.0016	-0.0057	-0.0052	0.0059	0.0093	-0.0059	-0.0056	0.0021	-0.0055	0.0019	-0.0053	-0.0022	-0.0039	-0.0011	-0.0049	-0.006	-0.0074	0.0378	0.0088	-0.0055	0.0087	-0.0054	-0.0049	-0.001	-0.005	0.0299	-0.0063	0.0099	-0.0061	0.0323	-0.0016	-0.0055	0.0393	-0.004	-0.0038	-0.0055	-0.0058	-0.0058	-0.0055	0.0263	-0.0024	0.026	0.0205	-0.0022	0.0229	0.0009	-0.0057	-0.0039	0.0074	0.0317
direct_vc_estimate_se	0.0033	0.0016	0.0012	0.0013	0.0011	0.001	0.001	0.0012	0.0012	0.001	0.0011	0.001	0.0011	0.0011	0.0011	0.0011	0.0011	0.0013	0.001	0.0011	0.0011	0.0011	0.001	0.0009	0.0009	0.001	0.0011	0.001	0.0012	0.001	0.0011	0.001	0.001	0.001	0.001	0.001	0.0008	0.0011	0.001	0.001	0.001	0.0011	0.001	0.0011	0.001	0.0009	0.001	0.0009	0.0009	0.001	0.0009	0.0011	0.0009	0.001	0.0009	0.0013	0.0011	0.001	0.0009	0.0011	0.0009	0.0009	0.0011	0.001	0.0009	0.0009	0.0012	0.0011	0.001	0.001	0.0009	0.0009	0.001	0.0009	0.0009	0.0009	0.001	0.0009	0.0009	0.0009	0.0011	0.0009	0.001	0.0008	0.001	0.001	0.0009	0.0009	0.001	0.0009	0.0009	0.0009	0.0009	0.0008	0.0012	0.0009	0.0009	0.0008	0.0008	0.001
direct_vc_pvals	0.828	0.866	0.506	0.048	0.589	0.118	0.11	0.05	0.281	0.115	0.788	0.179	0.618	0.419	0.453	0.682	0.151	0.614	0.549	0.272	0.326	0.681	0.369	0.678	0.567	0.033	0.908	0.833	0.927	0.745	0.601	0.668	0.832	0.702	1.0	0.786	0.425	0.467	0.47	0.501	0.286	0.582	0.754	0.666	0.898	0.252	0.63	0.446	0.355	0.323	0.431	0.77	0.779	0.385	0.197	0.675	0.755	0.357	0.907	0.344	0.842	0.461	0.62	0.569	0.743	0.897	0.905	0.101	0.373	0.734	0.181	0.803	0.813	0.366	0.762	0.037	0.941	0.193	0.965	0.132	0.513	0.908	0.055	0.684	0.618	0.763	0.845	0.938	0.811	0.061	0.692	0.136	0.09	0.55	0.194	0.337	0.959	0.715	0.255	0.024
upper95_perm_direct	0.0968	0.0971	0.0441	0.0683	0.075	0.0394	0.0578	0.0744	0.0369	0.0402	0.0548	0.0473	0.0912	0.0534	0.0499	0.032	0.1177	0.0816	0.0438	0.0359	0.059	0.0578	0.0862	0.0301	0.0341	0.0417	0.0491	0.0464	0.0653	0.0338	0.0925	0.0598	0.0565	0.053	0.0317	0.0345	0.0288	0.1036	0.0527	0.0333	0.0576	0.0452	0.0462	0.0869	0.0753	0.0436	0.0384	0.0517	0.0544	0.0414	0.0382	0.0541	0.0326	0.0555	0.0316	0.0492	0.0541	0.036	0.0362	0.0344	0.0411	0.0272	0.0488	0.054	0.0328	0.0557	0.0433	0.068	0.0622	0.0525	0.0277	0.0463	0.0714	0.0185	0.049	0.0308	0.0589	0.0335	0.06	0.0628	0.0513	0.0477	0.0487	0.0275	0.0327	0.0393	0.0243	0.0388	0.0617	0.0339	0.057	0.057	0.0359	0.0328	0.075	0.0251	0.038	0.0343	0.0374	0.0271
lower0_perm_direct	-0.0317	-0.0145	-0.0119	-0.012	-0.011	-0.0094	-0.0096	-0.0113	-0.0106	-0.0093	-0.0095	-0.0094	-0.01	-0.011	-0.0099	-0.0108	-0.0109	-0.0127	-0.0093	-0.0104	-0.0102	-0.0098	-0.0091	-0.0092	-0.0088	-0.0093	-0.0097	-0.0088	-0.0105	-0.0091	-0.0103	-0.0099	-0.0099	-0.0093	-0.0095	-0.0089	-0.0077	-0.0101	-0.0088	-0.0101	-0.0093	-0.0104	-0.0093	-0.0099	-0.009	-0.008	-0.0088	-0.0083	-0.0085	-0.0089	-0.0077	-0.0103	-0.0085	-0.0098	-0.0086	-0.0109	-0.0102	-0.0094	-0.0077	-0.0099	-0.0081	-0.0082	-0.0102	-0.0089	-0.009	-0.0088	-0.0107	-0.0098	-0.0088	-0.0095	-0.0078	-0.0088	-0.0092	-0.0084	-0.0088	-0.0081	-0.009	-0.0085	-0.0081	-0.0088	-0.0101	-0.0083	-0.0092	-0.0078	-0.0091	-0.0089	-0.0088	-0.0085	-0.0099	-0.0084	-0.0077	-0.0083	-0.0087	-0.008	-0.0115	-0.0087	-0.0083	-0.0073	-0.0082	-0.009
sad_vc_estimate	0.0202	0.0032	0.0146	0.1658	-0.0073	0.0283	0.0558	0.1096	-0.0052	0.0076	-0.0069	0.0394	-0.0038	0.0009	0.0097	-0.0071	0.056	-0.0058	-0.006	0.0437	0.0486	0.008	0.0226	-0.0048	0.0215	0.0399	-0.0056	-0.0005	-0.0073	-0.0064	0.0035	0.0152	0.0019	-0.0003	0.0006	0.0074	0.0054	0.0175	-0.0048	-0.0021	0.0001	0.0268	-0.0057	0.0071	-0.0061	-0.0011	0.0108	0.0056	0.0116	0.0051	-0.0033	0.0083	-0.0027	0.0052	0.014	-0.0083	-0.0054	0.0072	-0.0045	0.0089	-0.0018	0.0081	-0.0013	0.0064	-0.002	-0.0061	-0.0076	0.0429	0.0029	-0.0018	0.0035	-0.0057	0.0003	0.0119	0.02	0.0229	-0.0051	0.0041	-0.0059	0.05	-0.0001	-0.0034	0.034	-0.0043	0.0019	-0.0057	-0.0056	-0.0055	-0.0039	0.0492	-0.0044	0.0636	0.0336	-0.0029	0.0266	0.0004	0.001	-0.0018	0.0135	0.0667
sad_vc_estimate_se	0.0033	0.0016	0.0012	0.0013	0.0012	0.001	0.001	0.0012	0.0012	0.001	0.0011	0.001	0.0011	0.0011	0.0011	0.0011	0.0012	0.0013	0.001	0.0011	0.0011	0.0011	0.001	0.001	0.0009	0.001	0.0011	0.001	0.0012	0.001	0.0011	0.001	0.001	0.001	0.001	0.001	0.0008	0.0011	0.001	0.001	0.001	0.0011	0.001	0.0011	0.001	0.0009	0.001	0.0009	0.0009	0.001	0.0009	0.0011	0.0009	0.001	0.0009	0.0013	0.0011	0.001	0.0009	0.0011	0.0009	0.0009	0.0011	0.001	0.0009	0.001	0.0012	0.0011	0.001	0.001	0.0009	0.0009	0.001	0.0009	0.0009	0.0009	0.001	0.0009	0.0009	0.001	0.0011	0.0009	0.001	0.0008	0.001	0.001	0.0009	0.0009	0.001	0.0009	0.0009	0.0009	0.0009	0.0008	0.0012	0.0009	0.0009	0.0008	0.0008	0.001
sad_vc_pvals	0.255	0.549	0.256	0.009	0.92	0.129	0.109	0.05	0.675	0.283	0.948	0.11	0.787	0.569	0.373	0.883	0.273	0.756	0.889	0.088	0.162	0.434	0.468	0.744	0.143	0.077	0.822	0.538	0.919	0.865	0.648	0.316	0.529	0.585	0.377	0.299	0.348	0.452	0.753	0.529	0.614	0.131	0.839	0.47	0.889	0.566	0.272	0.403	0.367	0.435	0.635	0.418	0.644	0.459	0.208	0.975	0.799	0.331	0.771	0.28	0.566	0.243	0.537	0.425	0.617	0.918	0.955	0.137	0.538	0.596	0.428	0.889	0.656	0.162	0.205	0.127	0.831	0.401	0.919	0.092	0.522	0.709	0.098	0.768	0.458	0.817	0.841	0.849	0.734	0.055	0.834	0.045	0.075	0.611	0.222	0.419	0.517	0.611	0.223	0.01
upper95_perm_sad	0.1197	0.1553	0.0697	0.1017	0.1123	0.0609	0.0939	0.1306	0.0542	0.0498	0.0682	0.0734	0.147	0.089	0.0723	0.0514	0.1532	0.1016	0.0633	0.0718	0.1079	0.0891	0.129	0.0574	0.0495	0.0576	0.0695	0.0699	0.1023	0.0489	0.1274	0.0827	0.0881	0.0781	0.0374	0.0577	0.0505	0.1325	0.0655	0.0511	0.0827	0.0559	0.0623	0.1095	0.1046	0.0521	0.0521	0.0606	0.0774	0.0755	0.039	0.0691	0.0568	0.083	0.0512	0.0803	0.0816	0.0617	0.0511	0.0517	0.0481	0.0359	0.0632	0.0893	0.0606	0.0816	0.0732	0.0943	0.0991	0.0656	0.0555	0.0681	0.1038	0.0333	0.0669	0.0436	0.1052	0.0497	0.093	0.0883	0.0803	0.0608	0.0603	0.042	0.0532	0.0597	0.0435	0.045	0.0918	0.0598	0.0916	0.0706	0.0483	0.042	0.0884	0.0358	0.0553	0.0425	0.0486	0.0414
lower0_perm_sad	-0.0324	-0.0144	-0.0122	-0.0126	-0.0107	-0.0093	-0.0098	-0.012	-0.0112	-0.0091	-0.0104	-0.0094	-0.0101	-0.0108	-0.0099	-0.0103	-0.0106	-0.0119	-0.009	-0.0106	-0.0098	-0.01	-0.0094	-0.0091	-0.0091	-0.009	-0.0096	-0.009	-0.0107	-0.0094	-0.0103	-0.01	-0.0096	-0.0087	-0.0098	-0.0093	-0.0078	-0.0106	-0.0093	-0.0102	-0.0098	-0.01	-0.0089	-0.0101	-0.0097	-0.0078	-0.0089	-0.0084	-0.0084	-0.0092	-0.0082	-0.0097	-0.0087	-0.0099	-0.0085	-0.0119	-0.0097	-0.0101	-0.0077	-0.01	-0.0084	-0.0085	-0.0098	-0.0095	-0.0086	-0.0089	-0.0108	-0.0102	-0.0087	-0.0099	-0.0083	-0.0088	-0.0086	-0.0088	-0.009	-0.0087	-0.0092	-0.0085	-0.0085	-0.0087	-0.0097	-0.0079	-0.009	-0.0079	-0.0087	-0.0093	-0.0087	-0.0081	-0.0094	-0.0083	-0.0085	-0.0079	-0.0089	-0.0078	-0.0114	-0.0085	-0.0081	-0.0073	-0.0081	-0.0095
