	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.1221	-0.0354	0.0392	-0.0328	-0.0257	-0.0303	-0.0148	-0.0262	-0.0316	-0.0217	-0.0029	-0.0261	-0.0284	-0.0292	-0.0294	0.0093	-0.0165	-0.0283	0.0443	-0.0057	-0.0214	0.0019	-0.027	-0.0119	-0.0212	-0.0223	0.0033	0.0444	-0.0165	-0.0276	-0.0227	-0.0213	-0.0273	-0.0119	0.0378	-0.0053	0.0791	-0.0278	0.0845	0.008	0.1023	-0.0091	-0.0236	0.0084	-0.0218	-0.001	0.0299	0.0279	0.0335	-0.0243	-0.0107	0.0137	0.0129	-0.0013	-0.0086	-0.0253	-0.0263	-0.0301	0.0073	-0.0185	-0.0475	-0.023	-0.0281	0.0565	0.0172	-0.0	0.0137	-0.0185	-0.0037	-0.0364	-0.0181	-0.0266	-0.0214	-0.0139	-0.026	-0.0106	-0.018	-0.0297	0.0357	0.0779	-0.0248	-0.0166	0.062	0.016	0.0481	-0.0096	0.0962	-0.0231	-0.0032	-0.0178	-0.0276	0.0585	-0.0156	0.0066	-0.0254	-0.0312	-0.0283	-0.0297	-0.0216	-0.0336
direct_vc_estimate_se	1.4537	0.7483	0.3265	0.3678	0.328	0.4039	0.3424	0.2895	0.4002	0.3573	0.3322	0.3391	0.365	0.3276	0.3298	0.3378	0.3413	0.3723	0.3362	0.2884	0.3521	0.3383	0.3036	0.3217	0.3192	0.3203	0.334	0.2933	0.3032	0.3079	0.2919	0.314	0.3148	0.3389	0.3056	0.3264	0.3108	0.3327	0.3334	0.388	0.3316	0.3239	0.3289	0.363	0.299	0.3543	0.2929	0.3011	0.2934	0.333	0.331	0.3338	0.3121	0.2994	0.3712	0.2804	0.3438	0.3348	0.3198	0.3192	0.6047	0.3078	0.3424	0.3241	0.3397	0.4092	0.3402	0.3148	0.3288	0.4109	0.321	0.3138	0.3111	0.4124	0.3067	0.3051	0.2988	0.4101	0.3353	0.3372	0.2961	0.3334	0.2965	0.3325	0.3455	0.2881	0.2938	0.2892	0.4197	0.3014	0.305	0.3241	0.3074	0.3079	0.315	0.3466	0.3324	0.3264	0.2669	0.3854
direct_vc_pvals	0.779	0.49	0.143	0.891	0.71	0.716	0.49	0.933	0.725	0.588	0.373	0.704	0.725	0.905	0.905	0.293	0.541	0.7	0.138	0.387	0.581	0.309	0.907	0.46	0.619	0.642	0.298	0.091	0.568	0.904	0.716	0.678	0.842	0.464	0.166	0.37	0.095	0.79	0.091	0.314	0.04	0.454	0.677	0.298	0.673	0.343	0.169	0.197	0.152	0.667	0.412	0.279	0.234	0.345	0.397	0.928	0.687	0.935	0.301	0.561	0.742	0.703	0.795	0.109	0.256	0.312	0.254	0.578	0.356	0.86	0.604	0.802	0.647	0.437	0.787	0.428	0.588	0.633	0.165	0.086	0.8	0.512	0.089	0.278	0.114	0.479	0.039	0.756	0.38	0.6	0.95	0.095	0.544	0.305	0.737	0.91	0.804	0.998	0.759	0.85
upper95_perm_direct	0.4367	0.1937	0.0951	0.1217	0.0797	0.1479	0.1085	0.0807	0.1171	0.0982	0.1136	0.0935	0.1147	0.1028	0.1085	0.1001	0.1202	0.1059	0.1074	0.0868	0.112	0.0935	0.1038	0.1224	0.0921	0.0967	0.1057	0.0777	0.1014	0.1128	0.0955	0.1344	0.0951	0.0929	0.1046	0.0844	0.1333	0.0877	0.1313	0.1481	0.0966	0.1189	0.0957	0.1105	0.0973	0.1022	0.0978	0.1036	0.0826	0.0931	0.0901	0.1049	0.0778	0.0987	0.1134	0.0866	0.0909	0.1241	0.1109	0.09	0.1586	0.105	0.125	0.111	0.1225	0.1012	0.0966	0.0946	0.0966	0.0972	0.1267	0.0954	0.1092	0.1115	0.0726	0.0902	0.0939	0.1198	0.1106	0.1214	0.1175	0.1033	0.0865	0.1274	0.0929	0.0913	0.0753	0.1095	0.1439	0.1004	0.1183	0.1007	0.1039	0.0928	0.1116	0.1105	0.0963	0.1	0.0831	0.1125
lower0_perm_direct	-0.1719	-0.0833	-0.0387	-0.0428	-0.0379	-0.0477	-0.0387	-0.0343	-0.0454	-0.0413	-0.0393	-0.0382	-0.0409	-0.0394	-0.0396	-0.0368	-0.0382	-0.0434	-0.038	-0.0343	-0.0415	-0.0372	-0.0342	-0.0379	-0.0357	-0.037	-0.0365	-0.0327	-0.0358	-0.0355	-0.0323	-0.036	-0.0366	-0.0379	-0.0337	-0.036	-0.0362	-0.0362	-0.0397	-0.0452	-0.0368	-0.0362	-0.038	-0.043	-0.0359	-0.0411	-0.0326	-0.0341	-0.0342	-0.0392	-0.0387	-0.0384	-0.0363	-0.0331	-0.0413	-0.0313	-0.0378	-0.0368	-0.0381	-0.0362	-0.0694	-0.0344	-0.0388	-0.0372	-0.0407	-0.045	-0.0409	-0.0345	-0.0392	-0.0477	-0.0359	-0.0351	-0.0354	-0.0464	-0.0346	-0.036	-0.0355	-0.0466	-0.0396	-0.0399	-0.0348	-0.0374	-0.0349	-0.0397	-0.0396	-0.0319	-0.0345	-0.0332	-0.0503	-0.0346	-0.0351	-0.0386	-0.0364	-0.034	-0.0376	-0.0392	-0.0375	-0.0389	-0.0307	-0.0423
sad_vc_estimate	-0.1327	0.0416	0.0117	-0.0194	-0.0255	-0.0367	-0.0038	-0.0262	-0.0309	-0.0242	-0.0044	-0.0195	-0.0332	-0.0298	-0.0174	0.0206	0.0038	-0.0302	0.0248	-0.0057	-0.0272	-0.0022	-0.0277	0.031	-0.0181	-0.0181	-0.0082	0.0136	-0.0204	-0.0258	-0.0193	-0.0142	-0.0275	-0.0307	0.0519	0.0139	0.0638	-0.0276	0.12	0.0027	0.1317	0.0195	-0.0282	0.044	-0.0086	-0.0012	0.0066	0.0451	0.0203	-0.0209	-0.0213	0.0153	-0.0037	0.0022	-0.0116	-0.0232	-0.0306	-0.0303	0.024	-0.027	-0.0379	-0.0164	-0.0262	0.096	0.0374	0.0068	-0.0149	-0.0191	-0.0058	-0.0374	-0.0046	-0.0272	-0.0281	-0.017	-0.0279	-0.0169	-0.0105	-0.0358	0.0574	0.0864	-0.0263	-0.024	0.1158	0.0116	0.0555	-0.0048	0.1092	-0.0188	0.0187	-0.0257	-0.0278	0.046	-0.0269	-0.0011	-0.0286	-0.0314	-0.0302	-0.0264	-0.0161	-0.0351
sad_vc_estimate_se	1.4596	0.7504	0.3277	0.369	0.3292	0.4051	0.3436	0.2906	0.4013	0.3584	0.3333	0.3402	0.3661	0.3288	0.3309	0.3389	0.3425	0.3734	0.3373	0.2894	0.3532	0.3395	0.3046	0.3228	0.3203	0.3214	0.335	0.2944	0.3043	0.309	0.2929	0.3151	0.3159	0.3401	0.3068	0.3275	0.312	0.3338	0.3346	0.3892	0.3329	0.325	0.33	0.3641	0.3	0.3553	0.294	0.3021	0.2945	0.3341	0.3321	0.3349	0.3132	0.3005	0.3724	0.2814	0.3449	0.3359	0.3209	0.3203	0.6058	0.3089	0.3435	0.3251	0.3409	0.4104	0.3412	0.3159	0.3299	0.4119	0.3222	0.3149	0.3122	0.4135	0.3078	0.3062	0.2999	0.4111	0.3364	0.3382	0.2972	0.3345	0.2976	0.3335	0.3466	0.2891	0.295	0.2903	0.4207	0.3025	0.306	0.3251	0.3085	0.3089	0.3161	0.3477	0.3336	0.3274	0.2678	0.3865
sad_vc_pvals	0.987	0.212	0.265	0.567	0.736	0.959	0.438	0.94	0.704	0.659	0.418	0.581	0.967	0.964	0.525	0.214	0.357	0.735	0.226	0.411	0.715	0.381	0.964	0.203	0.564	0.574	0.441	0.279	0.671	0.807	0.63	0.543	0.849	0.934	0.136	0.241	0.13	0.765	0.065	0.369	0.042	0.272	0.81	0.174	0.432	0.337	0.312	0.143	0.203	0.578	0.62	0.296	0.372	0.363	0.423	0.785	0.864	0.94	0.259	0.799	0.642	0.578	0.73	0.05	0.205	0.304	0.508	0.624	0.415	0.965	0.407	0.84	0.926	0.488	0.964	0.572	0.497	0.855	0.134	0.078	0.864	0.648	0.04	0.315	0.106	0.436	0.025	0.625	0.256	0.811	0.977	0.14	0.847	0.38	0.935	0.928	0.946	0.76	0.634	0.968
upper95_perm_sad	0.4661	0.2135	0.1133	0.1135	0.1109	0.125	0.1328	0.0889	0.121	0.0951	0.1069	0.1163	0.1034	0.1134	0.1034	0.1024	0.128	0.1221	0.1046	0.1087	0.1173	0.1179	0.1113	0.1203	0.1047	0.0945	0.1153	0.0823	0.1163	0.1114	0.0947	0.1321	0.099	0.0972	0.114	0.0965	0.128	0.1015	0.1518	0.1349	0.1273	0.1319	0.0997	0.1285	0.1021	0.1027	0.1004	0.099	0.0873	0.0985	0.0922	0.1252	0.1028	0.105	0.1039	0.0885	0.0961	0.127	0.1264	0.0931	0.1729	0.1091	0.1441	0.1065	0.1365	0.1296	0.101	0.1184	0.117	0.1024	0.1259	0.1105	0.1003	0.1209	0.0864	0.1045	0.1192	0.1256	0.1136	0.1185	0.0996	0.1086	0.1104	0.1201	0.0942	0.0888	0.089	0.0957	0.1421	0.1157	0.1156	0.109	0.0924	0.1072	0.1139	0.1057	0.1046	0.1029	0.0918	0.1333
lower0_perm_sad	-0.172	-0.0841	-0.0386	-0.0433	-0.0356	-0.0453	-0.0404	-0.0323	-0.0468	-0.0402	-0.0395	-0.0384	-0.0428	-0.0395	-0.039	-0.0406	-0.0409	-0.0444	-0.0373	-0.0348	-0.0407	-0.0397	-0.0339	-0.0361	-0.0374	-0.0357	-0.0367	-0.0327	-0.0341	-0.036	-0.034	-0.0357	-0.0356	-0.0373	-0.035	-0.0392	-0.0348	-0.0369	-0.0375	-0.0433	-0.04	-0.0367	-0.037	-0.0438	-0.0351	-0.0399	-0.0331	-0.0343	-0.0345	-0.0385	-0.039	-0.039	-0.0353	-0.035	-0.0405	-0.0319	-0.0389	-0.0362	-0.0368	-0.0359	-0.0707	-0.0369	-0.0375	-0.0359	-0.0378	-0.0489	-0.0393	-0.0368	-0.0383	-0.0487	-0.0376	-0.0372	-0.0375	-0.0458	-0.0344	-0.035	-0.0323	-0.0487	-0.0394	-0.0404	-0.035	-0.0384	-0.0355	-0.038	-0.0417	-0.0337	-0.0328	-0.0344	-0.0489	-0.0331	-0.0359	-0.0387	-0.035	-0.0337	-0.0356	-0.0397	-0.0373	-0.0382	-0.03	-0.0451
