	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.0513	-0.0096	-0.0043	0.0605	-0.0024	-0.001	0.0064	-0.0048	-0.0018	-0.0056	-0.0045	-0.0061	0.0068	0.0092	-0.0045	-0.0052	-0.0055	-0.0035	0.0196	-0.0045	-0.0006	0.0064	0.0095	-0.0054	0.0352	0.0014	-0.002	-0.003	0.0012	0.0018	0.0016	0.0008	-0.0048	-0.004	0.044	0.0054	0.0164	0.0007	-0.0043	0.0196	-0.0019	0.0757	0.0122	0.0054	-0.004	-0.0006	0.0144	-0.0029	0.014	0.0061	-0.0018	0.0025	0.0211	-0.0053	-0.0018	0.0023	0.0081	-0.0021	0.0033	0.0396	-0.0049	-0.005	-0.0038	-0.002	-0.0045	-0.0	0.008	0.0007	-0.0004	0.0196	-0.0043	0.0021	-0.0028	0.0014	0.0098	0.0053	-0.0054	0.0959	-0.0029	0.0236	-0.0028	-0.0049	0.0095	0.0023	0.0206	0.0004	0.0169	-0.0019	0.0016	-0.0035	-0.0053	0.0003	0.0253	-0.0048	-0.0059	0.0005	0.0059	-0.0049	-0.003	0.0009
direct_vc_estimate_se	2.3419	1.0559	0.7419	0.6289	0.6247	0.6629	0.5839	0.5774	0.5727	0.6114	0.6254	0.6875	0.6194	0.5703	0.5742	0.5772	0.6206	0.5928	0.5509	0.5813	0.5534	0.5863	0.5913	0.5897	0.5573	0.5954	0.5657	0.6433	0.582	0.5758	0.6042	0.5931	0.5488	0.6545	0.5776	0.5669	0.5389	0.646	0.5667	0.5746	0.5809	0.5691	0.5549	0.5648	0.6053	0.5679	0.5777	0.5539	0.6029	0.5688	0.5932	0.5582	0.5704	0.5913	0.617	0.5858	0.6022	0.5451	0.5503	0.5607	0.6283	0.5529	0.5742	0.5805	0.5775	0.6988	0.5706	0.548	0.5413	0.5318	0.5948	0.5843	0.5554	0.673	0.5716	0.6413	0.6981	0.6214	0.571	0.5862	0.6048	0.5541	0.6567	0.5474	0.5799	0.5662	0.6201	0.6001	0.5501	0.5868	0.5977	0.5569	0.6006	0.5544	0.6407	0.5588	0.617	0.637	0.5756	0.5542
direct_vc_pvals	0.209	0.925	0.611	0.006	0.548	0.467	0.257	0.811	0.547	0.969	0.714	0.879	0.268	0.219	0.768	0.924	0.881	0.642	0.098	0.764	0.492	0.243	0.21	0.94	0.04	0.364	0.558	0.587	0.393	0.362	0.408	0.386	0.881	0.64	0.02	0.293	0.104	0.38	0.766	0.093	0.547	0.003	0.163	0.304	0.665	0.478	0.141	0.587	0.157	0.253	0.493	0.367	0.108	0.892	0.497	0.326	0.212	0.569	0.302	0.022	0.759	0.956	0.671	0.582	0.766	0.435	0.239	0.421	0.444	0.081	0.718	0.347	0.6	0.359	0.159	0.289	0.742	0.0	0.577	0.075	0.584	0.887	0.188	0.369	0.083	0.425	0.117	0.514	0.365	0.686	0.886	0.423	0.056	0.848	0.976	0.395	0.26	0.739	0.583	0.425
upper95_perm_direct	0.1944	0.0541	0.0459	0.0378	0.0385	0.0376	0.0344	0.0372	0.0397	0.0338	0.0456	0.0398	0.0398	0.043	0.0396	0.0377	0.0348	0.0359	0.0365	0.0359	0.0411	0.0375	0.0408	0.0421	0.039	0.031	0.0352	0.043	0.0367	0.0347	0.0428	0.0289	0.0378	0.038	0.0415	0.0387	0.0329	0.0351	0.0378	0.0368	0.0418	0.0373	0.0359	0.037	0.0385	0.038	0.0351	0.036	0.0369	0.0344	0.0356	0.0382	0.0438	0.0378	0.0382	0.0316	0.0352	0.0359	0.0343	0.0347	0.0371	0.0373	0.0374	0.0395	0.0361	0.0418	0.0381	0.038	0.0342	0.0324	0.0322	0.039	0.037	0.0364	0.0301	0.033	0.0377	0.0441	0.0327	0.0365	0.0347	0.0358	0.0376	0.032	0.0346	0.0344	0.0371	0.0348	0.0316	0.039	0.0322	0.035	0.033	0.0363	0.0387	0.0356	0.0363	0.0384	0.0313	0.0384
lower0_perm_direct	-0.0317	-0.0144	-0.0102	-0.0087	-0.0085	-0.0087	-0.0077	-0.0074	-0.0079	-0.0081	-0.0082	-0.0094	-0.0082	-0.0076	-0.0079	-0.0076	-0.0081	-0.008	-0.0075	-0.0078	-0.0075	-0.0078	-0.0076	-0.0076	-0.0074	-0.008	-0.0074	-0.0088	-0.0077	-0.0078	-0.008	-0.008	-0.0074	-0.0088	-0.0079	-0.0076	-0.007	-0.0088	-0.0075	-0.0078	-0.0077	-0.0075	-0.0073	-0.0076	-0.0083	-0.0079	-0.0079	-0.0076	-0.0078	-0.0079	-0.008	-0.0077	-0.0079	-0.008	-0.0085	-0.0076	-0.0083	-0.0071	-0.0075	-0.0076	-0.0086	-0.0074	-0.0077	-0.0074	-0.0079	-0.0096	-0.0075	-0.0074	-0.0073	-0.0071	-0.0078	-0.0079	-0.0073	-0.0093	-0.0079	-0.0088	-0.0096	-0.0086	-0.0078	-0.0076	-0.008	-0.0072	-0.009	-0.0072	-0.0077	-0.0075	-0.0083	-0.0082	-0.0074	-0.0081	-0.0081	-0.0077	-0.0082	-0.0074	-0.0084	-0.0076	-0.0081	-0.0085	-0.0077	-0.0072
sad_vc_estimate	0.0045	-0.0101	-0.007	0.0804	-0.006	-0.0038	0.0229	0.0017	-0.0051	-0.006	-0.0047	-0.0019	0.0283	0.0345	-0.0035	-0.0042	-0.0047	-0.0056	0.0269	-0.0025	-0.0049	0.0195	0.0199	-0.0049	0.0094	0.0023	-0.004	0.0051	0.0024	-0.0001	0.0049	0.0109	0.0069	0.0008	0.0428	-0.0003	0.0135	0.0095	-0.0054	0.0355	-0.0047	0.089	0.0114	0.0486	0.0021	0.0131	0.0074	-0.0051	0.0022	0.0213	0.0155	0.02	-0.0028	-0.005	-0.006	0.0039	0.0083	-0.0053	0.0176	0.0373	-0.0052	-0.0039	0.002	-0.0024	0.0056	0.0107	0.0127	0.0109	-0.0005	0.0772	-0.0014	0.0176	-0.001	0.017	-0.0019	0.0027	-0.0054	0.113	-0.0036	0.02	-0.0029	0.0043	0.0119	-0.0033	0.0348	-0.0001	0.0087	-0.0058	0.0236	-0.0029	-0.0058	0.0026	0.0155	-0.0039	-0.0019	-0.0047	0.0252	-0.0034	-0.0035	-0.0036
sad_vc_estimate_se	2.4911	1.1209	0.7882	0.6721	0.6659	0.7023	0.6241	0.6164	0.6115	0.6501	0.6644	0.7256	0.6587	0.6089	0.6132	0.6172	0.6585	0.631	0.589	0.6219	0.5917	0.624	0.6298	0.6291	0.5951	0.6334	0.6034	0.6807	0.62	0.613	0.6419	0.6308	0.5864	0.6921	0.6151	0.6041	0.576	0.6845	0.6042	0.6125	0.6193	0.6067	0.5921	0.6023	0.6436	0.6053	0.6155	0.591	0.6403	0.6061	0.6303	0.5961	0.6081	0.6305	0.6551	0.6241	0.64	0.5821	0.5871	0.5985	0.6656	0.5904	0.6116	0.6173	0.6152	0.7369	0.6077	0.5844	0.5795	0.5694	0.6317	0.622	0.5925	0.7096	0.6099	0.678	0.7347	0.6593	0.6084	0.6234	0.6421	0.5915	0.6941	0.5841	0.6166	0.604	0.6571	0.6375	0.5872	0.6242	0.6347	0.5941	0.6374	0.5916	0.6772	0.596	0.6534	0.6743	0.6125	0.5929
sad_vc_pvals	0.466	0.936	0.9	0.006	0.935	0.651	0.123	0.417	0.834	0.983	0.76	0.544	0.102	0.062	0.671	0.758	0.745	0.911	0.096	0.589	0.838	0.135	0.142	0.791	0.229	0.377	0.691	0.325	0.434	0.499	0.346	0.212	0.283	0.463	0.04	0.507	0.215	0.241	0.918	0.049	0.772	0.007	0.23	0.031	0.4	0.204	0.277	0.869	0.39	0.133	0.19	0.141	0.636	0.785	0.98	0.322	0.255	0.924	0.162	0.069	0.799	0.703	0.405	0.603	0.288	0.246	0.204	0.23	0.484	0.005	0.557	0.166	0.573	0.174	0.56	0.356	0.759	0.004	0.691	0.155	0.611	0.381	0.183	0.659	0.061	0.463	0.249	0.928	0.091	0.599	0.963	0.387	0.171	0.685	0.55	0.796	0.098	0.623	0.664	0.687
upper95_perm_sad	0.2194	0.0748	0.0544	0.0534	0.049	0.0552	0.0501	0.0491	0.0572	0.0426	0.0568	0.0432	0.0544	0.0494	0.0494	0.0477	0.0518	0.0492	0.0454	0.0506	0.0512	0.0489	0.0489	0.0492	0.0508	0.0368	0.049	0.0468	0.0477	0.046	0.0526	0.051	0.0407	0.046	0.0475	0.048	0.0534	0.0456	0.0492	0.0454	0.0444	0.0464	0.0488	0.0455	0.0545	0.0506	0.0467	0.0454	0.0349	0.0464	0.0431	0.0458	0.0504	0.0461	0.0488	0.0424	0.0517	0.0491	0.0468	0.0513	0.0473	0.0423	0.0488	0.0484	0.048	0.0566	0.0418	0.0504	0.0401	0.0468	0.0487	0.0548	0.0478	0.05	0.0488	0.0483	0.0487	0.0518	0.0506	0.05	0.0438	0.0563	0.0395	0.0465	0.0475	0.0447	0.0499	0.0503	0.0389	0.0477	0.0389	0.0459	0.0464	0.0389	0.0464	0.0487	0.0435	0.0413	0.0438	0.0476
lower0_perm_sad	-0.0344	-0.0147	-0.0109	-0.0089	-0.0092	-0.0096	-0.0085	-0.0083	-0.008	-0.0086	-0.0087	-0.01	-0.009	-0.0082	-0.008	-0.0084	-0.0091	-0.0082	-0.0076	-0.0083	-0.008	-0.0083	-0.0083	-0.0085	-0.0079	-0.0083	-0.0078	-0.0089	-0.008	-0.0082	-0.0089	-0.0086	-0.0076	-0.0095	-0.0081	-0.008	-0.0078	-0.0092	-0.0082	-0.0084	-0.0085	-0.0084	-0.0078	-0.0081	-0.0085	-0.0083	-0.0083	-0.0078	-0.0084	-0.0079	-0.0087	-0.0082	-0.0079	-0.0087	-0.0085	-0.0083	-0.0084	-0.008	-0.0076	-0.0077	-0.0091	-0.0081	-0.0084	-0.0082	-0.008	-0.01	-0.0081	-0.0074	-0.0079	-0.0076	-0.0088	-0.008	-0.0079	-0.0091	-0.0084	-0.0093	-0.0101	-0.0088	-0.0081	-0.0081	-0.0085	-0.0078	-0.0092	-0.0075	-0.0085	-0.0077	-0.0088	-0.0088	-0.0078	-0.0083	-0.0084	-0.0079	-0.0084	-0.0082	-0.0091	-0.0081	-0.0085	-0.0087	-0.0084	-0.0077
