	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.0006	0.0061	0.0053	0.0252	-0.001	-0.0015	-0.0011	-0.0009	0.0001	-0.0005	0.0209	0.0025	-0.001	0.0109	0.0217	0.0003	0.0002	0.0209	0.0088	0.015	-0.0006	0.0029	0.0021	0.0015	-0.0006	-0.0	0.0065	0.019	0.0384	-0.0003	0.0011	-0.0005	-0.001	0.0071	0.0056	0.0023	0.008	-0.0009	-0.0006	0.0021	0.0048	0.0049	0.0063	0.0077	0.0114	0.0012	-0.0003	-0.0003	0.0002	0.0001	0.0094	0.0023	0.003	-0.0004	-0.0004	-0.0005	-0.001	0.0005	0.0074	0.0012	-0.001	0.0003	-0.0009	0.0167	-0.0005	0.0087	0.0131	0.0107	-0.0005	0.0004	0.0011	0.004	0.0081	0.0022	0.0038	-0.0008	0.0025	-0.0008	0.0067	-0.0005	0.0046	0.0002	0.0025	0.0061	0.0006	0.0028	-0.0003	0.003	-0.0004	0.0006	-0.0008	0.0075	0.0159	0.0002	-0.0007	0.0021	-0.0007	0.0024	0.0044	0.0069
direct_vc_estimate_se	0.0179	0.0076	0.0048	0.006	0.005	0.0094	0.0055	0.0074	0.0098	0.0052	0.0064	0.005	0.007	0.0081	0.0051	0.0067	0.0076	0.0057	0.0057	0.0077	0.0064	0.0056	0.0066	0.0069	0.006	0.0062	0.0043	0.0056	0.007	0.0055	0.005	0.0054	0.0052	0.0052	0.0059	0.0054	0.0066	0.006	0.0058	0.0062	0.0055	0.0059	0.0064	0.0049	0.005	0.0053	0.0047	0.0049	0.0058	0.0054	0.0046	0.0052	0.005	0.0046	0.0043	0.0046	0.0051	0.0046	0.0047	0.0052	0.0054	0.0062	0.0059	0.0058	0.0053	0.0056	0.0049	0.0042	0.0058	0.0053	0.0047	0.0047	0.0049	0.0054	0.004	0.0047	0.004	0.004	0.0063	0.0053	0.0049	0.0049	0.0045	0.0063	0.0045	0.0046	0.005	0.0046	0.0055	0.0045	0.0047	0.0049	0.0049	0.0049	0.0046	0.0041	0.0045	0.0041	0.004	0.0043
direct_vc_pvals	0.655	0.242	0.162	0.061	0.979	0.684	0.951	0.786	0.461	0.713	0.059	0.333	0.757	0.172	0.057	0.543	0.401	0.063	0.079	0.283	0.671	0.129	0.213	0.351	0.7	0.679	0.055	0.055	0.035	0.733	0.586	0.752	0.97	0.089	0.096	0.622	0.084	0.768	0.679	0.391	0.399	0.063	0.405	0.15	0.161	0.48	0.726	0.681	0.507	0.593	0.08	0.306	0.277	0.704	0.632	0.791	0.941	0.542	0.045	0.509	0.939	0.563	0.852	0.072	0.782	0.18	0.075	0.04	0.657	0.43	0.545	0.12	0.137	0.375	0.334	0.897	0.203	0.959	0.194	0.807	0.272	0.54	0.275	0.512	0.601	0.491	0.65	0.567	0.781	0.518	0.827	0.327	0.032	0.533	0.768	0.261	0.827	0.273	0.239	0.12
upper95_perm_direct	0.0541	0.0227	0.0126	0.0322	0.0136	0.0071	0.0283	0.0235	0.0129	0.016	0.0257	0.0135	0.0164	0.0226	0.027	0.0183	0.0111	0.0264	0.013	0.0458	0.0137	0.0062	0.0087	0.012	0.0158	0.0207	0.0077	0.0237	0.0402	0.0212	0.0191	0.0214	0.0153	0.0115	0.0086	0.049	0.0124	0.0148	0.0102	0.0182	0.0323	0.0063	0.0283	0.0158	0.0247	0.0183	0.016	0.0143	0.0128	0.0147	0.014	0.0128	0.012	0.0123	0.0085	0.022	0.0175	0.014	0.0084	0.0189	0.0119	0.0181	0.0317	0.0226	0.0248	0.0192	0.0191	0.0118	0.0128	0.0097	0.0199	0.0077	0.0172	0.0151	0.0203	0.0169	0.0079	0.019	0.0189	0.023	0.0181	0.0104	0.0089	0.0426	0.0212	0.0279	0.013	0.0306	0.0177	0.0142	0.0125	0.0289	0.0158	0.0099	0.0122	0.009	0.0168	0.0109	0.0138	0.0135
lower0_perm_direct	-0.0052	-0.0024	-0.0014	-0.0017	-0.0014	-0.0027	-0.0016	-0.0021	-0.0028	-0.0014	-0.0019	-0.0015	-0.002	-0.0022	-0.0016	-0.002	-0.0022	-0.0016	-0.0016	-0.0021	-0.0018	-0.0016	-0.002	-0.002	-0.0017	-0.002	-0.0012	-0.0016	-0.002	-0.0016	-0.0016	-0.0016	-0.0015	-0.0015	-0.0018	-0.0015	-0.0021	-0.0017	-0.0017	-0.0019	-0.0016	-0.0019	-0.0018	-0.0014	-0.0015	-0.0015	-0.0014	-0.0014	-0.0017	-0.0016	-0.0013	-0.0015	-0.0014	-0.0014	-0.0012	-0.0013	-0.0014	-0.0013	-0.0014	-0.0016	-0.0015	-0.0018	-0.0018	-0.0018	-0.0015	-0.0017	-0.0014	-0.0012	-0.0017	-0.0016	-0.0013	-0.0014	-0.0014	-0.0016	-0.0012	-0.0014	-0.0011	-0.0011	-0.0018	-0.0015	-0.0014	-0.0015	-0.0013	-0.0017	-0.0013	-0.0013	-0.0016	-0.0013	-0.0016	-0.0013	-0.0014	-0.0013	-0.0013	-0.0014	-0.0013	-0.0012	-0.0012	-0.0012	-0.0013	-0.0013
sad_vc_estimate	-0.0017	0.0093	0.0065	0.0452	-0.0005	-0.0017	-0.0002	0.0003	0.0042	0.0084	0.0572	0.0005	0.0019	0.0186	0.037	0.0073	-0.0004	0.0561	0.0177	0.0377	0.0025	-0.0003	-0.0008	0.0057	0.0056	0.0013	0.017	0.0738	0.1044	0.0041	0.017	-0.0011	0.0035	0.0166	0.0299	0.0088	0.0023	-0.0012	0.0091	0.0056	0.0194	0.0206	0.0479	0.0519	0.0204	0.0011	-0.0008	0.0	-0.0011	0.0196	0.0241	0.0124	0.0146	-0.0009	-0.0007	-0.0006	-0.001	0.0009	0.0061	0.0025	-0.0009	0.0063	-0.0006	0.0316	0.0004	0.027	0.0239	0.0286	0.0027	-0.0	-0.0	0.0026	0.0228	0.0006	0.0197	-0.0007	0.0011	-0.0004	0.018	-0.0005	0.0147	-0.0008	0.0048	0.0063	0.0046	0.0149	0.0117	0.0063	0.0117	0.0135	-0.0007	0.0081	0.0516	0.0003	-0.0006	0.0134	0.0002	0.0056	0.0052	0.0244
sad_vc_estimate_se	0.0181	0.0076	0.0049	0.0061	0.005	0.0095	0.0056	0.0075	0.01	0.0052	0.0065	0.0051	0.0071	0.0082	0.0051	0.0068	0.0077	0.0058	0.0058	0.0078	0.0064	0.0056	0.0066	0.0069	0.0061	0.0063	0.0044	0.0057	0.007	0.0056	0.0051	0.0054	0.0052	0.0053	0.0059	0.0054	0.0067	0.006	0.0059	0.0063	0.0056	0.006	0.0065	0.0049	0.0051	0.0054	0.0048	0.0049	0.0059	0.0055	0.0047	0.0053	0.0051	0.0047	0.0043	0.0047	0.0052	0.0047	0.0048	0.0053	0.0054	0.0062	0.0059	0.0059	0.0053	0.0057	0.005	0.0042	0.0059	0.0053	0.0048	0.0048	0.0049	0.0055	0.004	0.0047	0.0041	0.0041	0.0064	0.0053	0.005	0.005	0.0045	0.0064	0.0046	0.0047	0.0051	0.0047	0.0056	0.0045	0.0048	0.0049	0.005	0.005	0.0047	0.0042	0.0046	0.0042	0.0041	0.0044
sad_vc_pvals	0.815	0.437	0.358	0.106	0.78	0.927	0.836	0.768	0.683	0.352	0.032	0.676	0.61	0.253	0.119	0.329	0.75	0.039	0.139	0.281	0.553	0.708	0.791	0.348	0.434	0.69	0.033	0.01	0.017	0.54	0.27	0.973	0.509	0.097	0.027	0.533	0.473	0.964	0.223	0.389	0.318	0.02	0.105	0.025	0.244	0.674	0.899	0.736	0.946	0.117	0.06	0.208	0.12	0.947	0.866	0.863	0.957	0.671	0.201	0.567	0.87	0.456	0.834	0.108	0.758	0.19	0.089	0.021	0.513	0.692	0.794	0.381	0.165	0.617	0.186	0.886	0.549	0.874	0.182	0.88	0.201	0.842	0.324	0.633	0.51	0.368	0.191	0.576	0.343	0.193	0.874	0.531	0.004	0.692	0.809	0.083	0.736	0.354	0.447	0.056
upper95_perm_sad	0.1262	0.0643	0.0372	0.0744	0.0259	0.0456	0.0635	0.0855	0.0782	0.0454	0.0572	0.0362	0.0508	0.0643	0.0656	0.0387	0.045	0.0553	0.033	0.1221	0.0367	0.0248	0.0293	0.0297	0.0449	0.0573	0.0171	0.0523	0.0908	0.0581	0.0494	0.0479	0.0372	0.0267	0.0279	0.099	0.0267	0.0379	0.03	0.0395	0.0725	0.0164	0.0749	0.0464	0.0607	0.046	0.0378	0.0373	0.0331	0.0351	0.0304	0.0356	0.0265	0.0291	0.0241	0.0528	0.0346	0.0345	0.0184	0.0426	0.0295	0.0585	0.062	0.0526	0.0603	0.0605	0.0358	0.0271	0.0357	0.0273	0.0448	0.021	0.0506	0.0316	0.0522	0.0408	0.0208	0.0488	0.0457	0.0614	0.0391	0.0248	0.023	0.1047	0.0424	0.065	0.03	0.0663	0.0449	0.0326	0.0327	0.0671	0.0352	0.0264	0.0266	0.0206	0.0438	0.0284	0.0333	0.0298
lower0_perm_sad	-0.0053	-0.0022	-0.0013	-0.0019	-0.0014	-0.0026	-0.0015	-0.0021	-0.0029	-0.0015	-0.0019	-0.0014	-0.0021	-0.0023	-0.0016	-0.002	-0.0023	-0.0017	-0.0016	-0.0023	-0.0018	-0.0016	-0.0019	-0.0021	-0.0017	-0.0018	-0.0012	-0.0016	-0.0019	-0.0016	-0.0013	-0.0017	-0.0015	-0.0016	-0.0018	-0.0016	-0.0021	-0.0017	-0.0017	-0.0017	-0.0016	-0.0018	-0.0019	-0.0015	-0.0014	-0.0016	-0.0014	-0.0014	-0.0017	-0.0016	-0.0014	-0.0016	-0.0015	-0.0012	-0.0013	-0.0013	-0.0014	-0.0013	-0.0014	-0.0016	-0.0015	-0.0017	-0.0016	-0.0019	-0.0015	-0.0016	-0.0014	-0.0012	-0.0016	-0.0016	-0.0014	-0.0014	-0.0013	-0.0017	-0.0011	-0.0014	-0.0011	-0.0011	-0.0018	-0.0016	-0.0014	-0.0014	-0.0013	-0.0019	-0.0013	-0.0013	-0.0015	-0.0013	-0.0016	-0.0013	-0.0014	-0.0014	-0.0015	-0.0014	-0.0015	-0.0012	-0.0012	-0.0012	-0.0012	-0.0013
