	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.0159	0.0428	0.0443	0.0018	0.0121	-0.0001	0.0292	0.0027	0.0179	0.0047	0.0087	0.0655	-0.0044	0.0022	0.014	0.0114	-0.0005	0.0052	0.0042	-0.0047	-0.0048	-0.0008	-0.0029	0.0015	0.0292	0.0038	0.0039	-0.0035	-0.0035	0.0004	0.0144	0.0001	0.03	0.0053	-0.0045	-0.0041	-0.0051	-0.0056	-0.001	0.017	0.0042	-0.0022	0.0191	0.0026	0.0058	0.0237	-0.0042	0.0311	-0.0027	0.0159	-0.0049	0.0108	0.0101	0.0033	-0.004	-0.004	0.0804	-0.0005	0.0025	-0.001	0.0026	0.0107	-0.0022	-0.0048	-0.0075	-0.0008	0.0008	0.0224	-0.0035	0.0046	-0.0021	0.0127	-0.0026	0.0172	0.0083	-0.002	-0.0041	-0.0023	0.0032	0.0245	-0.0026	-0.0036	-0.0044	-0.0039	-0.0046	0.0067	0.0077	0.0017	-0.0049	0.0003	0.0011	0.0097	0.0039	0.004	-0.0025	0.0002	0.013	0.0078	0.0121	0.0221
direct_vc_estimate_se	0.0837	0.0373	0.0427	0.0342	0.0243	0.0239	0.0271	0.0273	0.0274	0.0246	0.0264	0.0324	0.0247	0.0243	0.025	0.0299	0.0237	0.0296	0.0277	0.0252	0.0252	0.0246	0.0355	0.0299	0.0242	0.0243	0.0343	0.0259	0.0277	0.0237	0.0259	0.0295	0.0246	0.0224	0.0238	0.0232	0.0269	0.0353	0.0304	0.0229	0.0231	0.0267	0.0305	0.0241	0.0224	0.0343	0.0218	0.0256	0.0294	0.0235	0.0271	0.0221	0.027	0.0314	0.0207	0.024	0.0296	0.0215	0.0238	0.0287	0.0322	0.0226	0.027	0.0253	0.0395	0.0332	0.0224	0.0227	0.0295	0.0446	0.0356	0.0316	0.0262	0.0235	0.0223	0.0229	0.0215	0.0277	0.0236	0.027	0.0224	0.0237	0.0268	0.0246	0.0242	0.0258	0.0218	0.0226	0.03	0.0231	0.0236	0.0214	0.0231	0.0239	0.0213	0.0247	0.034	0.0292	0.0235	0.0254
direct_vc_pvals	0.946	0.144	0.086	0.443	0.181	0.522	0.108	0.483	0.174	0.347	0.326	0.019	0.818	0.409	0.173	0.366	0.559	0.339	0.438	0.934	0.944	0.577	0.658	0.504	0.062	0.359	0.431	0.684	0.707	0.42	0.27	0.498	0.123	0.272	0.948	0.847	0.96	0.808	0.519	0.152	0.334	0.636	0.238	0.476	0.359	0.157	0.977	0.101	0.622	0.214	0.889	0.243	0.299	0.426	0.965	0.789	0.009	0.536	0.432	0.561	0.446	0.223	0.623	0.935	0.974	0.529	0.529	0.084	0.716	0.478	0.574	0.276	0.684	0.219	0.243	0.597	0.924	0.602	0.433	0.103	0.689	0.785	0.805	0.776	0.976	0.296	0.277	0.423	0.803	0.536	0.54	0.268	0.364	0.441	0.692	0.477	0.3	0.274	0.22	0.118
upper95_perm_direct	0.088	0.0816	0.0695	0.0416	0.0363	0.0412	0.0477	0.0617	0.0451	0.041	0.0542	0.0539	0.0289	0.0346	0.0336	0.0686	0.0404	0.0437	0.0624	0.0566	0.0409	0.0443	0.0569	0.0517	0.0356	0.0455	0.0696	0.033	0.0482	0.0314	0.0573	0.0447	0.0583	0.0295	0.0491	0.041	0.055	0.0643	0.0447	0.0341	0.035	0.0419	0.0604	0.0532	0.0501	0.0505	0.029	0.0496	0.0505	0.0501	0.0501	0.0401	0.0503	0.0456	0.0404	0.0347	0.0476	0.038	0.0381	0.0469	0.0499	0.0364	0.0408	0.0348	0.0476	0.0487	0.0423	0.0306	0.0623	0.07	0.044	0.0573	0.041	0.0516	0.0351	0.0372	0.0262	0.035	0.0467	0.0435	0.038	0.051	0.0484	0.0315	0.0466	0.041	0.0356	0.0322	0.0498	0.0414	0.0478	0.0422	0.0362	0.0525	0.0434	0.0318	0.0563	0.0333	0.0382	0.0399
lower0_perm_direct	-0.0217	-0.0089	-0.0112	-0.0089	-0.0059	-0.0059	-0.0067	-0.0069	-0.0072	-0.0062	-0.0064	-0.008	-0.0063	-0.0058	-0.0062	-0.0078	-0.006	-0.0073	-0.007	-0.006	-0.0066	-0.0061	-0.0092	-0.0073	-0.0061	-0.0062	-0.008	-0.0067	-0.0065	-0.006	-0.0066	-0.0072	-0.006	-0.0054	-0.0059	-0.0058	-0.0068	-0.0092	-0.008	-0.0056	-0.0059	-0.0069	-0.0076	-0.0057	-0.0057	-0.0087	-0.0054	-0.0063	-0.0071	-0.0055	-0.0067	-0.0055	-0.0066	-0.0078	-0.0052	-0.0061	-0.0076	-0.0055	-0.0057	-0.007	-0.0081	-0.0057	-0.0066	-0.0059	-0.0099	-0.0083	-0.0054	-0.0054	-0.0076	-0.0114	-0.009	-0.008	-0.0067	-0.006	-0.0057	-0.0057	-0.0055	-0.0069	-0.0061	-0.0065	-0.0057	-0.0057	-0.0066	-0.0063	-0.0062	-0.0065	-0.0055	-0.0057	-0.0076	-0.0059	-0.0057	-0.0053	-0.0058	-0.0058	-0.0054	-0.0064	-0.0087	-0.0073	-0.0061	-0.0064
sad_vc_estimate	-0.0159	0.0642	0.056	0.0074	0.0248	0.0121	0.1009	0.0029	0.0215	0.0112	0.0006	0.114	-0.0048	-0.0011	0.0185	0.0017	0.0071	-0.0055	-0.0007	-0.0049	-0.0039	-0.0039	-0.0032	0.0038	0.0544	-0.0041	-0.0044	-0.0032	-0.0035	0.0161	0.0366	0.0125	0.0433	-0.002	-0.0046	-0.0014	-0.002	0.0012	-0.0021	0.0124	0.012	0.0016	0.0331	0.016	0.0161	0.0181	-0.0042	0.0514	0.0127	0.0533	0.0062	0.0181	0.0119	-0.0041	0.0023	-0.0024	0.0846	-0.003	0.0158	0.0084	0.0016	0.0061	-0.002	-0.0045	-0.0055	0.0008	0.0049	0.0306	-0.0055	0.0207	-0.0057	0.0401	0.0031	0.0217	0.0002	-0.0044	-0.004	0.0011	-0.0006	0.0419	-0.0021	-0.0045	-0.0046	-0.0013	-0.0034	0.0243	-0.0024	0.0122	-0.0027	0.0111	-0.0006	0.0108	0.0188	0.0104	-0.0013	0.0318	0.1059	0.0326	0.0412	0.0206
sad_vc_estimate_se	0.0842	0.0376	0.0429	0.0344	0.0244	0.024	0.0273	0.0275	0.0276	0.0248	0.0266	0.0326	0.0249	0.0244	0.0252	0.03	0.0238	0.0298	0.0279	0.0254	0.0254	0.0247	0.0357	0.0301	0.0243	0.0245	0.0344	0.026	0.0278	0.0238	0.026	0.0297	0.0247	0.0226	0.024	0.0234	0.027	0.0354	0.0305	0.023	0.0233	0.0268	0.0306	0.0242	0.0226	0.0345	0.0219	0.0258	0.0295	0.0237	0.0273	0.0222	0.0272	0.0316	0.0209	0.0241	0.0297	0.0216	0.0239	0.0289	0.0323	0.0228	0.0272	0.0254	0.0396	0.0334	0.0226	0.0228	0.0297	0.0447	0.0358	0.0317	0.0264	0.0237	0.0225	0.023	0.0216	0.0278	0.0238	0.0272	0.0225	0.0238	0.027	0.0248	0.0243	0.026	0.0219	0.0228	0.0302	0.0233	0.0237	0.0216	0.0232	0.024	0.0215	0.0249	0.0342	0.0293	0.0236	0.0255
sad_vc_pvals	0.935	0.18	0.149	0.409	0.2	0.318	0.021	0.61	0.301	0.351	0.612	0.014	0.992	0.653	0.254	0.637	0.413	0.914	0.672	0.997	0.81	0.83	0.694	0.536	0.084	0.869	0.775	0.726	0.776	0.236	0.249	0.317	0.181	0.681	0.996	0.687	0.749	0.6	0.667	0.292	0.296	0.574	0.216	0.377	0.326	0.341	0.954	0.103	0.355	0.099	0.422	0.266	0.402	0.782	0.537	0.697	0.054	0.796	0.273	0.454	0.51	0.436	0.718	0.893	0.798	0.499	0.485	0.122	0.93	0.335	0.82	0.177	0.538	0.304	0.581	0.966	0.925	0.562	0.695	0.108	0.712	0.985	0.882	0.605	0.805	0.199	0.733	0.265	0.718	0.364	0.701	0.376	0.25	0.449	0.715	0.13	0.036	0.091	0.081	0.238
upper95_perm_sad	0.2071	0.1462	0.1164	0.0756	0.0659	0.0677	0.0706	0.1223	0.0932	0.0685	0.0817	0.0891	0.0582	0.0768	0.0701	0.13	0.0586	0.0688	0.0957	0.1074	0.0688	0.0871	0.0779	0.0973	0.0739	0.0798	0.0877	0.0551	0.0881	0.0628	0.1225	0.0718	0.0999	0.0568	0.0802	0.0675	0.1096	0.1079	0.0654	0.0577	0.0615	0.0843	0.0934	0.1002	0.091	0.0955	0.0489	0.0769	0.0836	0.0845	0.0718	0.0678	0.102	0.0753	0.0683	0.066	0.0951	0.0541	0.0692	0.0905	0.0673	0.0689	0.0761	0.0561	0.0768	0.0675	0.0733	0.0558	0.1013	0.109	0.079	0.1025	0.0715	0.0789	0.0569	0.0555	0.0455	0.0595	0.0806	0.0665	0.0754	0.0996	0.0821	0.0589	0.0659	0.0692	0.0648	0.052	0.0735	0.0732	0.0928	0.0693	0.0646	0.0965	0.0726	0.0642	0.1026	0.0493	0.0558	0.0648
lower0_perm_sad	-0.0217	-0.0097	-0.0111	-0.0085	-0.006	-0.0059	-0.0068	-0.0071	-0.007	-0.006	-0.0064	-0.0083	-0.0062	-0.006	-0.0064	-0.0076	-0.0059	-0.0076	-0.0067	-0.0061	-0.0061	-0.0059	-0.0089	-0.0074	-0.0064	-0.0063	-0.009	-0.0067	-0.0069	-0.0058	-0.006	-0.0078	-0.0062	-0.0057	-0.0058	-0.0058	-0.0067	-0.0092	-0.0077	-0.0055	-0.0057	-0.0067	-0.008	-0.0058	-0.0057	-0.0089	-0.0056	-0.0062	-0.0073	-0.0058	-0.0069	-0.0053	-0.0069	-0.0076	-0.0054	-0.0059	-0.0074	-0.0055	-0.006	-0.007	-0.0083	-0.0057	-0.0066	-0.0063	-0.0099	-0.0084	-0.0054	-0.0057	-0.0078	-0.0106	-0.009	-0.0079	-0.0066	-0.0058	-0.0053	-0.0055	-0.0056	-0.0072	-0.0058	-0.007	-0.0058	-0.0059	-0.0064	-0.0064	-0.0059	-0.0065	-0.0053	-0.0059	-0.0073	-0.0055	-0.0059	-0.0055	-0.0057	-0.0057	-0.0056	-0.0063	-0.0081	-0.0072	-0.006	-0.0065
