	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.1652	-0.1122	-0.0046	-0.0274	-0.0091	0.0219	0.0048	-0.0019	-0.0024	-0.0014	-0.0001	-0.0028	0.0038	-0.0021	0.0001	-0.0027	0.003	0.0072	0.0042	-0.0022	-0.0018	-0.0013	0.0086	-0.0009	-0.0024	0.0017	-0.0019	0.0047	-0.0029	-0.0019	-0.0014	-0.0026	0.0092	-0.0007	0.0027	-0.0027	-0.0008	-0.0011	0.0111	-0.0027	-0.0025	-0.0004	0.0085	-0.0012	-0.0021	0.0078	0.0132	-0.0013	-0.0025	-0.0027	-0.0026	-0.0026	-0.0015	-0.0017	0.0078	-0.0025	-0.0025	-0.0026	0.0149	-0.0022	-0.0024	0.0007	-0.0025	-0.0019	0.0077	-0.0019	-0.002	-0.0029	-0.0028	-0.0013	-0.0025	0.0038	-0.0027	-0.0026	-0.0019	0.01	-0.0014	-0.0024	0.0114	-0.0023	0.0023	0.0051	-0.0023	-0.0024	0.0105	0.0028	-0.0023	-0.0017	-0.0011	0.0035	0.0051	-0.0027	-0.0026	0.0027	-0.0022	0.0057	-0.0018	-0.0017	-0.0027	-0.0026
direct_vc_estimate_se	1.3691	0.8246	0.299	0.2177	0.082	0.0474	0.0368	0.0353	0.0283	0.0234	0.024	0.0249	0.0223	0.0217	0.021	0.0217	0.0199	0.0183	0.0216	0.0176	0.0213	0.0207	0.0195	0.0191	0.0201	0.0192	0.0186	0.019	0.0213	0.0188	0.0195	0.0187	0.0199	0.0202	0.0183	0.0206	0.019	0.0183	0.0195	0.0202	0.0197	0.0186	0.0192	0.0205	0.0179	0.0211	0.0214	0.0183	0.0184	0.0205	0.0199	0.0209	0.0193	0.0183	0.0237	0.0182	0.0209	0.0199	0.0179	0.0197	0.0192	0.0178	0.0186	0.0191	0.0189	0.0188	0.0185	0.0211	0.0201	0.0207	0.0182	0.0188	0.0195	0.0197	0.0208	0.0189	0.0177	0.0188	0.0184	0.0213	0.0237	0.0179	0.0189	0.0184	0.0189	0.0196	0.0185	0.0207	0.0192	0.0201	0.0185	0.0205	0.0194	0.0177	0.0183	0.0199	0.0177	0.0187	0.0201	0.0192
direct_vc_pvals	0.703	0.906	0.389	0.79	0.732	0.043	0.168	0.53	0.59	0.494	0.421	0.731	0.19	0.64	0.373	0.779	0.191	0.089	0.188	0.839	0.614	0.547	0.107	0.522	0.733	0.314	0.697	0.186	0.903	0.676	0.584	0.947	0.099	0.512	0.23	0.814	0.527	0.559	0.07	0.893	0.837	0.464	0.099	0.516	0.773	0.154	0.071	0.598	0.979	0.888	0.847	0.815	0.608	0.646	0.13	0.979	0.796	0.855	0.043	0.716	0.794	0.4	0.865	0.642	0.1	0.683	0.702	0.903	0.97	0.538	0.953	0.222	0.929	0.849	0.643	0.082	0.625	0.839	0.07	0.724	0.301	0.164	0.763	0.832	0.062	0.249	0.794	0.598	0.557	0.24	0.166	0.89	0.919	0.283	0.76	0.134	0.711	0.657	0.939	0.886
upper95_perm_direct	0.648	0.4205	0.1743	0.1194	0.0852	0.0223	0.0158	0.0287	0.0171	0.0118	0.0181	0.0164	0.014	0.012	0.013	0.0124	0.0117	0.0117	0.0146	0.0132	0.017	0.0165	0.0144	0.0171	0.0158	0.0165	0.0146	0.0148	0.0168	0.0145	0.0148	0.0176	0.0156	0.0157	0.0141	0.0152	0.018	0.015	0.0157	0.0157	0.0149	0.0165	0.0155	0.0175	0.0148	0.0207	0.0185	0.0137	0.0142	0.0166	0.0176	0.0152	0.0157	0.0142	0.0167	0.0168	0.0171	0.0161	0.0154	0.0144	0.0155	0.0138	0.0141	0.014	0.0131	0.0143	0.0147	0.0164	0.0164	0.0166	0.0121	0.0174	0.018	0.0146	0.0142	0.014	0.0146	0.0151	0.0162	0.0164	0.0191	0.0155	0.0155	0.0156	0.0137	0.0159	0.0184	0.0155	0.0168	0.0164	0.0133	0.0163	0.0149	0.0149	0.0171	0.0147	0.0163	0.0162	0.0147	0.017
lower0_perm_direct	-0.2453	-0.143	-0.0521	-0.0371	-0.0141	-0.0086	-0.0066	-0.0062	-0.0049	-0.0042	-0.0042	-0.0043	-0.004	-0.0037	-0.0036	-0.0038	-0.0034	-0.0033	-0.0037	-0.0031	-0.0036	-0.0036	-0.0034	-0.0033	-0.0035	-0.0034	-0.0032	-0.0033	-0.0037	-0.0032	-0.0034	-0.0032	-0.0035	-0.0035	-0.0032	-0.0035	-0.0034	-0.0033	-0.0034	-0.0035	-0.0034	-0.0032	-0.0033	-0.0035	-0.0031	-0.0037	-0.0036	-0.0032	-0.0032	-0.0036	-0.0035	-0.0036	-0.0034	-0.0033	-0.0042	-0.0031	-0.0036	-0.0034	-0.0031	-0.0034	-0.0033	-0.0031	-0.0032	-0.0033	-0.0032	-0.0032	-0.0032	-0.0037	-0.0036	-0.0036	-0.0031	-0.0032	-0.0034	-0.0034	-0.0036	-0.0033	-0.0031	-0.0034	-0.0033	-0.0038	-0.004	-0.0032	-0.0033	-0.0032	-0.0032	-0.0035	-0.0032	-0.0036	-0.0034	-0.0034	-0.0032	-0.0035	-0.0035	-0.0031	-0.0032	-0.0034	-0.0031	-0.0032	-0.0034	-0.0033
sad_vc_estimate	-0.1194	-0.1051	0.0486	-0.0264	-0.005	0.0128	0.0045	-0.0049	0.0083	0.0046	-0.0032	-0.0035	0.0024	-0.0019	-0.0012	0.0005	0.0072	0.0069	0.0021	-0.0022	-0.0024	-0.003	0.0203	-0.0027	0.0065	0.0101	-0.0016	0.0095	-0.0012	0.0046	0.001	0.0005	0.0166	0.0038	-0.0002	-0.003	-0.0013	-0.0024	0.0222	-0.0028	-0.0019	-0.0027	0.0024	-0.0014	0.0048	0.0192	0.0273	-0.0024	-0.0019	-0.0004	-0.0012	-0.0012	-0.002	0.0035	-0.001	-0.0026	-0.0007	-0.0028	0.0294	-0.0002	-0.0016	-0.0016	-0.0023	-0.0028	0.0234	-0.0027	-0.0021	-0.0031	-0.0012	-0.0007	-0.0026	0.0109	-0.0025	-0.0005	-0.0019	0.0066	-0.0025	-0.0027	0.0182	-0.003	-0.0002	0.0147	-0.002	-0.0004	0.0287	0.0117	-0.0027	-0.0029	0.0043	0.0053	0.0124	-0.0027	-0.0011	0.01	-0.0015	0.001	-0.002	-0.0025	-0.0027	0.004
sad_vc_estimate_se	1.4447	0.8744	0.3162	0.2303	0.0866	0.0495	0.0385	0.0373	0.0299	0.0248	0.0255	0.0264	0.0236	0.0228	0.0221	0.0228	0.0209	0.0195	0.0228	0.0187	0.0225	0.0218	0.0206	0.0202	0.0212	0.0204	0.0197	0.0201	0.0224	0.02	0.0207	0.0198	0.021	0.0213	0.0194	0.0218	0.0202	0.0194	0.0206	0.0214	0.0208	0.0197	0.0204	0.0216	0.019	0.0222	0.0225	0.0194	0.0196	0.0216	0.021	0.022	0.0205	0.0194	0.0248	0.0193	0.022	0.021	0.019	0.0207	0.0203	0.0189	0.0197	0.0201	0.02	0.02	0.0196	0.0223	0.0212	0.0218	0.0193	0.0198	0.0206	0.0208	0.0219	0.02	0.0187	0.0199	0.0195	0.0224	0.0248	0.019	0.02	0.0195	0.02	0.0207	0.0196	0.0218	0.0203	0.0212	0.0196	0.0216	0.0205	0.0188	0.0194	0.0209	0.0187	0.0198	0.0212	0.0203
sad_vc_pvals	0.596	0.768	0.242	0.729	0.646	0.144	0.196	0.867	0.169	0.195	0.821	0.886	0.294	0.599	0.532	0.383	0.129	0.138	0.332	0.717	0.721	0.953	0.022	0.917	0.187	0.125	0.66	0.138	0.593	0.249	0.418	0.411	0.051	0.266	0.462	0.947	0.621	0.826	0.021	0.854	0.681	0.976	0.325	0.588	0.244	0.04	0.026	0.807	0.691	0.513	0.583	0.571	0.717	0.299	0.565	0.913	0.533	0.868	0.016	0.467	0.63	0.657	0.756	0.969	0.017	0.954	0.75	0.968	0.591	0.523	0.94	0.128	0.831	0.486	0.62	0.167	0.921	0.903	0.052	0.885	0.468	0.054	0.719	0.54	0.011	0.093	0.952	0.877	0.263	0.224	0.086	0.829	0.622	0.14	0.637	0.363	0.731	0.854	0.833	0.274
upper95_perm_sad	0.8668	0.4967	0.2305	0.1717	0.119	0.0292	0.0191	0.0355	0.0268	0.0176	0.0221	0.0233	0.0195	0.017	0.0157	0.0174	0.0157	0.0155	0.0155	0.0156	0.0188	0.0244	0.0166	0.0219	0.0198	0.0194	0.0202	0.0221	0.0226	0.0195	0.0216	0.0201	0.0186	0.021	0.019	0.0215	0.0188	0.018	0.0165	0.0224	0.0196	0.0197	0.0201	0.0212	0.0196	0.0196	0.0219	0.0183	0.0184	0.0203	0.0203	0.0224	0.0207	0.0193	0.0219	0.0207	0.02	0.0189	0.021	0.0228	0.0184	0.0187	0.0203	0.0179	0.0166	0.0183	0.0193	0.0201	0.0229	0.0235	0.0201	0.0222	0.0227	0.0226	0.0193	0.0199	0.0182	0.0193	0.0212	0.0243	0.0239	0.0175	0.0207	0.0217	0.019	0.0192	0.0208	0.0193	0.0206	0.0217	0.0191	0.0196	0.0216	0.0233	0.0183	0.0178	0.0183	0.0187	0.0226	0.0199
lower0_perm_sad	-0.2584	-0.1571	-0.0549	-0.0403	-0.0148	-0.0087	-0.0067	-0.0065	-0.0051	-0.0043	-0.0044	-0.0046	-0.0042	-0.0041	-0.0038	-0.004	-0.0037	-0.0035	-0.0039	-0.0032	-0.0039	-0.0038	-0.0036	-0.0035	-0.0037	-0.0035	-0.0034	-0.0035	-0.0039	-0.0035	-0.0036	-0.0034	-0.0036	-0.0038	-0.0035	-0.0037	-0.0035	-0.0033	-0.0036	-0.0037	-0.0035	-0.0034	-0.0035	-0.0038	-0.0033	-0.0038	-0.0039	-0.0034	-0.0034	-0.0038	-0.0036	-0.0038	-0.0035	-0.0034	-0.0043	-0.0034	-0.004	-0.0037	-0.0032	-0.0037	-0.0035	-0.0034	-0.0035	-0.0036	-0.0035	-0.0035	-0.0034	-0.004	-0.0036	-0.0038	-0.0034	-0.0035	-0.0035	-0.0036	-0.0039	-0.0035	-0.0032	-0.0035	-0.0035	-0.0039	-0.0043	-0.0034	-0.0034	-0.0035	-0.0035	-0.0035	-0.0034	-0.0039	-0.0035	-0.0037	-0.0034	-0.0037	-0.0035	-0.0033	-0.0035	-0.0037	-0.0033	-0.0034	-0.0037	-0.0035
