	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.0434	0.0119	-0.0132	-0.0079	0.0138	-0.0016	0.0009	0.0004	0.0141	-0.0002	0.0015	-0.0004	0.0017	-0.0001	-0.0004	0.0009	-0.0004	0.0005	0.0039	0.0016	-0.0002	-0.0005	0.0004	0.0041	-0.0003	0.0016	0.001	-0.0005	0.0008	-0.0001	-0.0003	-0.0001	0.0086	0.014	-0.0008	-0.0004	0.0009	0.0047	-0.0003	-0.0005	-0.0003	-0.0003	-0.0001	-0.0004	0.0011	0.0057	-0.0005	0.0005	-0.0007	0.0013	-0.0003	-0.0007	0.0009	0.0011	-0.0003	0.0007	-0.0005	-0.0001	0.0012	-0.0004	-0.0001	0.0022	0.0004	0.0033	-0.0002	-0.0004	0.0011	0.0036	-0.0001	-0.0004	0.0015	0.0005	-0.0004	0.0015	-0.0002	-0.0003	-0.0003	0.0092	0.0037	-0.0003	0.0016	-0.0005	-0.0005	0.0005	-0.0002	-0.0001	0.0	0.0012	-0.0001	-0.0	-0.0005	0.0001	0.0004	-0.0001	0.0019	0.0001	0.0026	-0.0004	0.0053	0.0005
direct_vc_estimate_se	0.0095	0.0045	0.0029	0.0018	0.0006	0.0004	0.0002	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
direct_vc_pvals	0.75	0.45	0.841	0.753	0.091	0.831	0.633	0.35	0.022	0.707	0.177	0.82	0.606	0.792	0.992	0.426	0.971	0.42	0.201	0.13	0.621	0.771	0.318	0.061	0.781	0.234	0.365	0.889	0.605	0.395	0.772	0.428	0.168	0.056	0.912	0.831	0.291	0.043	0.817	0.91	0.716	0.672	0.532	0.78	0.779	0.014	0.891	0.394	0.942	0.262	0.778	0.958	0.196	0.427	0.698	0.347	0.791	0.646	0.256	0.912	0.508	0.414	0.558	0.271	0.808	0.892	0.246	0.138	0.438	0.854	0.724	0.508	0.556	0.352	0.605	0.854	0.803	0.02	0.273	0.922	0.435	0.898	0.949	0.609	0.549	0.532	0.555	0.527	0.405	0.973	0.864	0.743	0.381	0.248	0.221	0.453	0.061	0.911	0.045	0.738
upper95_perm_direct	0.07	0.2062	0.0889	0.0441	0.0217	0.0223	0.0183	0.004	0.0133	0.0061	0.0034	0.0083	0.0113	0.0088	0.0027	0.007	0.0107	0.0062	0.0105	0.0035	0.0024	0.0084	0.003	0.0051	0.0029	0.0043	0.0062	0.0042	0.0074	0.0018	0.003	0.0016	0.0157	0.0163	0.0175	0.0042	0.0046	0.0052	0.0037	0.0114	0.0033	0.0093	0.0024	0.0054	0.01	0.0043	0.0062	0.0033	0.0134	0.0031	0.0057	0.0084	0.0021	0.009	0.0042	0.0035	0.0053	0.003	0.0041	0.0046	0.0015	0.0073	0.007	0.0106	0.0052	0.0033	0.0035	0.0061	0.001	0.0049	0.0114	0.0058	0.0007	0.0072	0.0029	0.0072	0.0021	0.0071	0.0136	0.0044	0.0092	0.0118	0.0029	0.0073	0.0025	0.0014	0.005	0.0047	0.0011	0.0092	0.002	0.011	0.003	0.0009	0.0055	0.0024	0.0033	0.0037	0.0056	0.0138
lower0_perm_direct	-0.0671	-0.032	-0.0197	-0.0134	-0.0043	-0.0025	-0.0011	-0.0011	-0.001	-0.0008	-0.0007	-0.0009	-0.0006	-0.0007	-0.0006	-0.0006	-0.0007	-0.0011	-0.0007	-0.0007	-0.0005	-0.0011	-0.0006	-0.0008	-0.0005	-0.0006	-0.0009	-0.0007	-0.0008	-0.0008	-0.0006	-0.0005	-0.0015	-0.0008	-0.0013	-0.0006	-0.0006	-0.0005	-0.0006	-0.0007	-0.0007	-0.001	-0.0006	-0.0008	-0.0007	-0.0005	-0.0007	-0.0006	-0.001	-0.0005	-0.0006	-0.0011	-0.0005	-0.0008	-0.0006	-0.0005	-0.0009	-0.0004	-0.0006	-0.0007	-0.0005	-0.0005	-0.0007	-0.0007	-0.0009	-0.0005	-0.0004	-0.0005	-0.0004	-0.0006	-0.0005	-0.001	-0.0008	-0.0007	-0.0007	-0.0007	-0.0005	-0.0006	-0.0008	-0.0005	-0.0007	-0.0009	-0.0007	-0.001	-0.0006	-0.0004	-0.0006	-0.0004	-0.0004	-0.0004	-0.0007	-0.0007	-0.0004	-0.001	-0.0008	-0.0005	-0.0004	-0.0005	-0.0003	-0.0008
sad_vc_estimate	0.0676	0.1513	0.123	-0.0093	0.0408	0.0009	0.0005	-0.0008	0.0249	0.0014	0.0088	-0.0005	0.0005	-0.0002	-0.0	0.0037	-0.0001	-0.0006	0.0142	0.0011	0.0009	-0.0005	0.0005	0.0046	0.0003	0.0019	0.004	0.0042	0.0019	0.0013	-0.0003	-0.0004	0.0142	0.0449	-0.0005	0.0015	0.0012	0.006	0.0012	-0.0005	-0.0001	0.0005	0.002	-0.0001	0.0002	0.0146	0.0009	0.0008	-0.0001	0.0048	-0.0004	0.0002	0.003	0.007	0.0002	0.0014	-0.0005	-0.0002	0.0017	-0.0005	0.0005	0.0067	-0.0002	0.0056	-0.0001	0.0011	0.0044	0.0029	-0.0003	-0.0	0.0008	0.0122	0.0042	0.0039	0.0	-0.0005	0.0004	0.0187	0.0046	0.0017	0.0067	-0.0003	0.0012	0.0016	0.001	0.0003	-0.0005	0.0025	-0.0002	-0.0003	-0.0004	0.0011	0.0021	-0.0002	0.0016	0.0017	0.0028	-0.0004	0.0074	-0.0001
sad_vc_estimate_se	0.0096	0.0046	0.0029	0.0019	0.0006	0.0004	0.0002	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
sad_vc_pvals	0.298	0.291	0.172	0.997	0.222	0.691	0.733	0.998	0.082	0.394	0.103	0.887	0.809	0.825	0.64	0.168	0.879	0.876	0.142	0.283	0.292	0.856	0.433	0.122	0.545	0.493	0.354	0.151	0.565	0.408	0.895	0.968	0.36	0.042	0.85	0.517	0.488	0.063	0.512	0.912	0.713	0.617	0.264	0.785	0.879	0.001	0.602	0.599	0.902	0.247	0.971	0.681	0.288	0.233	0.573	0.542	0.887	0.849	0.472	0.984	0.36	0.294	0.805	0.27	0.971	0.456	0.1	0.298	0.872	0.716	0.857	0.091	0.11	0.371	0.725	0.962	0.599	0.022	0.446	0.425	0.28	0.851	0.394	0.899	0.416	0.412	0.976	0.265	0.831	0.986	0.841	0.671	0.319	0.204	0.525	0.309	0.205	0.972	0.101	0.728
upper95_perm_sad	0.4148	0.4822	0.2662	0.2103	0.102	0.0599	0.0237	0.0178	0.0347	0.0089	0.0132	0.015	0.0258	0.0176	0.0072	0.0083	0.0198	0.0242	0.0238	0.0046	0.0043	0.0165	0.0045	0.0082	0.0066	0.0138	0.017	0.0081	0.0212	0.009	0.0116	0.008	0.0445	0.0504	0.0406	0.0111	0.0126	0.0075	0.0113	0.0226	0.0091	0.0271	0.0072	0.0169	0.0238	0.0069	0.0162	0.0121	0.0333	0.0095	0.0095	0.0116	0.0068	0.0204	0.0072	0.0106	0.0127	0.0063	0.0127	0.0125	0.0039	0.0163	0.0223	0.0149	0.0181	0.0077	0.0068	0.0091	0.0029	0.0087	0.0213	0.0163	0.007	0.0161	0.0134	0.0146	0.0055	0.0181	0.0273	0.0089	0.0238	0.0299	0.0061	0.0169	0.0058	0.0034	0.0106	0.0061	0.0032	0.019	0.0086	0.0292	0.0081	0.0006	0.0113	0.0065	0.0088	0.0114	0.0108	0.0265
lower0_perm_sad	-0.067	-0.0305	-0.0201	-0.0126	-0.0044	-0.0025	-0.0012	-0.0011	-0.001	-0.0009	-0.0007	-0.0009	-0.0006	-0.0007	-0.0006	-0.0006	-0.0008	-0.0011	-0.0008	-0.0007	-0.0005	-0.001	-0.0006	-0.0008	-0.0005	-0.0006	-0.0009	-0.0007	-0.0008	-0.0008	-0.0006	-0.0005	-0.0016	-0.0008	-0.0014	-0.0006	-0.0006	-0.0005	-0.0006	-0.0007	-0.0007	-0.0011	-0.0006	-0.0007	-0.0008	-0.0005	-0.0007	-0.0006	-0.0009	-0.0005	-0.0006	-0.001	-0.0004	-0.0007	-0.0006	-0.0005	-0.0009	-0.0005	-0.0006	-0.0006	-0.0005	-0.0005	-0.0008	-0.0007	-0.0007	-0.0005	-0.0004	-0.0005	-0.0005	-0.0007	-0.0006	-0.001	-0.0008	-0.0007	-0.0006	-0.0007	-0.0005	-0.0006	-0.0008	-0.0005	-0.0008	-0.0009	-0.0006	-0.0008	-0.0006	-0.0004	-0.0006	-0.0005	-0.0004	-0.0005	-0.0007	-0.0007	-0.0004	-0.001	-0.0008	-0.0005	-0.0005	-0.0005	-0.0004	-0.0008
