	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.1119	0.0571	-0.0154	-0.0126	-0.0042	0.0015	-0.0022	-0.0009	-0.0014	-0.0017	0.001	-0.0001	-0.0017	0.0114	-0.0014	0.0012	0.0451	0.5056	0.12	0.1055	-0.0013	-0.0012	0.0028	0.0099	-0.0014	0.0075	0.0106	0.0225	0.0083	0.0003	0.0009	0.012	0.0036	0.0047	-0.0008	-0.0008	0.0052	-0.001	0.0039	0.0006	-0.0011	-0.0004	0.0013	0.0002	0.015	-0.001	0.0005	0.0013	0.0068	0.0068	0.0202	0.0061	-0.0004	-0.001	0.0005	-0.0008	0.004	-0.0012	-0.0012	0.0003	0.0002	-0.0007	-0.001	0.0003	0.0179	0.0047	-0.0006	-0.0012	-0.0002	0.0005	0.0009	-0.0008	0.0042	-0.0007	-0.0009	-0.0012	0.0087	0.0064	-0.001	0.0006	0.0036	0.0041	-0.0001	-0.0012	0.0014	-0.0007	-0.0009	0.0009	-0.0007	0.0016	0.0009	-0.0008	-0.0011	-0.0012	0.0004	0.0056	-0.0011	-0.0012	0.0001	-0.0009
direct_vc_estimate_se	1.0656	0.6139	0.2066	0.1726	0.0408	0.0287	0.0205	0.0171	0.0159	0.0159	0.016	0.0158	0.0158	0.0146	0.0131	0.0123	0.0176	0.0448	0.0219	0.0169	0.0124	0.0127	0.0118	0.0135	0.0141	0.0118	0.0115	0.0128	0.0121	0.0111	0.0117	0.0121	0.012	0.012	0.0127	0.0113	0.0117	0.0116	0.0112	0.0114	0.0118	0.0112	0.012	0.0119	0.0117	0.0116	0.0116	0.0117	0.0113	0.011	0.012	0.0115	0.0109	0.011	0.0116	0.0113	0.0114	0.0115	0.0114	0.0112	0.0119	0.0115	0.0112	0.0113	0.0119	0.0111	0.0112	0.0114	0.0113	0.0107	0.0115	0.0109	0.011	0.011	0.0117	0.0109	0.0113	0.0112	0.0108	0.0111	0.0116	0.0106	0.0111	0.0114	0.0106	0.0112	0.0106	0.011	0.011	0.011	0.011	0.0107	0.0107	0.0108	0.0109	0.0107	0.011	0.0108	0.0103	0.011
direct_vc_pvals	0.864	0.317	0.656	0.648	0.885	0.349	0.928	0.572	0.716	0.877	0.511	0.458	0.922	0.173	0.977	0.374	0.152	0.005	0.056	0.003	0.919	0.822	0.327	0.19	0.861	0.174	0.046	0.071	0.084	0.449	0.384	0.074	0.241	0.2	0.715	0.639	0.209	0.728	0.149	0.376	0.792	0.525	0.312	0.538	0.03	0.75	0.378	0.341	0.102	0.087	0.006	0.088	0.651	0.817	0.34	0.677	0.153	0.89	0.869	0.395	0.453	0.59	0.757	0.399	0.016	0.173	0.569	0.93	0.476	0.393	0.425	0.66	0.112	0.701	0.693	0.907	0.051	0.102	0.759	0.398	0.187	0.115	0.48	0.949	0.264	0.631	0.713	0.302	0.64	0.254	0.347	0.666	0.854	0.937	0.402	0.089	0.832	0.945	0.447	0.713
upper95_perm_direct	0.6381	0.5216	0.1337	0.1402	0.0609	0.0187	0.0211	0.0162	0.0126	0.0167	0.0248	0.0123	0.0283	0.0316	0.0102	0.013	0.0872	0.5391	0.1569	0.0904	0.01	0.0128	0.0178	0.0266	0.0183	0.0194	0.0127	0.0341	0.0138	0.0105	0.0108	0.0196	0.0154	0.0157	0.0169	0.0086	0.0192	0.0111	0.0104	0.0086	0.0093	0.0097	0.011	0.0153	0.0165	0.0108	0.0106	0.0116	0.0128	0.0115	0.0127	0.0104	0.0139	0.011	0.0088	0.0096	0.0105	0.0087	0.0109	0.0097	0.0102	0.0105	0.0095	0.0092	0.0137	0.0119	0.0085	0.0137	0.007	0.0097	0.0138	0.0098	0.0085	0.0106	0.0113	0.0081	0.0105	0.0122	0.0097	0.0086	0.0111	0.0086	0.0081	0.0083	0.0084	0.0093	0.007	0.0098	0.0092	0.0084	0.0115	0.0086	0.0093	0.0117	0.0097	0.0101	0.0088	0.0084	0.0077	0.0077
lower0_perm_direct	-0.1709	-0.1078	-0.0359	-0.0283	-0.0068	-0.0048	-0.0036	-0.0029	-0.0027	-0.0026	-0.0026	-0.0026	-0.0028	-0.0024	-0.0022	-0.0021	-0.0028	-0.0076	-0.0035	-0.0029	-0.0021	-0.0021	-0.002	-0.0023	-0.0024	-0.002	-0.0019	-0.0021	-0.002	-0.0019	-0.002	-0.002	-0.002	-0.0019	-0.0021	-0.0019	-0.002	-0.0019	-0.0019	-0.0019	-0.0019	-0.0019	-0.002	-0.002	-0.0019	-0.0019	-0.0019	-0.0019	-0.0019	-0.0018	-0.002	-0.0019	-0.0019	-0.0018	-0.0019	-0.0018	-0.0019	-0.0019	-0.002	-0.0018	-0.002	-0.0019	-0.0019	-0.0019	-0.002	-0.0018	-0.0019	-0.0019	-0.002	-0.0018	-0.002	-0.0018	-0.0019	-0.0018	-0.002	-0.0018	-0.0019	-0.0018	-0.0018	-0.0018	-0.0019	-0.0018	-0.0019	-0.0019	-0.0017	-0.0019	-0.0018	-0.0019	-0.0019	-0.0019	-0.0018	-0.0017	-0.0018	-0.0018	-0.0018	-0.0018	-0.0019	-0.0019	-0.0017	-0.0018
sad_vc_estimate	-0.0095	0.0921	-0.0127	0.0245	-0.0027	0.0059	-0.0017	-0.0016	-0.0018	-0.0015	0.0028	0.0014	0.0007	0.0153	-0.0014	0.0078	0.1173	1.066	0.2738	0.1918	-0.0013	-0.0002	0.0031	0.0256	0.0007	0.0179	0.0155	0.0453	0.0155	0.0005	0.008	0.0121	0.0059	0.0092	0.0002	0.0003	0.0168	-0.001	0.007	-0.0006	-0.001	-0.0011	0.0142	0.0007	0.0329	0.0004	0.0004	-0.0011	0.0177	0.0086	0.0312	0.0164	0.0019	0.0013	0.0015	0.0011	0.0105	-0.0004	-0.0011	-0.0004	0.002	0.0004	0.003	0.0017	0.034	0.0115	-0.0001	-0.0012	-0.0006	0.0023	0.0033	0.001	0.0052	0.0013	0.0011	-0.001	0.0156	0.0039	-0.0011	-0.0008	0.0015	0.0073	0.0	-0.0012	0.0019	-0.0009	-0.0012	-0.0009	0.001	-0.0007	-0.0002	0.0004	-0.0011	-0.0009	0.0044	0.0138	-0.0003	-0.0004	-0.0001	-0.0005
sad_vc_estimate_se	1.0776	0.6208	0.2091	0.1747	0.0413	0.0291	0.0207	0.0173	0.0161	0.016	0.0162	0.016	0.016	0.0148	0.0133	0.0125	0.0179	0.0453	0.0222	0.0171	0.0125	0.0129	0.012	0.0137	0.0143	0.0119	0.0116	0.0129	0.0123	0.0112	0.0119	0.0123	0.0122	0.0122	0.0128	0.0114	0.0118	0.0117	0.0113	0.0116	0.012	0.0114	0.0122	0.012	0.0119	0.0117	0.0117	0.0119	0.0114	0.0111	0.0121	0.0117	0.011	0.0112	0.0117	0.0114	0.0116	0.0116	0.0116	0.0113	0.012	0.0117	0.0113	0.0114	0.012	0.0112	0.0114	0.0116	0.0114	0.0109	0.0117	0.011	0.0111	0.0111	0.0118	0.0111	0.0114	0.0113	0.0109	0.0112	0.0118	0.0108	0.0112	0.0116	0.0107	0.0113	0.0108	0.0112	0.0112	0.0112	0.0111	0.0108	0.0108	0.011	0.011	0.0109	0.0111	0.011	0.0104	0.0111
sad_vc_pvals	0.474	0.323	0.659	0.326	0.825	0.272	0.819	0.832	1.0	0.855	0.501	0.455	0.629	0.258	0.956	0.177	0.107	0.004	0.02	0.009	0.869	0.657	0.492	0.146	0.606	0.091	0.088	0.043	0.102	0.538	0.139	0.168	0.299	0.199	0.667	0.511	0.128	0.806	0.167	0.675	0.773	0.847	0.064	0.539	0.018	0.539	0.502	0.857	0.054	0.145	0.02	0.039	0.448	0.423	0.379	0.465	0.089	0.627	0.861	0.65	0.404	0.527	0.318	0.357	0.011	0.109	0.573	0.941	0.653	0.342	0.371	0.455	0.154	0.487	0.434	0.795	0.041	0.314	0.86	0.733	0.424	0.102	0.545	0.895	0.338	0.775	0.943	0.757	0.447	0.684	0.65	0.471	0.917	0.797	0.224	0.075	0.654	0.637	0.565	0.618
upper95_perm_sad	0.8439	0.7771	0.1907	0.2089	0.1461	0.0343	0.0304	0.0279	0.0204	0.0345	0.044	0.0237	0.0606	0.0635	0.0163	0.0235	0.1888	1.1109	0.3119	0.1892	0.0171	0.0239	0.0388	0.0563	0.0384	0.0324	0.0263	0.0547	0.0272	0.0176	0.0184	0.0309	0.0315	0.029	0.0308	0.0142	0.0343	0.0243	0.0191	0.0171	0.0178	0.0171	0.0205	0.0257	0.0319	0.0211	0.0169	0.0221	0.0236	0.0219	0.0259	0.0193	0.0249	0.0185	0.0158	0.0163	0.0193	0.0165	0.0169	0.0185	0.0176	0.0193	0.0196	0.0182	0.0253	0.0233	0.0146	0.0297	0.0169	0.017	0.0269	0.0161	0.0147	0.0199	0.0177	0.0141	0.019	0.0226	0.0188	0.0167	0.0209	0.0134	0.0157	0.0153	0.0157	0.0176	0.0141	0.016	0.0137	0.0195	0.0183	0.0121	0.015	0.0195	0.0159	0.0217	0.0205	0.0162	0.0142	0.0143
lower0_perm_sad	-0.1845	-0.1054	-0.035	-0.0297	-0.0068	-0.0047	-0.0035	-0.0029	-0.0028	-0.0025	-0.0027	-0.0026	-0.0027	-0.0025	-0.0022	-0.0021	-0.0029	-0.0068	-0.0036	-0.003	-0.0021	-0.0022	-0.0019	-0.0022	-0.0023	-0.002	-0.002	-0.0021	-0.0021	-0.0019	-0.002	-0.0021	-0.002	-0.002	-0.0022	-0.0019	-0.0019	-0.002	-0.0018	-0.002	-0.002	-0.0019	-0.0021	-0.002	-0.0019	-0.0021	-0.002	-0.002	-0.0019	-0.0018	-0.002	-0.0019	-0.0018	-0.0018	-0.002	-0.0019	-0.0019	-0.002	-0.0019	-0.0019	-0.002	-0.002	-0.0019	-0.0019	-0.002	-0.002	-0.0019	-0.0019	-0.0019	-0.0018	-0.002	-0.0019	-0.0018	-0.0018	-0.0019	-0.0019	-0.0019	-0.0018	-0.0018	-0.0019	-0.002	-0.0018	-0.0019	-0.002	-0.0018	-0.0019	-0.0018	-0.0019	-0.0019	-0.0018	-0.0019	-0.0018	-0.0018	-0.0018	-0.0018	-0.0018	-0.0019	-0.0018	-0.0017	-0.0018
