	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.0489	0.0453	0.2173	0.5118	0.4416	-0.0003	-0.0001	0.0574	0.0042	-0.0002	-0.0002	-0.0008	0.0109	0.0223	0.0023	0.0024	-0.0009	0.0212	0.0005	0.0265	0.0257	0.1822	0.1438	0.0122	0.0576	0.0091	0.0017	0.0104	0.0005	-0.0001	0.0071	0.0264	-0.0018	0.027	-0.0004	0.0001	0.0004	0.0018	-0.0003	0.003	-0.0009	0.0034	0.0004	0.02	0.02	-0.0002	0.0095	0.0005	-0.0002	0.0021	0.0171	0.0026	0.0047	0.0108	0.0075	-0.0003	-0.0004	-0.0002	0.0001	0.0011	-0.0003	0.013	0.0015	0.0031	0.0065	-0.0001	0.004	0.0008	0.0048	0.0016	0.0052	-0.0004	0.0106	-0.0005	0.0023	0.0049	0.001	0.0012	0.0013	-0.0001	0.0052	0.0066	-0.0007	0.0059	-0.0001	0.0101	0.0006	0.0005	0.0124	0.0	0.0111	0.0038	0.0035	0.0138	0.0226	0.0003	-0.0003	0.0031	0.0037	0.0046
direct_vc_estimate_se	0.0279	0.0173	0.0136	0.0056	0.0014	0.0013	0.0012	0.0005	0.0004	0.0005	0.0004	0.0009	0.0004	0.0007	0.0003	0.0006	0.0008	0.0004	0.0004	0.0005	0.0005	0.0013	0.0018	0.0005	0.0004	0.0004	0.0004	0.0011	0.0003	0.0003	0.0004	0.0006	0.0016	0.0011	0.0005	0.0004	0.0003	0.0003	0.0003	0.0007	0.0009	0.0003	0.0003	0.0007	0.0004	0.0004	0.0003	0.0003	0.0003	0.0003	0.0008	0.0003	0.0003	0.0003	0.0003	0.0003	0.0004	0.0004	0.0003	0.0003	0.0003	0.0005	0.0004	0.0004	0.0003	0.0003	0.0004	0.0005	0.0002	0.0004	0.0003	0.0004	0.0005	0.0005	0.0006	0.0003	0.0003	0.0003	0.0003	0.0003	0.0005	0.0003	0.0008	0.0015	0.0003	0.0003	0.0005	0.0005	0.0003	0.0013	0.0003	0.0004	0.0004	0.0005	0.0005	0.0004	0.0006	0.0004	0.0003	0.0003
direct_vc_pvals	0.537	0.552	0.045	0.0	0.024	0.741	0.68	0.029	0.215	0.795	0.888	0.833	0.07	0.149	0.18	0.382	0.979	0.011	0.639	0.111	0.007	0.003	0.019	0.146	0.0	0.083	0.471	0.101	0.618	0.751	0.31	0.038	0.975	0.159	0.886	0.705	0.732	0.355	0.935	0.272	0.858	0.233	0.608	0.214	0.115	0.81	0.037	0.596	0.762	0.334	0.066	0.438	0.189	0.008	0.178	0.894	0.917	0.802	0.711	0.313	0.887	0.097	0.699	0.236	0.263	0.891	0.105	0.618	0.054	0.232	0.06	0.948	0.175	0.939	0.327	0.223	0.415	0.566	0.528	0.8	0.407	0.288	0.743	0.255	0.704	0.061	0.667	0.361	0.088	0.604	0.118	0.278	0.661	0.043	0.037	0.618	0.83	0.21	0.346	0.143
upper95_perm_direct	1.2675	0.8905	0.3706	0.3291	0.6582	0.0595	0.0207	0.0821	0.017	0.022	0.0518	0.0247	0.021	0.0625	0.0082	0.0221	0.0105	0.024	0.023	0.0622	0.022	0.1602	0.2067	0.0295	0.0444	0.0194	0.023	0.0249	0.0215	0.0153	0.0373	0.0419	0.0177	0.0689	0.0398	0.0194	0.0258	0.0151	0.0185	0.0186	0.0175	0.0151	0.0157	0.0745	0.045	0.0216	0.0138	0.0153	0.0081	0.0123	0.0333	0.0277	0.0173	0.0096	0.0263	0.0148	0.0287	0.0198	0.0169	0.0079	0.0282	0.0288	0.0699	0.0148	0.0308	0.0441	0.0101	0.0185	0.0086	0.0075	0.0094	0.0241	0.0293	0.0214	0.0177	0.0208	0.0106	0.0232	0.0236	0.0157	0.0402	0.0304	0.0121	0.0335	0.013	0.0185	0.0312	0.0065	0.0261	0.0241	0.027	0.0197	0.047	0.0227	0.0342	0.0178	0.0378	0.0118	0.0289	0.0135
lower0_perm_direct	-0.0623	-0.0412	-0.0339	-0.0135	-0.0033	-0.0033	-0.0028	-0.0011	-0.0011	-0.0012	-0.0009	-0.0022	-0.0008	-0.0015	-0.0007	-0.0014	-0.0021	-0.001	-0.001	-0.0012	-0.0013	-0.0032	-0.0045	-0.0012	-0.0008	-0.0008	-0.001	-0.0027	-0.0008	-0.0007	-0.0009	-0.0015	-0.004	-0.0023	-0.0011	-0.001	-0.0007	-0.0007	-0.0007	-0.0016	-0.0023	-0.0008	-0.0008	-0.0016	-0.0008	-0.0008	-0.0009	-0.0007	-0.0007	-0.0007	-0.0019	-0.0007	-0.0008	-0.0006	-0.0007	-0.0008	-0.0009	-0.0011	-0.0007	-0.0007	-0.0009	-0.0012	-0.0009	-0.0009	-0.0006	-0.0007	-0.001	-0.0011	-0.0006	-0.0009	-0.0007	-0.0009	-0.0011	-0.0011	-0.0015	-0.0007	-0.0008	-0.0006	-0.0008	-0.0006	-0.0012	-0.0006	-0.002	-0.0035	-0.0008	-0.0008	-0.0013	-0.0011	-0.0007	-0.0031	-0.0006	-0.0009	-0.001	-0.0011	-0.0011	-0.0011	-0.0014	-0.0009	-0.0007	-0.0006
sad_vc_estimate	0.2391	0.2066	0.4632	0.9727	0.9977	0.0093	-0.0008	0.1546	0.0157	0.0005	0.0068	-0.0002	0.0153	0.0395	0.0033	0.0008	-0.0008	0.023	0.0032	0.0579	0.0434	0.1958	0.0955	0.0218	0.0718	0.0122	-0.0004	0.0111	0.0023	0.0002	0.0078	0.0424	-0.0017	0.0645	-0.0004	0.0022	0.0007	0.0025	-0.0003	0.0009	-0.001	0.0091	0.0007	0.0431	0.0261	-0.0002	0.0138	0.0068	0.0003	0.0033	0.0382	0.0065	0.0064	0.012	0.023	0.0012	-0.0002	0.0015	0.0029	0.002	-0.0004	0.0257	0.0057	0.0057	0.0054	0.0053	0.009	0.0004	0.0081	0.0085	0.0037	0.0019	0.0222	0.0011	0.0036	0.0006	0.0001	0.0059	0.0026	0.0026	0.0142	0.0162	-0.0006	0.0046	-0.0003	0.0104	-0.0001	-0.0003	0.037	0.0044	0.0236	0.0043	0.0077	0.0276	0.0565	0.0005	0.0012	0.0043	0.0073	0.0071
sad_vc_estimate_se	0.028	0.0173	0.0136	0.0056	0.0014	0.0013	0.0012	0.0005	0.0004	0.0005	0.0004	0.0009	0.0004	0.0007	0.0003	0.0006	0.0008	0.0004	0.0004	0.0005	0.0005	0.0013	0.0018	0.0005	0.0004	0.0004	0.0004	0.0011	0.0003	0.0003	0.0004	0.0006	0.0016	0.0011	0.0005	0.0004	0.0003	0.0003	0.0003	0.0007	0.0009	0.0003	0.0003	0.0007	0.0004	0.0004	0.0003	0.0003	0.0003	0.0003	0.0008	0.0003	0.0004	0.0003	0.0003	0.0003	0.0004	0.0004	0.0003	0.0003	0.0003	0.0005	0.0004	0.0004	0.0003	0.0003	0.0004	0.0005	0.0002	0.0004	0.0003	0.0004	0.0005	0.0005	0.0007	0.0003	0.0003	0.0003	0.0003	0.0003	0.0005	0.0003	0.0008	0.0015	0.0003	0.0003	0.0005	0.0005	0.0003	0.0013	0.0003	0.0004	0.0004	0.0005	0.0005	0.0004	0.0006	0.0004	0.0003	0.0003
sad_vc_pvals	0.429	0.336	0.01	0.0	0.008	0.418	0.83	0.014	0.049	0.643	0.518	0.739	0.043	0.132	0.176	0.635	0.813	0.015	0.454	0.072	0.001	0.0	0.02	0.146	0.004	0.08	0.911	0.13	0.496	0.687	0.488	0.035	0.882	0.128	0.934	0.495	0.791	0.416	0.933	0.553	0.975	0.157	0.644	0.171	0.189	0.874	0.07	0.223	0.642	0.426	0.03	0.309	0.241	0.014	0.113	0.611	0.887	0.634	0.396	0.333	0.947	0.068	0.594	0.286	0.472	0.608	0.069	0.746	0.076	0.079	0.185	0.639	0.119	0.589	0.388	0.688	0.732	0.36	0.499	0.466	0.308	0.22	0.782	0.43	0.849	0.124	0.839	0.761	0.03	0.314	0.087	0.339	0.66	0.045	0.007	0.691	0.724	0.216	0.381	0.13
upper95_perm_sad	2.0947	1.3432	0.5377	0.4527	1.3183	0.0886	0.0274	0.1892	0.0264	0.0325	0.0713	0.0389	0.024	0.099	0.0121	0.0361	0.0158	0.0276	0.0338	0.1138	0.04	0.1268	0.13	0.0523	0.0708	0.0232	0.0315	0.0298	0.0292	0.0206	0.0626	0.0646	0.0279	0.1459	0.083	0.0339	0.0414	0.0242	0.0315	0.0284	0.0293	0.0273	0.0242	0.1211	0.0792	0.0346	0.0267	0.0269	0.0145	0.0231	0.062	0.0361	0.0255	0.0135	0.0495	0.0306	0.059	0.0372	0.0255	0.0142	0.0433	0.0453	0.1276	0.0304	0.0518	0.075	0.0175	0.0332	0.0154	0.0186	0.0149	0.0559	0.053	0.0298	0.0279	0.0307	0.0174	0.0348	0.0319	0.0331	0.0671	0.0552	0.0219	0.0526	0.0206	0.028	0.066	0.0145	0.0573	0.0302	0.0509	0.0284	0.0829	0.0445	0.0676	0.0352	0.0605	0.0167	0.0488	0.0176
lower0_perm_sad	-0.0629	-0.0398	-0.0321	-0.0141	-0.0034	-0.0032	-0.0028	-0.0012	-0.001	-0.0011	-0.0009	-0.0022	-0.0008	-0.0015	-0.0007	-0.0015	-0.0019	-0.0011	-0.001	-0.0011	-0.0013	-0.0028	-0.0043	-0.0011	-0.001	-0.0009	-0.001	-0.0027	-0.0008	-0.0007	-0.0009	-0.0014	-0.0038	-0.0025	-0.0012	-0.001	-0.0007	-0.0006	-0.0007	-0.0016	-0.0022	-0.0008	-0.0007	-0.0017	-0.0008	-0.0008	-0.0008	-0.0007	-0.0007	-0.0007	-0.0019	-0.0007	-0.0008	-0.0007	-0.0007	-0.0007	-0.0008	-0.001	-0.0007	-0.0006	-0.0008	-0.0011	-0.001	-0.0009	-0.0006	-0.0007	-0.001	-0.0011	-0.0005	-0.0009	-0.0007	-0.0009	-0.0011	-0.0011	-0.0015	-0.0007	-0.0008	-0.0006	-0.0008	-0.0006	-0.0011	-0.0007	-0.002	-0.0036	-0.0009	-0.0008	-0.0013	-0.0011	-0.0008	-0.0032	-0.0006	-0.001	-0.0009	-0.0012	-0.0012	-0.001	-0.0014	-0.0009	-0.0007	-0.0006
