	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.0491	-0.0842	0.0045	-0.0267	0.069	0.0003	0.0144	0.0406	0.0005	-0.0021	0.0034	-0.0028	0.0063	0.0023	-0.0017	0.0055	-0.002	-0.0022	-0.0017	0.0012	0.0039	-0.0012	-0.0019	0.002	0.0007	0.0045	-0.002	0.0025	0.0064	0.0075	0.005	-0.0	0.0035	-0.0016	-0.0004	-0.0022	0.0105	-0.0022	-0.002	0.0044	0.0004	0.0065	-0.0015	0.0077	0.0018	-0.0009	-0.0005	0.0112	0.0053	0.0006	0.0181	-0.0017	0.007	-0.0022	0.0001	-0.0011	0.0018	-0.0012	0.007	-0.0021	-0.0021	-0.0022	-0.0021	-0.0022	0.0022	0.0071	-0.0017	0.0071	-0.0016	0.0045	-0.0014	0.0069	0.0017	0.0022	-0.0007	-0.0017	0.003	0.0149	-0.0018	0.0012	-0.0014	-0.0022	0.0001	-0.001	-0.0018	-0.0013	0.0029	0.0046	-0.001	-0.0	0.0009	0.0045	0.0168	0.0132	-0.002	-0.0023	-0.0014	0.0207	-0.0019	-0.0011
direct_vc_estimate_se	3.1852	2.1631	0.8843	0.7205	0.2375	0.1046	0.0728	0.1007	0.079	0.0642	0.0785	0.0743	0.0687	0.0607	0.0572	0.0588	0.054	0.0618	0.065	0.0597	0.0643	0.0587	0.0574	0.0605	0.0556	0.059	0.0594	0.0637	0.0624	0.0572	0.0601	0.0574	0.0582	0.0569	0.055	0.0578	0.0566	0.0576	0.0587	0.0576	0.057	0.0585	0.0601	0.0583	0.0582	0.0562	0.0572	0.0576	0.0581	0.0575	0.0569	0.0548	0.0566	0.0637	0.0582	0.0569	0.056	0.0565	0.0583	0.0575	0.0571	0.0593	0.0572	0.0565	0.0591	0.0558	0.0582	0.0567	0.0579	0.0592	0.0633	0.0568	0.0548	0.0563	0.0615	0.0598	0.0582	0.0592	0.0578	0.0592	0.0572	0.0611	0.0583	0.0612	0.0571	0.0558	0.0577	0.0547	0.0583	0.0572	0.0568	0.0599	0.0594	0.0537	0.0549	0.058	0.0573	0.0559	0.0556	0.0559
direct_vc_pvals	0.27	0.963	0.375	0.849	0.038	0.38	0.02	0.01	0.403	0.733	0.239	0.868	0.123	0.232	0.649	0.122	0.854	0.799	0.64	0.307	0.201	0.571	0.77	0.286	0.336	0.2	0.801	0.259	0.166	0.126	0.177	0.489	0.245	0.707	0.498	0.96	0.056	0.89	0.783	0.212	0.442	0.133	0.641	0.114	0.32	0.572	0.474	0.06	0.189	0.394	0.022	0.744	0.117	0.778	0.418	0.615	0.323	0.607	0.137	0.861	0.839	0.854	0.865	0.968	0.305	0.124	0.691	0.13	0.694	0.223	0.605	0.13	0.29	0.274	0.484	0.689	0.236	0.042	0.707	0.354	0.653	0.802	0.461	0.575	0.758	0.637	0.238	0.195	0.588	0.455	0.39	0.192	0.027	0.043	0.855	0.992	0.659	0.023	0.762	0.591
upper95_perm_direct	0.5584	0.4383	0.2077	0.1941	0.0872	0.022	0.0137	0.0274	0.0228	0.0146	0.0213	0.023	0.0167	0.0136	0.0143	0.0147	0.0124	0.0191	0.0183	0.0159	0.0182	0.0145	0.016	0.0185	0.014	0.0183	0.0198	0.0152	0.0219	0.02	0.0189	0.0225	0.0207	0.0183	0.016	0.0163	0.0151	0.0212	0.0181	0.0197	0.0178	0.0178	0.0173	0.0164	0.019	0.017	0.0197	0.017	0.0206	0.0202	0.0185	0.0168	0.0196	0.0192	0.0175	0.0203	0.0171	0.0182	0.0192	0.0197	0.02	0.0174	0.0186	0.0187	0.0189	0.0169	0.0183	0.0203	0.0186	0.0178	0.021	0.0194	0.0174	0.0164	0.0159	0.0153	0.016	0.0182	0.0165	0.0201	0.0176	0.0194	0.0174	0.0189	0.0176	0.0191	0.0162	0.0179	0.0213	0.0194	0.0193	0.02	0.0184	0.0172	0.0179	0.0179	0.0184	0.0202	0.0156	0.0171
lower0_perm_direct	-0.1952	-0.1318	-0.0547	-0.0437	-0.0145	-0.0065	-0.0044	-0.0061	-0.0048	-0.0039	-0.0048	-0.0046	-0.0043	-0.0037	-0.0035	-0.0036	-0.0033	-0.0038	-0.0041	-0.0037	-0.0039	-0.0036	-0.0035	-0.0037	-0.0034	-0.0035	-0.0036	-0.0039	-0.0038	-0.0035	-0.0037	-0.0034	-0.0035	-0.0035	-0.0034	-0.0035	-0.0035	-0.0035	-0.0035	-0.0035	-0.0035	-0.0036	-0.0037	-0.0035	-0.0036	-0.0034	-0.0036	-0.0036	-0.0035	-0.0035	-0.0036	-0.0033	-0.0034	-0.0039	-0.0035	-0.0035	-0.0034	-0.0035	-0.0036	-0.0035	-0.0035	-0.0036	-0.0035	-0.0035	-0.0036	-0.0034	-0.0036	-0.0035	-0.0035	-0.0036	-0.0039	-0.0036	-0.0034	-0.0035	-0.0038	-0.0036	-0.0036	-0.0036	-0.0035	-0.0036	-0.0035	-0.0037	-0.0035	-0.0037	-0.0035	-0.0034	-0.0035	-0.0033	-0.0035	-0.0036	-0.0035	-0.0036	-0.0037	-0.0033	-0.0034	-0.0035	-0.0034	-0.0034	-0.0034	-0.0035
sad_vc_estimate	0.2071	-0.0797	0.0549	-0.0257	0.4224	0.0012	0.018	0.1144	0.011	0.0012	0.0129	0.0034	0.0255	0.0034	-0.0006	0.02	-0.0021	-0.0005	0.0075	0.0017	0.0017	0.0036	0.0088	-0.0021	0.0052	0.004	0.002	0.0028	0.009	0.0135	-0.0001	0.0071	0.0111	0.0004	-0.0021	-0.0006	0.0072	-0.001	-0.0021	0.0016	0.0063	0.0127	-0.0023	0.0091	0.0008	0.0028	-0.0012	0.0199	0.0007	-0.0012	0.0358	-0.0022	0.0003	-0.002	0.0004	-0.0005	0.0093	-0.0017	0.0123	-0.0022	-0.0008	0.0006	-0.0019	-0.001	0.0105	0.0079	-0.0007	0.0037	0.0035	0.0084	-0.0018	0.0165	0.0212	-0.0006	-0.002	-0.0003	0.0012	0.0128	-0.0018	0.0044	0.0017	-0.0024	0.0034	0.0023	-0.0006	-0.0022	0.0042	-0.0008	0.0041	-0.002	0.0057	0.0091	0.0119	0.0233	-0.0021	-0.0017	-0.0021	0.0199	-0.0022	-0.0016
sad_vc_estimate_se	3.2806	2.2304	0.9075	0.7377	0.2437	0.1074	0.075	0.1035	0.0812	0.0663	0.0805	0.0763	0.0705	0.0624	0.0588	0.0602	0.0555	0.0635	0.0667	0.0611	0.0659	0.0602	0.0589	0.0621	0.057	0.0605	0.061	0.0654	0.0639	0.0587	0.0616	0.0589	0.0597	0.0585	0.0565	0.0593	0.0582	0.0591	0.0602	0.0591	0.0586	0.06	0.0616	0.0599	0.0598	0.0578	0.0587	0.0591	0.0596	0.059	0.0584	0.0562	0.0581	0.0652	0.0598	0.0584	0.0576	0.058	0.0599	0.059	0.0586	0.0608	0.0587	0.058	0.0606	0.0573	0.0597	0.0582	0.0595	0.0607	0.0648	0.0583	0.0563	0.0578	0.063	0.0613	0.0597	0.0607	0.0594	0.0606	0.0587	0.0626	0.0598	0.0627	0.0585	0.0572	0.0592	0.0562	0.0598	0.0587	0.0582	0.0614	0.0609	0.0551	0.0564	0.0595	0.0589	0.0575	0.0571	0.0574
sad_vc_pvals	0.194	0.806	0.232	0.795	0.0	0.361	0.023	0.0	0.112	0.352	0.131	0.353	0.022	0.242	0.482	0.018	0.928	0.546	0.14	0.35	0.401	0.338	0.163	0.802	0.175	0.273	0.386	0.358	0.164	0.121	0.523	0.216	0.132	0.489	0.908	0.587	0.184	0.652	0.827	0.41	0.223	0.104	0.888	0.133	0.466	0.291	0.658	0.051	0.525	0.662	0.007	0.942	0.506	0.759	0.461	0.575	0.11	0.753	0.101	0.882	0.598	0.43	0.824	0.618	0.114	0.149	0.58	0.285	0.344	0.144	0.758	0.074	0.044	0.58	0.74	0.557	0.393	0.102	0.744	0.264	0.382	0.934	0.337	0.369	0.578	0.971	0.245	0.623	0.284	0.823	0.217	0.158	0.116	0.018	0.913	0.727	0.871	0.042	0.931	0.717
upper95_perm_sad	0.8416	0.5206	0.2798	0.243	0.1134	0.0283	0.0194	0.0436	0.0268	0.0183	0.0322	0.0347	0.0252	0.0193	0.0175	0.0177	0.0164	0.0261	0.0225	0.021	0.0282	0.0284	0.0281	0.027	0.0209	0.0255	0.0295	0.0261	0.0289	0.0305	0.0275	0.0338	0.0279	0.0282	0.0265	0.0251	0.0258	0.0296	0.0271	0.0277	0.0273	0.0263	0.0275	0.0244	0.0269	0.0255	0.0254	0.0292	0.031	0.0286	0.0275	0.0212	0.0266	0.032	0.0248	0.0279	0.023	0.0283	0.0268	0.0272	0.0241	0.0201	0.028	0.0285	0.0238	0.0241	0.0245	0.0282	0.0293	0.0268	0.0261	0.028	0.0276	0.0247	0.0187	0.0266	0.0231	0.0276	0.0233	0.0247	0.0275	0.0254	0.0262	0.0262	0.0267	0.0299	0.0259	0.024	0.0309	0.0211	0.0245	0.0291	0.0269	0.0239	0.0227	0.023	0.0268	0.0254	0.0247	0.0252
lower0_perm_sad	-0.2017	-0.1393	-0.0564	-0.0448	-0.0152	-0.0066	-0.0045	-0.0063	-0.0049	-0.0041	-0.005	-0.0047	-0.0044	-0.0038	-0.0036	-0.0037	-0.0034	-0.0039	-0.0041	-0.0037	-0.004	-0.0037	-0.0035	-0.0038	-0.0035	-0.0037	-0.0037	-0.004	-0.0039	-0.0037	-0.0038	-0.0036	-0.0036	-0.0035	-0.0034	-0.0037	-0.0035	-0.0036	-0.0037	-0.0036	-0.0036	-0.0037	-0.0038	-0.0036	-0.0037	-0.0036	-0.0037	-0.0036	-0.0037	-0.0036	-0.0036	-0.0034	-0.0036	-0.004	-0.0036	-0.0036	-0.0035	-0.0035	-0.0036	-0.0037	-0.0035	-0.0037	-0.0036	-0.0036	-0.0037	-0.0035	-0.0037	-0.0036	-0.0036	-0.0036	-0.004	-0.0035	-0.0035	-0.0035	-0.0039	-0.0037	-0.0036	-0.0037	-0.0036	-0.0037	-0.0036	-0.0039	-0.0037	-0.0039	-0.0035	-0.0035	-0.0036	-0.0034	-0.0036	-0.0036	-0.0036	-0.0037	-0.0037	-0.0033	-0.0035	-0.0037	-0.0036	-0.0036	-0.0034	-0.0036
