	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-1.2476	-0.2117	-0.1836	-0.0011	-0.0196	0.0001	-0.0219	0.0071	0.0151	-0.0058	-0.0238	-0.0212	0.0567	-0.0001	0.0049	-0.009	-0.0058	-0.001	0.0178	-0.019	-0.0195	-0.0087	0.0135	-0.0035	-0.0071	-0.0041	-0.0033	-0.0118	-0.0002	-0.0044	-0.0013	-0.0003	-0.0	0.0127	0.0034	-0.008	-0.004	0.0093	-0.0061	0.0054	0.0026	-0.0013	-0.0059	0.0062	-0.0138	-0.0053	-0.0062	-0.0055	-0.0148	-0.0129	-0.0029	0.0345	0.0131	-0.0031	-0.0096	0.0376	-0.0015	-0.018	-0.007	-0.0017	-0.0085	0.008	-0.0099	-0.0095	-0.0025	-0.0116	0.0114	-0.0191	-0.0036	-0.0022	-0.0043	-0.012	-0.0042	-0.0035	-0.0035	0.0113	-0.002	-0.0013	-0.0099	-0.0073	-0.0105	-0.0073	-0.0064	-0.0027	0.0015	-0.0011	-0.0009	0.0002	0.0065	-0.0039	0.01	0.0305	-0.0034	0.0036	0.0118	-0.0019	-0.0236	-0.0182	0.0031	0.0015
direct_vc_estimate_se	1.3138	0.1223	0.1505	0.0445	0.0176	0.0056	0.015	0.0038	0.0033	0.0035	0.0133	0.012	0.009	0.0048	0.0028	0.008	0.0032	0.0052	0.0117	0.0134	0.012	0.0059	0.0126	0.0026	0.0041	0.0074	0.0023	0.0085	0.0082	0.0044	0.0031	0.0026	0.0026	0.0051	0.0065	0.0057	0.0029	0.0027	0.0034	0.0026	0.002	0.0029	0.0033	0.0033	0.0083	0.0031	0.0035	0.0034	0.0082	0.0072	0.0032	0.0056	0.0023	0.0019	0.0059	0.0048	0.0091	0.0179	0.0058	0.0025	0.0047	0.0029	0.0072	0.0218	0.0024	0.0072	0.0026	0.0109	0.002	0.0025	0.0028	0.0068	0.0034	0.0023	0.002	0.0055	0.0024	0.006	0.0094	0.0083	0.0064	0.0044	0.0071	0.0087	0.0026	0.0044	0.0031	0.0038	0.0027	0.0033	0.0022	0.0029	0.002	0.0023	0.0127	0.0021	0.0135	0.0111	0.0025	0.0023
direct_vc_pvals	0.339	0.837	0.524	0.376	0.487	0.365	0.598	0.314	0.109	0.788	0.864	0.827	0.186	0.421	0.276	0.481	0.972	0.388	0.03	0.568	0.7	0.679	0.081	0.622	0.818	0.274	0.713	0.609	0.307	0.631	0.556	0.458	0.446	0.084	0.211	0.592	0.644	0.152	0.999	0.248	0.167	0.459	0.898	0.199	0.73	0.83	0.896	0.763	0.926	0.862	0.538	0.013	0.054	0.783	0.68	0.018	0.207	0.355	0.509	0.435	0.932	0.124	0.606	0.206	0.605	0.671	0.103	0.838	0.987	0.544	0.708	0.857	0.583	0.721	0.828	0.133	0.552	0.296	0.435	0.358	0.74	0.74	0.423	0.273	0.315	0.321	0.38	0.304	0.197	0.552	0.119	0.037	0.842	0.307	0.08	0.552	0.797	0.726	0.475	0.374
upper95_perm_direct	1.0538	0.7678	0.4268	0.3086	0.0588	0.0346	0.0332	0.045	0.0239	0.02	0.0289	0.0173	0.1169	0.0443	0.029	0.0226	0.0138	0.034	0.0138	0.0173	0.03	0.0284	0.0223	0.0161	0.0217	0.017	0.0172	0.0277	0.0303	0.039	0.0398	0.0276	0.0232	0.0184	0.0234	0.0279	0.0149	0.0222	0.0186	0.0237	0.0083	0.0208	0.0247	0.0211	0.0245	0.0151	0.022	0.0217	0.0254	0.0171	0.0249	0.0208	0.0138	0.0157	0.0162	0.0252	0.0198	0.0214	0.0187	0.0107	0.0191	0.0181	0.0247	0.0162	0.0241	0.0238	0.0183	0.0396	0.0149	0.0228	0.0216	0.0187	0.0184	0.0126	0.015	0.0254	0.0236	0.0234	0.0242	0.0146	0.0209	0.0213	0.0254	0.0239	0.0181	0.0186	0.0197	0.0173	0.0219	0.0203	0.0181	0.027	0.0136	0.024	0.0179	0.019	0.0156	0.0196	0.0467	0.0225
lower0_perm_direct	-2.9403	-0.2795	-0.3328	-0.1018	-0.0383	-0.0123	-0.0337	-0.0081	-0.0075	-0.0075	-0.0293	-0.0268	-0.0205	-0.0106	-0.0062	-0.0178	-0.007	-0.0112	-0.0258	-0.0289	-0.0261	-0.013	-0.0275	-0.0057	-0.009	-0.0168	-0.0049	-0.0184	-0.0178	-0.01	-0.0068	-0.0059	-0.0058	-0.0114	-0.0139	-0.0128	-0.0063	-0.0058	-0.0075	-0.0058	-0.0043	-0.0064	-0.0072	-0.0073	-0.0183	-0.0068	-0.008	-0.0077	-0.018	-0.0157	-0.0071	-0.0121	-0.005	-0.0041	-0.0131	-0.0103	-0.0204	-0.04	-0.0125	-0.0056	-0.0107	-0.0062	-0.0157	-0.0476	-0.0055	-0.016	-0.0057	-0.0235	-0.0044	-0.0053	-0.0061	-0.0149	-0.0076	-0.005	-0.0045	-0.0119	-0.0054	-0.0133	-0.0205	-0.0186	-0.0142	-0.0096	-0.0158	-0.0191	-0.0058	-0.0096	-0.0068	-0.008	-0.006	-0.0074	-0.0047	-0.0064	-0.0045	-0.005	-0.0285	-0.0046	-0.0307	-0.0253	-0.0054	-0.0051
sad_vc_estimate	-1.501	-0.0939	-0.1483	-0.0731	-0.0314	0.0055	-0.0136	-0.0019	0.0101	-0.0058	-0.0202	-0.0201	0.0627	-0.0015	-0.0014	-0.0138	-0.0051	0.0047	0.025	-0.0233	-0.0185	-0.0105	-0.0114	-0.0034	-0.0054	-0.0092	-0.003	-0.0097	-0.0081	-0.0079	-0.003	-0.0017	0.0019	0.0137	-0.0006	-0.0047	-0.0051	0.0181	-0.0061	0.0073	0.0004	0.0023	-0.0061	0.0018	-0.0058	-0.0052	0.0003	-0.0026	-0.0144	-0.0129	0.0032	0.0431	0.0311	-0.0034	-0.0107	0.0562	-0.0016	0.0054	-0.0089	0.0024	-0.0077	0.0103	-0.006	-0.0138	0.0009	-0.0068	0.0158	-0.0166	-0.0023	0.001	-0.0026	-0.0104	-0.0061	-0.0036	-0.0034	0.0029	0.0004	0.0116	-0.0081	-0.0108	-0.0112	-0.0074	0.0026	0.0003	-0.0028	0.0085	-0.0056	0.0028	0.0104	-0.0047	0.0231	0.0399	-0.0007	-0.0003	0.0121	0.0006	-0.0215	-0.0183	-0.001	-0.0036
sad_vc_estimate_se	1.3144	0.1226	0.1507	0.0446	0.0176	0.0056	0.015	0.0038	0.0033	0.0035	0.0133	0.012	0.009	0.0048	0.0028	0.008	0.0032	0.0052	0.0117	0.0134	0.012	0.0059	0.0126	0.0026	0.0041	0.0074	0.0023	0.0085	0.0082	0.0044	0.0031	0.0027	0.0026	0.0051	0.0065	0.0057	0.0029	0.0027	0.0034	0.0026	0.002	0.0029	0.0033	0.0033	0.0083	0.0031	0.0035	0.0034	0.0082	0.0072	0.0032	0.0056	0.0023	0.0019	0.0059	0.0048	0.0091	0.0179	0.0058	0.0025	0.0047	0.0029	0.0072	0.0218	0.0025	0.0072	0.0026	0.0109	0.002	0.0025	0.0028	0.0068	0.0034	0.0023	0.002	0.0055	0.0024	0.006	0.0094	0.0084	0.0064	0.0044	0.0071	0.0087	0.0026	0.0044	0.0031	0.0038	0.0027	0.0033	0.0022	0.0029	0.002	0.0023	0.0127	0.0021	0.0135	0.0111	0.0025	0.0023
sad_vc_pvals	0.418	0.532	0.461	0.805	0.86	0.267	0.369	0.56	0.181	0.808	0.638	0.734	0.116	0.481	0.583	0.79	0.737	0.282	0.016	0.819	0.645	0.901	0.413	0.636	0.649	0.506	0.708	0.496	0.492	0.965	0.658	0.625	0.371	0.111	0.27	0.482	0.899	0.107	0.948	0.287	0.353	0.372	0.984	0.372	0.388	0.819	0.37	0.518	0.852	0.874	0.341	0.021	0.016	0.994	0.88	0.008	0.237	0.108	0.659	0.262	0.74	0.131	0.433	0.259	0.477	0.431	0.112	0.656	0.673	0.445	0.563	0.661	0.927	0.694	0.798	0.216	0.426	0.096	0.422	0.539	0.823	0.78	0.275	0.251	0.595	0.179	0.916	0.272	0.153	0.74	0.064	0.034	0.464	0.524	0.117	0.449	0.671	0.713	0.664	0.767
upper95_perm_sad	1.3544	1.2212	0.4854	0.3786	0.0874	0.0433	0.0377	0.0485	0.0316	0.032	0.0301	0.023	0.0987	0.0457	0.0398	0.0245	0.019	0.0312	0.0118	0.0235	0.032	0.0343	0.0328	0.0234	0.0277	0.0199	0.0269	0.0235	0.0394	0.0507	0.042	0.0371	0.026	0.0257	0.0267	0.0355	0.0277	0.0321	0.0289	0.04	0.0143	0.0325	0.0287	0.0292	0.0342	0.0266	0.0252	0.0257	0.0302	0.0265	0.0263	0.029	0.0222	0.0204	0.0234	0.0296	0.0197	0.0209	0.0184	0.0176	0.0205	0.022	0.0369	0.0237	0.0347	0.0337	0.0263	0.0481	0.0226	0.0314	0.0237	0.0253	0.0237	0.0167	0.0161	0.0223	0.0296	0.0207	0.0241	0.0262	0.0249	0.0293	0.0404	0.0258	0.0228	0.0278	0.0275	0.0244	0.0239	0.0329	0.028	0.0337	0.02	0.0319	0.0287	0.0255	0.0209	0.0228	0.0583	0.0278
lower0_perm_sad	-2.9203	-0.2668	-0.329	-0.1017	-0.0383	-0.0121	-0.0329	-0.0082	-0.0074	-0.0079	-0.0286	-0.0266	-0.019	-0.0105	-0.0061	-0.018	-0.0068	-0.0114	-0.0253	-0.0304	-0.027	-0.0134	-0.0274	-0.0057	-0.0091	-0.0164	-0.0051	-0.0183	-0.0177	-0.0095	-0.0066	-0.006	-0.0058	-0.0115	-0.014	-0.0126	-0.0064	-0.006	-0.0075	-0.0055	-0.0045	-0.0063	-0.0074	-0.0073	-0.0188	-0.0067	-0.0077	-0.0074	-0.0179	-0.016	-0.007	-0.012	-0.005	-0.0042	-0.0129	-0.0105	-0.0197	-0.0383	-0.0132	-0.0055	-0.0103	-0.0063	-0.0158	-0.0486	-0.0054	-0.016	-0.0058	-0.0245	-0.0043	-0.0054	-0.0062	-0.0149	-0.0076	-0.0052	-0.0046	-0.0122	-0.0053	-0.0129	-0.0204	-0.0188	-0.0141	-0.0097	-0.0158	-0.0191	-0.0057	-0.0097	-0.0068	-0.0087	-0.0059	-0.0073	-0.0048	-0.0067	-0.0045	-0.0051	-0.0287	-0.0047	-0.0301	-0.0247	-0.0054	-0.0051
