	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.0018	-0.0315	0.3517	0.6825	0.4498	0.0525	-0.0039	0.2911	-0.0003	-0.0014	0.0359	-0.0016	-0.0017	0.0354	-0.0003	-0.0016	-0.0014	0.0103	0.0002	0.1159	-0.0005	0.0149	0.0011	0.0092	0.0078	0.027	0.0006	-0.0013	-0.001	0.0033	0.0003	0.0153	-0.0013	-0.0015	-0.0015	0.0274	0.0082	0.0029	0.0428	-0.0009	-0.0014	0.013	0.0162	-0.0012	0.0018	0.0008	0.0058	0.0012	0.0111	0.0047	0.0044	-0.0004	0.0185	0.0069	-0.0007	0.0006	0.021	0.0041	-0.0002	0.0338	-0.0009	0.0076	-0.0011	0.0002	0.0014	-0.0007	-0.0014	0.0445	0.0094	0.0014	-0.0007	-0.0012	-0.0018	0.0069	-0.0014	-0.0012	0.0044	0.0014	0.0139	0.0767	0.0004	-0.0011	0.0027	0.0068	0.0184	0.0073	-0.0011	0.0032	0.0013	0.0097	0.0032	0.0417	-0.0011	0.0064	0.0216	0.0015	0.001	0.0061	-0.0013	0.0251
direct_vc_estimate_se	0.0523	0.0233	0.0087	0.0064	0.0022	0.0015	0.0014	0.0012	0.0008	0.001	0.0007	0.0007	0.0007	0.0006	0.0006	0.0006	0.0005	0.0006	0.0006	0.0006	0.0005	0.0005	0.0006	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.0006	0.0006	0.0006	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.0006	0.0006	0.0005	0.0006	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.0006	0.0005	0.0005	0.0005	0.0007	0.0005	0.0005	0.0006	0.0005	0.0005	0.0005	0.0005	0.0005	0.0006	0.0005	0.0007	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.0004	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.0006	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005
direct_vc_pvals	0.463	0.786	0.054	0.033	0.096	0.315	0.985	0.011	0.483	0.756	0.069	0.902	0.919	0.028	0.571	0.916	0.892	0.256	0.559	0.0	0.779	0.194	0.566	0.096	0.21	0.233	0.526	0.92	0.784	0.617	0.571	0.08	0.92	0.868	0.826	0.03	0.234	0.335	0.312	0.779	0.951	0.178	0.121	0.854	0.519	0.711	0.376	0.516	0.163	0.321	0.389	0.848	0.157	0.335	0.789	0.409	0.175	0.254	0.693	0.02	0.744	0.235	0.827	0.788	0.623	0.655	0.989	0.074	0.093	0.774	0.783	0.833	0.957	0.121	0.993	0.895	0.36	0.426	0.027	0.038	0.515	0.959	0.345	0.444	0.072	0.328	0.852	0.396	0.507	0.162	0.316	0.06	0.891	0.253	0.192	0.421	0.392	0.296	0.886	0.023
upper95_perm_direct	1.2746	1.8369	0.6019	0.8984	0.9112	0.2515	0.0397	0.3263	0.0242	0.0505	0.0639	0.0594	0.03	0.0426	0.0218	0.0243	0.0241	0.0519	0.027	0.0821	0.0402	0.0507	0.039	0.0201	0.0297	0.0868	0.0221	0.0246	0.0406	0.0412	0.031	0.0299	0.0388	0.0223	0.0206	0.0386	0.037	0.0236	0.1411	0.0303	0.0309	0.0456	0.04	0.0231	0.0441	0.0642	0.0496	0.038	0.0309	0.0342	0.0387	0.0996	0.0472	0.0502	0.0284	0.0146	0.0718	0.0242	0.0375	0.0356	0.0224	0.03	0.0305	0.0563	0.0811	0.0204	0.0386	0.0808	0.0221	0.0728	0.0467	0.0186	0.0491	0.0181	0.0413	0.0388	0.0333	0.0227	0.0177	0.1133	0.0195	0.0728	0.0223	0.0398	0.0351	0.0369	0.0193	0.0321	0.0339	0.0291	0.022	0.0718	0.0293	0.034	0.0661	0.0271	0.0163	0.0346	0.0188	0.0284
lower0_perm_direct	-0.295	-0.1389	-0.048	-0.0362	-0.0121	-0.0084	-0.008	-0.0069	-0.0048	-0.0057	-0.0038	-0.004	-0.0038	-0.0031	-0.0034	-0.0035	-0.0032	-0.0032	-0.0033	-0.0031	-0.0027	-0.0032	-0.0034	-0.0028	-0.0028	-0.0028	-0.003	-0.003	-0.0032	-0.0027	-0.0029	-0.0029	-0.0028	-0.0035	-0.0035	-0.0033	-0.0028	-0.0027	-0.0029	-0.003	-0.0028	-0.0028	-0.0032	-0.0027	-0.0029	-0.0031	-0.003	-0.0032	-0.0031	-0.0036	-0.003	-0.0026	-0.0027	-0.0028	-0.0027	-0.0028	-0.0028	-0.0034	-0.0028	-0.0027	-0.0028	-0.0038	-0.0027	-0.0027	-0.0033	-0.0032	-0.0029	-0.0028	-0.0028	-0.0028	-0.0032	-0.0028	-0.0041	-0.0027	-0.0028	-0.0028	-0.0026	-0.0028	-0.0028	-0.0032	-0.0024	-0.0026	-0.0027	-0.0025	-0.0026	-0.0026	-0.0026	-0.0031	-0.0032	-0.003	-0.0027	-0.0029	-0.0027	-0.0029	-0.0026	-0.0027	-0.003	-0.0029	-0.003	-0.0029
sad_vc_estimate	0.0641	-0.0525	0.7619	1.3222	0.7953	0.0811	-0.0033	0.5977	0.0059	0.0005	0.0538	-0.0016	-0.0018	0.0527	0.0034	-0.0015	-0.0002	0.011	0.0013	0.1924	-0.0012	0.0317	0.0051	0.0148	0.02	0.0455	0.0014	-0.0006	0.0038	0.005	0.0037	0.0227	-0.0011	-0.0005	-0.0016	0.0509	0.0212	0.0042	0.0892	0.0003	-0.0008	0.0195	0.027	-0.0011	0.0004	0.0056	0.0188	0.0031	0.0177	0.0141	0.0142	0.0081	0.0214	0.0094	-0.0005	0.0016	0.0438	0.0033	0.0012	0.0487	0.002	0.0108	-0.001	0.009	0.0024	0.0009	0.0011	0.0729	0.0153	0.0044	0.0011	0.0005	-0.0004	0.0196	-0.0014	-0.0014	0.0054	0.0025	0.017	0.114	-0.0	-0.0002	0.007	0.0074	0.0267	0.0143	-0.0011	-0.0009	0.0028	0.0174	0.0063	0.0672	-0.0011	0.0131	0.0325	0.0038	0.0022	0.0224	0.0033	0.0293
sad_vc_estimate_se	0.0524	0.0233	0.0088	0.0064	0.0023	0.0015	0.0014	0.0012	0.0008	0.001	0.0007	0.0007	0.0007	0.0006	0.0006	0.0006	0.0006	0.0006	0.0006	0.0006	0.0005	0.0005	0.0006	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.0006	0.0006	0.0006	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.0006	0.0006	0.0005	0.0006	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.0006	0.0005	0.0005	0.0005	0.0007	0.0005	0.0005	0.0006	0.0005	0.0005	0.0005	0.0005	0.0005	0.0006	0.0005	0.0007	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.0004	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.0006	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005
sad_vc_pvals	0.475	0.888	0.009	0.003	0.076	0.306	0.835	0.003	0.227	0.691	0.057	0.919	0.955	0.025	0.331	0.903	0.674	0.368	0.54	0.0	0.946	0.114	0.469	0.083	0.11	0.198	0.51	0.747	0.523	0.637	0.433	0.085	0.875	0.656	0.907	0.03	0.145	0.308	0.207	0.621	0.801	0.181	0.064	0.843	0.729	0.688	0.255	0.514	0.123	0.242	0.24	0.666	0.252	0.378	0.848	0.357	0.121	0.422	0.61	0.007	0.457	0.269	0.851	0.563	0.625	0.48	0.583	0.086	0.094	0.704	0.663	0.535	0.777	0.028	0.985	0.986	0.401	0.366	0.04	0.018	0.681	0.945	0.23	0.477	0.077	0.284	0.817	0.789	0.535	0.125	0.238	0.064	0.889	0.208	0.147	0.356	0.453	0.183	0.444	0.011
upper95_perm_sad	1.9556	2.4134	0.8505	1.263	1.5105	0.3536	0.0558	0.5618	0.0298	0.0789	0.0915	0.1023	0.039	0.0694	0.0282	0.0379	0.0432	0.0838	0.0369	0.1346	0.0557	0.0798	0.0573	0.0303	0.0548	0.1241	0.028	0.0378	0.0715	0.0548	0.0484	0.0452	0.0606	0.0284	0.0196	0.0701	0.0611	0.0316	0.2221	0.0373	0.0452	0.0627	0.0483	0.032	0.0705	0.083	0.0841	0.0613	0.0456	0.0644	0.0578	0.1496	0.069	0.0788	0.0439	0.0173	0.0999	0.0396	0.0583	0.0481	0.0295	0.0537	0.0495	0.1129	0.1257	0.0272	0.0444	0.1354	0.0327	0.1174	0.0686	0.0218	0.0825	0.0258	0.063	0.056	0.0442	0.0262	0.0254	0.1346	0.0326	0.1192	0.0291	0.0459	0.0515	0.0546	0.025	0.0455	0.0576	0.0425	0.0332	0.1191	0.0472	0.0512	0.0868	0.0338	0.0273	0.0716	0.0421	0.0314
lower0_perm_sad	-0.2923	-0.1357	-0.0522	-0.0363	-0.0125	-0.0076	-0.0083	-0.0064	-0.0049	-0.0057	-0.0042	-0.0039	-0.0037	-0.0031	-0.0035	-0.0034	-0.0032	-0.0031	-0.0032	-0.0033	-0.0027	-0.003	-0.0034	-0.0028	-0.0028	-0.0027	-0.0029	-0.0029	-0.0031	-0.0027	-0.0028	-0.003	-0.0028	-0.0034	-0.0036	-0.0033	-0.0026	-0.0029	-0.0028	-0.0029	-0.0027	-0.0027	-0.0031	-0.0028	-0.0027	-0.003	-0.0032	-0.0032	-0.0028	-0.0035	-0.0031	-0.0025	-0.0028	-0.0029	-0.0025	-0.0028	-0.0027	-0.0036	-0.0027	-0.0027	-0.0028	-0.0037	-0.0027	-0.0028	-0.0031	-0.0031	-0.003	-0.0025	-0.0029	-0.0029	-0.0032	-0.0027	-0.004	-0.0026	-0.0028	-0.0027	-0.0027	-0.0027	-0.003	-0.003	-0.0026	-0.0025	-0.0027	-0.0025	-0.0025	-0.0026	-0.0028	-0.0032	-0.0032	-0.003	-0.0027	-0.0029	-0.0027	-0.0029	-0.0026	-0.0028	-0.0028	-0.0029	-0.0027	-0.0028
