	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.0625	-0.0057	0.0489	0.2119	0.136	0.0161	-0.0007	0.0842	0.0005	0.0016	0.0059	0.0036	0.0003	0.0023	-0.0	-0.0	0.0	0.0016	-0.0001	0.0134	-0.0001	0.0027	0.0008	0.002	0.0032	0.0033	0.0002	0.0	-0.0001	0.0017	0.001	0.0028	-0.0001	-0.0002	-0.0001	0.0016	0.0029	-0.0001	0.0164	-0.0001	-0.0	0.002	0.0015	0.0008	0.0009	0.0004	0.0007	0.001	0.0044	-0.0002	0.0026	0.0027	0.0029	0.0014	0.0004	0.0014	0.0086	0.0001	0.0001	0.0079	-0.0001	0.0025	0.0003	0.0009	0.001	-0.0001	0.0001	0.0066	0.0011	0.0045	0.0	0.0003	0.0004	0.002	0.0005	-0.0001	-0.0001	-0.0001	0.0005	0.0243	-0.0001	0.0012	-0.0001	0.0049	0.0041	0.0008	-0.0	-0.0001	0.0001	0.0029	0.0008	0.005	-0.0001	0.0028	0.0075	0.0012	0.0005	0.0025	0.0002	0.0063
direct_vc_estimate_se	0.0156	0.0049	0.0016	0.0011	0.0003	0.0003	0.0005	0.0003	0.0002	0.0003	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
direct_vc_pvals	0.184	0.918	0.181	0.006	0.05	0.29	0.907	0.001	0.369	0.47	0.12	0.335	0.556	0.27	0.737	0.703	0.693	0.357	0.773	0.026	0.985	0.265	0.418	0.083	0.113	0.512	0.476	0.743	0.981	0.512	0.257	0.109	0.984	0.999	0.806	0.279	0.133	0.943	0.205	0.95	0.786	0.227	0.256	0.331	0.442	0.796	0.511	0.375	0.045	0.88	0.246	0.58	0.313	0.384	0.669	0.088	0.069	0.548	0.704	0.002	0.799	0.155	0.539	0.739	0.544	0.932	0.655	0.281	0.178	0.347	0.766	0.362	0.596	0.068	0.656	0.998	0.898	0.808	0.244	0.005	0.987	0.821	0.973	0.063	0.096	0.66	0.749	0.963	0.713	0.038	0.376	0.163	0.902	0.096	0.127	0.24	0.238	0.186	0.542	0.002
upper95_perm_direct	0.2307	0.3673	0.123	0.224	0.2149	0.0607	0.0112	0.0824	0.0042	0.0114	0.0127	0.0147	0.0059	0.0105	0.0049	0.0051	0.0052	0.0116	0.0068	0.0186	0.009	0.0107	0.0063	0.0039	0.0072	0.0194	0.0026	0.0055	0.007	0.0096	0.0047	0.0059	0.0086	0.0056	0.0029	0.0078	0.007	0.0036	0.0381	0.0051	0.0049	0.0078	0.0065	0.0056	0.0087	0.0134	0.0094	0.0074	0.0065	0.0069	0.0091	0.0241	0.0111	0.0108	0.0067	0.0028	0.0155	0.0039	0.0065	0.0084	0.0043	0.0067	0.0062	0.0141	0.0209	0.0045	0.0074	0.0206	0.0031	0.0187	0.0116	0.0024	0.0126	0.0034	0.0082	0.0082	0.0068	0.0044	0.0022	0.0247	0.0053	0.0178	0.0042	0.0082	0.0083	0.0077	0.0031	0.0096	0.0085	0.0045	0.0048	0.014	0.0077	0.0062	0.017	0.0045	0.0023	0.0068	0.0039	0.0053
lower0_perm_direct	-0.0485	-0.015	-0.0045	-0.0033	-0.001	-0.001	-0.0014	-0.0009	-0.0005	-0.0009	-0.0004	-0.0004	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0002	-0.0003	-0.0003	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0003	-0.0002	-0.0002	-0.0002	-0.0002	-0.0004	-0.0004	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0002	-0.0002	-0.0003	-0.0002	-0.0003	-0.0002	-0.0003	-0.0003	-0.0003	-0.0004	-0.0002	-0.0002	-0.0002	-0.0003	-0.0002	-0.0002	-0.0002	-0.0005	-0.0002	-0.0002	-0.0002	-0.0005	-0.0002	-0.0002	-0.0003	-0.0003	-0.0002	-0.0002	-0.0002	-0.0002	-0.0004	-0.0002	-0.0006	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0003	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0003	-0.0003	-0.0003	-0.0002	-0.0002	-0.0002	-0.0003	-0.0002	-0.0002	-0.0003	-0.0003	-0.0002	-0.0002
sad_vc_estimate	0.1099	0.0199	0.229	0.5805	0.3394	0.0357	-0.0002	0.2654	0.0039	0.0046	0.0154	0.0075	0.0006	0.0072	0.0018	0.001	-0.0001	0.0014	0.0008	0.0412	0.0001	0.0115	0.0039	0.0039	0.0102	0.01	0.0005	0.0002	0.003	0.0037	0.004	0.0061	-0.0001	0.0004	-0.0001	0.0106	0.0105	-0.0001	0.0491	-0.0	0.0015	0.0043	0.0041	0.0003	0.0003	0.0041	0.0068	0.0012	0.0099	0.0026	0.0082	0.0139	0.0027	0.0027	0.0009	0.0021	0.024	-0.0002	0.0002	0.0143	0.0013	0.0052	0.0007	0.0074	0.0017	0.0002	0.0046	0.0212	0.0041	0.008	0.0005	0.0033	0.0051	0.0092	0.0003	-0.0001	0.0002	0.0001	0.0009	0.0462	-0.0	0.0034	0.0003	0.0056	0.0076	0.0038	-0.0	0.0024	0.0016	0.0082	0.0026	0.0206	-0.0001	0.0073	0.0159	0.0039	0.0017	0.0152	0.0063	0.0069
sad_vc_estimate_se	0.0156	0.0049	0.0016	0.0011	0.0004	0.0003	0.0005	0.0003	0.0002	0.0003	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
sad_vc_pvals	0.283	0.76	0.001	0.0	0.046	0.277	0.816	0.001	0.127	0.398	0.078	0.421	0.515	0.201	0.312	0.503	0.877	0.565	0.597	0.006	0.803	0.124	0.31	0.074	0.089	0.336	0.395	0.738	0.373	0.543	0.163	0.119	0.967	0.628	0.689	0.119	0.088	1.0	0.162	0.852	0.508	0.272	0.205	0.657	0.784	0.661	0.267	0.52	0.024	0.474	0.186	0.361	0.54	0.444	0.752	0.176	0.035	0.979	0.732	0.022	0.374	0.217	0.609	0.424	0.543	0.678	0.138	0.178	0.074	0.428	0.713	0.068	0.374	0.003	0.81	0.925	0.814	0.684	0.337	0.001	0.868	0.867	0.62	0.186	0.107	0.482	0.784	0.398	0.499	0.017	0.232	0.119	0.953	0.078	0.097	0.182	0.447	0.085	0.197	0.028
upper95_perm_sad	0.5821	0.815	0.2199	0.4644	0.5189	0.1347	0.02	0.2334	0.0099	0.0229	0.0275	0.0384	0.0091	0.0233	0.0093	0.014	0.0135	0.0291	0.0158	0.0493	0.0194	0.0264	0.0183	0.0072	0.0217	0.036	0.0048	0.0116	0.0208	0.0192	0.0132	0.0153	0.0217	0.0103	0.0041	0.0243	0.0224	0.0061	0.1015	0.0089	0.0154	0.0194	0.0147	0.01	0.0238	0.0268	0.0293	0.0196	0.0125	0.0271	0.0231	0.0545	0.0227	0.0263	0.0166	0.0066	0.0342	0.0126	0.0154	0.0169	0.0092	0.0166	0.015	0.0446	0.0452	0.0079	0.0127	0.0479	0.0075	0.0437	0.0247	0.006	0.0316	0.0073	0.0235	0.0175	0.0139	0.006	0.0056	0.046	0.0113	0.0412	0.0087	0.0136	0.0161	0.0173	0.0046	0.0209	0.0218	0.0097	0.0083	0.054	0.0231	0.0134	0.0319	0.0115	0.0091	0.0287	0.0206	0.0086
lower0_perm_sad	-0.0499	-0.0146	-0.0045	-0.0036	-0.001	-0.0009	-0.0014	-0.0009	-0.0004	-0.0008	-0.0004	-0.0004	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0002	-0.0002	-0.0003	-0.0003	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0003	-0.0002	-0.0002	-0.0002	-0.0002	-0.0004	-0.0004	-0.0003	-0.0002	-0.0003	-0.0003	-0.0003	-0.0002	-0.0002	-0.0003	-0.0002	-0.0002	-0.0002	-0.0003	-0.0003	-0.0003	-0.0004	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0004	-0.0002	-0.0002	-0.0003	-0.0005	-0.0002	-0.0002	-0.0003	-0.0003	-0.0003	-0.0002	-0.0002	-0.0002	-0.0003	-0.0002	-0.0006	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0003	-0.0003	-0.0003	-0.0002	-0.0002	-0.0002	-0.0003	-0.0002	-0.0002	-0.0003	-0.0003	-0.0002	-0.0002
