	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.2356	-0.116	-0.0326	-0.0221	-0.0032	-0.006	-0.0037	0.0081	-0.0024	-0.0036	-0.0041	-0.0013	-0.0037	0.0071	-0.0036	0.012	0.0027	0.0067	-0.0038	0.0007	0.002	-0.0031	-0.0016	0.0138	-0.0002	-0.0006	-0.0031	-0.0016	-0.0022	0.011	-0.0012	-0.0014	-0.0018	0.0048	-0.0011	-0.003	-0.0012	0.0047	-0.0011	-0.0011	-0.0029	0.0098	-0.0019	-0.0001	-0.0009	0.0272	0.0101	-0.0033	0.0003	0.0082	-0.002	-0.0033	0.0076	0.0013	0.0002	0.0219	-0.003	-0.0031	-0.0026	-0.0022	-0.0032	-0.0031	-0.0018	-0.0018	-0.0011	-0.0012	-0.0033	-0.0031	-0.0022	-0.0013	-0.0029	-0.0018	0.0026	-0.0025	0.0117	0.0179	-0.0024	-0.0031	-0.0018	-0.001	0.013	-0.0017	0.0182	0.0055	0.0081	0.0088	-0.0027	-0.0007	0.0024	0.0135	0.0122	0.0057	-0.0029	-0.003	-0.0022	-0.0021	-0.0037	-0.0032	-0.0027	0.0476
direct_vc_estimate_se	12.2754	7.5308	2.6419	1.8414	0.6481	0.3546	0.3256	0.3054	0.2503	0.2008	0.2398	0.273	0.1908	0.1918	0.1851	0.1682	0.1853	0.1651	0.196	0.1611	0.1667	0.1793	0.159	0.1718	0.1784	0.1881	0.1599	0.1631	0.1705	0.1766	0.1525	0.156	0.1619	0.1566	0.1644	0.1576	0.1844	0.1927	0.1739	0.1678	0.1598	0.18	0.1802	0.1645	0.16	0.1685	0.1631	0.1679	0.1717	0.2133	0.1623	0.1729	0.1796	0.1688	0.161	0.1722	0.1644	0.164	0.1812	0.162	0.1971	0.1633	0.1608	0.1806	0.1743	0.176	0.1784	0.1595	0.1672	0.1817	0.1738	0.2018	0.1738	0.1676	0.167	0.1888	0.1584	0.1705	0.1694	0.1668	0.1659	0.1495	0.1617	0.1644	0.1794	0.1641	0.1819	0.1488	0.1768	0.1487	0.1646	0.1698	0.1619	0.1574	0.1976	0.1762	0.1927	0.1626	0.1679	0.1769
direct_vc_pvals	0.891	0.664	0.612	0.596	0.508	0.755	0.57	0.237	0.564	0.815	0.771	0.475	0.965	0.134	0.935	0.06	0.252	0.15	0.993	0.4	0.342	0.8	0.589	0.078	0.426	0.443	0.954	0.617	0.683	0.102	0.564	0.603	0.613	0.234	0.527	0.907	0.519	0.266	0.516	0.533	0.822	0.13	0.587	0.48	0.5	0.019	0.125	0.985	0.426	0.17	0.643	0.92	0.16	0.339	0.431	0.033	0.856	0.902	0.728	0.66	0.763	0.912	0.638	0.612	0.524	0.511	0.85	0.96	0.665	0.521	0.749	0.547	0.294	0.719	0.1	0.051	0.735	0.842	0.609	0.497	0.069	0.626	0.059	0.219	0.15	0.133	0.709	0.507	0.298	0.071	0.088	0.212	0.81	0.93	0.614	0.621	0.916	0.964	0.756	0.002
upper95_perm_direct	0.8549	0.6637	0.2893	0.2248	0.0915	0.0321	0.0281	0.0391	0.0289	0.0193	0.0265	0.0316	0.0231	0.0173	0.0194	0.0168	0.0188	0.0181	0.0249	0.0206	0.0245	0.0238	0.0194	0.0229	0.0198	0.0203	0.0245	0.0243	0.0306	0.0248	0.0223	0.0224	0.0239	0.0255	0.0224	0.0241	0.0262	0.0284	0.0204	0.0262	0.0222	0.0236	0.0208	0.0232	0.0184	0.0221	0.0238	0.0243	0.0237	0.025	0.0211	0.0265	0.0218	0.02	0.0224	0.0233	0.022	0.0187	0.0266	0.0219	0.0216	0.0197	0.0217	0.022	0.0233	0.0214	0.0193	0.0207	0.0215	0.0244	0.0221	0.0235	0.022	0.0235	0.0217	0.0227	0.0214	0.0206	0.0229	0.0208	0.0186	0.0216	0.0241	0.023	0.025	0.021	0.0223	0.0191	0.0229	0.0207	0.0215	0.0266	0.0217	0.0199	0.0261	0.0202	0.0214	0.0242	0.0218	0.0208
lower0_perm_direct	-0.3444	-0.21	-0.0712	-0.0517	-0.0181	-0.0095	-0.0088	-0.0084	-0.0069	-0.0055	-0.0067	-0.0076	-0.0053	-0.0052	-0.0052	-0.0047	-0.0051	-0.0047	-0.0055	-0.0045	-0.0046	-0.0051	-0.0043	-0.0047	-0.0049	-0.0052	-0.0045	-0.0044	-0.0047	-0.005	-0.0042	-0.0043	-0.0044	-0.0044	-0.0045	-0.0043	-0.0051	-0.0053	-0.0048	-0.0047	-0.0045	-0.005	-0.0049	-0.0045	-0.0044	-0.0047	-0.0045	-0.0047	-0.0048	-0.006	-0.0045	-0.0048	-0.005	-0.0047	-0.0044	-0.0049	-0.0045	-0.0045	-0.0051	-0.0045	-0.0054	-0.0046	-0.0044	-0.0051	-0.0049	-0.005	-0.0049	-0.0044	-0.0047	-0.0052	-0.0047	-0.0056	-0.0048	-0.0048	-0.0047	-0.0053	-0.0044	-0.0049	-0.0047	-0.0047	-0.0047	-0.0041	-0.0044	-0.0046	-0.005	-0.0046	-0.0051	-0.0042	-0.005	-0.0042	-0.0047	-0.0048	-0.0044	-0.0043	-0.0056	-0.005	-0.0054	-0.0046	-0.0046	-0.005
sad_vc_estimate	-0.2068	0.0279	-0.0353	-0.0367	0.0585	0.0049	-0.0035	-0.0062	0.0091	-0.0034	0.0108	-0.0007	-0.0033	0.0231	-0.0037	0.0134	0.0015	0.0118	-0.0039	0.0049	0.001	-0.0024	-0.0009	0.0036	-0.0023	0.0004	0.0002	-0.0029	0.0018	0.0099	-0.0024	-0.0031	0.003	0.0186	-0.0014	0.0017	0.0018	0.0054	-0.0035	-0.0025	-0.003	0.0124	-0.002	-0.0023	-0.0016	0.0233	0.0026	0.0009	-0.0033	0.0135	-0.0017	-0.0034	0.0084	0.0026	-0.0024	0.0329	-0.0028	-0.003	-0.0026	-0.0022	-0.0039	-0.0024	-0.0007	-0.0008	-0.0019	0.0049	-0.0031	-0.0032	-0.003	-0.0036	-0.0017	0.0113	0.0007	-0.0029	0.0127	0.0142	-0.0032	-0.0027	0.0061	0.0029	0.0172	0.0002	0.021	-0.0022	0.0084	0.0021	-0.0022	-0.0019	0.0009	0.0066	0.0044	0.0053	-0.0019	0.0054	-0.0016	-0.0025	-0.0038	-0.003	-0.0008	0.0584
sad_vc_estimate_se	12.6269	7.7754	2.727	1.9034	0.6705	0.3647	0.3341	0.3157	0.258	0.2082	0.2472	0.2802	0.197	0.1976	0.1905	0.1732	0.1906	0.1707	0.2024	0.1663	0.1724	0.1851	0.1643	0.1775	0.1837	0.1937	0.1653	0.1685	0.1762	0.182	0.1582	0.1613	0.1673	0.162	0.1698	0.163	0.1897	0.1982	0.1793	0.1732	0.1652	0.1855	0.1856	0.1703	0.1654	0.1738	0.1691	0.1732	0.177	0.2187	0.1677	0.1783	0.1849	0.1741	0.1662	0.1775	0.17	0.1694	0.1867	0.1674	0.2025	0.1687	0.1662	0.1859	0.1796	0.1813	0.1838	0.1649	0.1725	0.187	0.1792	0.207	0.179	0.1729	0.1724	0.1945	0.1637	0.1757	0.1748	0.1721	0.1712	0.1548	0.1676	0.1697	0.1847	0.1694	0.1873	0.1541	0.1821	0.154	0.1701	0.1751	0.1671	0.1627	0.2029	0.1814	0.198	0.168	0.1732	0.1823
sad_vc_pvals	0.696	0.354	0.637	0.933	0.143	0.242	0.525	0.99	0.201	0.74	0.201	0.485	0.787	0.031	0.998	0.053	0.336	0.12	0.985	0.246	0.451	0.675	0.553	0.29	0.601	0.454	0.531	0.808	0.419	0.195	0.716	0.972	0.346	0.1	0.591	0.399	0.404	0.294	0.98	0.707	0.838	0.135	0.638	0.683	0.614	0.044	0.32	0.417	0.88	0.111	0.643	0.885	0.172	0.36	0.721	0.016	0.786	0.814	0.709	0.667	0.927	0.724	0.519	0.533	0.627	0.256	0.774	0.994	0.82	0.923	0.598	0.166	0.44	0.785	0.129	0.135	0.974	0.713	0.25	0.296	0.074	0.468	0.067	0.695	0.185	0.368	0.627	0.662	0.433	0.191	0.275	0.262	0.652	0.246	0.555	0.683	0.935	0.816	0.522	0.001
upper95_perm_sad	0.8882	0.7997	0.3073	0.2403	0.146	0.0368	0.0308	0.0562	0.0356	0.0218	0.0379	0.0334	0.0283	0.0222	0.0229	0.0174	0.0228	0.023	0.0322	0.0252	0.0309	0.0279	0.0237	0.0262	0.0258	0.028	0.0322	0.0274	0.0287	0.0309	0.0249	0.0265	0.0313	0.0325	0.0265	0.0287	0.0318	0.0295	0.0283	0.0284	0.0256	0.0295	0.0307	0.0295	0.0318	0.0268	0.0278	0.026	0.0247	0.028	0.0284	0.0277	0.027	0.0266	0.0272	0.0253	0.029	0.025	0.0289	0.0291	0.0308	0.0293	0.0285	0.0277	0.0299	0.026	0.0267	0.0292	0.0277	0.0278	0.0279	0.0314	0.0263	0.0289	0.0269	0.0325	0.0233	0.0257	0.0282	0.0263	0.0269	0.026	0.0306	0.0268	0.0267	0.0245	0.0233	0.0246	0.0264	0.0226	0.0264	0.0294	0.0279	0.0276	0.029	0.0269	0.0248	0.0316	0.0284	0.0279
lower0_perm_sad	-0.3475	-0.2142	-0.0769	-0.0527	-0.0186	-0.0102	-0.0094	-0.0089	-0.0071	-0.0057	-0.007	-0.0077	-0.0054	-0.0055	-0.0054	-0.0048	-0.0053	-0.0049	-0.0056	-0.0046	-0.0047	-0.0052	-0.0047	-0.0049	-0.0051	-0.0054	-0.0046	-0.0046	-0.0049	-0.005	-0.0044	-0.0045	-0.0047	-0.0044	-0.0047	-0.0045	-0.0053	-0.0056	-0.005	-0.0048	-0.0046	-0.0051	-0.0051	-0.0048	-0.0046	-0.0048	-0.0046	-0.0049	-0.0048	-0.0061	-0.0046	-0.0051	-0.0052	-0.0048	-0.0046	-0.005	-0.0048	-0.0046	-0.0051	-0.0047	-0.0057	-0.0047	-0.0045	-0.0052	-0.0049	-0.0051	-0.0051	-0.0045	-0.0047	-0.0053	-0.005	-0.0058	-0.005	-0.0048	-0.0048	-0.0054	-0.0045	-0.0048	-0.0048	-0.0048	-0.0048	-0.0044	-0.0046	-0.0046	-0.0051	-0.0047	-0.0051	-0.0043	-0.0051	-0.0041	-0.0047	-0.0048	-0.0046	-0.0045	-0.0056	-0.0051	-0.0055	-0.0046	-0.0049	-0.0048
