	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.9116	0.3076	0.0266	0.002	0.0134	0.0002	-0.0001	-0.0008	-0.0008	0.0001	0.0111	-0.0002	0.0005	0.0055	-0.0004	-0.0006	0.0016	-0.0003	-0.0006	-0.0006	0.0012	0.0017	-0.0005	-0.0003	0.0008	-0.0004	-0.0005	0.0122	-0.0006	0.0096	-0.0006	0.0043	-0.0008	0.0004	0.004	0.0055	0.0	0.0027	0.0043	-0.0004	0.0005	0.002	0.0044	0.0017	-0.0002	-0.0001	-0.0004	-0.0006	-0.0001	0.0001	-0.0001	0.0041	0.0005	0.0002	0.0028	-0.0006	-0.0006	-0.0002	-0.0003	0.0031	0.0009	0.0007	-0.0006	0.0028	-0.0007	0.0	0.0002	0.0019	-0.0003	0.0003	0.0039	0.0009	0.0018	0.0001	0.009	0.0011	0.0008	0.0	0.0017	0.0007	0.0013	0.0001	0.0008	0.0007	0.0008	0.0015	-0.0001	-0.0003	0.0056	0.0039	-0.0005	-0.0005	0.001	0.0073	0.0052	0.0085	0.0004	0.0004	0.0008	-0.0005
direct_vc_estimate_se	0.2147	0.092	0.0428	0.0283	0.0056	0.0055	0.0033	0.0026	0.0029	0.0029	0.0027	0.0023	0.0023	0.0029	0.0022	0.0023	0.0022	0.0022	0.0024	0.0022	0.0022	0.002	0.0019	0.0016	0.0017	0.0018	0.0022	0.0021	0.0024	0.0033	0.0019	0.0027	0.0033	0.0019	0.0021	0.0037	0.0017	0.0019	0.0018	0.0018	0.0019	0.0021	0.0023	0.0022	0.0016	0.0021	0.0019	0.0021	0.0017	0.0019	0.0017	0.0022	0.0029	0.0021	0.002	0.002	0.0024	0.0019	0.0014	0.0021	0.0018	0.002	0.0022	0.0018	0.0023	0.0015	0.0017	0.0017	0.0017	0.002	0.002	0.0023	0.0021	0.0021	0.002	0.0016	0.0021	0.002	0.0016	0.0019	0.0019	0.0017	0.002	0.0019	0.0015	0.0017	0.0027	0.0017	0.0017	0.0017	0.002	0.0019	0.0019	0.002	0.0017	0.0023	0.0017	0.0019	0.0023	0.0018
direct_vc_pvals	0.016	0.048	0.339	0.558	0.071	0.626	0.504	0.998	0.923	0.581	0.047	0.748	0.477	0.077	0.675	0.848	0.338	0.737	0.839	0.849	0.408	0.298	0.875	0.697	0.326	0.806	0.767	0.02	0.843	0.069	0.951	0.287	0.816	0.426	0.074	0.193	0.727	0.196	0.075	0.804	0.377	0.302	0.195	0.239	0.707	0.619	0.817	0.905	0.684	0.535	0.617	0.126	0.522	0.471	0.263	0.947	0.803	0.679	0.735	0.268	0.405	0.42	0.864	0.268	0.922	0.635	0.482	0.263	0.797	0.455	0.159	0.434	0.311	0.524	0.016	0.377	0.485	0.561	0.177	0.382	0.3	0.483	0.498	0.494	0.399	0.367	0.52	0.752	0.092	0.177	0.839	0.854	0.355	0.061	0.033	0.035	0.455	0.46	0.435	0.887
upper95_perm_direct	0.5474	0.293	0.1502	0.0943	0.0162	0.0264	0.0058	0.0108	0.0186	0.0108	0.0113	0.0128	0.0067	0.0072	0.005	0.0046	0.0079	0.0099	0.0099	0.0065	0.0079	0.0073	0.0057	0.004	0.0035	0.0056	0.0069	0.0097	0.0118	0.0112	0.0056	0.0144	0.0125	0.0045	0.0048	0.0133	0.0125	0.0078	0.0053	0.0114	0.005	0.0084	0.0105	0.0061	0.0071	0.0073	0.0058	0.0039	0.0082	0.0062	0.0057	0.0074	0.0111	0.0054	0.0097	0.009	0.0078	0.0077	0.0028	0.0105	0.0065	0.0065	0.0101	0.0095	0.0074	0.009	0.004	0.0067	0.0066	0.0051	0.0084	0.0089	0.0094	0.0068	0.0062	0.0067	0.0104	0.0061	0.0037	0.0047	0.0052	0.0044	0.0101	0.0076	0.0065	0.0077	0.0059	0.0065	0.007	0.0088	0.0075	0.0042	0.0057	0.008	0.0044	0.0078	0.0064	0.0062	0.0089	0.0092
lower0_perm_direct	-0.0768	-0.0329	-0.0149	-0.01	-0.002	-0.002	-0.0012	-0.0009	-0.001	-0.001	-0.001	-0.0008	-0.0008	-0.0011	-0.0008	-0.0008	-0.0008	-0.0008	-0.0009	-0.0008	-0.0008	-0.0007	-0.0007	-0.0006	-0.0006	-0.0006	-0.0008	-0.0007	-0.0009	-0.0012	-0.0007	-0.001	-0.0012	-0.0007	-0.0008	-0.0013	-0.0006	-0.0007	-0.0007	-0.0006	-0.0007	-0.0007	-0.0008	-0.0008	-0.0006	-0.0007	-0.0007	-0.0008	-0.0006	-0.0007	-0.0006	-0.0008	-0.001	-0.0008	-0.0007	-0.0007	-0.0009	-0.0007	-0.0005	-0.0008	-0.0006	-0.0007	-0.0008	-0.0007	-0.0008	-0.0005	-0.0006	-0.0006	-0.0006	-0.0007	-0.0007	-0.0008	-0.0007	-0.0007	-0.0007	-0.0006	-0.0007	-0.0007	-0.0006	-0.0007	-0.0007	-0.0006	-0.0007	-0.0007	-0.0006	-0.0006	-0.001	-0.0006	-0.0006	-0.0006	-0.0007	-0.0007	-0.0007	-0.0007	-0.0006	-0.0008	-0.0006	-0.0007	-0.0008	-0.0006
sad_vc_estimate	1.3377	0.2525	0.1587	0.021	0.0301	0.0059	0.0047	0.0006	-0.0002	0.0011	0.0218	-0.0006	0.0076	0.0041	0.0013	0.001	0.003	0.0007	-0.0007	-0.0006	0.0014	-0.0006	-0.0006	0.0003	0.0013	0.001	-0.0003	0.0179	-0.0006	0.0029	0.0036	0.0009	-0.0	0.0053	0.0067	-0.0011	-0.0005	0.008	0.0074	-0.0002	0.0008	-0.0001	0.0189	0.0013	-0.0004	0.0048	-0.0005	-0.0006	-0.0005	-0.0004	-0.0004	0.0033	-0.0008	-0.0002	0.0	0.0005	0.0026	-0.0006	0.0002	0.0024	0.0023	0.0031	-0.0003	0.0054	0.0	0.0003	-0.0001	0.0051	-0.0003	0.0023	0.0057	0.0022	-0.0001	0.0022	0.0156	0.0002	0.0065	-0.0005	0.0047	-0.0003	0.0066	-0.0005	0.0011	0.0053	0.0063	0.0064	-0.0001	-0.0005	0.0104	0.0135	-0.0003	0.0004	0.0015	0.0193	0.0069	0.0096	0.0004	0.0025	0.0023	-0.0004
sad_vc_estimate_se	0.217	0.093	0.0432	0.0286	0.0057	0.0055	0.0033	0.0027	0.0029	0.0029	0.0028	0.0023	0.0023	0.003	0.0023	0.0023	0.0022	0.0022	0.0024	0.0022	0.0023	0.002	0.0019	0.0017	0.0017	0.0018	0.0023	0.0021	0.0024	0.0033	0.0019	0.0027	0.0033	0.0019	0.0021	0.0037	0.0017	0.0019	0.0019	0.0018	0.002	0.0021	0.0023	0.0022	0.0017	0.0021	0.0019	0.0021	0.0018	0.0019	0.0017	0.0022	0.0029	0.0022	0.002	0.002	0.0024	0.002	0.0014	0.0022	0.0018	0.002	0.0022	0.0019	0.0023	0.0016	0.0017	0.0018	0.0017	0.002	0.002	0.0023	0.0021	0.0021	0.002	0.0016	0.0021	0.002	0.0017	0.0019	0.002	0.0017	0.002	0.0019	0.0015	0.0017	0.0027	0.0017	0.0017	0.0017	0.002	0.0019	0.0019	0.002	0.0018	0.0023	0.0017	0.002	0.0023	0.0018
sad_vc_pvals	0.042	0.181	0.157	0.497	0.079	0.472	0.187	0.62	0.805	0.542	0.074	0.917	0.166	0.25	0.416	0.42	0.382	0.632	0.999	0.915	0.545	0.936	0.979	0.605	0.373	0.523	0.709	0.072	0.894	0.317	0.276	0.635	0.697	0.155	0.161	0.943	0.938	0.148	0.107	0.797	0.504	0.769	0.1	0.429	0.908	0.246	0.948	0.898	0.986	0.829	0.843	0.347	0.902	0.748	0.766	0.627	0.348	0.979	0.567	0.534	0.455	0.374	0.778	0.262	0.668	0.706	0.672	0.249	0.833	0.325	0.282	0.345	0.715	0.414	0.026	0.682	0.279	0.832	0.154	0.769	0.183	0.914	0.646	0.296	0.149	0.247	0.59	0.973	0.105	0.112	0.799	0.546	0.431	0.048	0.067	0.107	0.638	0.367	0.457	0.861
upper95_perm_sad	1.2046	0.5869	0.3087	0.1852	0.0367	0.0495	0.0113	0.0226	0.0381	0.0215	0.0262	0.0262	0.0153	0.0127	0.0116	0.0112	0.0156	0.0226	0.0227	0.0156	0.0194	0.0154	0.0122	0.0109	0.0075	0.013	0.0088	0.0209	0.021	0.0129	0.0127	0.031	0.0196	0.0106	0.013	0.02	0.0264	0.0143	0.0123	0.0186	0.0105	0.0184	0.0269	0.0124	0.0143	0.0153	0.0126	0.0094	0.0183	0.0136	0.0108	0.0166	0.0213	0.0112	0.0224	0.0195	0.0125	0.0157	0.0082	0.0244	0.0163	0.0168	0.0182	0.0159	0.0117	0.0169	0.0089	0.0143	0.0183	0.0099	0.0175	0.0118	0.0165	0.0167	0.0122	0.0142	0.0219	0.013	0.0087	0.012	0.014	0.0093	0.0299	0.0178	0.012	0.0184	0.0096	0.0166	0.0146	0.0203	0.0159	0.0096	0.0134	0.0194	0.0078	0.0138	0.0131	0.0132	0.0182	0.0212
lower0_perm_sad	-0.0772	-0.0325	-0.0155	-0.0101	-0.0021	-0.002	-0.0012	-0.0009	-0.001	-0.0011	-0.001	-0.0008	-0.0009	-0.0011	-0.0008	-0.0008	-0.0008	-0.0008	-0.0009	-0.0008	-0.0008	-0.0007	-0.0007	-0.0006	-0.0006	-0.0006	-0.0008	-0.0007	-0.0009	-0.0012	-0.0007	-0.0009	-0.0012	-0.0007	-0.0008	-0.0013	-0.0006	-0.0007	-0.0007	-0.0006	-0.0007	-0.0007	-0.0008	-0.0008	-0.0006	-0.0007	-0.0007	-0.0008	-0.0006	-0.0007	-0.0006	-0.0008	-0.001	-0.0008	-0.0007	-0.0007	-0.0009	-0.0007	-0.0005	-0.0008	-0.0007	-0.0007	-0.0008	-0.0006	-0.0008	-0.0006	-0.0006	-0.0006	-0.0006	-0.0007	-0.0007	-0.0008	-0.0007	-0.0007	-0.0007	-0.0006	-0.0008	-0.0007	-0.0006	-0.0007	-0.0007	-0.0006	-0.0007	-0.0007	-0.0006	-0.0006	-0.001	-0.0006	-0.0006	-0.0006	-0.0007	-0.0007	-0.0007	-0.0007	-0.0006	-0.0008	-0.0006	-0.0007	-0.0009	-0.0006
