	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.0256	-0.0074	-0.0064	-0.0074	0.0018	0.0025	-0.0071	-0.0003	-0.0024	-0.0067	-0.0066	0.0026	-0.0031	-0.0067	0.0184	-0.007	0.0373	0.0089	-0.0036	-0.0062	0.0729	0.0023	0.0021	-0.0056	0.0394	-0.0054	0.0075	-0.0061	0.0273	-0.0064	-0.0063	0.0214	-0.0017	-0.0065	0.0022	-0.0003	0.018	0.0055	-0.0064	-0.006	-0.0056	0.0013	0.0109	0.0059	0.0222	0.0239	-0.001	0.0236	-0.0041	-0.0064	0.0122	0.006	0.0026	-0.0018	-0.0062	0.0015	-0.0062	-0.0039	-0.0061	0.0027	0.0113	0.0015	0.0349	-0.0057	-0.0062	-0.0071	-0.0058	-0.0029	-0.0032	0.02	-0.0061	-0.0023	-0.0065	-0.0067	0.0043	-0.0064	0.0161	0.0161	0.0082	0.0037	-0.0058	-0.0051	-0.0033	-0.0025	-0.0057	-0.0044	0.0042	-0.0058	-0.0067	-0.0071	0.0221	0.074	0.0177	-0.0064	-0.0058	-0.0058	-0.0007	0.0053	-0.0067	-0.0065
direct_vc_estimate_se	0.29	0.1164	0.082	0.0774	0.0717	0.0762	0.0763	0.0682	0.0696	0.0707	0.0674	0.0686	0.0743	0.0685	0.0773	0.0729	0.0653	0.0692	0.0688	0.0708	0.0887	0.0695	0.07	0.0694	0.0722	0.0738	0.073	0.0699	0.0692	0.0693	0.0701	0.0674	0.069	0.069	0.0701	0.0834	0.0738	0.0761	0.068	0.0753	0.0767	0.0704	0.0662	0.0718	0.0688	0.0754	0.0723	0.0705	0.0642	0.0672	0.0716	0.0684	0.0726	0.0687	0.0709	0.0698	0.0695	0.0708	0.0701	0.0707	0.0679	0.0681	0.0683	0.0722	0.0647	0.0728	0.071	0.077	0.0676	0.064	0.0664	0.0662	0.0715	0.07	0.0702	0.0673	0.0706	0.0655	0.0828	0.0639	0.066	0.0691	0.0688	0.0694	0.0692	0.0799	0.0686	0.0677	0.0686	0.0727	0.0677	0.063	0.0676	0.0701	0.0715	0.0672	0.0675	0.0738	0.0683	0.0664
direct_vc_pvals	0.816	0.644	0.737	0.891	0.409	0.392	0.869	0.447	0.563	0.887	0.991	0.371	0.532	0.98	0.137	0.903	0.045	0.22	0.597	0.802	0.012	0.39	0.385	0.73	0.058	0.667	0.271	0.802	0.072	0.836	0.809	0.125	0.528	0.866	0.383	0.424	0.113	0.318	0.853	0.731	0.713	0.384	0.239	0.257	0.11	0.086	0.47	0.104	0.672	0.901	0.179	0.295	0.339	0.496	0.8	0.421	0.832	0.61	0.786	0.356	0.188	0.37	0.053	0.706	0.918	0.961	0.753	0.531	0.58	0.114	0.856	0.566	0.842	0.907	0.35	0.875	0.169	0.166	0.253	0.34	0.808	0.678	0.589	0.521	0.759	0.571	0.303	0.789	0.952	0.929	0.099	0.003	0.149	0.83	0.733	0.795	0.487	0.296	0.969	0.97
upper95_perm_direct	0.2256	0.0742	0.0526	0.0533	0.0457	0.052	0.0535	0.0513	0.0542	0.0493	0.0435	0.0503	0.05	0.0407	0.0456	0.0444	0.0433	0.0472	0.0466	0.046	0.0602	0.0515	0.0454	0.0484	0.0531	0.0522	0.05	0.0433	0.0447	0.0442	0.0428	0.0495	0.0458	0.0422	0.042	0.048	0.0436	0.058	0.0457	0.0487	0.0526	0.0448	0.0481	0.0427	0.0535	0.0421	0.0487	0.0514	0.042	0.0406	0.0434	0.0493	0.0543	0.0399	0.0499	0.0522	0.0485	0.044	0.049	0.0492	0.0459	0.0395	0.0458	0.0428	0.0472	0.0461	0.0496	0.0483	0.0529	0.0413	0.0472	0.0527	0.0499	0.046	0.052	0.0497	0.0472	0.0428	0.045	0.0433	0.0431	0.047	0.0471	0.042	0.0506	0.0411	0.042	0.0485	0.0415	0.0457	0.0426	0.0464	0.0487	0.0518	0.0532	0.048	0.0514	0.0493	0.0477	0.0435
lower0_perm_direct	-0.0422	-0.0164	-0.012	-0.0113	-0.0104	-0.0108	-0.0109	-0.01	-0.0106	-0.0101	-0.0096	-0.0099	-0.0111	-0.0102	-0.0111	-0.0104	-0.0101	-0.0098	-0.0101	-0.0099	-0.0132	-0.0101	-0.0099	-0.0107	-0.0104	-0.0109	-0.0109	-0.0097	-0.0097	-0.0096	-0.0102	-0.0097	-0.0102	-0.0096	-0.0098	-0.0117	-0.0111	-0.0117	-0.0096	-0.011	-0.0113	-0.01	-0.0096	-0.0103	-0.0098	-0.0107	-0.0103	-0.0099	-0.0091	-0.0095	-0.01	-0.0096	-0.0104	-0.0098	-0.0104	-0.0098	-0.0097	-0.0099	-0.0104	-0.0103	-0.0098	-0.0097	-0.0099	-0.0101	-0.0092	-0.0102	-0.01	-0.0112	-0.0096	-0.0096	-0.0095	-0.0096	-0.0106	-0.0101	-0.0104	-0.0099	-0.0103	-0.0101	-0.0122	-0.0092	-0.01	-0.0101	-0.0101	-0.0103	-0.0103	-0.0119	-0.0098	-0.0096	-0.0102	-0.0104	-0.0098	-0.0089	-0.0097	-0.0098	-0.0105	-0.0094	-0.0101	-0.0106	-0.0105	-0.0096
sad_vc_estimate	-0.0248	-0.0009	-0.0027	-0.008	0.0134	0.0018	0.0105	0.0014	0.0372	-0.0069	-0.0027	-0.0007	-0.0043	-0.0064	0.0156	-0.0012	0.0387	-0.0009	-0.0014	-0.0063	0.1066	0.0117	0.0026	0.0032	0.0469	-0.0031	0.0123	-0.0063	0.0179	0.0008	-0.0073	0.0207	0.0017	-0.0058	-0.0046	0.0054	0.0139	0.0157	-0.0028	0.0073	0.0215	0.0206	0.0167	0.0166	0.0455	0.0522	0.0215	0.0266	-0.0021	-0.0069	0.0606	0.034	0.0028	-0.0037	-0.0044	0.015	-0.0004	-0.0036	-0.006	-0.0045	0.0132	-0.0004	0.065	-0.007	-0.0052	-0.0075	-0.0051	0.0023	-0.0036	0.0185	-0.0015	-0.0065	-0.0071	-0.0071	0.015	0.0006	0.0641	0.0452	0.0453	-0.0	-0.0067	-0.0071	-0.0044	-0.0022	-0.0046	0.0021	-0.0044	0.003	-0.004	-0.0063	0.0072	0.0535	0.0695	-0.0053	-0.0053	-0.0032	-0.0024	0.0007	-0.0027	-0.0069
sad_vc_estimate_se	0.3041	0.1224	0.0864	0.0815	0.0755	0.08	0.08	0.0719	0.0733	0.0743	0.0711	0.0723	0.078	0.0721	0.0809	0.0764	0.0689	0.0728	0.0723	0.0744	0.0924	0.0731	0.0736	0.073	0.0758	0.0774	0.0765	0.0735	0.0727	0.0729	0.0736	0.071	0.0725	0.0726	0.0737	0.087	0.0773	0.0797	0.0716	0.0789	0.0803	0.074	0.0697	0.0753	0.0723	0.079	0.0759	0.0739	0.0677	0.0707	0.0751	0.072	0.0761	0.0722	0.0744	0.0733	0.0731	0.0743	0.0736	0.0742	0.0714	0.0717	0.0719	0.0757	0.0681	0.0763	0.0745	0.0806	0.0712	0.0675	0.07	0.0698	0.075	0.0736	0.0737	0.0709	0.0741	0.0689	0.0863	0.0674	0.0695	0.0725	0.0723	0.0729	0.0727	0.0834	0.0721	0.0712	0.0721	0.0762	0.0712	0.0664	0.0712	0.0736	0.075	0.0706	0.071	0.0773	0.0718	0.0699
sad_vc_pvals	0.763	0.505	0.567	0.971	0.264	0.439	0.273	0.469	0.096	0.841	0.583	0.517	0.63	0.847	0.209	0.501	0.094	0.504	0.51	0.787	0.009	0.27	0.433	0.427	0.051	0.584	0.252	0.797	0.167	0.441	1.0	0.167	0.419	0.751	0.681	0.335	0.231	0.217	0.585	0.326	0.172	0.141	0.182	0.184	0.047	0.049	0.168	0.129	0.564	0.931	0.032	0.109	0.401	0.613	0.662	0.214	0.501	0.614	0.762	0.668	0.241	0.494	0.019	0.855	0.76	0.989	0.712	0.394	0.598	0.18	0.541	0.869	0.903	0.904	0.226	0.472	0.027	0.046	0.06	0.495	0.912	0.954	0.636	0.573	0.667	0.4	0.627	0.382	0.647	0.782	0.316	0.028	0.02	0.7	0.684	0.618	0.554	0.452	0.598	0.99
upper95_perm_sad	0.3305	0.1135	0.0634	0.0615	0.0656	0.064	0.0608	0.062	0.0695	0.059	0.0643	0.0667	0.0568	0.0628	0.0668	0.0631	0.07	0.0651	0.0568	0.0629	0.0599	0.0635	0.0661	0.064	0.0601	0.054	0.0612	0.0515	0.0523	0.0566	0.0639	0.058	0.0568	0.0553	0.0575	0.0589	0.0588	0.0693	0.0533	0.0645	0.0736	0.0524	0.0534	0.0563	0.0516	0.0617	0.065	0.0602	0.0503	0.0528	0.0604	0.0646	0.0699	0.0602	0.0572	0.0707	0.0625	0.0583	0.0555	0.0631	0.0573	0.0524	0.0521	0.0548	0.0706	0.0598	0.0615	0.0623	0.0498	0.0556	0.0567	0.0597	0.062	0.0618	0.0687	0.0593	0.0606	0.0545	0.0625	0.0479	0.0601	0.0586	0.061	0.0633	0.0535	0.0638	0.0531	0.0567	0.0634	0.0552	0.0532	0.0535	0.0524	0.0555	0.058	0.0631	0.0556	0.0544	0.0548	0.0487
lower0_perm_sad	-0.0433	-0.0172	-0.0127	-0.0125	-0.0114	-0.0118	-0.0113	-0.0106	-0.0102	-0.0111	-0.0102	-0.0107	-0.0114	-0.0105	-0.0112	-0.011	-0.0106	-0.011	-0.0105	-0.0105	-0.0131	-0.0106	-0.011	-0.0106	-0.0106	-0.0115	-0.0107	-0.0104	-0.0102	-0.0101	-0.0107	-0.0106	-0.0104	-0.0102	-0.0106	-0.013	-0.0111	-0.0119	-0.011	-0.011	-0.0117	-0.0112	-0.0101	-0.0107	-0.0105	-0.0113	-0.0115	-0.0111	-0.0103	-0.0109	-0.0107	-0.0107	-0.0106	-0.0102	-0.0106	-0.0105	-0.011	-0.0113	-0.0104	-0.0104	-0.0106	-0.0109	-0.0106	-0.0113	-0.0101	-0.011	-0.0104	-0.0119	-0.0106	-0.0096	-0.0099	-0.0104	-0.0106	-0.0106	-0.0105	-0.0098	-0.0107	-0.0102	-0.0123	-0.0101	-0.0105	-0.0105	-0.0103	-0.0104	-0.0106	-0.0127	-0.0101	-0.011	-0.0103	-0.0115	-0.0102	-0.01	-0.0107	-0.0108	-0.0108	-0.0109	-0.0108	-0.0112	-0.0102	-0.0102
covar_vc_estimate	0.0493	0.0364	0.01	0.0154	-0.0131	-0.0047	0.0098	-0.0013	-0.0145	0.0132	0.0131	-0.002	0.0071	0.0134	-0.0343	0.0123	-0.0763	-0.0062	0.005	0.0157	-0.1769	-0.0125	-0.005	0.0066	-0.0864	0.0088	-0.0198	0.0121	-0.0448	0.0099	0.0138	-0.0424	0.0002	0.0124	0.0039	-0.0046	-0.0321	-0.0201	0.011	0.0055	0.0001	-0.0165	-0.0275	-0.0211	-0.0646	-0.0718	-0.0123	-0.0504	0.0063	0.0135	-0.0581	-0.0323	-0.0058	0.0053	0.011	-0.0135	0.0096	0.0072	0.0118	0.0035	-0.0248	-0.0014	-0.0961	0.0127	0.0118	0.0143	0.0106	0.0012	0.0065	-0.0388	0.0101	0.0105	0.0148	0.0134	-0.0177	0.0104	-0.0673	-0.0555	-0.0429	-0.0036	0.0123	0.0129	0.0197	0.0044	0.0102	0.0037	0.0027	0.0075	0.0129	0.0137	-0.0271	-0.1265	-0.0731	0.0118	0.0109	0.0097	0.0029	-0.006	0.0128	0.0131
