	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.043	0.0295	-0.0041	0.0415	0.0638	0.0708	-0.0113	0.0002	0.0026	0.0212	-0.0086	0.0043	0.0038	0.1179	0.0047	0.0159	0.0008	0.0209	-0.0016	-0.0053	0.0316	0.0622	0.0055	-0.0049	0.0174	-0.0004	0.0001	0.0019	-0.0018	0.0331	0.0034	0.0014	-0.0046	-0.0029	-0.003	-0.0033	0.1372	0.0163	-0.0017	-0.0017	-0.0012	0.0146	-0.0154	0.0406	-0.0004	0.0492	0.0062	-0.0017	-0.0039	0.0028	-0.0015	-0.0028	-0.0024	-0.0027	-0.0033	-0.001	0.0511	0.0078	-0.0063	-0.0016	0.0136	0.0244	0.0078	0.1046	-0.0015	-0.0022	0.0339	0.0135	0.0279	0.0436	0.0021	0.0317	0.0766	-0.0043	-0.0035	0.01	0.0002	0.0152	0.0133	0.0015	-0.0029	0.0056	-0.0027	0.0092	-0.004	0.0573	0.0004	-0.0011	-0.0023	-0.0001	-0.003	-0.0004	0.0216	-0.0026	0.0385	0.0459	-0.0046	-0.0075	0.0269	0.0104
direct_vc_estimate_se	0.0039	0.007	0.0024	0.0067	0.0076	0.0384	0.0063	0.0013	0.0265	0.0034	0.0069	0.0011	0.0296	0.0122	0.0202	0.0063	0.0078	0.0077	0.0023	0.0029	0.003	0.0201	0.0011	0.0039	0.0036	0.0023	0.0034	0.0011	0.001	0.0074	0.0021	0.0013	0.0025	0.0026	0.0018	0.0018	0.0157	0.001	0.002	0.0012	0.0012	0.0052	0.0105	0.0353	0.003	0.0074	0.0025	0.001	0.0034	0.0009	0.0028	0.0018	0.0029	0.0014	0.0018	0.0012	0.0201	0.0047	0.0051	0.0087	0.0018	0.0034	0.0035	0.0223	0.0015	0.0012	0.0196	0.0058	0.0077	0.0051	0.0075	0.006	0.0313	0.0028	0.0028	0.0057	0.0031	0.0111	0.0041	0.0036	0.0146	0.0011	0.0018	0.0062	0.0052	0.0012	0.0042	0.0009	0.0012	0.001	0.0016	0.0009	0.0097	0.0016	0.0022	0.0125	0.0036	0.004	0.0291	0.006
direct_vc_pvals	0.085	0.28	0.849	0.132	0.058	0.722	0.959	0.523	0.979	0.166	0.888	0.427	0.964	0.023	0.942	0.413	0.785	0.411	0.683	0.913	0.076	0.372	0.291	0.786	0.19	0.594	0.61	0.286	0.844	0.234	0.382	0.456	0.93	0.762	0.83	0.932	0.014	0.035	0.64	0.713	0.599	0.392	0.991	0.843	0.655	0.168	0.356	0.882	0.786	0.436	0.685	0.78	0.734	0.875	0.92	0.63	0.488	0.515	0.822	0.881	0.132	0.093	0.427	0.108	0.689	0.893	0.637	0.447	0.343	0.121	0.774	0.174	0.543	0.876	0.777	0.508	0.632	0.598	0.371	0.638	0.847	0.254	0.798	0.53	0.855	0.001	0.633	0.715	0.897	0.535	0.971	0.536	0.501	0.839	0.039	0.252	0.901	0.987	0.865	0.52
upper95_perm_direct	0.0704	0.0993	0.0399	0.0776	0.0827	0.2444	0.0768	0.0266	0.1778	0.0476	0.0945	0.0356	0.2169	0.1223	0.1497	0.0648	0.0743	0.0701	0.0304	0.0637	0.0466	0.1615	0.0252	0.0667	0.0387	0.0342	0.0492	0.0138	0.0151	0.0732	0.0404	0.0292	0.033	0.0375	0.0315	0.0276	0.1396	0.0171	0.0294	0.0173	0.0183	0.0646	0.0917	0.2371	0.043	0.1018	0.0357	0.0363	0.0525	0.0268	0.0406	0.0315	0.0409	0.0251	0.0249	0.0197	0.1555	0.0697	0.0841	0.0755	0.0262	0.0382	0.0428	0.1535	0.0311	0.0259	0.1679	0.0532	0.0853	0.0721	0.0764	0.0636	0.2007	0.0421	0.0527	0.0561	0.0416	0.1365	0.0587	0.0494	0.155	0.0238	0.0385	0.0745	0.0568	0.025	0.0704	0.0182	0.0135	0.0205	0.0317	0.0148	0.0865	0.043	0.0427	0.0902	0.0358	0.0519	0.196	0.0561
lower0_perm_direct	-0.011	-0.019	-0.007	-0.0178	-0.0209	-0.0275	-0.0172	-0.0035	-0.0287	-0.0097	-0.0189	-0.0031	-0.0391	-0.0314	-0.0292	-0.0174	-0.02	-0.0202	-0.0066	-0.0085	-0.0082	-0.0459	-0.0031	-0.0112	-0.0104	-0.0065	-0.0095	-0.0031	-0.0029	-0.0195	-0.0061	-0.0039	-0.0067	-0.0075	-0.0052	-0.0052	-0.0406	-0.0029	-0.0056	-0.0034	-0.0036	-0.0142	-0.026	-0.0463	-0.0083	-0.0206	-0.007	-0.0029	-0.0093	-0.0026	-0.008	-0.0049	-0.0084	-0.0042	-0.0052	-0.0035	-0.0415	-0.0129	-0.0141	-0.0241	-0.005	-0.0093	-0.0095	-0.0345	-0.0043	-0.0035	-0.0369	-0.0137	-0.0203	-0.0141	-0.0207	-0.0153	-0.026	-0.0078	-0.0077	-0.0156	-0.0088	-0.0284	-0.0118	-0.0099	-0.0373	-0.003	-0.0051	-0.0159	-0.0145	-0.0034	-0.0117	-0.0027	-0.0035	-0.0029	-0.0044	-0.0026	-0.0268	-0.0047	-0.0062	-0.0259	-0.0096	-0.0106	-0.0332	-0.0153
sad_vc_estimate	0.2483	0.1022	-0.0047	0.0917	0.0267	0.0758	-0.0097	-0.0024	-0.0216	0.0467	-0.0108	0.0017	-0.006	0.0953	0.0542	0.0309	0.0024	0.0175	0.0037	-0.002	0.0457	0.0552	0.0069	-0.0061	0.0393	-0.0023	0.013	0.0077	0.0015	0.0098	0.0028	-0.0024	-0.0011	0.0087	-0.0035	-0.0001	0.1023	0.0054	-0.0011	-0.0005	-0.0011	0.0117	-0.0172	0.0107	0.0015	0.0696	0.0193	-0.002	-0.0002	0.004	-0.0053	-0.0016	-0.0055	-0.0006	-0.0034	-0.0015	0.0279	0.0	-0.0048	-0.0081	0.01	0.0087	0.0446	0.0952	0.0001	-0.0019	0.0353	0.0206	0.025	0.0334	0.0019	0.0326	0.0209	-0.0038	-0.0007	0.0115	-0.0004	-0.0008	0.0073	-0.0041	-0.0097	0.04	0.0034	0.025	0.0242	0.0958	-0.0013	-0.0018	-0.0005	0.0112	0.0076	0.009	0.0251	-0.0019	0.0452	0.0487	-0.0059	-0.0073	-0.0013	0.025
sad_vc_estimate_se	0.004	0.007	0.0025	0.0068	0.0076	0.0384	0.0064	0.0013	0.0265	0.0034	0.007	0.0011	0.0296	0.0122	0.0202	0.0063	0.0078	0.0077	0.0023	0.0029	0.003	0.0201	0.0012	0.0039	0.0036	0.0023	0.0034	0.0011	0.001	0.0074	0.0021	0.0013	0.0025	0.0026	0.0019	0.0018	0.0157	0.001	0.002	0.0012	0.0012	0.0052	0.0105	0.0354	0.003	0.0074	0.0025	0.001	0.0034	0.0009	0.0028	0.0018	0.0029	0.0015	0.0018	0.0012	0.0201	0.0048	0.0051	0.0088	0.0018	0.0034	0.0036	0.0224	0.0015	0.0012	0.0196	0.0058	0.0077	0.0051	0.0075	0.006	0.0313	0.0028	0.0028	0.0057	0.0031	0.0111	0.0041	0.0036	0.0146	0.0011	0.0018	0.0062	0.0052	0.0012	0.0042	0.001	0.0012	0.001	0.0016	0.0009	0.0098	0.0016	0.0022	0.0125	0.0036	0.004	0.0291	0.006
sad_vc_pvals	0.014	0.08	0.973	0.047	0.374	0.656	0.845	0.982	0.971	0.135	0.852	0.74	0.91	0.13	0.45	0.298	0.711	0.466	0.466	0.721	0.109	0.441	0.408	0.856	0.116	0.724	0.337	0.213	0.555	0.56	0.523	0.918	0.643	0.411	0.992	0.628	0.193	0.314	0.664	0.622	0.723	0.47	0.967	0.923	0.56	0.106	0.203	0.997	0.637	0.565	0.97	0.703	0.932	0.664	0.95	0.791	0.642	0.692	0.727	0.885	0.286	0.409	0.076	0.286	0.606	0.853	0.619	0.332	0.426	0.31	0.718	0.283	0.903	0.808	0.646	0.524	0.636	0.69	0.508	0.787	0.859	0.026	0.503	0.391	0.317	0.002	0.638	0.945	0.63	0.25	0.36	0.17	0.495	0.789	0.108	0.303	0.898	0.933	0.894	0.299
upper95_perm_sad	0.1986	0.1502	0.0626	0.1094	0.1151	0.2986	0.1319	0.0561	0.2353	0.0966	0.1302	0.0883	0.2762	0.1717	0.1728	0.108	0.116	0.1013	0.0538	0.1	0.086	0.2124	0.0478	0.0811	0.0663	0.0562	0.0569	0.0296	0.0367	0.111	0.0613	0.0469	0.0527	0.0685	0.0393	0.0514	0.1933	0.0315	0.0556	0.0307	0.0411	0.0941	0.1282	0.2919	0.0649	0.1108	0.0557	0.0735	0.0745	0.0542	0.0651	0.0524	0.0574	0.0509	0.0354	0.0474	0.2062	0.0967	0.1392	0.1045	0.0435	0.0613	0.0636	0.2157	0.0455	0.0538	0.2025	0.0749	0.1272	0.1381	0.0983	0.0938	0.2341	0.0646	0.0785	0.0875	0.0558	0.1849	0.0831	0.0676	0.1962	0.0375	0.0576	0.1103	0.0803	0.0481	0.1051	0.0303	0.0299	0.0449	0.0589	0.0235	0.1255	0.0782	0.0801	0.1202	0.0637	0.0865	0.2659	0.0816
lower0_perm_sad	-0.0113	-0.02	-0.007	-0.0194	-0.0202	-0.0545	-0.0182	-0.0037	-0.0601	-0.0094	-0.0193	-0.0031	-0.0813	-0.0323	-0.0453	-0.0178	-0.0226	-0.0221	-0.0066	-0.0082	-0.0082	-0.0535	-0.0031	-0.0109	-0.0105	-0.0064	-0.0099	-0.0029	-0.0029	-0.0199	-0.0059	-0.0038	-0.0072	-0.0075	-0.0052	-0.0048	-0.045	-0.003	-0.0055	-0.0034	-0.0034	-0.015	-0.0279	-0.0679	-0.0083	-0.0198	-0.0069	-0.0028	-0.0096	-0.0025	-0.008	-0.0052	-0.0082	-0.0041	-0.0051	-0.0035	-0.0512	-0.0138	-0.014	-0.0251	-0.0051	-0.01	-0.0098	-0.0476	-0.0042	-0.0034	-0.0417	-0.0157	-0.0217	-0.014	-0.0209	-0.0167	-0.0629	-0.0079	-0.008	-0.0165	-0.0089	-0.0304	-0.0115	-0.0096	-0.0376	-0.0032	-0.0051	-0.0175	-0.0147	-0.0033	-0.0114	-0.0026	-0.0035	-0.0028	-0.0045	-0.0026	-0.0277	-0.0045	-0.0063	-0.0274	-0.01	-0.0115	-0.0621	-0.0166
