	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.0326	-0.0053	0.0012	0.0142	-0.0019	-0.0053	0.0495	0.0203	0.0067	0.0106	-0.0036	-0.0027	-0.0051	0.0459	-0.0052	-0.0049	0.0232	-0.0005	0.0025	0.0057	0.0222	0.0107	0.0177	0.0097	0.009	-0.0049	0.005	0.064	0.0121	0.0082	0.0483	-0.0019	-0.0012	-0.0012	-0.0042	0.0865	0.0006	-0.0046	-0.0048	-0.0047	0.0043	-0.0027	0.0151	0.0005	0.0066	-0.0047	-0.0043	-0.0051	-0.0045	-0.0046	0.0039	-0.0043	0.0122	-0.001	0.0007	-0.0026	0.0006	0.0271	0.0182	0.0006	0.0103	-0.0028	-0.0045	0.0126	0.001	-0.0049	0.0029	-0.0028	-0.0046	-0.0031	0.0002	0.0106	0.0006	0.0078	0.0241	0.0204	0.0207	-0.0014	-0.0044	-0.0009	-0.0039	0.007	-0.0041	-0.0005	0.0183	-0.0047	0.0148	0.027	0.0035	-0.005	-0.0023	-0.0001	0.0063	0.044	0.0002	-0.0009	-0.0005	0.0111	0.004	0.0054
direct_vc_estimate_se	0.0838	0.0378	0.0286	0.0275	0.0266	0.0255	0.0244	0.0261	0.0251	0.0256	0.0247	0.0249	0.0249	0.0245	0.0247	0.0243	0.0244	0.0253	0.0247	0.0254	0.0236	0.0242	0.024	0.026	0.024	0.0246	0.0258	0.0236	0.0236	0.0251	0.0246	0.0237	0.0237	0.0234	0.0248	0.0246	0.0241	0.0248	0.0234	0.0241	0.0242	0.024	0.0234	0.0237	0.0237	0.0239	0.024	0.0242	0.0238	0.0233	0.0234	0.0229	0.0231	0.0236	0.0237	0.0233	0.024	0.0235	0.0235	0.0232	0.023	0.0225	0.0225	0.0229	0.0236	0.0237	0.0243	0.0225	0.0225	0.0224	0.0231	0.0236	0.023	0.0229	0.0231	0.0236	0.023	0.023	0.0232	0.0231	0.0236	0.0224	0.023	0.0226	0.0239	0.023	0.0222	0.0229	0.0221	0.0237	0.0225	0.0226	0.0213	0.0229	0.0223	0.0234	0.0219	0.0256	0.0223	0.0229
direct_vc_pvals	0.216	0.695	0.524	0.176	0.564	0.928	0.036	0.168	0.324	0.222	0.707	0.624	0.907	0.018	0.972	0.896	0.12	0.518	0.384	0.317	0.095	0.276	0.133	0.244	0.218	0.891	0.339	0.007	0.186	0.273	0.018	0.548	0.574	0.485	0.744	0.0	0.497	0.826	0.883	0.839	0.315	0.634	0.155	0.467	0.291	0.838	0.776	0.965	0.833	0.833	0.343	0.818	0.207	0.488	0.422	0.616	0.461	0.085	0.16	0.474	0.195	0.667	0.873	0.193	0.454	0.941	0.366	0.632	0.92	0.699	0.445	0.197	0.463	0.249	0.062	0.099	0.142	0.566	0.809	0.543	0.736	0.257	0.792	0.504	0.114	0.92	0.164	0.053	0.364	0.954	0.62	0.479	0.225	0.025	0.483	0.473	0.472	0.198	0.325	0.278
upper95_perm_direct	0.1422	0.0722	0.068	0.0463	0.0533	0.0429	0.0548	0.0645	0.059	0.0485	0.0476	0.0487	0.0428	0.0412	0.0612	0.044	0.0502	0.0477	0.0479	0.0471	0.0396	0.0555	0.0432	0.0467	0.0397	0.041	0.048	0.0456	0.0407	0.0473	0.0388	0.0342	0.053	0.0359	0.0409	0.0363	0.0516	0.0571	0.0392	0.0406	0.0423	0.0422	0.042	0.0423	0.0484	0.0369	0.0451	0.0442	0.0427	0.035	0.0398	0.0459	0.0446	0.0367	0.0353	0.0424	0.0488	0.047	0.0489	0.0385	0.0424	0.0553	0.0399	0.0439	0.0488	0.0473	0.047	0.0337	0.0388	0.0422	0.038	0.0397	0.0504	0.0507	0.0365	0.0438	0.0477	0.046	0.0389	0.052	0.04	0.0411	0.0433	0.0418	0.0382	0.0532	0.0438	0.0357	0.042	0.0379	0.0488	0.0429	0.0315	0.0377	0.0393	0.0349	0.0338	0.0452	0.0375	0.0405
lower0_perm_direct	-0.0269	-0.0123	-0.0093	-0.0088	-0.0088	-0.0087	-0.0077	-0.008	-0.0083	-0.0083	-0.0084	-0.0082	-0.0079	-0.0075	-0.0077	-0.0077	-0.0075	-0.0081	-0.0082	-0.0079	-0.0074	-0.0077	-0.0082	-0.0085	-0.0078	-0.0078	-0.0081	-0.0076	-0.0077	-0.0078	-0.0079	-0.0076	-0.0076	-0.0075	-0.008	-0.0081	-0.0076	-0.0077	-0.0077	-0.0079	-0.0079	-0.0076	-0.0076	-0.0074	-0.0074	-0.0077	-0.0078	-0.0078	-0.0078	-0.0073	-0.0074	-0.0077	-0.0074	-0.0073	-0.0074	-0.0075	-0.0076	-0.0076	-0.0077	-0.0071	-0.0076	-0.0071	-0.0071	-0.0071	-0.0074	-0.0073	-0.0083	-0.0073	-0.0074	-0.007	-0.0073	-0.0076	-0.0071	-0.007	-0.0072	-0.0077	-0.0072	-0.0074	-0.0076	-0.0071	-0.0081	-0.0074	-0.0074	-0.0074	-0.0079	-0.007	-0.007	-0.0071	-0.0072	-0.0077	-0.0072	-0.0074	-0.0067	-0.0074	-0.0072	-0.0073	-0.0069	-0.0081	-0.0069	-0.0072
sad_vc_estimate	0.0833	-0.0078	-0.0014	0.0051	-0.0049	-0.004	0.1602	0.0247	0.0417	0.0046	0.0035	-0.0046	-0.0048	0.0734	-0.0019	-0.0043	0.0296	0.0153	0.0053	-0.0049	0.0365	0.021	0.0456	0.0433	-0.003	0.0008	0.0008	0.0246	0.0084	0.026	0.0604	-0.0046	0.0003	0.0055	0.0009	0.153	-0.0038	0.0102	-0.0025	-0.005	0.0103	-0.0027	0.0227	0.0066	0.0084	0.0039	-0.0051	-0.0023	-0.0038	-0.0037	0.0006	0.0008	0.0371	0.0006	-0.0041	-0.0048	0.0268	0.0334	0.0377	-0.0048	0.0154	-0.004	-0.0027	0.0037	0.0067	-0.0038	0.0068	-0.003	0.0034	-0.0039	-0.0027	0.0199	0.0133	0.0152	0.044	0.036	0.0119	0.0064	-0.001	-0.0004	-0.0044	0.004	-0.0049	0.0105	0.0497	-0.0045	0.0377	0.0889	0.0127	-0.0047	-0.001	0.0036	0.0158	0.0667	-0.0047	0.0064	-0.0023	0.028	-0.0034	0.0324
sad_vc_estimate_se	0.0844	0.038	0.0288	0.0277	0.0268	0.0257	0.0246	0.0263	0.0253	0.0258	0.0249	0.0251	0.0251	0.0246	0.0249	0.0245	0.0246	0.0255	0.0249	0.0256	0.0238	0.0244	0.0242	0.0262	0.0242	0.0248	0.026	0.0238	0.0238	0.0252	0.0248	0.0239	0.0238	0.0236	0.025	0.0247	0.0243	0.025	0.0235	0.0242	0.0244	0.0242	0.0236	0.0239	0.0239	0.0241	0.0242	0.0244	0.024	0.0234	0.0236	0.0231	0.0233	0.0238	0.0239	0.0235	0.0242	0.0237	0.0237	0.0234	0.0232	0.0227	0.0227	0.0231	0.0238	0.0239	0.0245	0.0227	0.0227	0.0226	0.0233	0.0237	0.0232	0.0231	0.0233	0.0238	0.0232	0.0232	0.0234	0.0233	0.0238	0.0226	0.0232	0.0228	0.0241	0.0231	0.0224	0.0231	0.0223	0.0239	0.0227	0.0228	0.0214	0.0231	0.0225	0.0236	0.0221	0.0257	0.0225	0.023
sad_vc_pvals	0.182	0.932	0.682	0.413	0.851	0.76	0.005	0.245	0.114	0.445	0.458	0.831	0.865	0.027	0.713	0.802	0.143	0.301	0.431	0.837	0.088	0.265	0.063	0.131	0.668	0.547	0.556	0.16	0.343	0.143	0.036	0.854	0.627	0.376	0.516	0.001	0.78	0.394	0.688	0.928	0.319	0.69	0.167	0.388	0.375	0.421	0.983	0.695	0.799	0.753	0.538	0.56	0.103	0.481	0.826	0.928	0.199	0.126	0.109	0.908	0.217	0.839	0.721	0.466	0.385	0.757	0.376	0.695	0.453	0.787	0.692	0.199	0.297	0.261	0.062	0.118	0.294	0.392	0.622	0.604	0.83	0.447	0.996	0.296	0.041	0.879	0.104	0.007	0.274	0.9	0.629	0.428	0.171	0.026	0.996	0.369	0.67	0.127	0.724	0.118
upper95_perm_sad	0.2437	0.1169	0.1263	0.07	0.0766	0.0716	0.0909	0.1039	0.0794	0.0765	0.0785	0.0728	0.0697	0.0745	0.1109	0.0658	0.0753	0.0815	0.0674	0.0723	0.067	0.0941	0.0669	0.0951	0.0584	0.0835	0.0814	0.0685	0.0701	0.0656	0.0655	0.0609	0.0982	0.0669	0.0714	0.0759	0.0779	0.0916	0.0575	0.0632	0.067	0.0666	0.07	0.0627	0.07	0.0677	0.0672	0.0681	0.0579	0.0587	0.0646	0.076	0.073	0.057	0.0693	0.074	0.0924	0.0743	0.0736	0.0712	0.0663	0.0797	0.0728	0.0708	0.075	0.0664	0.0707	0.0509	0.0672	0.0615	0.0622	0.063	0.0765	0.0624	0.0612	0.0719	0.0736	0.0685	0.0717	0.0775	0.0685	0.0678	0.0603	0.062	0.0572	0.0778	0.07	0.0532	0.0628	0.0596	0.079	0.0637	0.0484	0.0676	0.067	0.063	0.0642	0.0661	0.0447	0.0661
lower0_perm_sad	-0.0288	-0.0119	-0.0091	-0.0087	-0.0083	-0.0079	-0.0077	-0.0085	-0.0084	-0.0081	-0.0078	-0.0078	-0.0083	-0.0079	-0.0078	-0.0077	-0.0077	-0.0078	-0.0082	-0.008	-0.0077	-0.0075	-0.0081	-0.0086	-0.0079	-0.0078	-0.0083	-0.0081	-0.0077	-0.0077	-0.0077	-0.0082	-0.008	-0.0077	-0.0079	-0.0081	-0.0078	-0.008	-0.0075	-0.0075	-0.008	-0.0077	-0.0075	-0.0081	-0.0074	-0.0082	-0.0075	-0.008	-0.0073	-0.0074	-0.0073	-0.0073	-0.008	-0.0079	-0.0075	-0.0073	-0.0078	-0.0073	-0.0071	-0.0075	-0.0077	-0.0073	-0.0071	-0.0073	-0.0075	-0.0076	-0.0077	-0.0077	-0.0072	-0.0072	-0.0073	-0.0073	-0.0071	-0.0072	-0.0073	-0.0076	-0.0075	-0.0074	-0.0073	-0.0074	-0.0078	-0.0071	-0.0071	-0.0071	-0.0079	-0.0074	-0.0073	-0.0071	-0.0074	-0.0074	-0.0071	-0.0071	-0.0071	-0.0076	-0.0075	-0.0076	-0.0073	-0.0082	-0.0073	-0.0076
