	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.1831	0.0169	-0.0251	-0.0312	-0.0649	0.0535	0.2967	-0.0688	-0.05	0.3317	0.0016	0.1098	0.0127	0.2337	-0.0378	-0.0476	-0.0642	0.1714	0.2557	-0.0661	0.0563	0.024	0.1801	1.1978	-0.049	-0.0624	0.0719	0.8997	-0.035	-0.0166	-0.0596	-0.0503	-0.0608	0.1736	-0.0626	0.3514	0.3119	-0.0276	0.0622	-0.0329	0.1445	0.6012	0.5791	0.0122	0.0039	-0.0472	0.0733	0.0373	0.172	0.0206	0.8484	0.1958	-0.0551	0.2162	0.0057	-0.0245	0.1019	0.1731	0.762	0.0627	-0.048	0.0121	-0.0549	-0.0054	-0.0121	0.3001	-0.0572	0.0294	0.4885	-0.0559	-0.0532	0.1327	0.2045	0.0382	0.0417	0.4499	0.9887	1.0675	-0.0394	0.3246	-0.0443	0.3682	-0.0576	0.0826	0.4218	-0.0484	0.1291	0.248	-0.0466	0.2443	0.3375	0.0221	-0.0248	0.7456	0.3012	-0.0546	-0.0276	-0.047	0.422	0.0508
direct_vc_estimate_se	0.1283	0.0621	0.0484	0.0432	0.0411	0.0382	0.0398	0.044	0.0421	0.0404	0.0412	0.0405	0.037	0.039	0.0408	0.0411	0.042	0.0404	0.0397	0.0421	0.0387	0.0377	0.0394	0.0436	0.0376	0.0404	0.0392	0.0361	0.0368	0.0381	0.0421	0.0345	0.0396	0.0366	0.0404	0.0379	0.0392	0.038	0.0373	0.0383	0.0405	0.0396	0.0378	0.0369	0.0399	0.037	0.0388	0.0408	0.037	0.0348	0.0345	0.0375	0.0391	0.0375	0.0386	0.0359	0.0395	0.0378	0.0372	0.0368	0.036	0.0349	0.0348	0.0356	0.0376	0.0369	0.0366	0.0346	0.0371	0.0354	0.0381	0.0355	0.0371	0.0353	0.0365	0.0366	0.0373	0.0348	0.0361	0.038	0.0378	0.0355	0.0375	0.0357	0.039	0.0347	0.0379	0.0371	0.0348	0.0349	0.0366	0.0348	0.0337	0.0369	0.036	0.0361	0.0339	0.0361	0.0336	0.0361
direct_vc_pvals	0.379	0.595	0.671	0.63	0.975	0.408	0.137	0.954	0.775	0.149	0.542	0.288	0.437	0.175	0.737	0.741	0.919	0.377	0.158	0.971	0.395	0.506	0.227	0.01	0.799	0.936	0.45	0.017	0.684	0.609	0.824	0.868	0.906	0.231	0.928	0.093	0.122	0.751	0.392	0.685	0.276	0.039	0.081	0.489	0.634	0.759	0.42	0.429	0.234	0.511	0.014	0.273	0.879	0.147	0.53	0.608	0.392	0.303	0.062	0.403	0.851	0.601	0.985	0.574	0.661	0.14	0.955	0.427	0.084	0.983	0.811	0.25	0.187	0.446	0.458	0.081	0.017	0.014	0.785	0.199	0.75	0.093	0.913	0.306	0.063	0.84	0.348	0.144	0.835	0.105	0.204	0.422	0.631	0.014	0.151	0.887	0.62	0.797	0.036	0.341
upper95_perm_direct	1.8712	1.6768	1.1795	0.635	0.6848	0.6614	0.6515	1.1499	0.8184	0.6481	0.6833	0.6231	0.4492	0.5812	1.0002	0.6221	0.6725	1.0639	0.6339	0.6299	0.598	0.7092	0.5728	0.6999	0.637	0.708	0.9244	0.6398	0.5573	0.8147	0.5963	0.4875	0.6339	0.6131	0.6346	0.5623	0.6382	1.1365	0.6393	0.6695	0.6096	0.6096	0.8786	0.4719	1.0562	0.4779	0.8425	0.5873	0.6315	0.6859	0.6076	0.7601	0.8413	0.5204	0.6228	0.498	0.839	0.8315	0.9574	0.6548	0.811	0.9724	0.6984	0.5917	0.6796	0.6211	0.9286	0.4488	0.6945	0.5454	0.481	0.5526	0.5878	0.6868	0.6055	0.6861	0.8267	0.7479	0.9776	0.9765	0.6971	0.5499	0.61	0.5118	0.5499	0.6677	0.8665	0.518	0.5412	0.4055	0.9756	0.4667	0.417	0.5005	0.6587	0.6174	0.3813	0.5	0.4153	0.4645
lower0_perm_direct	-0.2694	-0.1353	-0.1005	-0.095	-0.0873	-0.0805	-0.0879	-0.095	-0.0895	-0.0846	-0.0877	-0.086	-0.0779	-0.0789	-0.0891	-0.095	-0.0974	-0.0856	-0.0829	-0.0924	-0.087	-0.08	-0.0858	-0.0939	-0.0775	-0.0865	-0.0807	-0.08	-0.0775	-0.084	-0.0916	-0.0725	-0.0841	-0.0798	-0.0853	-0.0788	-0.0866	-0.0841	-0.0817	-0.0833	-0.0841	-0.0832	-0.0874	-0.0771	-0.0846	-0.0763	-0.0846	-0.0911	-0.0793	-0.0721	-0.0795	-0.0795	-0.0859	-0.0813	-0.085	-0.0764	-0.0826	-0.0782	-0.08	-0.0791	-0.0751	-0.0751	-0.0727	-0.0747	-0.0794	-0.0825	-0.0758	-0.0741	-0.0828	-0.0754	-0.0877	-0.0746	-0.0801	-0.0752	-0.0744	-0.0784	-0.0814	-0.0717	-0.0748	-0.0822	-0.0831	-0.0746	-0.0789	-0.077	-0.09	-0.0748	-0.0813	-0.0814	-0.0755	-0.0743	-0.0763	-0.0742	-0.0712	-0.0779	-0.0743	-0.0753	-0.074	-0.0766	-0.0716	-0.0737
sad_vc_estimate	0.2919	0.0441	-0.0255	-0.0119	-0.0587	0.0621	0.4646	-0.0691	-0.0419	0.2856	0.0244	0.0665	0.0137	0.2688	-0.0453	-0.0366	-0.0644	0.2189	0.2639	-0.0471	0.1225	0.0658	0.2688	1.5381	-0.0581	-0.0603	0.1089	0.7501	-0.0493	0.0001	-0.0381	-0.0524	-0.0626	0.2327	-0.0632	0.4448	0.3107	-0.0438	0.0431	-0.0019	0.1665	0.6486	0.5986	0.0271	-0.0149	-0.0161	0.0757	0.0011	0.228	0.0231	0.8607	0.3195	-0.0269	0.2693	-0.0163	-0.0451	0.1696	0.22	0.8901	0.1402	-0.0487	0.0111	-0.0474	-0.0205	-0.0065	0.3622	-0.0573	-0.007	0.6777	-0.056	-0.0597	0.1996	0.2405	0.0628	0.0299	0.557	0.944	1.2394	-0.0485	0.4198	-0.0381	0.3257	-0.056	0.1015	0.6078	-0.0427	0.1771	0.35	-0.0507	0.2252	0.4287	0.0382	-0.0125	0.9319	0.2676	-0.0544	-0.0322	-0.0419	0.2841	0.0771
sad_vc_estimate_se	0.1283	0.0621	0.0484	0.0432	0.0411	0.0382	0.0398	0.044	0.0421	0.0404	0.0412	0.0405	0.037	0.039	0.0408	0.0411	0.042	0.0404	0.0398	0.0421	0.0387	0.0378	0.0394	0.0436	0.0377	0.0404	0.0392	0.0361	0.0368	0.0381	0.0421	0.0345	0.0396	0.0366	0.0405	0.038	0.0393	0.038	0.0373	0.0383	0.0405	0.0396	0.0378	0.0369	0.0399	0.037	0.0389	0.0408	0.037	0.0348	0.0345	0.0375	0.0391	0.0375	0.0386	0.0359	0.0395	0.0378	0.0372	0.0369	0.0361	0.0349	0.0348	0.0356	0.0376	0.0369	0.0366	0.0346	0.0371	0.0354	0.0381	0.0355	0.0371	0.0353	0.0365	0.0366	0.0373	0.0348	0.0362	0.038	0.0378	0.0355	0.0375	0.0357	0.039	0.0347	0.0379	0.0371	0.0348	0.0349	0.0366	0.0348	0.0337	0.037	0.036	0.0362	0.0339	0.0361	0.0336	0.0361
sad_vc_pvals	0.333	0.592	0.719	0.575	0.844	0.423	0.127	0.976	0.759	0.168	0.511	0.407	0.466	0.186	0.784	0.681	0.915	0.349	0.208	0.752	0.317	0.398	0.203	0.002	0.927	0.902	0.478	0.023	0.817	0.618	0.679	0.909	0.993	0.202	0.946	0.07	0.137	0.814	0.422	0.555	0.306	0.047	0.092	0.482	0.707	0.589	0.454	0.538	0.215	0.521	0.024	0.221	0.722	0.141	0.635	0.799	0.338	0.285	0.059	0.308	0.864	0.619	0.849	0.692	0.651	0.122	0.952	0.54	0.041	0.993	0.933	0.21	0.211	0.429	0.469	0.08	0.038	0.016	0.878	0.187	0.739	0.126	0.883	0.301	0.056	0.806	0.309	0.106	0.88	0.126	0.198	0.389	0.557	0.01	0.171	0.897	0.686	0.75	0.083	0.359
upper95_perm_sad	1.847	1.759	1.4916	0.6316	0.8306	0.7342	0.8505	1.269	0.9602	0.7135	0.7828	0.7144	0.5505	0.7648	1.0586	0.6696	0.6898	1.1401	0.7827	0.8183	0.7194	0.6984	0.697	0.8817	0.762	0.764	1.1889	0.6441	0.6627	0.9054	0.639	0.669	0.7185	0.6654	0.8088	0.617	0.6801	1.2617	0.6267	0.7461	0.7883	0.7322	0.8832	0.6222	1.2101	0.5277	0.7872	0.6878	0.7125	0.7175	0.6132	0.9257	1.019	0.5669	0.7111	0.5741	0.9868	0.9626	1.0655	0.8277	0.923	1.0479	0.797	0.6686	0.9675	0.7168	0.8961	0.5432	0.6362	0.6441	0.5756	0.6348	0.6844	0.6978	0.6588	0.7735	0.9861	0.8611	1.0811	1.133	0.755	0.6139	0.6332	0.546	0.7124	0.8429	0.9008	0.5709	0.618	0.4716	1.007	0.5156	0.5395	0.6427	0.6958	0.5525	0.5042	0.6173	0.428	0.6437
lower0_perm_sad	-0.2878	-0.1297	-0.0976	-0.0992	-0.0905	-0.084	-0.0845	-0.0951	-0.0861	-0.0933	-0.0893	-0.0938	-0.0858	-0.0842	-0.0874	-0.0896	-0.0897	-0.09	-0.083	-0.0939	-0.0837	-0.0818	-0.0859	-0.0933	-0.0805	-0.0832	-0.0799	-0.0764	-0.0794	-0.0839	-0.0887	-0.0759	-0.0869	-0.0803	-0.0862	-0.0812	-0.0838	-0.0836	-0.0814	-0.0828	-0.0852	-0.0915	-0.0771	-0.0798	-0.0856	-0.0825	-0.084	-0.086	-0.078	-0.0752	-0.0732	-0.0785	-0.0822	-0.0793	-0.0827	-0.0747	-0.0868	-0.0793	-0.0794	-0.0854	-0.0802	-0.0716	-0.0741	-0.0764	-0.0838	-0.0791	-0.0795	-0.0726	-0.0813	-0.0725	-0.0835	-0.0758	-0.085	-0.0761	-0.0765	-0.0802	-0.081	-0.0739	-0.0795	-0.0802	-0.079	-0.0752	-0.0809	-0.0754	-0.0836	-0.0749	-0.0809	-0.0771	-0.0724	-0.0726	-0.078	-0.0719	-0.0759	-0.0809	-0.0775	-0.0813	-0.0735	-0.0776	-0.0739	-0.0777
