	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.0244	0.0147	-0.0022	0.0084	0.0004	0.0009	-0.0008	-0.0016	0.0053	0.0416	0.0076	0.0023	0.0003	0.0126	0.0011	-0.0005	-0.0005	0.0053	0.0269	-0.0003	0.0098	0.0199	-0.0001	0.0025	-0.0022	0.0087	0.0005	0.0054	0.0007	0.0009	-0.0012	-0.0005	-0.0006	-0.0013	-0.0003	0.0019	0.0146	-0.0003	-0.0009	-0.0013	-0.0019	0.0602	-0.0004	0.0071	-0.0006	0.0022	0.0172	-0.0009	-0.0005	-0.0005	0.0067	0.0032	0.0003	0.0146	0.001	-0.0004	0.0005	0.0043	-0.0007	0.013	0.0035	-0.0006	0.0036	-0.0013	0.018	0.0128	0.0002	0.0001	0.0002	0.0303	-0.0007	0.002	0.0007	0.0007	0.0001	0.0016	-0.0008	0.0091	0.0005	0.0007	-0.0007	-0.0008	-0.0012	0.0091	0.003	-0.0007	-0.0007	0.0016	0.0012	0.0047	-0.0002	0.0007	-0.0027	0.0007	0.0258	0.0258	-0.0029	0.015	-0.0006	-0.0009
direct_vc_estimate_se	0.0071	0.0014	0.0013	0.0008	0.0005	0.0006	0.0005	0.0012	0.0005	0.0008	0.0004	0.0009	0.0005	0.0004	0.0004	0.0004	0.0004	0.0004	0.0016	0.0005	0.0004	0.0021	0.0004	0.0003	0.0012	0.0004	0.0004	0.0006	0.0004	0.0004	0.0006	0.0006	0.0005	0.0006	0.0005	0.0005	0.0006	0.0008	0.0005	0.0007	0.0009	0.0004	0.0005	0.0004	0.0005	0.0004	0.0004	0.0005	0.0004	0.0005	0.0004	0.0004	0.0004	0.0007	0.0008	0.0008	0.0007	0.0008	0.0003	0.0003	0.0012	0.0004	0.0005	0.0007	0.0012	0.0004	0.0004	0.0003	0.0003	0.0004	0.0004	0.0009	0.0003	0.001	0.0004	0.0003	0.0005	0.0005	0.0004	0.0004	0.0008	0.0005	0.0007	0.0004	0.0004	0.0004	0.0003	0.0003	0.0006	0.0004	0.0003	0.0005	0.0015	0.0004	0.0006	0.0003	0.0017	0.001	0.0004	0.0007
direct_vc_pvals	0.242	0.244	0.746	0.141	0.575	0.489	0.823	0.762	0.31	0.024	0.178	0.397	0.651	0.044	0.485	0.803	0.816	0.197	0.029	0.716	0.133	0.116	0.642	0.278	0.768	0.112	0.452	0.214	0.471	0.488	0.884	0.648	0.693	0.933	0.622	0.348	0.065	0.547	0.912	0.82	0.988	0.0	0.658	0.214	0.791	0.296	0.09	0.961	0.8	0.768	0.167	0.33	0.537	0.118	0.473	0.571	0.38	0.16	0.991	0.027	0.252	0.876	0.155	0.813	0.022	0.023	0.744	0.636	0.538	0.009	0.825	0.259	0.525	0.302	0.603	0.419	0.82	0.055	0.619	0.449	0.668	0.829	0.868	0.033	0.223	0.947	0.978	0.277	0.485	0.143	0.671	0.434	0.789	0.523	0.003	0.004	0.784	0.04	0.803	0.736
upper95_perm_direct	0.0838	0.0574	0.0167	0.0189	0.0184	0.0196	0.0232	0.0412	0.0235	0.042	0.0195	0.0227	0.0264	0.0154	0.0161	0.0276	0.0208	0.0148	0.0276	0.0174	0.0199	0.0378	0.0147	0.0112	0.0083	0.0173	0.0104	0.0175	0.013	0.0129	0.0077	0.0128	0.0117	0.0188	0.0131	0.0134	0.0205	0.0132	0.0132	0.0119	0.0198	0.0309	0.0113	0.0183	0.0275	0.0118	0.0254	0.0116	0.018	0.0324	0.017	0.0156	0.0119	0.0298	0.0187	0.0181	0.0102	0.0122	0.0084	0.0118	0.0178	0.0166	0.0096	0.0092	0.0176	0.0115	0.0177	0.0142	0.0106	0.0248	0.0152	0.0118	0.0166	0.0083	0.0129	0.0151	0.0127	0.0119	0.0162	0.0105	0.0156	0.0108	0.024	0.0097	0.0114	0.0117	0.0145	0.0086	0.0144	0.01	0.0102	0.0122	0.0134	0.0141	0.0176	0.0171	0.0257	0.0171	0.0118	0.0173
lower0_perm_direct	-0.022	-0.0045	-0.0043	-0.0024	-0.0016	-0.0018	-0.0016	-0.0036	-0.0014	-0.0025	-0.0012	-0.0031	-0.0015	-0.0013	-0.0013	-0.0014	-0.0011	-0.0012	-0.0049	-0.0014	-0.0012	-0.0064	-0.0011	-0.001	-0.0037	-0.0011	-0.0012	-0.0018	-0.0013	-0.0013	-0.0019	-0.0021	-0.0015	-0.0019	-0.0017	-0.0015	-0.0018	-0.0026	-0.0014	-0.0022	-0.003	-0.0012	-0.0014	-0.0012	-0.0015	-0.0013	-0.0013	-0.0013	-0.0012	-0.0016	-0.0013	-0.0012	-0.0011	-0.0021	-0.0026	-0.0027	-0.0022	-0.0025	-0.001	-0.0009	-0.0038	-0.001	-0.0014	-0.0022	-0.0038	-0.0012	-0.0012	-0.001	-0.001	-0.0011	-0.0013	-0.0029	-0.0011	-0.0031	-0.0011	-0.001	-0.0015	-0.0014	-0.0012	-0.0012	-0.0025	-0.0014	-0.0021	-0.0011	-0.0012	-0.0011	-0.001	-0.001	-0.0018	-0.0013	-0.001	-0.0015	-0.0046	-0.0012	-0.0017	-0.0011	-0.0054	-0.0031	-0.0012	-0.0022
sad_vc_estimate	0.1652	0.0421	0.0009	0.0114	0.0002	-0.0007	0.0005	-0.0019	0.0138	0.1227	0.0033	0.0061	0.0124	0.0253	0.0026	0.0035	0.0045	0.0216	0.0769	-0.0007	0.0237	0.0683	-0.0001	0.0231	-0.0018	0.0395	-0.0005	0.037	0.0017	0.0026	-0.0007	-0.0007	0.0084	0.0004	-0.0005	0.0044	0.0212	-0.0016	-0.0009	-0.0014	-0.0019	0.1381	-0.0003	0.0145	-0.0009	0.0022	0.047	0.0048	-0.0008	0.006	0.0147	0.0075	0.0097	0.0402	0.0078	0.0043	0.0081	0.0138	-0.0006	0.0296	0.0118	-0.0001	0.0111	0.0035	0.0286	0.0241	0.002	0.0008	-0.0007	0.0909	-0.0001	0.016	-0.0007	0.0061	0.0016	0.0054	-0.001	0.0289	0.0124	0.0016	0.0047	-0.0008	-0.0013	0.0525	0.019	0.0042	0.0026	0.0046	0.0045	0.0064	-0.0006	-0.0006	0.0008	-0.0005	0.0614	0.0727	-0.0011	0.033	-0.0003	0.0014
sad_vc_estimate_se	0.0071	0.0014	0.0014	0.0008	0.0005	0.0006	0.0005	0.0012	0.0005	0.0008	0.0004	0.001	0.0005	0.0005	0.0004	0.0005	0.0004	0.0004	0.0016	0.0005	0.0004	0.0021	0.0004	0.0003	0.0012	0.0004	0.0004	0.0006	0.0004	0.0004	0.0006	0.0006	0.0005	0.0006	0.0005	0.0005	0.0006	0.0008	0.0005	0.0007	0.0009	0.0004	0.0005	0.0004	0.0005	0.0004	0.0004	0.0005	0.0004	0.0005	0.0004	0.0004	0.0004	0.0007	0.0008	0.0008	0.0007	0.0008	0.0003	0.0003	0.0012	0.0004	0.0005	0.0007	0.0012	0.0004	0.0004	0.0003	0.0003	0.0004	0.0004	0.0009	0.0003	0.001	0.0004	0.0004	0.0005	0.0005	0.0004	0.0004	0.0008	0.0005	0.0007	0.0004	0.0004	0.0004	0.0003	0.0003	0.0006	0.0004	0.0003	0.0005	0.0015	0.0004	0.0006	0.0003	0.0017	0.001	0.0004	0.0007
sad_vc_pvals	0.117	0.267	0.603	0.301	0.766	0.843	0.746	0.903	0.4	0.03	0.58	0.491	0.398	0.123	0.552	0.596	0.534	0.107	0.059	0.875	0.162	0.14	0.783	0.063	0.78	0.066	0.863	0.069	0.603	0.519	0.748	0.792	0.265	0.712	0.774	0.395	0.165	0.941	0.919	0.963	0.961	0.005	0.764	0.346	0.937	0.555	0.104	0.486	0.934	0.552	0.168	0.394	0.249	0.127	0.375	0.474	0.25	0.194	0.93	0.05	0.336	0.824	0.142	0.349	0.096	0.035	0.789	0.709	0.925	0.005	0.802	0.159	0.971	0.281	0.531	0.413	0.982	0.035	0.336	0.553	0.497	0.903	0.958	0.007	0.096	0.379	0.535	0.345	0.579	0.278	0.903	0.804	0.504	0.826	0.017	0.004	0.748	0.072	0.79	0.638
upper95_perm_sad	0.2813	0.1592	0.05	0.0541	0.0518	0.0572	0.0658	0.1275	0.0737	0.1344	0.0523	0.0686	0.0793	0.05	0.0387	0.0653	0.0582	0.0409	0.0982	0.0475	0.0577	0.1363	0.0388	0.031	0.0286	0.0529	0.0369	0.0528	0.0366	0.0344	0.0219	0.0362	0.0365	0.0574	0.0331	0.035	0.0528	0.0459	0.0354	0.0319	0.052	0.0877	0.0312	0.0654	0.0764	0.0358	0.0828	0.0375	0.047	0.0958	0.0367	0.0425	0.0382	0.0813	0.0486	0.0438	0.0307	0.0422	0.0299	0.0354	0.0679	0.0454	0.0248	0.0273	0.0466	0.0271	0.06	0.0395	0.0272	0.0631	0.0486	0.0416	0.0467	0.0315	0.029	0.0436	0.0405	0.0322	0.0515	0.03	0.0507	0.0324	0.0616	0.0376	0.0326	0.028	0.0381	0.0268	0.0416	0.0289	0.0326	0.0365	0.0381	0.036	0.0552	0.0451	0.0817	0.0511	0.0368	0.0536
lower0_perm_sad	-0.0204	-0.0044	-0.004	-0.0024	-0.0017	-0.0018	-0.0016	-0.0035	-0.0014	-0.0024	-0.0012	-0.0029	-0.0014	-0.0014	-0.0013	-0.0015	-0.0011	-0.0014	-0.0048	-0.0014	-0.0012	-0.0066	-0.0011	-0.001	-0.0034	-0.0012	-0.0012	-0.0017	-0.0014	-0.0012	-0.0019	-0.002	-0.0015	-0.0019	-0.0017	-0.0014	-0.0018	-0.0026	-0.0015	-0.0023	-0.0028	-0.0012	-0.0014	-0.0012	-0.0016	-0.0014	-0.0014	-0.0014	-0.0012	-0.0015	-0.0013	-0.0011	-0.0011	-0.0021	-0.0027	-0.0025	-0.0024	-0.0025	-0.001	-0.0009	-0.0038	-0.0011	-0.0015	-0.002	-0.0037	-0.0012	-0.0012	-0.0011	-0.001	-0.0012	-0.0013	-0.0028	-0.001	-0.0028	-0.0011	-0.001	-0.0015	-0.0015	-0.0012	-0.0013	-0.0022	-0.0013	-0.0019	-0.0011	-0.0012	-0.0012	-0.001	-0.001	-0.0019	-0.0014	-0.001	-0.0015	-0.0046	-0.0013	-0.0017	-0.001	-0.0051	-0.0031	-0.0012	-0.0023
