	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.0517	0.0486	-0.002	-0.0019	0.0035	0.0115	-0.002	0.0219	0.0217	0.035	-0.0005	0.0082	0.0045	-0.0004	0.0049	0.0055	0.0403	0.0006	0.0417	-0.0014	-0.0006	0.0037	-0.0017	0.0033	0.0002	0.0034	0.0027	-0.0006	0.0319	0.0088	-0.0012	0.0066	0.008	0.0096	0.0043	0.0017	-0.0004	0.0017	0.0092	-0.0003	-0.0008	-0.0017	-0.0013	0.0012	0.0026	0.0053	0.0044	0.009	-0.0013	0.0074	0.001	0.0089	0.0043	-0.0003	0.0034	0.0229	-0.0012	0.001	0.0178	-0.0015	0.0037	-0.0015	0.02	0.0015	0.0037	0.015	-0.0013	0.001	0.0266	-0.0014	0.0104	0.003	0.0041	-0.0003	0.0237	0.002	0.0006	-0.0012	0.0017	0.0076	-0.0003	0.0054	-0.0006	-0.0011	-0.0012	0.0012	-0.0014	-0.0009	0.0096	-0.0011	0.0079	0.0089	0.0026	-0.0015	0.0083	0.0006	0.0135	-0.0011	0.0049	0.0048
direct_vc_estimate_se	0.0115	0.006	0.0038	0.0032	0.0026	0.0024	0.0034	0.0045	0.0034	0.0033	0.0026	0.0035	0.0026	0.003	0.0036	0.003	0.004	0.0021	0.0041	0.0027	0.003	0.0029	0.0029	0.0031	0.0042	0.0031	0.0025	0.0029	0.0026	0.0033	0.0029	0.0028	0.0033	0.0027	0.004	0.0028	0.0022	0.0035	0.0027	0.0034	0.0025	0.003	0.0024	0.0028	0.0024	0.0022	0.0023	0.0032	0.0024	0.0025	0.003	0.0027	0.0029	0.0023	0.0027	0.0027	0.0023	0.0024	0.0023	0.0024	0.0025	0.0025	0.0033	0.0037	0.0026	0.003	0.0022	0.0029	0.0029	0.0035	0.0026	0.0023	0.0022	0.0026	0.0026	0.0021	0.002	0.0019	0.0021	0.0034	0.0023	0.0026	0.0023	0.002	0.0022	0.0021	0.0024	0.0029	0.0033	0.0025	0.0032	0.0021	0.0017	0.0027	0.0028	0.003	0.0023	0.0023	0.0024	0.0026
direct_vc_pvals	0.361	0.074	0.872	0.93	0.331	0.062	0.894	0.274	0.179	0.034	0.615	0.701	0.546	0.667	0.413	0.262	0.342	0.377	0.051	0.822	0.684	0.41	0.923	0.531	0.681	0.588	0.54	0.531	0.084	0.226	0.723	0.244	0.341	0.113	0.309	0.442	0.613	0.386	0.221	0.708	0.748	0.903	0.825	0.698	0.533	0.423	0.381	0.345	0.921	0.155	0.607	0.142	0.497	0.597	0.359	0.088	0.82	0.414	0.028	0.959	0.18	0.894	0.049	0.487	0.423	0.128	0.938	0.516	0.165	0.579	0.028	0.394	0.187	0.798	0.052	0.537	0.367	0.95	0.383	0.37	0.5	0.151	0.796	0.836	0.883	0.496	0.947	0.642	0.617	0.785	0.377	0.084	0.188	0.817	0.251	0.816	0.056	0.772	0.351	0.468
upper95_perm_direct	0.1444	0.0635	0.0312	0.0229	0.021	0.0137	0.0486	0.0561	0.0387	0.0356	0.0152	0.0611	0.0269	0.0226	0.0293	0.0215	0.1104	0.0081	0.0467	0.0167	0.019	0.0232	0.0291	0.0318	0.0309	0.0333	0.027	0.0098	0.0405	0.0244	0.0171	0.0193	0.0378	0.0169	0.0213	0.0187	0.0136	0.0174	0.0261	0.0335	0.0223	0.0297	0.0113	0.0365	0.0213	0.0378	0.0181	0.0306	0.04	0.0152	0.0342	0.0184	0.0253	0.0134	0.0219	0.0303	0.0089	0.0117	0.0152	0.0127	0.0097	0.0091	0.0212	0.0266	0.0236	0.0263	0.0148	0.0199	0.048	0.0087	0.0085	0.0167	0.0117	0.0326	0.0268	0.0192	0.0082	0.0097	0.0126	0.0312	0.0086	0.0128	0.0435	0.0113	0.0185	0.0162	0.0187	0.015	0.0421	0.0133	0.0361	0.013	0.0082	0.0126	0.0244	0.0362	0.015	0.0118	0.0231	0.0266
lower0_perm_direct	-0.0085	-0.0046	-0.003	-0.0026	-0.0021	-0.0019	-0.0026	-0.0034	-0.0026	-0.0026	-0.002	-0.0027	-0.002	-0.0024	-0.0028	-0.0024	-0.0032	-0.0016	-0.0031	-0.0021	-0.0023	-0.0022	-0.0022	-0.0024	-0.0032	-0.0024	-0.0019	-0.0022	-0.0019	-0.0026	-0.0023	-0.0022	-0.0026	-0.0021	-0.003	-0.0021	-0.0017	-0.0027	-0.0021	-0.0026	-0.002	-0.0022	-0.0019	-0.0022	-0.0019	-0.0017	-0.0018	-0.0024	-0.0018	-0.002	-0.0023	-0.0021	-0.0022	-0.0018	-0.0021	-0.0019	-0.0017	-0.0019	-0.0018	-0.0019	-0.0019	-0.002	-0.0026	-0.0029	-0.002	-0.0024	-0.0018	-0.0023	-0.0021	-0.0028	-0.0021	-0.0018	-0.0017	-0.002	-0.0021	-0.0017	-0.0015	-0.0015	-0.0016	-0.0025	-0.0018	-0.002	-0.0017	-0.0015	-0.0017	-0.0016	-0.0018	-0.0022	-0.0023	-0.0019	-0.0025	-0.0017	-0.0013	-0.0021	-0.0022	-0.0022	-0.0018	-0.0018	-0.0019	-0.002
sad_vc_estimate	0.1006	0.089	0.0083	0.0117	0.0053	0.008	0.0055	0.1003	0.0056	0.1064	0.0009	0.0263	0.0041	0.0002	-0.0002	0.0118	0.0927	0.0012	0.0938	0.0004	0.0003	0.0061	0.0007	0.011	-0.0023	0.0156	0.0172	-0.0007	0.0844	0.0079	0.0051	0.0057	0.0062	0.0154	0.0067	0.0067	-0.0012	0.0136	0.0448	0.0006	0.0021	-0.0007	-0.0015	-0.0001	0.0009	0.0066	0.0058	0.0321	-0.0012	0.0149	-0.0006	0.0382	-0.001	0.0013	0.0032	0.0712	-0.0008	0.0027	0.0504	-0.0008	0.0093	-0.0015	0.0105	0.0026	0.0049	0.0135	-0.001	0.0091	0.0763	-0.0004	0.027	0.0179	0.0206	0.0066	0.046	0.0076	0.0022	-0.0002	0.0084	0.0231	0.0079	0.0005	0.0033	0.0002	-0.0003	0.0072	-0.0002	-0.0014	0.0103	-0.0015	0.0097	0.0216	0.0032	-0.0016	0.0373	0.0177	0.0342	-0.0011	0.0154	0.0199
sad_vc_estimate_se	0.0116	0.006	0.0038	0.0033	0.0026	0.0024	0.0035	0.0045	0.0035	0.0034	0.0026	0.0036	0.0026	0.0031	0.0036	0.0031	0.004	0.0021	0.0041	0.0027	0.0031	0.0029	0.0029	0.0031	0.0043	0.0031	0.0025	0.0029	0.0026	0.0033	0.0029	0.0029	0.0033	0.0027	0.004	0.0028	0.0023	0.0035	0.0027	0.0034	0.0025	0.003	0.0024	0.0029	0.0024	0.0022	0.0023	0.0032	0.0024	0.0025	0.003	0.0028	0.003	0.0023	0.0028	0.0027	0.0023	0.0025	0.0023	0.0025	0.0026	0.0025	0.0033	0.0037	0.0026	0.0031	0.0023	0.003	0.003	0.0036	0.0027	0.0023	0.0022	0.0027	0.0026	0.0021	0.002	0.002	0.0021	0.0034	0.0023	0.0027	0.0024	0.002	0.0022	0.0021	0.0024	0.003	0.0033	0.0025	0.0032	0.0021	0.0017	0.0027	0.0028	0.003	0.0023	0.0024	0.0025	0.0026
sad_vc_pvals	0.482	0.095	0.487	0.353	0.487	0.275	0.606	0.069	0.73	0.008	0.572	0.611	0.756	0.727	0.782	0.288	0.309	0.476	0.069	0.633	0.702	0.411	0.736	0.552	0.939	0.435	0.265	0.703	0.035	0.391	0.435	0.463	0.581	0.177	0.425	0.426	0.874	0.229	0.072	0.759	0.651	0.797	0.976	0.834	0.763	0.526	0.546	0.231	0.93	0.236	0.822	0.06	0.91	0.542	0.526	0.01	0.768	0.512	0.016	0.754	0.125	0.904	0.279	0.574	0.485	0.283	0.826	0.381	0.08	0.609	0.019	0.171	0.095	0.624	0.047	0.386	0.395	0.642	0.2	0.302	0.171	0.589	0.686	0.672	0.781	0.34	0.815	0.847	0.761	0.919	0.511	0.085	0.319	0.936	0.129	0.491	0.047	0.863	0.292	0.325
upper95_perm_sad	0.3282	0.1259	0.0668	0.0599	0.0492	0.0264	0.113	0.12	0.088	0.0812	0.0288	0.1369	0.0546	0.0649	0.0819	0.0449	0.2151	0.018	0.1128	0.0383	0.0427	0.0374	0.0633	0.0629	0.0688	0.0668	0.0506	0.026	0.0857	0.0502	0.0395	0.0486	0.0831	0.0347	0.0524	0.0451	0.0287	0.0405	0.0571	0.0779	0.0445	0.06	0.0215	0.0816	0.0513	0.0673	0.0503	0.0703	0.076	0.0422	0.0711	0.0454	0.05	0.0286	0.0496	0.0594	0.021	0.033	0.0394	0.0287	0.0172	0.0177	0.0422	0.0562	0.0462	0.0434	0.0323	0.0473	0.103	0.0231	0.0192	0.0353	0.0344	0.0746	0.0489	0.0294	0.0177	0.0178	0.0235	0.0658	0.019	0.0301	0.0944	0.0268	0.0449	0.0316	0.0403	0.0324	0.1059	0.0267	0.0619	0.0295	0.017	0.0298	0.0587	0.0842	0.0379	0.0355	0.0526	0.0567
lower0_perm_sad	-0.0085	-0.0048	-0.0029	-0.0025	-0.002	-0.0019	-0.0026	-0.0035	-0.0026	-0.0027	-0.002	-0.0026	-0.002	-0.0024	-0.0028	-0.0024	-0.0031	-0.0016	-0.0032	-0.0021	-0.0023	-0.0023	-0.0023	-0.0023	-0.0032	-0.0022	-0.0018	-0.0022	-0.0018	-0.0025	-0.0022	-0.0023	-0.0025	-0.0021	-0.003	-0.0022	-0.0018	-0.0027	-0.0021	-0.0026	-0.002	-0.0023	-0.0019	-0.0023	-0.0018	-0.0017	-0.0018	-0.0024	-0.0019	-0.002	-0.0023	-0.0022	-0.0024	-0.0018	-0.0021	-0.002	-0.0017	-0.0019	-0.0018	-0.0019	-0.002	-0.0019	-0.0026	-0.0028	-0.002	-0.0025	-0.0018	-0.0022	-0.0021	-0.0028	-0.002	-0.0018	-0.0018	-0.0021	-0.002	-0.0016	-0.0015	-0.0015	-0.0016	-0.0026	-0.0018	-0.002	-0.0017	-0.0016	-0.0017	-0.0016	-0.0018	-0.0022	-0.0026	-0.002	-0.0023	-0.0016	-0.0013	-0.002	-0.0022	-0.0023	-0.0017	-0.0018	-0.0019	-0.002
