	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.0149	-0.0058	0.0136	-0.0011	-0.0036	0.0006	0.003	0.0074	0.0159	0.0208	0.0518	-0.0023	0.0107	-0.0042	0.0072	-0.0041	0.0061	0.0045	-0.0037	0.0363	0.0019	-0.0041	0.0098	0.0145	0.0193	0.021	0.0023	-0.0042	-0.005	0.0488	0.0542	-0.0044	0.007	-0.005	0.0097	-0.0031	-0.0036	-0.001	-0.004	-0.0032	0.0131	0.0038	0.0014	-0.0052	0.0301	-0.004	-0.0036	-0.0041	0.0035	0.0007	-0.0025	-0.0033	0.0021	0.0066	-0.0038	0.0187	-0.0039	-0.0063	0.0068	0.0054	0.0224	0.0026	-0.0004	0.0019	-0.0038	0.0041	-0.0041	0.0107	0.019	0.0024	0.0008	-0.0005	-0.0045	0.0041	-0.0037	-0.0056	0.0285	0.0181	0.0	0.004	0.0061	-0.0022	-0.0031	0.0209	-0.0036	-0.0044	0.0065	-0.0022	0.0239	-0.0037	0.0056	-0.0041	0.03	-0.0008	-0.004	-0.0043	0.0159	-0.0032	0.0008	0.0035
direct_vc_estimate_se	0.1674	0.0651	0.0554	0.0482	0.0428	0.0438	0.0449	0.0449	0.043	0.0412	0.0577	0.0414	0.0554	0.0449	0.044	0.0436	0.0432	0.0491	0.0422	0.047	0.0391	0.0424	0.0454	0.0458	0.0431	0.0448	0.0388	0.0439	0.0584	0.053	0.0428	0.0472	0.0437	0.0511	0.0467	0.0464	0.041	0.0471	0.0425	0.0374	0.0416	0.0468	0.0478	0.0539	0.0425	0.0408	0.0425	0.0495	0.0398	0.0453	0.0507	0.0435	0.0443	0.0411	0.0388	0.0438	0.0463	0.0628	0.0385	0.0387	0.0501	0.0419	0.0394	0.0447	0.0505	0.0398	0.0429	0.0479	0.0454	0.0403	0.0469	0.0454	0.0452	0.0403	0.0444	0.0608	0.0394	0.047	0.0402	0.0403	0.0492	0.0426	0.0417	0.0406	0.038	0.0445	0.0422	0.0413	0.0417	0.0369	0.0479	0.0408	0.0421	0.0402	0.0413	0.0437	0.0417	0.0397	0.0438	0.0501
direct_vc_pvals	0.801	0.819	0.208	0.532	0.804	0.437	0.381	0.249	0.147	0.094	0.008	0.634	0.177	0.853	0.296	0.861	0.23	0.342	0.84	0.019	0.374	0.893	0.228	0.139	0.081	0.092	0.346	0.881	0.769	0.018	0.007	0.846	0.198	0.923	0.185	0.669	0.808	0.531	0.878	0.763	0.167	0.287	0.374	0.909	0.042	0.959	0.783	0.735	0.333	0.432	0.589	0.705	0.344	0.287	0.913	0.106	0.756	0.995	0.29	0.27	0.076	0.376	0.507	0.41	0.724	0.309	0.891	0.158	0.065	0.333	0.412	0.49	0.961	0.338	0.774	0.855	0.054	0.068	0.416	0.327	0.205	0.626	0.697	0.058	0.862	0.985	0.27	0.669	0.076	0.974	0.238	0.985	0.029	0.535	0.893	0.972	0.096	0.746	0.45	0.288
upper95_perm_direct	0.1071	0.0552	0.0498	0.037	0.0379	0.034	0.0385	0.0396	0.0391	0.036	0.0357	0.0299	0.0338	0.0376	0.0426	0.0344	0.0299	0.0455	0.0479	0.0316	0.0313	0.0335	0.0345	0.0362	0.0325	0.0383	0.0285	0.0351	0.0322	0.0404	0.0329	0.0305	0.0258	0.0416	0.0331	0.0335	0.033	0.0373	0.0319	0.0336	0.0353	0.0278	0.0279	0.0387	0.0361	0.0539	0.0282	0.0309	0.0309	0.0324	0.0325	0.0274	0.0288	0.0407	0.03	0.0328	0.0344	0.0306	0.037	0.0326	0.0361	0.0367	0.0373	0.0315	0.0369	0.0348	0.0313	0.0306	0.0279	0.0296	0.0321	0.0298	0.0376	0.0377	0.0316	0.0498	0.0355	0.0267	0.0254	0.0315	0.0292	0.0366	0.0331	0.0266	0.0327	0.0332	0.0331	0.037	0.0354	0.0267	0.0287	0.0309	0.0288	0.0321	0.0254	0.0259	0.03	0.0279	0.0348	0.0324
lower0_perm_direct	-0.0266	-0.0107	-0.0077	-0.007	-0.0062	-0.0064	-0.0068	-0.0066	-0.0062	-0.0059	-0.0087	-0.006	-0.0082	-0.0066	-0.0063	-0.0064	-0.0062	-0.0069	-0.007	-0.0066	-0.0058	-0.0063	-0.0065	-0.0073	-0.0064	-0.0063	-0.0055	-0.0071	-0.0088	-0.0074	-0.0068	-0.0067	-0.0064	-0.0071	-0.007	-0.0072	-0.006	-0.0065	-0.0064	-0.0055	-0.0062	-0.0069	-0.0067	-0.0077	-0.007	-0.0062	-0.0062	-0.0069	-0.0056	-0.0065	-0.0072	-0.0061	-0.0063	-0.0056	-0.0061	-0.0065	-0.0069	-0.0089	-0.0057	-0.0055	-0.0075	-0.0061	-0.0055	-0.0065	-0.0072	-0.0066	-0.0063	-0.007	-0.0072	-0.0058	-0.0067	-0.0064	-0.0073	-0.0059	-0.0066	-0.0099	-0.0059	-0.0066	-0.0057	-0.0064	-0.0081	-0.0062	-0.0062	-0.0058	-0.0054	-0.0063	-0.0063	-0.0059	-0.0058	-0.0054	-0.0068	-0.0058	-0.0066	-0.0057	-0.0067	-0.0063	-0.0069	-0.0063	-0.006	-0.0072
sad_vc_estimate	-0.0168	0.003	0.033	-0.0029	-0.0035	-0.0009	0.0587	0.0031	0.0458	0.0358	0.1775	0.0017	0.0285	0.0017	0.0091	-0.0041	0.002	0.033	-0.0036	0.1173	-0.0016	-0.0037	0.0698	0.0231	0.0066	0.0264	0.0043	-0.0044	-0.0005	0.0247	0.047	-0.0037	0.005	-0.0036	0.0266	0.0111	-0.0013	0.0061	-0.0023	0.0002	0.0155	0.0003	-0.0032	0.0028	0.0418	-0.0023	0.0087	-0.0044	0.0089	0.001	0.0045	0.008	-0.0024	0.0035	-0.0039	0.0773	-0.0042	-0.0062	-0.0005	0.0087	0.0406	0.0	-0.0028	0.0122	-0.0051	0.0044	-0.0043	0.0165	0.0176	-0.0007	0.0197	0.0115	-0.002	0.0028	-0.0034	-0.0048	0.0379	0.0215	-0.0036	0.0039	0.0066	-0.0043	0.0045	0.0711	-0.0002	-0.0004	0.0032	0.0058	0.0219	0.0026	0.003	-0.0034	0.0536	0.0054	-0.0041	-0.0042	0.0137	-0.0014	-0.0043	0.034
sad_vc_estimate_se	0.1688	0.0657	0.0559	0.0487	0.0432	0.0442	0.0453	0.0454	0.0434	0.0416	0.0581	0.0418	0.0558	0.0453	0.0444	0.044	0.0436	0.0495	0.0427	0.0474	0.0396	0.0428	0.0458	0.0463	0.0435	0.0452	0.0392	0.0443	0.0588	0.0534	0.0432	0.0476	0.0441	0.0515	0.0471	0.0468	0.0414	0.0475	0.0429	0.0378	0.0419	0.0472	0.0482	0.0543	0.0429	0.0412	0.0429	0.0499	0.0402	0.0457	0.0511	0.0439	0.0446	0.0415	0.0392	0.0442	0.0467	0.0632	0.0388	0.0391	0.0505	0.0423	0.0398	0.0452	0.0509	0.0402	0.0433	0.0483	0.0458	0.0407	0.0473	0.0458	0.0456	0.0407	0.0447	0.0612	0.0398	0.0474	0.0406	0.0407	0.0496	0.043	0.0421	0.0409	0.0384	0.0449	0.0425	0.0417	0.042	0.0373	0.0483	0.0411	0.0425	0.0406	0.0417	0.0441	0.0421	0.0401	0.0442	0.0505
sad_vc_pvals	0.989	0.541	0.182	0.733	0.804	0.61	0.042	0.482	0.08	0.064	0.002	0.502	0.16	0.524	0.391	0.878	0.45	0.152	0.859	0.002	0.69	0.851	0.025	0.198	0.345	0.166	0.447	0.978	0.534	0.178	0.048	0.798	0.368	0.75	0.167	0.258	0.616	0.425	0.685	0.638	0.252	0.534	0.729	0.531	0.073	0.727	0.274	0.841	0.313	0.526	0.403	0.293	0.704	0.494	0.992	0.02	0.841	0.954	0.649	0.332	0.083	0.607	0.776	0.296	0.984	0.429	0.97	0.229	0.185	0.591	0.182	0.261	0.659	0.545	0.788	0.828	0.115	0.12	0.819	0.443	0.318	0.963	0.425	0.016	0.598	0.586	0.477	0.427	0.188	0.475	0.416	0.82	0.02	0.406	0.969	0.903	0.203	0.628	0.925	0.05
upper95_perm_sad	0.2098	0.1092	0.094	0.0781	0.0631	0.0585	0.0697	0.0668	0.073	0.048	0.0714	0.0607	0.0749	0.0659	0.0709	0.0596	0.0432	0.0898	0.0695	0.06	0.0599	0.0558	0.0667	0.0733	0.0503	0.0684	0.0512	0.0619	0.0561	0.0725	0.0571	0.0598	0.0474	0.0722	0.0683	0.062	0.0552	0.066	0.0588	0.067	0.0668	0.0581	0.0531	0.0844	0.061	0.0776	0.0509	0.0586	0.0585	0.0576	0.0608	0.0524	0.0502	0.0665	0.0574	0.0646	0.0521	0.0614	0.0707	0.0534	0.0612	0.0595	0.0682	0.0649	0.0617	0.0577	0.0534	0.0612	0.0524	0.0472	0.0626	0.0512	0.0619	0.0773	0.0536	0.0858	0.0727	0.0424	0.043	0.0639	0.0549	0.0582	0.0524	0.0515	0.0529	0.056	0.0615	0.0644	0.0636	0.0455	0.0564	0.0584	0.0472	0.0517	0.0551	0.043	0.0461	0.0478	0.0564	0.0415
lower0_perm_sad	-0.0274	-0.0092	-0.0081	-0.0073	-0.006	-0.0063	-0.0063	-0.0065	-0.006	-0.0059	-0.0087	-0.0063	-0.0081	-0.0074	-0.0066	-0.0066	-0.0071	-0.0069	-0.006	-0.0067	-0.0064	-0.0062	-0.0066	-0.0067	-0.0065	-0.0066	-0.0056	-0.0073	-0.0083	-0.0079	-0.0071	-0.0066	-0.0064	-0.0083	-0.0066	-0.0067	-0.0058	-0.0071	-0.0066	-0.0053	-0.0058	-0.0066	-0.0065	-0.0081	-0.0063	-0.0058	-0.006	-0.008	-0.0058	-0.0064	-0.007	-0.0066	-0.0063	-0.0062	-0.0056	-0.0065	-0.0069	-0.0095	-0.0056	-0.0055	-0.0073	-0.0059	-0.0055	-0.0068	-0.0083	-0.0057	-0.0062	-0.007	-0.0068	-0.0056	-0.0071	-0.0064	-0.0064	-0.0061	-0.0062	-0.0087	-0.0056	-0.0067	-0.0058	-0.0058	-0.0077	-0.006	-0.0067	-0.006	-0.0057	-0.0063	-0.0064	-0.0059	-0.0059	-0.0053	-0.0068	-0.0058	-0.0063	-0.0061	-0.0061	-0.007	-0.0069	-0.0057	-0.0062	-0.007
