	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.3867	-0.0044	0.0108	0.005	-0.0196	0.0026	0.0446	-0.0132	-0.0138	0.0015	0.0019	-0.0115	-0.0147	-0.0119	0.0227	-0.0101	-0.0053	-0.0188	-0.0089	0.0433	-0.0061	-0.0066	-0.0178	-0.0122	-0.0143	-0.0164	-0.0144	0.0218	0.0046	0.0135	0.0375	-0.0014	0.0204	-0.0074	-0.0171	-0.0238	0.0009	-0.0182	0.0375	0.0073	-0.0132	0.0444	-0.0167	-0.0155	0.0216	-0.0176	-0.0155	-0.0062	-0.0097	0.0215	0.0423	-0.0169	-0.016	-0.0168	0.038	-0.008	-0.0088	0.0125	0.0112	0.0013	0.0024	0.0138	0.0494	-0.0126	-0.0155	-0.0016	0.0147	0.0541	-0.0173	-0.0082	-0.0109	-0.0107	-0.0075	0.0185	-0.0049	0.0364	-0.0063	-0.0076	0.0111	-0.0088	-0.0145	-0.0093	-0.0062	0.0762	-0.0157	-0.0067	-0.0032	-0.0122	-0.008	0.0064	-0.0117	-0.0134	-0.0052	-0.0066	-0.0123	0.006	-0.0101	-0.0138	0.0127	-0.0108
direct_vc_estimate_se	0.0213	0.0041	0.0042	0.0038	0.0042	0.0036	0.0035	0.0039	0.0035	0.0033	0.0032	0.003	0.0032	0.0042	0.0045	0.0046	0.0028	0.0051	0.0042	0.0062	0.0026	0.0045	0.0043	0.0034	0.0032	0.0038	0.0032	0.0027	0.0027	0.0025	0.0034	0.0022	0.0019	0.0026	0.0037	0.0051	0.0049	0.0039	0.0031	0.0026	0.0031	0.0037	0.0036	0.0036	0.0044	0.0041	0.0033	0.0044	0.0039	0.0037	0.0026	0.0046	0.0034	0.0037	0.0031	0.002	0.0032	0.002	0.0028	0.0024	0.0049	0.002	0.0023	0.0034	0.0034	0.002	0.0025	0.0034	0.0037	0.0017	0.0023	0.0039	0.0037	0.004	0.003	0.002	0.0026	0.003	0.0019	0.0025	0.0031	0.0029	0.0024	0.0032	0.0038	0.0015	0.0026	0.0036	0.0023	0.0033	0.0025	0.0029	0.0031	0.0041	0.0026	0.0034	0.0024	0.0029	0.0025	0.0023
direct_vc_pvals	0.076	0.381	0.237	0.302	0.912	0.336	0.047	0.425	0.747	0.288	0.443	0.772	0.871	0.552	0.029	0.501	0.418	0.554	0.569	0.144	0.371	0.416	0.71	0.664	0.775	0.759	0.853	0.123	0.376	0.151	0.124	0.379	0.134	0.563	0.854	0.915	0.396	0.913	0.046	0.31	0.678	0.156	0.897	0.706	0.051	0.729	0.98	0.434	0.434	0.103	0.059	0.589	0.928	0.804	0.056	0.783	0.378	0.104	0.182	0.304	0.383	0.041	0.015	0.7	0.862	0.65	0.197	0.028	0.896	0.922	0.974	0.464	0.6	0.089	0.351	0.05	0.484	0.484	0.167	0.617	0.864	0.439	0.442	0.047	0.601	0.819	0.338	0.526	0.649	0.181	0.969	0.909	0.496	0.518	0.91	0.232	0.751	0.954	0.063	0.896
upper95_perm_direct	0.4777	0.0486	0.0515	0.0541	0.0467	0.0554	0.0421	0.0095	0.062	0.0417	0.0758	0.0793	0.044	0.0591	0.0153	0.0546	0.0258	0.0377	0.0887	0.0883	0.0126	0.0565	0.0317	0.0549	0.0258	0.046	0.0321	0.0446	0.0716	0.0327	0.0575	0.0255	0.0372	0.0314	0.0322	0.0268	0.085	0.042	0.0364	0.0514	0.0194	0.0874	0.0421	0.0193	0.0218	0.026	0.069	0.0417	0.0327	0.0422	0.0465	0.0447	0.0587	0.0163	0.0395	0.044	0.0193	0.0247	0.0333	0.0295	0.0956	0.0119	0.0303	0.0477	0.0536	0.0482	0.0466	0.0383	0.0639	0.0238	0.0155	0.0258	0.0926	0.031	0.0232	0.0357	0.0302	0.0302	0.0275	0.0297	0.0266	0.0121	0.0194	0.0732	0.0154	0.0227	0.0208	0.0206	0.0267	0.0266	0.0276	0.0578	0.0536	0.0688	0.0357	0.0375	0.0306	0.0119	0.0156	0.0196
lower0_perm_direct	-0.1145	-0.0225	-0.0229	-0.0207	-0.0227	-0.0198	-0.0189	-0.0216	-0.0191	-0.018	-0.0169	-0.0164	-0.017	-0.0226	-0.0242	-0.0247	-0.0152	-0.0282	-0.0231	-0.0326	-0.014	-0.0247	-0.0227	-0.0182	-0.0174	-0.0206	-0.0168	-0.0147	-0.0148	-0.0133	-0.0177	-0.0117	-0.0103	-0.0137	-0.0202	-0.0272	-0.0265	-0.0209	-0.0169	-0.0136	-0.0165	-0.0196	-0.0188	-0.02	-0.0238	-0.0225	-0.0178	-0.0238	-0.0212	-0.0199	-0.0144	-0.0244	-0.0188	-0.0202	-0.0165	-0.0111	-0.0174	-0.0108	-0.0149	-0.0124	-0.0259	-0.0108	-0.0128	-0.0183	-0.0181	-0.011	-0.0132	-0.0185	-0.0201	-0.0094	-0.0122	-0.0207	-0.019	-0.0214	-0.0164	-0.0109	-0.0142	-0.0162	-0.0105	-0.0133	-0.0168	-0.0155	-0.0126	-0.0173	-0.0207	-0.008	-0.0145	-0.0197	-0.0124	-0.0179	-0.0135	-0.0154	-0.0163	-0.022	-0.0144	-0.0184	-0.0131	-0.0154	-0.0133	-0.0126
sad_vc_estimate	0.1591	-0.0129	-0.0115	-0.0085	-0.0163	0.0218	0.024	-0.0184	-0.0103	-0.0007	0.0312	-0.0127	-0.0145	-0.0184	0.0044	-0.01	-0.0002	0.012	-0.0048	0.0318	-0.0112	-0.0181	0.0069	-0.0072	-0.012	-0.0168	-0.0122	0.0239	0.021	0.0006	0.0838	0.0066	0.0083	0.0167	-0.0174	-0.0056	0.033	-0.0167	0.0244	0.0108	-0.0075	0.0769	-0.0159	-0.0162	-0.0007	-0.0007	-0.0107	0.0444	-0.0102	0.0331	0.0383	-0.0027	-0.0157	-0.016	0.0295	-0.0069	-0.0154	0.0019	0.0155	0.0004	0.0066	0.0317	0.0571	-0.0085	-0.0148	-0.0075	0.0314	0.03	-0.0041	-0.0073	-0.0096	-0.0182	-0.0096	0.0012	-0.0013	0.0408	-0.0074	-0.0078	0.0316	-0.0002	-0.0071	0.0012	-0.0033	0.0946	-0.018	-0.0064	-0.0104	-0.0172	-0.0106	0.0207	-0.0085	-0.0093	-0.0141	-0.0056	-0.0089	0.0036	-0.0116	-0.0071	0.0134	-0.0108
sad_vc_estimate_se	0.0213	0.0041	0.0042	0.0038	0.0042	0.0036	0.0035	0.004	0.0035	0.0033	0.0032	0.003	0.0032	0.0042	0.0045	0.0046	0.0028	0.0051	0.0042	0.0062	0.0026	0.0046	0.0043	0.0034	0.0032	0.0038	0.0032	0.0027	0.0027	0.0025	0.0034	0.0022	0.0019	0.0026	0.0037	0.0051	0.0049	0.0039	0.0032	0.0026	0.0031	0.0037	0.0036	0.0037	0.0044	0.0042	0.0033	0.0044	0.0039	0.0037	0.0026	0.0046	0.0034	0.0037	0.0031	0.002	0.0032	0.002	0.0028	0.0024	0.0049	0.002	0.0023	0.0034	0.0034	0.002	0.0025	0.0034	0.0037	0.0018	0.0023	0.0039	0.0037	0.004	0.003	0.002	0.0026	0.003	0.0019	0.0025	0.0032	0.0029	0.0024	0.0033	0.0038	0.0015	0.0026	0.0036	0.0023	0.0033	0.0025	0.0029	0.0031	0.0041	0.0026	0.0034	0.0024	0.0029	0.0025	0.0023
sad_vc_pvals	0.25	0.584	0.656	0.569	0.743	0.174	0.167	0.844	0.672	0.348	0.256	0.792	0.869	0.814	0.095	0.601	0.378	0.164	0.525	0.249	0.73	0.736	0.247	0.565	0.63	0.84	0.713	0.178	0.293	0.347	0.048	0.304	0.336	0.196	0.98	0.241	0.287	0.737	0.088	0.372	0.382	0.128	0.842	0.722	0.229	0.354	0.686	0.123	0.478	0.135	0.149	0.356	0.894	0.759	0.154	0.723	0.982	0.274	0.17	0.374	0.472	0.013	0.031	0.648	0.844	0.894	0.134	0.104	0.581	0.789	0.706	0.966	0.697	0.251	0.294	0.066	0.653	0.526	0.044	0.364	0.488	0.197	0.399	0.055	0.903	0.764	0.684	0.98	0.873	0.076	0.645	0.714	0.915	0.453	0.628	0.295	0.988	0.335	0.043	0.899
upper95_perm_sad	0.6128	0.0643	0.0734	0.0559	0.0686	0.0551	0.0523	0.0082	0.0894	0.0458	0.1081	0.1088	0.0509	0.0822	0.0131	0.0971	0.0481	0.0489	0.1146	0.1058	0.0162	0.0626	0.0536	0.0913	0.0285	0.0746	0.0445	0.0566	0.0967	0.0356	0.0848	0.0418	0.0572	0.0432	0.0459	0.0158	0.1255	0.0403	0.0375	0.0651	0.0197	0.1228	0.0588	0.0152	0.0355	0.04	0.1006	0.0656	0.0349	0.0578	0.0669	0.0588	0.0803	0.0235	0.0545	0.0515	0.0162	0.0242	0.0416	0.0352	0.119	0.0183	0.0448	0.0946	0.0941	0.045	0.0609	0.0511	0.0844	0.0313	0.0203	0.0387	0.1202	0.0341	0.0259	0.0456	0.0484	0.0425	0.03	0.0269	0.0316	0.0187	0.029	0.0934	0.0166	0.0174	0.0267	0.0129	0.0359	0.0331	0.0338	0.0834	0.0721	0.0584	0.0383	0.0456	0.0333	0.0135	0.0108	0.0227
lower0_perm_sad	-0.1165	-0.0221	-0.0231	-0.0203	-0.0228	-0.0192	-0.0191	-0.021	-0.0185	-0.0174	-0.017	-0.0164	-0.017	-0.0229	-0.0244	-0.0249	-0.0153	-0.0275	-0.0226	-0.0328	-0.0138	-0.0243	-0.0224	-0.0187	-0.0173	-0.0204	-0.0172	-0.0147	-0.0144	-0.0133	-0.0186	-0.0119	-0.0105	-0.0144	-0.02	-0.0277	-0.026	-0.0214	-0.0171	-0.0136	-0.0165	-0.0197	-0.019	-0.0198	-0.0231	-0.0227	-0.0179	-0.0237	-0.021	-0.0202	-0.0143	-0.0255	-0.0182	-0.0201	-0.0168	-0.0111	-0.0175	-0.0106	-0.0152	-0.0129	-0.0257	-0.0109	-0.0123	-0.0182	-0.0186	-0.0106	-0.0131	-0.0182	-0.0201	-0.0096	-0.0123	-0.0208	-0.0195	-0.0217	-0.0163	-0.0109	-0.0136	-0.0163	-0.0103	-0.0137	-0.017	-0.0156	-0.0128	-0.0177	-0.0208	-0.008	-0.0141	-0.0196	-0.0126	-0.018	-0.0136	-0.0152	-0.0162	-0.0227	-0.0141	-0.0176	-0.0133	-0.0159	-0.0133	-0.0127
