	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.0248	-0.013	0.0056	0.0964	-0.0065	0.0225	0.0686	0.0656	0.0063	0.0051	-0.0016	0.0042	-0.0054	0.0063	-0.0024	0.0055	0.064	0.001	-0.0039	-0.0008	0.0198	-0.0083	0.0313	-0.0065	-0.0006	0.0594	-0.009	-0.0081	-0.0075	-0.0082	-0.0019	-0.0017	-0.0031	0.0049	-0.0053	-0.0041	-0.0011	0.0397	0.0009	-0.0083	0.0061	-0.0088	-0.0047	-0.0065	-0.0087	0.0005	-0.0081	-0.0054	0.0021	0.0128	-0.0022	-0.0086	-0.0054	0.0018	0.0058	-0.0063	-0.0067	0.0083	-0.0072	-0.0026	-0.0066	0.0002	-0.0041	-0.003	-0.0064	-0.0069	-0.0077	0.0711	0.0188	-0.007	0.0069	-0.0011	-0.0068	0.0012	-0.0059	0.0744	-0.0077	0.0155	-0.0079	0.0511	-0.0028	-0.0071	0.0426	-0.0019	-0.0037	-0.0072	-0.0053	-0.0049	-0.0046	0.0167	0.0018	0.0286	0.0246	-0.0057	0.0449	0.0087	-0.0071	-0.0047	0.0156	0.0743
direct_vc_estimate_se	0.0037	0.0018	0.0014	0.0015	0.0012	0.0011	0.0011	0.0013	0.0013	0.0012	0.0012	0.0011	0.0012	0.0013	0.0012	0.0013	0.0013	0.0015	0.0011	0.0013	0.0012	0.0012	0.0012	0.0011	0.0011	0.0011	0.0012	0.0011	0.0013	0.0011	0.0013	0.0011	0.0011	0.0011	0.0011	0.0011	0.001	0.0013	0.0011	0.0011	0.0012	0.0012	0.0011	0.0012	0.0012	0.0009	0.0011	0.001	0.001	0.0011	0.001	0.0012	0.001	0.0012	0.001	0.0014	0.0011	0.0012	0.001	0.0011	0.001	0.001	0.0012	0.0011	0.001	0.0011	0.0013	0.0012	0.0011	0.0011	0.001	0.0011	0.0011	0.001	0.0011	0.001	0.0011	0.001	0.0011	0.0011	0.0013	0.001	0.0011	0.0009	0.0011	0.0011	0.0011	0.001	0.0011	0.001	0.001	0.001	0.001	0.0009	0.0013	0.001	0.001	0.0009	0.001	0.0011
direct_vc_pvals	0.834	0.994	0.283	0.027	0.78	0.114	0.066	0.063	0.269	0.393	0.539	0.377	0.739	0.401	0.526	0.286	0.199	0.494	0.597	0.438	0.259	0.917	0.293	0.715	0.439	0.029	0.942	0.972	0.756	0.911	0.645	0.567	0.608	0.41	0.599	0.55	0.496	0.235	0.48	0.951	0.41	0.93	0.656	0.777	0.965	0.476	0.973	0.729	0.466	0.241	0.555	0.921	0.683	0.477	0.285	0.624	0.761	0.257	0.978	0.527	0.815	0.349	0.585	0.619	0.827	0.832	0.719	0.055	0.26	0.786	0.248	0.524	0.856	0.319	0.703	0.007	0.985	0.158	0.982	0.109	0.527	0.887	0.063	0.501	0.548	0.796	0.605	0.7	0.694	0.163	0.571	0.15	0.108	0.754	0.127	0.193	0.878	0.686	0.157	0.002
upper95_perm_direct	0.1506	0.1288	0.0509	0.0856	0.0956	0.043	0.0893	0.0879	0.0446	0.0678	0.0653	0.06	0.1081	0.0673	0.0527	0.0531	0.1471	0.0946	0.0491	0.0499	0.0777	0.0866	0.112	0.046	0.0503	0.0519	0.0667	0.0485	0.0917	0.048	0.1221	0.077	0.073	0.0576	0.0385	0.0409	0.0406	0.1324	0.0607	0.0383	0.0665	0.0616	0.0549	0.1088	0.0973	0.0489	0.0461	0.0652	0.0723	0.0552	0.0508	0.0788	0.0437	0.0804	0.0396	0.0747	0.0688	0.0499	0.0505	0.0498	0.0508	0.0327	0.0585	0.073	0.0467	0.0819	0.0584	0.0879	0.0833	0.0534	0.0366	0.0605	0.1081	0.0293	0.0573	0.0466	0.0749	0.0446	0.0769	0.0946	0.0605	0.0623	0.0556	0.0381	0.0413	0.0505	0.0323	0.0479	0.0767	0.0484	0.0684	0.067	0.0416	0.0509	0.0918	0.031	0.0503	0.0382	0.0424	0.0321
lower0_perm_direct	-0.0399	-0.0186	-0.0139	-0.0157	-0.0124	-0.0117	-0.0112	-0.0141	-0.0133	-0.0117	-0.0118	-0.0114	-0.013	-0.0125	-0.0122	-0.0134	-0.0133	-0.0149	-0.0105	-0.0125	-0.0129	-0.0116	-0.0116	-0.011	-0.0112	-0.0113	-0.0127	-0.012	-0.0137	-0.0122	-0.0135	-0.012	-0.0116	-0.0109	-0.0115	-0.011	-0.0098	-0.0137	-0.0112	-0.0117	-0.0114	-0.0129	-0.0119	-0.0126	-0.0128	-0.0092	-0.0116	-0.0102	-0.0099	-0.0113	-0.0101	-0.0123	-0.0108	-0.0117	-0.0096	-0.015	-0.0118	-0.0124	-0.0102	-0.0119	-0.0103	-0.0101	-0.0121	-0.012	-0.0099	-0.0109	-0.0141	-0.012	-0.0115	-0.0119	-0.0098	-0.0108	-0.0117	-0.0102	-0.0116	-0.0103	-0.011	-0.011	-0.0111	-0.0113	-0.0128	-0.0104	-0.0113	-0.009	-0.0111	-0.0119	-0.0113	-0.0105	-0.0114	-0.0105	-0.0102	-0.01	-0.0102	-0.0096	-0.0139	-0.0103	-0.0105	-0.0094	-0.0094	-0.0116
sad_vc_estimate	-0.0189	-0.0095	0.029	0.2456	-0.0089	0.0298	0.0877	0.1177	-0.0069	-0.006	-0.0041	0.0235	-0.0072	0.0028	0.0044	0.0026	0.0663	-0.0052	-0.0077	0.0389	0.0705	-0.0034	0.0365	-0.0074	0.0299	0.0547	-0.0074	-0.006	-0.0069	-0.0035	-0.0013	0.0217	0.009	0.0105	0.0069	0.014	0.0045	0.0529	-0.0063	-0.0082	-0.003	0.0091	-0.0065	0.0032	-0.0085	-0.0059	-0.0009	-0.0028	0.0037	0.0083	-0.006	-0.001	-0.0012	0.003	0.011	-0.0103	-0.0063	0.0127	-0.007	0.002	-0.0034	0.0091	0.0	0.003	-0.0046	-0.0072	-0.0094	0.0828	0.0111	-0.0039	0.0012	-0.0029	0.0034	0.0149	0.0159	0.0637	-0.0067	0.0082	-0.0077	0.0639	-0.0	-0.0048	0.0312	-0.0016	0.0061	-0.0076	-0.0044	-0.0041	-0.0012	0.0347	-0.0013	0.0758	0.037	-0.0063	0.0481	0.007	-0.0016	-0.006	0.0213	0.1174
sad_vc_estimate_se	0.0037	0.0018	0.0014	0.0015	0.0012	0.0011	0.0011	0.0013	0.0013	0.0012	0.0012	0.0011	0.0012	0.0013	0.0012	0.0013	0.0013	0.0015	0.0011	0.0013	0.0012	0.0012	0.0012	0.0011	0.0011	0.0011	0.0012	0.0011	0.0013	0.0011	0.0013	0.0011	0.0011	0.0011	0.0011	0.0011	0.001	0.0013	0.0011	0.0011	0.0012	0.0012	0.0011	0.0012	0.0012	0.0009	0.0011	0.001	0.001	0.0011	0.001	0.0012	0.001	0.0012	0.001	0.0014	0.0011	0.0012	0.001	0.0011	0.001	0.001	0.0012	0.0011	0.001	0.0011	0.0013	0.0012	0.0011	0.0011	0.001	0.0011	0.0011	0.001	0.0011	0.001	0.0011	0.001	0.0011	0.0011	0.0013	0.001	0.0011	0.0009	0.0011	0.0011	0.0011	0.001	0.0011	0.001	0.0011	0.001	0.001	0.001	0.0013	0.001	0.001	0.0009	0.001	0.0011
sad_vc_pvals	0.672	0.757	0.18	0.001	0.968	0.167	0.043	0.066	0.686	0.752	0.648	0.217	0.837	0.506	0.448	0.412	0.264	0.712	0.948	0.13	0.112	0.692	0.377	0.88	0.129	0.079	0.826	0.782	0.804	0.601	0.701	0.235	0.422	0.389	0.313	0.29	0.381	0.242	0.78	0.92	0.655	0.32	0.801	0.544	0.935	0.821	0.538	0.616	0.506	0.383	0.77	0.613	0.59	0.496	0.273	0.961	0.793	0.27	0.918	0.462	0.618	0.279	0.546	0.527	0.723	0.842	0.929	0.069	0.418	0.641	0.463	0.694	0.631	0.151	0.321	0.031	0.834	0.29	0.939	0.1	0.511	0.712	0.155	0.535	0.341	0.853	0.615	0.616	0.645	0.097	0.688	0.046	0.073	0.834	0.163	0.266	0.582	0.856	0.17	0.003
upper95_perm_sad	0.1678	0.172	0.0802	0.1141	0.1373	0.0725	0.0958	0.1589	0.0685	0.0839	0.0874	0.0784	0.1587	0.1043	0.0749	0.0684	0.2104	0.1371	0.0842	0.078	0.1341	0.1109	0.1597	0.0633	0.0663	0.0808	0.0915	0.0732	0.1249	0.0712	0.1613	0.093	0.1021	0.0864	0.0557	0.0697	0.0537	0.1694	0.0791	0.0488	0.0945	0.0722	0.0836	0.1343	0.1235	0.0629	0.0711	0.069	0.0929	0.0952	0.0496	0.0883	0.0804	0.1029	0.0598	0.1007	0.0841	0.0741	0.0785	0.0674	0.0533	0.0465	0.0826	0.1084	0.0677	0.1016	0.0867	0.1126	0.1135	0.0731	0.0585	0.0906	0.15	0.0436	0.087	0.0623	0.1075	0.052	0.1091	0.1026	0.0954	0.0809	0.0782	0.0503	0.0612	0.0659	0.0444	0.0536	0.1061	0.0591	0.0927	0.0854	0.0558	0.0538	0.1058	0.0471	0.0706	0.0544	0.0537	0.0508
lower0_perm_sad	-0.0382	-0.0183	-0.0142	-0.0163	-0.0125	-0.0119	-0.0114	-0.0143	-0.0138	-0.0117	-0.0121	-0.012	-0.0125	-0.0128	-0.0123	-0.0127	-0.0138	-0.0148	-0.011	-0.0132	-0.0129	-0.0123	-0.0114	-0.0107	-0.0107	-0.0114	-0.0124	-0.0117	-0.013	-0.0114	-0.0127	-0.0113	-0.0116	-0.0108	-0.0109	-0.0111	-0.0105	-0.0129	-0.0115	-0.0121	-0.0119	-0.013	-0.011	-0.0116	-0.0118	-0.0095	-0.0114	-0.0107	-0.0104	-0.0118	-0.0102	-0.0127	-0.0111	-0.0121	-0.0099	-0.0146	-0.0114	-0.0119	-0.0103	-0.0119	-0.0107	-0.0095	-0.0123	-0.0117	-0.0103	-0.011	-0.0137	-0.0114	-0.012	-0.0116	-0.0098	-0.0107	-0.0121	-0.0109	-0.0113	-0.0108	-0.0105	-0.011	-0.0117	-0.0112	-0.0135	-0.0102	-0.0117	-0.0099	-0.0114	-0.0119	-0.0116	-0.0108	-0.0117	-0.0108	-0.0102	-0.0101	-0.0106	-0.01	-0.0127	-0.01	-0.0109	-0.0094	-0.01	-0.0115
