	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.1903	-0.0127	-0.0019	0.003	0.0134	-0.0055	-0.0061	-0.0063	-0.0076	-0.0081	-0.0026	0.0118	0.0214	-0.0046	-0.0041	0.0032	0.028	0.0013	0.0633	-0.0077	0.0121	-0.0043	0.0154	-0.0032	0.0008	0.0363	-0.0039	0.0067	0.0609	-0.0071	-0.0004	0.0145	-0.0079	0.0366	-0.0082	-0.0083	0.0225	0.029	0.0492	0.0225	0.0036	0.0335	-0.0035	-0.0051	0.0646	0.0003	0.0069	0.0072	-0.0044	0.0211	0.0093	-0.0048	0.012	-0.0083	0.0009	-0.0001	0.0356	-0.0082	-0.0013	0.0015	0.0145	-0.007	-0.0062	-0.0053	-0.0084	-0.0029	0.0048	0.0187	0.0013	-0.0035	-0.0074	-0.0012	0.0329	0.0023	-0.0031	-0.0075	-0.0074	-0.0086	-0.0082	-0.0065	0.0805	0.0034	-0.0054	0.0215	-0.0058	0.0449	0.0049	-0.0081	-0.0079	0.0056	-0.0073	-0.0066	-0.008	0.0002	0.0008	-0.0077	0.0089	0.0034	0.0124	0.0384
direct_vc_estimate_se	10.3268	4.1588	3.2143	2.9328	2.7838	2.7217	2.5961	2.618	2.6657	2.6015	2.6082	2.6397	2.6763	2.5964	2.5097	2.6208	2.6152	2.5633	2.5319	2.5461	2.5763	2.568	2.6064	2.5998	2.6197	2.5994	2.551	2.5839	2.5703	2.5884	2.5129	2.5363	2.5837	2.4961	2.4959	2.5748	2.5083	2.5663	2.5579	2.6235	2.6087	2.5271	2.5543	2.5159	2.4983	2.526	2.5234	2.5736	2.4626	2.5571	2.5197	2.5379	2.4925	2.5411	2.5542	2.4715	2.5071	2.5608	2.5819	2.5108	2.5232	2.5162	2.4972	2.524	2.577	2.5258	2.5519	2.5382	2.5171	2.5102	2.497	2.5499	2.5267	2.5176	2.5295	2.5804	2.4748	2.5826	2.6422	2.5206	2.4819	2.5217	2.5255	2.5175	2.5225	2.5149	2.5427	2.5011	2.4984	2.5057	2.5395	2.4259	2.4597	2.5482	2.5721	2.4762	2.4742	2.5247	2.457	2.4771
direct_vc_pvals	0.078	0.839	0.507	0.371	0.235	0.636	0.69	0.712	0.748	0.855	0.533	0.262	0.174	0.661	0.583	0.382	0.114	0.428	0.026	0.832	0.268	0.577	0.228	0.534	0.453	0.096	0.6	0.324	0.05	0.773	0.476	0.211	0.808	0.089	0.967	0.908	0.151	0.129	0.057	0.136	0.393	0.095	0.557	0.645	0.028	0.424	0.319	0.321	0.614	0.173	0.293	0.643	0.262	0.926	0.404	0.431	0.074	0.881	0.464	0.427	0.206	0.767	0.72	0.635	0.906	0.589	0.329	0.196	0.404	0.563	0.801	0.503	0.111	0.362	0.534	0.803	0.817	0.989	0.853	0.742	0.022	0.392	0.644	0.148	0.683	0.056	0.341	0.903	0.882	0.344	0.796	0.769	0.907	0.464	0.448	0.851	0.277	0.382	0.246	0.063
upper95_perm_direct	0.2683	0.0968	0.0812	0.0614	0.065	0.0593	0.0549	0.072	0.0611	0.0713	0.0589	0.0728	0.0587	0.064	0.0624	0.0561	0.0548	0.0556	0.0603	0.0564	0.0656	0.0576	0.0628	0.0616	0.051	0.0668	0.07	0.0562	0.0704	0.0595	0.0589	0.0629	0.0639	0.0622	0.0722	0.0589	0.0611	0.0627	0.0608	0.0502	0.0765	0.0598	0.0572	0.0568	0.0596	0.0555	0.0641	0.0623	0.0517	0.0601	0.0473	0.0561	0.0683	0.0525	0.0561	0.0611	0.0557	0.0573	0.0496	0.0584	0.0578	0.0597	0.0607	0.0609	0.0667	0.0632	0.0594	0.0577	0.0573	0.0544	0.0633	0.0615	0.0565	0.0496	0.0522	0.0536	0.0461	0.055	0.0614	0.0554	0.0631	0.0637	0.0542	0.0583	0.0578	0.0568	0.0559	0.0517	0.0608	0.0487	0.0598	0.0592	0.055	0.0614	0.052	0.0522	0.0528	0.0552	0.0595	0.0509
lower0_perm_direct	-0.047	-0.0188	-0.0146	-0.0138	-0.013	-0.0123	-0.0115	-0.0123	-0.0123	-0.0113	-0.0122	-0.0122	-0.0122	-0.0122	-0.0117	-0.0121	-0.0118	-0.0122	-0.0111	-0.0119	-0.0119	-0.0119	-0.0117	-0.0123	-0.0118	-0.0118	-0.0115	-0.0123	-0.0122	-0.0124	-0.0108	-0.0117	-0.0117	-0.0114	-0.0112	-0.012	-0.0112	-0.0115	-0.0115	-0.0123	-0.0116	-0.0112	-0.0117	-0.0116	-0.0113	-0.0113	-0.0118	-0.0121	-0.0114	-0.0111	-0.0118	-0.0114	-0.0116	-0.0119	-0.0112	-0.0116	-0.012	-0.0121	-0.0121	-0.0114	-0.0118	-0.012	-0.0114	-0.0115	-0.0114	-0.0116	-0.0115	-0.0114	-0.0113	-0.0114	-0.0112	-0.0113	-0.0111	-0.0117	-0.012	-0.0119	-0.011	-0.0115	-0.0121	-0.0116	-0.0119	-0.0121	-0.0118	-0.0119	-0.0112	-0.0116	-0.0118	-0.0118	-0.0114	-0.0116	-0.0119	-0.0116	-0.0112	-0.0115	-0.012	-0.0117	-0.0118	-0.0114	-0.0112	-0.0114
sad_vc_estimate	0.1874	-0.0143	-0.0088	0.0033	0.0224	-0.0018	0.0045	-0.009	-0.0046	-0.0014	-0.0085	-0.001	0.0339	0.004	0.0082	0.0097	0.0267	0.005	0.0488	-0.0065	0.0324	0.0066	-0.0061	0.0212	0.001	0.0777	-0.0088	0.0027	0.0774	-0.0084	-0.0063	0.0358	-0.008	0.0422	-0.0051	-0.009	0.0425	0.0276	0.0391	0.0525	-0.0072	0.0244	-0.0087	-0.004	0.1347	0.0192	0.0033	0.0047	-0.0036	0.0034	0.0184	-0.0087	0.0075	-0.0068	0.0114	0.0215	0.0526	-0.005	-0.0063	0.0071	0.0291	-0.0064	-0.0038	-0.0084	-0.0049	0.0056	-0.0012	0.0186	-0.0002	0.0088	-0.0086	-0.0089	0.0118	0.0049	-0.0076	-0.0065	-0.0069	-0.0029	-0.0073	-0.0084	0.0694	0.0181	-0.0087	0.0152	-0.0088	0.0335	0.004	0.0046	-0.0058	-0.0024	-0.0088	-0.0079	-0.0074	0.0218	0.009	-0.0068	0.0091	-0.006	0.012	0.013
sad_vc_estimate_se	10.8446	4.3768	3.3774	3.0838	2.9256	2.8596	2.734	2.7529	2.7992	2.7337	2.7415	2.7717	2.8109	2.7287	2.6414	2.7525	2.7477	2.6952	2.6637	2.6794	2.7084	2.7003	2.7368	2.7306	2.7515	2.7321	2.6815	2.7156	2.701	2.7227	2.6435	2.6674	2.7146	2.6292	2.626	2.7073	2.6383	2.6981	2.6896	2.7563	2.7378	2.657	2.6869	2.6454	2.628	2.6555	2.6568	2.7025	2.5914	2.6877	2.6508	2.6684	2.6215	2.6705	2.6845	2.6034	2.6373	2.6905	2.7103	2.6386	2.6522	2.6468	2.6276	2.6534	2.7082	2.6567	2.6828	2.6686	2.6468	2.6382	2.6272	2.6781	2.6543	2.6476	2.659	2.7128	2.6038	2.7106	2.7711	2.6503	2.6127	2.6502	2.6535	2.6465	2.6493	2.6419	2.6715	2.6276	2.6282	2.6343	2.6734	2.5525	2.5891	2.6768	2.7007	2.6042	2.6049	2.6531	2.5842	2.6058
sad_vc_pvals	0.097	0.922	0.769	0.395	0.186	0.528	0.399	0.948	0.619	0.535	0.85	0.501	0.125	0.396	0.343	0.348	0.142	0.368	0.072	0.717	0.137	0.351	0.685	0.21	0.438	0.041	0.943	0.401	0.024	0.855	0.703	0.091	0.826	0.086	0.646	0.965	0.102	0.161	0.094	0.06	0.737	0.155	0.913	0.623	0.005	0.206	0.421	0.371	0.558	0.39	0.188	0.932	0.362	0.719	0.253	0.16	0.048	0.656	0.697	0.305	0.145	0.705	0.596	0.889	0.637	0.376	0.501	0.204	0.506	0.287	0.932	0.971	0.27	0.345	0.775	0.7	0.732	0.572	0.755	0.894	0.04	0.195	0.933	0.231	0.976	0.107	0.376	0.361	0.698	0.53	0.973	0.866	0.812	0.179	0.306	0.74	0.289	0.679	0.296	0.247
upper95_perm_sad	0.347	0.1214	0.0863	0.0752	0.075	0.0816	0.0758	0.0716	0.0775	0.0705	0.0676	0.0732	0.0704	0.074	0.0765	0.072	0.0722	0.0679	0.0708	0.0622	0.0785	0.0748	0.0744	0.0788	0.0621	0.0804	0.0696	0.0683	0.0666	0.0636	0.0674	0.0608	0.0794	0.0646	0.0749	0.0725	0.0737	0.0798	0.066	0.0661	0.0702	0.0677	0.0668	0.0702	0.0656	0.0655	0.0654	0.0699	0.0628	0.0812	0.0608	0.0681	0.0716	0.0695	0.0567	0.0594	0.0594	0.076	0.0646	0.067	0.0715	0.0683	0.0543	0.0629	0.0699	0.0813	0.0581	0.0663	0.0659	0.0593	0.0704	0.0675	0.0686	0.0587	0.0652	0.067	0.0584	0.0629	0.0735	0.0684	0.0771	0.0664	0.0586	0.0651	0.0708	0.0636	0.0654	0.0587	0.0771	0.0622	0.0604	0.068	0.0592	0.0726	0.062	0.0627	0.0626	0.0626	0.0688	0.0648
lower0_perm_sad	-0.0491	-0.0204	-0.0154	-0.0141	-0.0137	-0.013	-0.0131	-0.0123	-0.0127	-0.0132	-0.0129	-0.0124	-0.013	-0.0128	-0.0127	-0.0129	-0.0122	-0.0121	-0.0125	-0.0126	-0.012	-0.012	-0.0127	-0.0121	-0.013	-0.0128	-0.0124	-0.0125	-0.0125	-0.0122	-0.0118	-0.0127	-0.0123	-0.0117	-0.0118	-0.0122	-0.012	-0.0124	-0.0124	-0.0125	-0.0121	-0.0126	-0.0129	-0.0127	-0.0119	-0.0121	-0.012	-0.0127	-0.0124	-0.0122	-0.0121	-0.0128	-0.0119	-0.0119	-0.0122	-0.0124	-0.0118	-0.0129	-0.0122	-0.0124	-0.0124	-0.0124	-0.0122	-0.0119	-0.0125	-0.0125	-0.0128	-0.0125	-0.0122	-0.0122	-0.0117	-0.0129	-0.0126	-0.012	-0.0122	-0.0125	-0.0125	-0.0124	-0.0129	-0.0122	-0.0118	-0.0121	-0.0123	-0.0127	-0.0118	-0.0121	-0.0119	-0.0121	-0.0122	-0.0122	-0.012	-0.0118	-0.0116	-0.0117	-0.0128	-0.012	-0.0121	-0.0122	-0.0118	-0.0123
