	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.0469	0.0017	0.0627	0.0031	0.0159	-0.0025	-0.0084	-0.0052	-0.0065	-0.0029	-0.0048	-0.0076	0.0064	-0.0041	-0.0041	-0.0012	-0.002	-0.0007	0.0008	-0.0133	-0.0012	-0.0079	-0.0045	-0.0054	-0.0048	-0.0085	-0.0079	-0.0062	-0.0068	-0.0121	-0.0036	-0.0089	0.0015	-0.0098	-0.0112	0.016	-0.0077	-0.0064	0.0175	-0.0089	0.0071	0.0406	0.0016	-0.0078	-0.0083	-0.0026	-0.0084	-0.0057	-0.0093	-0.0045	-0.0021	-0.0036	-0.0062	-0.0055	0.0082	-0.001	0.0536	-0.0084	-0.0051	-0.0011	0.0002	-0.0039	0.0016	0.0102	0.0023	-0.0021	-0.0047	0.0006	-0.0053	0.0121	0.003	0.0013	0.0076	0.0028	-0.0042	0.0127	-0.0093	-0.0077	-0.0001	-0.0102	0.0011	-0.0171	-0.0065	-0.0131	0.0004	-0.008	-0.0017	-0.0017	0.0009	0.0053	-0.0067	-0.0166	-0.0049	0.0145	-0.0004	-0.0059	0.0193	0.02	-0.008	-0.0013
direct_vc_estimate_se	0.0714	0.0115	0.0332	0.0174	0.0154	0.0128	0.013	0.0115	0.0098	0.0046	0.0077	0.0136	0.0118	0.0223	0.017	0.0049	0.0056	0.0192	0.0076	0.0271	0.0113	0.0137	0.0077	0.0143	0.01	0.0186	0.012	0.0097	0.0162	0.019	0.0086	0.0138	0.0067	0.0201	0.0176	0.0151	0.0132	0.0146	0.0166	0.0133	0.0117	0.0209	0.0162	0.0117	0.0124	0.0141	0.0326	0.0088	0.0149	0.0071	0.0054	0.0055	0.0095	0.0148	0.0111	0.0095	0.0179	0.0182	0.0077	0.0096	0.0166	0.026	0.0088	0.0141	0.0074	0.0124	0.0105	0.0106	0.0101	0.0154	0.0139	0.0095	0.0102	0.0139	0.0109	0.0069	0.0168	0.0117	0.0114	0.0175	0.019	0.0255	0.0129	0.0199	0.0081	0.0122	0.0094	0.0059	0.0081	0.0092	0.0109	0.0258	0.0109	0.0088	0.0067	0.0089	0.0087	0.0143	0.0121	0.0126
direct_vc_pvals	0.679	0.315	0.095	0.417	0.087	0.52	0.801	0.697	0.97	0.844	0.701	0.971	0.142	0.442	0.252	0.852	0.361	0.518	0.42	0.643	0.345	0.742	0.72	0.075	0.701	0.687	0.869	0.869	0.23	0.471	0.663	0.759	0.222	0.374	0.713	0.412	1.0	0.442	0.071	0.929	0.095	0.096	0.333	1.0	1.0	0.411	0.365	0.582	0.598	0.642	0.733	0.759	0.806	0.537	0.286	0.426	0.071	0.701	0.837	0.535	0.481	0.029	0.381	0.359	0.736	0.43	0.557	0.127	0.376	0.344	0.368	0.721	0.368	0.4	0.416	0.029	0.662	0.905	0.287	0.85	0.162	0.971	0.451	0.803	0.029	0.844	0.458	0.727	0.81	0.296	0.52	0.939	0.887	0.029	0.694	0.806	0.0	0.142	0.879	0.519
upper95_perm_direct	-0.0214	0.0127	0.0657	0.0173	0.0172	0.0227	0.022	0.0047	0.0079	0.003	0.0029	0.0238	0.0093	0.0215	-0.0021	0.0123	0.0043	0.0494	0.0193	0.0417	0.013	0.0237	0.0121	-0.0044	0.0188	0.0517	-0.0006	0.0087	-0.0033	-0.0079	0.0259	0.0105	0.0077	0.0025	0.0192	0.0505	0.0228	0.0025	0.018	-0.0003	0.0074	0.0418	0.0076	0.0174	0.0139	0.0066	0.0038	-0.004	-0.004	0.0013	0.0277	-0.0001	0.012	0.0173	0.033	0.0061	0.0552	0.0535	0.0185	0.0299	0.013	-0.0044	0.0128	0.0333	0.0155	0.0208	0.017	0.0083	0.0001	0.0219	0.0489	0.0177	0.043	0.0212	0.0012	0.0115	0.0215	0.0142	0.026	0.0536	0.0017	0.0412	0.0007	0.042	0.0003	-0.0038	0.0312	0.0179	0.0172	0.0151	-0.0034	0.0092	0.0188	0.0142	0.0111	-0.0023	0.017	0.0269	0.0284	0.0376
lower0_perm_direct	-0.0513	-0.0071	-0.0237	-0.01	-0.0106	-0.0092	-0.0093	-0.0073	-0.007	-0.0033	-0.0055	-0.0081	-0.0085	-0.016	-0.0119	-0.0024	-0.0041	-0.0138	-0.0054	-0.0194	-0.0081	-0.0099	-0.0055	-0.0103	-0.0067	-0.0133	-0.0087	-0.0069	-0.0117	-0.0136	-0.0062	-0.01	-0.0048	-0.0145	-0.0126	-0.0108	-0.0082	-0.0105	-0.0119	-0.0096	-0.0068	-0.0144	-0.0083	-0.0084	-0.0089	-0.0101	-0.0234	-0.0063	-0.0107	-0.0051	-0.0034	-0.004	-0.0068	-0.0106	-0.008	-0.0068	-0.0128	-0.0131	-0.0056	-0.0069	-0.0119	-0.0187	-0.0064	-0.0101	-0.001	-0.0089	-0.0075	-0.0076	-0.0073	-0.011	-0.009	-0.0023	-0.0072	-0.01	-0.0079	-0.0049	-0.0121	-0.0084	-0.0079	-0.0126	-0.0136	-0.0183	-0.0093	-0.0143	-0.0058	-0.0087	-0.0043	-0.0042	-0.0035	-0.0066	-0.0078	-0.0177	-0.0066	-0.0063	-0.0042	-0.0064	-0.0062	-0.0103	-0.0086	-0.009
sad_vc_estimate	-0.0099	-0.0058	0.01	-0.0089	-0.0014	-0.0082	-0.0083	-0.0077	-0.0061	-0.0022	-0.0007	-0.0031	0.0203	-0.0132	-0.0114	-0.003	-0.0035	-0.0103	0.0033	0.0063	0.0042	-0.0011	-0.0031	-0.0096	-0.0035	-0.0125	-0.0077	-0.0054	0.0053	-0.0032	-0.0008	-0.0075	0.0031	-0.0112	-0.0113	0.0081	-0.0031	0.0027	0.0017	-0.0026	0.0036	0.007	-0.0098	-0.0073	-0.0061	0.0031	0.0392	-0.0036	-0.0089	-0.0014	-0.0033	0.0004	-0.0045	0.0024	0.0085	-0.0056	0.0637	-0.012	-0.0046	-0.0011	-0.0079	-0.0173	0.0071	-0.005	0.0005	0.0167	0.0045	-0.0038	-0.0063	0.0452	0.0004	0.0117	0.0124	0.0197	-0.0072	0.0114	-0.0113	-0.0056	-0.0059	0.0008	-0.0127	-0.0129	-0.0053	-0.0098	-0.001	-0.0078	0.0008	-0.0017	0.0001	0.0009	-0.0073	-0.0129	-0.0042	0.0194	-0.0022	-0.0028	0.0178	0.0404	-0.0081	-0.0017
sad_vc_estimate_se	0.0715	0.0116	0.0332	0.0174	0.0154	0.0128	0.0131	0.0115	0.0098	0.0046	0.0077	0.0136	0.0118	0.0223	0.017	0.0049	0.0057	0.0192	0.0076	0.0272	0.0113	0.0138	0.0077	0.0144	0.01	0.0186	0.0121	0.0097	0.0162	0.019	0.0086	0.0139	0.0067	0.0202	0.0176	0.0151	0.0132	0.0146	0.0166	0.0133	0.0117	0.021	0.0163	0.0117	0.0124	0.0141	0.0326	0.0088	0.0149	0.0071	0.0054	0.0055	0.0095	0.0148	0.0111	0.0095	0.0179	0.0182	0.0078	0.0097	0.0166	0.0261	0.0089	0.0141	0.0074	0.0124	0.0105	0.0106	0.0102	0.0154	0.014	0.0095	0.0102	0.0139	0.0109	0.0069	0.0168	0.0117	0.0114	0.0175	0.019	0.0256	0.0129	0.0199	0.0081	0.0122	0.0094	0.0059	0.0081	0.0092	0.0109	0.0258	0.0109	0.0088	0.0067	0.0089	0.0087	0.0143	0.0121	0.0126
sad_vc_pvals	0.346	0.471	0.092	0.409	0.084	0.831	0.713	1.0	0.659	0.625	0.164	1.0	0.063	0.609	0.921	0.887	0.643	0.883	0.428	0.583	0.172	0.339	0.499	0.937	0.609	0.939	0.912	0.864	0.39	0.453	0.538	0.62	0.187	0.708	0.802	0.222	0.942	0.186	0.166	0.559	0.215	0.412	0.59	0.868	0.64	0.378	0.287	0.113	0.636	0.337	0.832	0.156	0.655	0.306	0.262	0.856	0.063	0.912	0.931	0.515	0.9	0.8	0.278	0.355	0.708	0.193	0.031	0.54	0.785	0.313	0.59	0.334	0.366	0.119	0.944	0.097	0.968	0.598	0.707	0.538	0.708	0.562	0.213	0.781	0.031	0.764	0.608	0.697	0.803	0.276	0.968	0.486	0.937	0.031	0.65	0.24	0.097	0.032	0.918	0.538
upper95_perm_sad	0.0728	0.0008	0.0103	-0.0011	0.0021	0.0107	0.0216	0.0127	0.0085	0.0038	0.0049	0.0428	0.0199	0.0071	0.0034	0.0042	0.0028	0.0445	0.0253	0.1017	0.0095	0.0209	0.0112	-0.0007	0.0248	0.025	-0.0013	0.0213	0.0166	0.0137	0.034	0.0024	0.0046	0.0066	0.0328	0.0286	0.0307	0.0099	0.0108	0.0247	0.005	0.0188	0.0451	0.0255	0.0201	0.0149	0.0558	-0.0034	0.0069	0.0089	0.0278	0.0027	0.0237	0.0272	0.0365	0.0	0.0622	0.0973	0.0308	0.0278	0.0506	-0.0022	0.0297	0.008	0.0093	0.0443	0.0044	0.0121	-0.0032	0.0593	0.0652	0.0346	0.0412	0.0216	-0.0034	0.0142	0.02	0.0219	0.0142	0.0397	0.0112	0.0833	-0.002	0.069	-0.0012	0.0025	0.0474	0.0198	0.0218	0.0119	0.0102	0.0189	0.0201	0.0189	0.0093	0.0022	0.0228	0.0394	0.046	0.0385
lower0_perm_sad	-0.0514	-0.0083	-0.0215	-0.0125	-0.0111	-0.0092	-0.0094	-0.0082	-0.007	-0.0033	-0.0054	-0.0033	-0.0085	-0.0161	-0.0122	-0.0033	-0.0041	-0.0136	-0.0054	-0.0174	-0.0081	-0.0098	-0.0056	-0.0103	-0.0072	-0.0134	-0.0086	-0.007	-0.008	-0.0132	-0.0059	-0.01	-0.0048	-0.0145	-0.0125	-0.0108	-0.0046	-0.0105	-0.0119	-0.0095	-0.0007	-0.0149	-0.0117	-0.0084	-0.0089	-0.0101	-0.0139	-0.0063	-0.0107	-0.0051	-0.0039	-0.004	-0.0068	-0.0106	-0.008	-0.0063	-0.0128	-0.013	-0.005	-0.0069	-0.0098	-0.0187	-0.0063	-0.0101	-0.0022	-0.0089	-0.0075	-0.0075	-0.0071	-0.0109	-0.0075	-0.0045	-0.0064	-0.01	-0.0078	-0.0048	-0.0121	-0.0076	-0.0081	-0.0125	-0.0137	-0.0178	-0.0092	-0.0133	-0.0058	-0.0087	-0.006	-0.0042	-0.0024	-0.0066	-0.0078	-0.0165	-0.0046	-0.0063	-0.0048	-0.0064	-0.0062	-0.0102	-0.0087	-0.009
