	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.0882	0.0678	0.0079	0.0252	-0.0001	0.003	0.0002	0.0004	0.0007	0.0078	0.0019	0.0004	0.0067	0.0101	0.0006	0.0044	0.0001	-0.0	0.008	0.0002	0.0011	0.0008	0.0016	0.0031	-0.0	0.0018	-0.0001	0.0049	0.0035	0.0081	0.0001	0.0005	-0.0001	0.0045	0.0018	0.0031	0.0024	-0.0001	-0.0	-0.0	0.0029	0.0009	0.0003	0.0031	-0.0001	0.001	-0.0001	0.0155	0.0033	0.0027	0.0048	0.0	0.0	0.0006	0.0068	0.0021	0.0018	-0.0001	0.0026	0.0004	0.0004	0.0038	0.0077	0.0	0.0009	0.0029	-0.0	-0.0001	0.0003	-0.0002	0.0084	0.0017	0.0047	0.0009	0.0017	0.0084	0.0023	0.0042	0.0016	0.0281	0.005	0.003	0.0009	-0.0002	0.006	0.0008	-0.0001	0.0007	-0.0001	0.0014	0.0	0.012	0.0018	-0.0002	0.0049	-0.0001	0.005	0.0013	0.0121	-0.0001
direct_vc_estimate_se	0.0008	0.0007	0.0002	0.0003	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0003	0.0002	0.0002	0.0002	0.0002	0.0003	0.0002	0.0002	0.0002	0.0002	0.0003	0.0002	0.0002	0.0002	0.0002	0.0002	0.0003	0.0002	0.0002	0.0002	0.0003	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0001	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0003	0.0003	0.0003	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002
direct_vc_pvals	0.136	0.004	0.495	0.009	0.882	0.389	0.776	0.681	0.483	0.006	0.154	0.695	0.074	0.023	0.248	0.14	0.654	0.673	0.026	0.608	0.381	0.302	0.358	0.214	0.824	0.354	0.91	0.281	0.312	0.101	0.877	0.48	0.938	0.077	0.026	0.275	0.269	0.908	0.677	0.775	0.298	0.282	0.558	0.156	0.983	0.376	0.895	0.003	0.008	0.037	0.064	0.74	0.863	0.476	0.179	0.173	0.243	0.965	0.421	0.383	0.544	0.087	0.185	0.795	0.617	0.877	0.81	0.798	0.87	0.929	0.006	0.204	0.036	0.34	0.177	0.17	0.233	0.142	0.205	0.012	0.072	0.279	0.351	0.873	0.171	0.483	0.922	0.476	0.847	0.502	0.817	0.032	0.264	0.907	0.315	0.817	0.306	0.149	0.032	0.809
upper95_perm_direct	0.2233	0.0732	0.0602	0.0334	0.0067	0.0183	0.0205	0.0149	0.0098	0.008	0.006	0.0203	0.0128	0.0121	0.0035	0.0137	0.006	0.0049	0.0118	0.0069	0.0083	0.0043	0.0112	0.0094	0.0094	0.0127	0.0236	0.0175	0.0133	0.0182	0.0156	0.0068	0.0106	0.0094	0.0026	0.0144	0.0119	0.017	0.0046	0.0041	0.0098	0.0057	0.0063	0.0085	0.0185	0.0075	0.01	0.0165	0.0042	0.0041	0.0085	0.0065	0.0109	0.0053	0.0198	0.0072	0.008	0.0125	0.0149	0.0041	0.0084	0.0079	0.025	0.0128	0.0176	0.0254	0.0063	0.0061	0.0261	0.0228	0.0089	0.0066	0.0073	0.0062	0.0051	0.0207	0.0103	0.0114	0.005	0.0395	0.0101	0.0136	0.0064	0.0037	0.0175	0.0075	0.0078	0.0072	0.0046	0.0178	0.0155	0.0186	0.0079	0.0049	0.0238	0.0015	0.0235	0.0042	0.0194	0.0039
lower0_perm_direct	-0.0015	-0.0012	-0.0004	-0.0005	-0.0003	-0.0003	-0.0004	-0.0004	-0.0003	-0.0004	-0.0003	-0.0005	-0.0003	-0.0004	-0.0003	-0.0003	-0.0005	-0.0003	-0.0003	-0.0003	-0.0003	-0.0005	-0.0004	-0.0003	-0.0004	-0.0003	-0.0004	-0.0005	-0.0003	-0.0003	-0.0003	-0.0005	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0003	-0.0003	-0.0005	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0003	-0.0003	-0.0003	-0.0004	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0003	-0.0003	-0.0003	-0.0004	-0.0004	-0.0001	-0.0003	-0.0004	-0.0003	-0.0005	-0.0004	-0.0005	-0.0003	-0.0003	-0.0003	-0.0005	-0.0005	-0.0005	-0.0004	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0003	-0.0003	-0.0003	-0.0004	-0.0003	-0.0003
sad_vc_estimate	0.2772	0.3094	0.0347	0.1012	0.0027	0.0104	0.0007	0.0002	0.0051	0.0337	0.0052	-0.0002	0.0446	0.0398	0.0085	0.0143	0.0004	-0.0001	0.0282	0.001	0.0056	0.0059	0.0034	0.0071	-0.0001	0.0037	-0.0001	0.014	0.0133	0.0365	-0.0001	0.0001	0.0007	0.0078	0.0098	0.0092	0.0277	-0.0001	0.0059	0.0003	0.0195	0.0015	0.0014	0.0179	0.0001	0.0023	-0.0001	0.0687	0.0045	0.011	0.0028	0.0001	0.0	0.0034	0.047	0.0132	0.0091	0.0004	0.0081	0.0032	0.0008	0.0084	0.0236	0.0014	-0.0	0.0128	0.0004	0.0002	-0.0001	-0.0001	0.0086	0.0197	0.0126	0.0051	0.0014	0.0231	0.0043	0.0065	0.0059	0.0978	0.0162	0.0064	0.0022	0.0061	0.0239	0.0026	0.0038	0.0054	0.0012	0.0021	0.0039	0.032	0.0079	0.0016	0.0057	-0.0001	0.0197	0.0036	0.0244	-0.0001
sad_vc_estimate_se	0.0008	0.0007	0.0002	0.0003	0.0002	0.0002	0.0003	0.0002	0.0002	0.0002	0.0002	0.0003	0.0002	0.0002	0.0002	0.0002	0.0003	0.0002	0.0002	0.0002	0.0002	0.0003	0.0002	0.0002	0.0002	0.0002	0.0002	0.0003	0.0002	0.0002	0.0002	0.0003	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0003	0.0001	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0003	0.0003	0.0003	0.0003	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002
sad_vc_pvals	0.12	0.0	0.379	0.002	0.485	0.262	0.816	0.858	0.31	0.009	0.156	0.954	0.047	0.018	0.128	0.077	0.588	0.961	0.013	0.544	0.186	0.136	0.39	0.287	0.895	0.467	0.972	0.146	0.309	0.053	0.961	0.83	0.609	0.131	0.03	0.206	0.088	0.947	0.144	0.599	0.141	0.515	0.503	0.067	0.951	0.494	0.991	0.003	0.153	0.003	0.502	0.818	0.933	0.237	0.031	0.076	0.281	0.825	0.317	0.18	0.628	0.085	0.25	0.704	0.909	0.767	0.72	0.735	0.967	0.896	0.212	0.012	0.121	0.269	0.498	0.221	0.265	0.316	0.179	0.006	0.091	0.359	0.499	0.168	0.12	0.441	0.346	0.382	0.631	0.626	0.635	0.033	0.155	0.451	0.579	0.933	0.26	0.096	0.173	0.862
upper95_perm_sad	0.6556	0.2771	0.1697	0.1164	0.0257	0.0429	0.0624	0.0458	0.0316	0.0348	0.0145	0.0428	0.0769	0.0503	0.0218	0.0289	0.0137	0.027	0.0375	0.0173	0.0178	0.0174	0.0287	0.0248	0.0174	0.0329	0.0711	0.038	0.0454	0.0601	0.0622	0.0345	0.0199	0.0216	0.0147	0.0345	0.0646	0.0642	0.019	0.0081	0.0458	0.0213	0.0221	0.033	0.0542	0.0293	0.0405	0.0598	0.0134	0.0095	0.0343	0.0273	0.0409	0.0117	0.0726	0.0291	0.0427	0.0422	0.0365	0.0101	0.0194	0.0175	0.0777	0.0383	0.0455	0.0759	0.0218	0.0162	0.0729	0.0565	0.0313	0.0214	0.03	0.0239	0.0144	0.065	0.0211	0.0307	0.0162	0.1054	0.0351	0.0349	0.0307	0.0175	0.0573	0.0261	0.0224	0.0313	0.0199	0.0473	0.0569	0.051	0.0221	0.017	0.0629	0.0039	0.073	0.0093	0.062	0.0105
lower0_perm_sad	-0.0014	-0.0012	-0.0004	-0.0004	-0.0003	-0.0004	-0.0005	-0.0005	-0.0003	-0.0004	-0.0003	-0.0005	-0.0003	-0.0004	-0.0003	-0.0003	-0.0005	-0.0003	-0.0003	-0.0003	-0.0003	-0.0005	-0.0004	-0.0003	-0.0004	-0.0003	-0.0003	-0.0005	-0.0002	-0.0003	-0.0003	-0.0005	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0004	-0.0003	-0.0003	-0.0004	-0.0003	-0.0002	-0.0003	-0.0004	-0.0004	-0.0003	-0.0003	-0.0003	-0.0004	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0003	-0.0003	-0.0003	-0.0004	-0.0004	0.0015	-0.0003	-0.0003	-0.0003	-0.0004	-0.0003	-0.0004	-0.0003	-0.0004	-0.0003	-0.0005	-0.0005	-0.0005	-0.0005	-0.0003	-0.0003	-0.0003	-0.0004	-0.0004	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0003	-0.0003	-0.0004	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003
