	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.0043	0.0341	-0.0081	-0.0021	0.012	0.0123	-0.0014	0.004	-0.0057	-0.0079	-0.0031	-0.0016	-0.008	-0.0009	0.0195	0.0018	-0.0106	-0.004	0.0034	0.0054	-0.0069	-0.0005	0.0399	-0.0096	0.0078	-0.0067	0.0209	-0.0098	0.0077	-0.0027	0.0201	-0.0051	-0.0086	-0.0104	-0.0066	-0.0099	0.0049	-0.0093	-0.0054	0.003	-0.0032	-0.003	-0.005	0.0101	0.0017	-0.0049	0.0044	-0.0034	-0.0059	-0.0004	0.019	0.0732	0.0067	-0.0105	-0.0036	-0.0046	-0.0047	-0.0075	-0.0073	0.0346	-0.0051	-0.0036	0.0143	-0.0073	0.003	0.0089	-0.0069	0.0001	0.0172	0.0079	-0.0016	0.0154	-0.0041	-0.0038	-0.0038	0.0716	-0.0007	-0.0051	-0.001	0.0036	-0.0086	-0.0048	-0.007	0.0075	-0.0081	0.0109	0.0166	-0.0025	-0.0005	-0.005	-0.0051	-0.0029	0.0013	-0.006	-0.0004	-0.0051	-0.0069	-0.0077	0.011	-0.0075
direct_vc_estimate_se	0.007	0.0038	0.0026	0.0017	0.0031	0.0028	0.0018	0.0013	0.0023	0.0024	0.0031	0.0027	0.0035	0.0026	0.003	0.0014	0.0034	0.0026	0.0027	0.0024	0.002	0.0029	0.0028	0.0028	0.0034	0.0021	0.0017	0.0029	0.003	0.0036	0.0021	0.0017	0.0043	0.0046	0.0021	0.0037	0.0021	0.0028	0.0021	0.0024	0.0024	0.0028	0.0016	0.0024	0.0021	0.0014	0.0022	0.0018	0.0019	0.002	0.0016	0.0016	0.0018	0.0035	0.0019	0.0018	0.003	0.0024	0.0037	0.0021	0.0028	0.0019	0.0019	0.0023	0.0027	0.0022	0.002	0.0018	0.0022	0.0034	0.001	0.0021	0.0023	0.0021	0.0033	0.0018	0.0021	0.0015	0.0024	0.0017	0.0027	0.0024	0.002	0.0017	0.0024	0.0024	0.0019	0.0016	0.0022	0.0016	0.0015	0.0013	0.0022	0.0017	0.0016	0.0029	0.0021	0.0023	0.0019	0.0022
direct_vc_pvals	0.53	0.085	0.774	0.7	0.121	0.476	0.568	0.342	0.684	0.903	0.304	0.446	0.7	0.361	0.397	0.262	0.793	0.667	0.276	0.555	0.999	0.476	0.12	0.923	0.442	0.869	0.265	0.95	0.215	0.518	0.196	0.767	0.529	0.462	0.83	0.749	0.315	0.872	0.696	0.362	0.398	0.524	0.735	0.386	0.388	0.993	0.182	0.705	0.757	0.485	0.159	0.0	0.29	0.778	0.671	0.742	0.356	0.81	0.687	0.038	0.486	0.595	0.144	0.815	0.513	0.337	0.928	0.334	0.236	0.438	0.438	0.459	0.61	0.51	0.262	0.048	0.504	0.979	0.541	0.25	0.892	0.628	0.918	0.407	0.953	0.26	0.315	0.556	0.457	0.803	0.917	0.444	0.599	0.997	0.271	0.306	0.903	0.866	0.156	0.989
upper95_perm_direct	0.1565	0.0584	0.0259	0.0274	0.031	0.0842	0.0477	0.034	0.0364	0.0489	0.0195	0.0385	0.0693	0.0264	0.0821	0.0223	0.0636	0.1039	0.0334	0.0528	0.0475	0.0609	0.0762	0.028	0.1195	0.0277	0.0594	0.0483	0.04	0.0363	0.0616	0.0288	0.0475	0.0176	0.049	0.0681	0.039	0.0381	0.0395	0.0475	0.0222	0.0496	0.0126	0.0685	0.0314	0.0512	0.0204	0.0388	0.0265	0.0544	0.0414	0.0249	0.0366	0.071	0.0532	0.0353	0.0133	0.0359	0.0669	0.0391	0.024	0.032	0.0352	0.0357	0.0503	0.071	0.0403	0.0235	0.0527	0.0863	0.0069	0.0876	0.0622	0.0241	0.0156	0.0876	0.0562	0.0359	0.0679	0.0269	0.0569	0.0624	0.0113	0.0664	0.0301	0.056	0.0703	0.0317	0.0506	0.0249	0.0212	0.0057	0.0749	0.0112	0.0114	0.0085	0.0445	0.0364	0.0314	0.0528
lower0_perm_direct	-0.0407	-0.0228	-0.0154	-0.0092	-0.0191	-0.017	-0.0107	-0.0079	-0.0136	-0.0138	-0.0184	-0.0154	-0.0207	-0.015	-0.0186	-0.0087	-0.0198	-0.0148	-0.0159	-0.0137	-0.012	-0.0172	-0.0162	-0.0172	-0.0191	-0.0118	-0.0097	-0.0169	-0.0177	-0.0226	-0.0127	-0.0101	-0.0268	-0.0277	-0.013	-0.0218	-0.0128	-0.017	-0.0128	-0.0142	-0.0143	-0.0161	-0.01	-0.015	-0.0122	-0.0089	-0.0131	-0.0109	-0.0113	-0.0126	-0.0099	-0.0093	-0.0104	-0.0209	-0.0111	-0.0107	-0.0181	-0.0147	-0.0227	-0.0133	-0.0163	-0.0113	-0.0116	-0.0141	-0.0157	-0.0126	-0.0119	-0.0111	-0.0134	-0.0204	-0.0056	-0.012	-0.0143	-0.0125	-0.0194	-0.0102	-0.0122	-0.0089	-0.0146	-0.0102	-0.016	-0.0138	-0.0126	-0.0102	-0.0142	-0.0142	-0.0108	-0.0096	-0.0135	-0.0094	-0.0089	-0.0076	-0.0129	-0.0104	-0.0099	-0.0171	-0.0127	-0.0142	-0.0119	-0.0131
sad_vc_estimate	-0.0218	0.0047	-0.0062	0.0032	0.0459	0.029	-0.005	-0.0004	0.0107	-0.008	0.0409	0.0121	-0.0019	-0.0072	0.0871	0.006	-0.0034	-0.0082	0.015	-0.0061	-0.0032	0.024	0.0303	-0.0079	0.0183	-0.0063	0.0553	-0.0099	0.0299	0.0532	0.0065	-0.0032	-0.0115	-0.003	0.0072	0.0053	0.0443	-0.0085	0.0018	0.0069	0.0118	-0.0022	-0.0037	0.0279	0.0062	-0.0049	0.0165	-0.0047	-0.0049	0.0046	0.0186	0.0781	0.0054	-0.0106	-0.002	-0.0017	0.0305	-0.0022	-0.0032	0.0444	-0.0091	0.0033	0.0333	-0.0011	-0.0055	0.0302	-0.007	0.0125	0.0361	0.0514	-0.0033	0.0402	0.0205	-0.0067	-0.0013	0.0932	0.0059	-0.0049	-0.0068	0.0098	-0.0088	-0.0022	-0.0069	0.0177	-0.0077	0.0182	0.0215	-0.0032	0.006	-0.0045	-0.0052	0.0044	-0.0013	0.0011	-0.0015	0.0139	-0.007	-0.008	0.0186	-0.0058
sad_vc_estimate_se	0.007	0.0038	0.0026	0.0017	0.0031	0.0028	0.0018	0.0013	0.0023	0.0024	0.0031	0.0027	0.0035	0.0026	0.003	0.0015	0.0034	0.0026	0.0027	0.0025	0.002	0.0029	0.0028	0.0029	0.0034	0.0021	0.0017	0.0029	0.003	0.0036	0.0022	0.0017	0.0043	0.0046	0.0021	0.0037	0.0021	0.0028	0.0021	0.0024	0.0024	0.0028	0.0016	0.0024	0.0021	0.0014	0.0022	0.0018	0.0019	0.002	0.0017	0.0016	0.0018	0.0035	0.0019	0.0018	0.0031	0.0024	0.0037	0.0021	0.0028	0.0019	0.0019	0.0023	0.0027	0.0022	0.002	0.0018	0.0022	0.0034	0.001	0.0021	0.0023	0.0022	0.0033	0.0018	0.0021	0.0015	0.0024	0.0018	0.0027	0.0024	0.0021	0.0017	0.0024	0.0024	0.0019	0.0016	0.0022	0.0016	0.0015	0.0013	0.0022	0.0018	0.0016	0.0029	0.0021	0.0023	0.0019	0.0022
sad_vc_pvals	0.894	0.438	0.686	0.522	0.134	0.397	0.78	0.593	0.349	0.928	0.103	0.358	0.556	0.703	0.128	0.298	0.57	0.869	0.206	0.841	0.678	0.312	0.286	0.761	0.406	0.821	0.093	0.998	0.176	0.134	0.487	0.635	0.771	0.492	0.383	0.491	0.106	0.869	0.494	0.36	0.248	0.618	0.679	0.271	0.359	0.998	0.232	0.839	0.713	0.456	0.279	0.0	0.426	0.809	0.659	0.649	0.162	0.654	0.657	0.072	0.928	0.43	0.157	0.472	0.762	0.212	0.987	0.136	0.168	0.251	0.886	0.323	0.287	0.808	0.453	0.057	0.525	0.9	0.821	0.145	0.899	0.576	0.918	0.29	0.864	0.332	0.368	0.68	0.464	0.809	0.979	0.236	0.743	0.361	0.489	0.149	0.936	0.993	0.169	0.801
upper95_perm_sad	0.2776	0.1216	0.0588	0.0532	0.0964	0.1344	0.0645	0.0527	0.0759	0.0675	0.0676	0.0949	0.1115	0.0369	0.1524	0.047	0.0839	0.1107	0.0555	0.1082	0.0825	0.1209	0.1208	0.0839	0.1675	0.0507	0.0838	0.0653	0.0784	0.1053	0.1068	0.0509	0.153	0.0914	0.067	0.1379	0.0884	0.1066	0.0738	0.0632	0.0518	0.0733	0.0364	0.118	0.0513	0.0724	0.0551	0.0649	0.0343	0.0781	0.0597	0.0354	0.0622	0.1321	0.0913	0.0597	0.0668	0.0974	0.1202	0.067	0.082	0.0544	0.0788	0.0533	0.0893	0.0928	0.0711	0.0314	0.0828	0.1768	0.0081	0.1306	0.0939	0.0389	0.0636	0.1238	0.1045	0.0521	0.1108	0.0274	0.1016	0.0823	0.0171	0.0738	0.0679	0.1079	0.1246	0.0442	0.0964	0.0526	0.0385	0.0182	0.1232	0.0269	0.0317	0.0405	0.0633	0.085	0.0559	0.0902
lower0_perm_sad	-0.0405	-0.0226	-0.0157	-0.0097	-0.0178	-0.0158	-0.0105	-0.0081	-0.0144	-0.0138	-0.0185	-0.0156	-0.0207	-0.0151	-0.0173	-0.0089	-0.0202	-0.0149	-0.0164	-0.0138	-0.0118	-0.0167	-0.0158	-0.0167	-0.0201	-0.0127	-0.0103	-0.0177	-0.0174	-0.0215	-0.0134	-0.0101	-0.0255	-0.0272	-0.0132	-0.0216	-0.0127	-0.0165	-0.0125	-0.0145	-0.0137	-0.0174	-0.0093	-0.0143	-0.0123	-0.0083	-0.0128	-0.0106	-0.011	-0.012	-0.0095	-0.0094	-0.0103	-0.0207	-0.0108	-0.0106	-0.0183	-0.0138	-0.0216	-0.0127	-0.0165	-0.0111	-0.0121	-0.0142	-0.0156	-0.0126	-0.012	-0.0108	-0.0132	-0.0193	-0.0056	-0.0121	-0.0135	-0.0123	-0.0198	-0.011	-0.0123	-0.0086	-0.0138	-0.0105	-0.0155	-0.0145	-0.0123	-0.0104	-0.0143	-0.014	-0.0107	-0.0097	-0.0122	-0.0096	-0.0091	-0.0075	-0.0127	-0.0107	-0.0096	-0.0177	-0.0121	-0.0139	-0.0113	-0.0128
