	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
alcohol_intake_freq	,,	,,c	,,	,,	,,	,,	,,	,s,c	,,	,,
birth_weight	,,	,,	,,	,,	,,	,,	,,	d,s,c	,,	,,
bmi	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
dbp	,,	,,	,,	,s,	,,	,,	,,	,,	,s,	d,,
fvc	,,	,,	,,	,,	d,s,c	,,c	,,	,,	,,	,,
hair_color	,,	,,	d,s,c	d,s,c	d,s,c	,s,	,,	d,s,c	,s,	,,
hand_grip_strength	,,	,,	,,	,,	,,	,,	d,,	,,	,,	,,
height	,,	,,	,,	,,	,s,	,,	,,	d,s,c	d,,	,,
hip_circ	,s,	,,	,,	,,	,,	,,	,,	,,	,,	,,
household_income	,,	,,	,,	d,s,c	,,	,,	,,	,,	,,	,,
neuroticism_score	,,	,,	,,	,,	,,	,,	,,c	,,	,,	,,
overall_health	,,	,,	,s,c	,,	,,	,,	,,	,,c	,,c	d,s,c
pack_years_smoking	,,	,,	,,	,,	,,	,,	,,c	,,	,,	,,
pulse_rate	,,	,,	,,	,,	,,	d,s,c	,,	,,	,,	,,
skin_color	,,	d,,	d,s,c	d,s,c	,s,	,,	,,	d,s,c	,,	,,
waist_circ	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
years_schooling	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
