	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
alcohol_intake_freq	d,s,c	,,	,,	,,	d,,	,,	,,	,,	,,	,,
birth_weight	,,	d,s,c	,s,	,,	,,	,,	,,	,,	,,	,,
bmi	,,	,,	,,	,,	,,	,,	d,s,c	,,	,,	,,
dbp	,,	,,	,,	,,	,,	,,	,s,c	,,	,,	,,
fvc	d,s,c	,,	,,	,,	,,	,,	,,	,,	,,	d,,
hair_color	d,s,c	d,s,c	d,s,c	,,	,,	d,,	d,s,c	,,	,,	,,
hand_grip_strength	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
height	,s,	d,s,	d,s,c	,,	,,	,,	,,	,,	,,	,,
hip_circ	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
household_income	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
neuroticism_score	,,	,,	,,c	,,	,,	,,	,,	,,	,,	,,
overall_health	,,	,,	,,	,s,c	,,	,,	,,	,,	,,	,,
pack_years_smoking	,,	,,	,,	,,	,,	,,	,,c	,,	,,	,,
pulse_rate	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
skin_color	,,	d,s,c	,,	d,s,c	,,	,,	,,	,,	,,	d,s,c
waist_circ	,,	,,	,,	,,	,,	,,	d,s,c	,,	,,	,,
years_schooling	,,	,,	,,	,,	,,	,,	,,	,,	d,,	,,
