	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
alcohol_intake_freq	,,	,,	,,	,,	d,,	,,	,,	,,	,,	,,
birth_weight	,,	,,	,,	,,	,,	,,	,,	,,	,,	d,s,c
bmi	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
dbp	,,	,,	d,s,c	,,	,s,c	,,	,,	,,	,s,c	,,
fvc	,,	,,	,,	,,	,,	,,	,,	,,	,,	d,s,c
hair_color	,,	,,	,s,	d,s,c	d,s,c	,,	,,	d,s,	d,s,c	,,
hand_grip_strength	,,	,,	,s,	,,	,,	,,	,,	,,	,,	d,,c
height	,,	,,	,,	,,	,s,	,,	,,	,,	,,	,,
hip_circ	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
household_income	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
neuroticism_score	,,	d,s,c	,,	,,	,,	,,	d,s,c	,,	,,	,,
overall_health	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
pack_years_smoking	,,	,,	,,	,,	,,	,,	,,	,,	,,	d,,c
pulse_rate	,,	,s,	,,	,,	,,	,,	,,	,,	,,	,,
skin_color	,,	,,	,s,	d,s,c	,,	,,	,,	d,s,c	,s,	,,
waist_circ	,,	,,	,,	,,	,s,c	,,	,,	,,	,,	,,
years_schooling	,,	,,c	,,	,,	,,	,,	,,	,,	,,	,,
