	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
alcohol_intake_freq	,,	,,	d,,c	,,	,,	,,	,,	,,	,,	,,
birth_weight	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
bmi	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
dbp	d,s,c	,,	,,	,,	,,	,,	,,	,,	,,	,,
fvc	,,	,,	,,	,,	,,	,,	,,	,,	d,,c	d,s,c
hair_color	d,s,c	d,s,c	d,s,c	,,	,,	d,s,	d,s,c	,,	,,	,,
hand_grip_strength	,,	,,	,,	,,	,,	,,	,,	,s,	,,	,,
height	,,	,,	,s,	,,	,,	,,	,,	,,	,,	,,
hip_circ	,,	,,	d,s,c	,,	,,	,,	,,	,,	,,	d,s,c
household_income	,,c	,,	,,	,,	,,	,,	,,	,,	,,	,,
neuroticism_score	,,	,,	,,	,,	,,	,,c	,,	,,	,,	,,
overall_health	,,	,,	,,	d,s,c	,,	,,	,,	,,	,,	,,
pack_years_smoking	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
pulse_rate	,,	,,	,,	,s,	,,	,,	,,	,,	,,	,,
skin_color	,,	d,s,c	,,	d,s,c	,,	,,	,,	,,	,,	d,s,c
waist_circ	,,	,,	,,	,,	,,	,,	,,	,,	d,,	,,
years_schooling	,,	,,	,,	,,c	d,,c	,,	,,	,,	,,	,,
