	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
alcohol_intake_freq	,,c	,,	,,	,,	,,	,,	,,	,,	,,	,,
birth_weight	,,	,,	d,,c	,,	,,c	,,	,,	,,	,,	,,
bmi	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
dbp	d,,c	,,	,,	,s,	,,	,,	,,	,,	,,	,,
fvc	,,	,,	,,	,,	,s,	,,	,,	,,	,,	,,
hair_color	,,	,,	d,s,c	d,s,c	d,s,c	,,	,,c	,s,	,,	,,
hand_grip_strength	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
height	,,	,,	,,	,,	,s,	,,	,,	d,s,c	d,s,c	,,
hip_circ	,s,	,,	,,	,,	,,	,,	,,	,,	,,	,,
household_income	,,	,,	,,	,,c	,,	d,s,c	,,	,,c	,,	,,
neuroticism_score	,,	,,c	,,c	,,	,,	,,	,,	,,	,,	,,
overall_health	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
pack_years_smoking	,,	,,	,,	,,c	,,	,,	,,	,,	,,	,,
pulse_rate	,,	,,	,,	,,	,,	,,	,,	,,	,,	d,,c
skin_color	,,	,,	,s,	d,s,c	,,	,,	,,	d,s,c	,,	,,
waist_circ	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
years_schooling	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
