	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
alcohol_intake_freq	,,	,,c	,,	,,	,,	,,	,,	,s,	,,	,,
birth_weight	,,	,,	,,	,,	,,	,,	,,	,,	,s,c	,,
bmi	,s,	,,	,,c	,,c	,,	,,	,,	,,	,,c	,,
dbp	,,	,,	,,	,s,c	,,	,,	,,	,,	,s,	,,
fvc	,,	,,	,,	,,	,s,	d,,c	,,	,,	d,s,c	,,c
hair_color	,,	,,	d,s,c	d,s,c	d,s,c	,,	,,c	d,s,c	,,	,,
hand_grip_strength	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
height	,,	,,c	,,	,,	,,	,,	,,	,,	d,s,c	,,
hip_circ	,s,c	,,	,,	,,	,,	,,	,,c	,,	,,	,,
household_income	,,	,,c	,,	,,	,,	,,	,,	,s,c	,,	,,
neuroticism_score	,,	,,c	,,	,,	,,	,,	,,	d,,c	,,	,,
overall_health	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
pack_years_smoking	,,	,,	,,	d,s,c	,,	,,	,,	,,	,,	,,
pulse_rate	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,c
skin_color	,,	,,	,s,c	d,s,c	d,s,c	,,	,,	d,s,c	,,	,,
waist_circ	d,s,c	,,	,,	,,	,,	,,	,,	,,	,,	,,
years_schooling	,,	,,	,,	,,	,,	,,	,,	,,	d,s,c	,,
