	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
alcohol_intake_freq	,,	,,c	,,	,,	,,	,,	,,	,,	,,	,,
birth_weight	,,	,,	,,	,,	,,	,,	,,	,,	d,s,c	,,
bmi	,s,	,,	,,	,,	,,	,,	,,	,,	,,	,,
dbp	,,	,,	,,	d,s,c	,,	,,	,,	,,	,,	,,
fvc	,,	,,	,,	,,	,s,	,,	,,	,,	d,s,c	,,
hair_color	,,	,,	d,s,c	d,s,c	d,s,c	,,	,,	d,s,c	,s,	,,
hand_grip_strength	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
height	,,	,,	,,	,,	,,	,,	,,	,s,c	d,s,c	,,
hip_circ	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
household_income	,,	,,c	,,	,,	,,c	,,	,,	,,	,,c	,,
neuroticism_score	,,	,,	,,	,,	,,	,,	,,	d,,c	,,	,,
overall_health	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
pack_years_smoking	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
pulse_rate	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,c
skin_color	,,	,,	,s,c	d,s,c	,,	,,	,,c	d,s,c	,,	,,
waist_circ	,s,	,,	,,	,,	,,	,,	,,	,,	,,	,,
years_schooling	,,	,,	,,	,,	,,	,,	,,	,,	d,,	,,
