	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
alcohol_intake_freq	,,	,,	,,	,,	,,	,,	,,	,s,c	,,	,,
birth_weight	,s,c	,,c	,,	,,	,,c	,,	,,	,,c	d,s,c	,,
bmi	,,	,,	,,	,,	,,	,,	,,	,s,	,,	,,
dbp	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
fvc	,,c	,,	,,	,,	,s,	,,	,,	,,	d,s,c	,,c
hair_color	,,	,,	d,s,c	d,s,c	d,s,c	,,	,,	,s,	,,	,,
hand_grip_strength	,,	,,	,,	,,	,,	,,	,,c	,,	,,	,,
height	,,	,,	,,	d,s,c	d,s,c	,,	,,	d,,	d,,	,,
hip_circ	,s,c	,,	,,c	,,	,,	,,	,,	,,	,,	,,
household_income	,,	,,	,,	,,	,,	,s,c	,,	,,c	,,	,,
neuroticism_score	,,	,,	d,,	,,	,,	,,	,,	,,	,,	,,
overall_health	,,	,,	,,	,,	,,	,,	,,	,s,	,,	,,
pack_years_smoking	,,	,,	,,	,,	,,	,,c	,,	,,c	,,	d,s,c
pulse_rate	d,s,c	,,	,,	,,	,,	,,	,,	,,	,,	,,
skin_color	,,	,,	,s,c	d,s,c	,s,	,,	,,c	d,s,c	,s,	,,
waist_circ	d,s,c	,,	,,	,,	,,	,,	,,	,,	,,	,,
years_schooling	,,	,,	,,	,,	,,	,,	,,	,,	d,s,c	,,
