	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
alcohol_intake_freq	,,	,,c	,,	,,	,,	,,	,,	,,	,,	,,
birth_weight	,,c	,s,c	,,	,,c	d,,	,,	,,	,,	,,	d,s,c
bmi	,,	,s,c	,,c	,,	,,	d,,	,s,	,,	,,	,,
dbp	,,	,,	,,	,,	,,	,,	,s,	,,	,,	,,
fvc	,,c	,s,c	,,c	,,	,,	,,	d,s,c	,,	,,	,,
hair_color	d,s,c	,,	,s,	,s,c	,,c	,s,c	,s,c	d,s,c	d,s,c	,,
hand_grip_strength	,s,	,,	,,c	,,	,,	,,	,,	d,s,c	,,	,s,
height	,s,c	d,s,c	,s,c	,,c	d,,	,,c	,,	,,c	,,	,,
hip_circ	,,	,,	,,	,,	,,	,s,	,,	,,	,,	,,
household_income	,s,c	d,s,c	,,	,,	d,s,c	,,	,,	,,	,,	,,
neuroticism_score	,,	,,c	,,c	,,	,,	,,	,,	,,	,,	,s,
overall_health	,,	,s,c	,,c	,,	,,	,,	,,	d,,c	,,	,,c
pack_years_smoking	,,	,s,c	,,c	,s,	,,	,,	,,	,,c	,,c	,,
pulse_rate	,,	,,	,,c	d,s,c	,,	,,	,,	,,	,,	,,
skin_color	,,	,s,	d,,	d,,c	,,c	,,	,,	,,c	,,	,,c
waist_circ	,,	,,c	,,	,,	,,	,,	,s,	,,	,,	,,
years_schooling	,,c	,,	,,	,s,	,,	,,	,,	,,	,,c	,,
