	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
alcohol_intake_freq	,,	,,c	,,	,,	,,	,,	,,	,,	,,	,,
birth_weight	,,c	,s,	,,	,,	,,	,,	,,	,,	,,	,,
bmi	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
dbp	,,	,,	,,	,,	,,	d,s,c	,,	,,	,,	,,
fvc	,,	,,	,,	,,	,,	,,	d,s,c	,,	,,	,,
hair_color	,s,c	,,c	,s,	d,s,c	,,	,,	d,s,c	,,	d,,	,,
hand_grip_strength	,,	,,	,,	,,	,,	,,	,,	d,s,c	,,	,,
height	,s,	,s,c	,s,	,,	,,	,,	,,	,,	,,	,,
hip_circ	,,	,,c	,,	,,	d,,	,,	,,	,,	,,	,,
household_income	,,	,s,c	,,c	,,	d,s,c	,,	,,c	,,	,,	,,
neuroticism_score	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
overall_health	,,	,,	,,	d,s,c	,,	,,	,,	,,	,,	,,
pack_years_smoking	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
pulse_rate	,,	,,	,,	d,s,c	,,	,,	,,	,,	,,	,,
skin_color	,s,	,s,	,,	d,s,c	,,	,,	,,	,,	,,	,,
waist_circ	,,	,,c	,,	,,	,,	,,	,,	,,	,,	,,
years_schooling	,,	,s,c	,,	,,	,,	,,	,,	,,	,,	,,
