	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
alcohol_intake_freq	,s,c	,,	,,	,,	,,	,,	,,c	,,	,,c	,,
birth_weight	,,	,,	,,	,,	,,	,,	,,c	,,	,,	,,
bmi	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
dbp	,,	,,	,,	,,	,,	d,s,c	,s,c	,,	d,s,c	,,
fvc	,s,	,,	,,	,,	,,	,,	,,	,,	,,	,,
hair_color	,s,	,s,c	d,s,c	d,s,	,,	d,,	d,s,c	,,	,,	,,
hand_grip_strength	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
height	,,	d,s,c	d,s,c	,,	,,	,,	,,	,,	,,	,,
hip_circ	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
household_income	,,	,,	d,s,c	,,	,,	,,	,,	,,	,,	,,
neuroticism_score	,,	,,	,,	,,	,,	,,	,,	,,	,,	d,,
overall_health	,,	,,	,,	d,s,c	,,	,,	,,	,,	,,c	,,
pack_years_smoking	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,c
pulse_rate	,,	,,	,,	,,	,,c	,,	,,	d,,c	,,	,,
skin_color	,,	d,s,c	,,	d,s,c	,,	,,	,,	,,	,s,	d,s,c
waist_circ	,,	,,	,,	,,	,,	,,	,,	,,	d,s,c	,,
years_schooling	,,	d,,c	,,	,,	,,	,,	,,	,,	,,	,,
